Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,36.46,36.87,36.35,36.58,6003200,0.1,0
2019-02-06,36.45,36.73,36.26,36.41,5802800,0.0,0
2019-02-07,36.11,36.35,35.6,35.82,5857300,0.0,0
2019-02-08,35.46,35.88,35.05,35.66,4973300,0.0,0
2019-02-11,35.73,36.37,35.73,36.24,4932600,0.0,0
2019-02-12,36.41,36.81,35.33,35.41,6883200,0.0,0
2019-02-13,35.49,36.11,35.47,35.86,5837900,0.0,0
2019-02-14,35.57,36.18,35.33,35.76,4070000,0.0,0
2019-02-15,35.89,35.99,34.62,34.71,11471900,0.0,0
2019-02-19,34.69,35.56,34.66,35.13,6436100,0.0,0
2019-02-20,34.66,34.9,34.44,34.72,6969900,0.0,0
2019-02-21,34.64,35.17,34.5,34.64,5900700,0.0,0
2019-02-22,34.66,35.21,34.66,35.15,5393300,0.0,0
2019-02-25,35.41,36.03,35.33,35.56,10905900,0.0,0
2019-02-26,35.56,36.38,35.41,35.9,7565000,0.0,0
2019-02-27,35.76,35.98,34.93,35.35,5874900,0.0,0
2019-02-28,35.29,35.55,34.83,35.29,7873800,0.0,0
2019-03-01,35.24,35.62,34.04,34.31,8654000,0.0,0
2019-03-04,34.43,34.56,33.18,33.4,6998100,0.0,0
2019-03-05,33.7,34.05,32.85,32.91,7405700,0.0,0
2019-03-06,32.9,33.1,32.21,32.45,6420800,0.0,0
2019-03-07,32.39,32.39,31.32,31.91,7112400,0.0,0
2019-03-08,31.59,31.81,31.07,31.6,6200500,0.0,0
2019-03-11,31.34,31.96,31.27,31.74,8944000,0.0,0
2019-03-12,31.88,31.88,30.58,30.62,10887500,0.0,0
2019-03-13,30.92,31.62,30.7,31.53,11092900,0.0,0
2019-03-14,31.65,32.16,31.57,31.82,6454500,0.0,0
2019-03-15,31.97,32.04,31.12,31.13,9645100,0.0,0
2019-03-18,31.2,31.28,30.73,31.08,6832700,0.0,0
2019-03-19,31.2,31.81,31.08,31.29,6824500,0.0,0
2019-03-20,31.2,31.25,30.48,30.66,6250200,0.0,0
2019-03-21,30.59,31.47,30.49,31.15,5725100,0.0,0
2019-03-22,31.02,31.14,30.24,30.28,7488900,0.0,0
2019-03-25,30.24,30.43,29.87,29.92,5172000,0.0,0
2019-03-26,30.22,30.33,29.68,29.92,4583400,0.0,0
2019-03-27,29.98,30.9,29.86,30.64,6406900,0.0,0
2019-03-28,30.71,31.07,30.15,30.6,6687200,0.0,0
2019-03-29,30.84,31.58,30.54,31.46,6980800,0.0,0
2019-04-01,31.67,32.42,31.4,32.04,7438200,0.0,0
2019-04-02,32.72,33.15,32.15,32.67,10406100,0.0,0
2019-04-03,32.9,33.66,32.89,33.39,10047400,0.0,0
2019-04-04,33.63,33.79,33.03,33.6,6192300,0.0,0
2019-04-05,33.64,34.07,33.56,33.73,5164700,0.0,0
2019-04-08,33.32,33.62,33.12,33.56,6219800,0.0,0
2019-04-09,33.05,33.2,32.29,32.99,8119100,0.0,0
2019-04-10,33.44,33.8,32.77,33.69,7159500,0.0,0
2019-04-11,33.66,34.63,33.59,34.48,7352400,0.0,0
2019-04-12,34.65,34.9,34.17,34.36,4610500,0.0,0
2019-04-15,34.32,34.9,33.36,33.43,6390600,0.0,0
2019-04-16,33.63,33.76,33.27,33.7,4498400,0.0,0
2019-04-17,34.12,34.39,33.77,34.05,3772100,0.0,0
2019-04-18,34.1,34.29,33.58,34.04,3318200,0.0,0
2019-04-22,33.77,33.87,33.1,33.16,3884200,0.0,0
2019-04-23,33.11,33.85,33.1,33.64,3329800,0.0,0
2019-04-24,33.59,34.16,33.58,33.66,3739800,0.0,0
2019-04-25,33.72,33.92,32.81,33.09,6156500,0.0,0
2019-04-26,31.84,33.59,31.79,32.74,9623100,0.0,0
2019-04-29,33.19,33.66,32.99,33.45,5558200,0.0,0
