Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,162.14,162.73,159.39,161.21,932600,0.0,0
2019-02-06,161.13,161.55,156.46,156.98,1212000,0.0,0
2019-02-07,159.76,163.01,157.76,162.88,1375900,0.0,0
2019-02-08,161.74,163.36,160.87,162.16,740700,0.0,0
2019-02-11,162.19,165.1,162.19,164.88,917500,0.0,0
2019-02-12,165.62,168.28,165.23,167.63,1264300,0.0,0
2019-02-13,168.42,169.32,165.38,166.21,1104700,0.0,0
2019-02-14,165.67,169.49,164.0,168.48,720000,0.0,0
2019-02-15,169.57,170.57,167.41,169.73,1379600,0.0,0
2019-02-19,169.67,178.42,166.17,166.89,3369200,0.0,0
2019-02-20,165.75,166.78,162.34,165.75,1990200,0.0,0
2019-02-21,165.96,165.96,159.96,161.06,1616300,0.0,0
2019-02-22,161.06,161.63,158.67,161.22,1158000,0.0,0
2019-02-25,162.38,163.07,155.88,157.47,1787200,0.0,0
2019-02-26,162.75,165.58,161.23,162.67,2112600,0.0,0
2019-02-27,162.34,162.53,156.44,158.06,1149800,0.0,0
2019-02-28,156.48,163.52,156.48,161.53,1717600,0.0,0
2019-03-01,162.0,163.0,157.81,160.38,1398300,0.0,0
2019-03-04,161.67,161.67,156.68,158.16,1147200,0.0,0
2019-03-05,158.27,159.58,157.03,157.07,863100,0.0,0
2019-03-06,157.58,158.89,156.18,157.73,1067900,0.0,0
2019-03-07,156.85,157.07,153.78,153.9,940700,0.0,0
2019-03-08,152.62,152.96,150.27,151.54,1138200,0.0,0
2019-03-11,152.03,155.54,151.85,155.22,1047800,0.0,0
2019-03-12,155.38,155.38,152.67,154.63,871900,0.0,0
2019-03-13,155.01,155.56,153.56,154.46,812400,0.0,0
2019-03-14,154.82,154.96,152.81,153.77,683400,0.0,0
2019-03-15,153.41,154.75,150.81,154.6,1714100,0.0,0
2019-03-18,154.98,162.7,154.84,161.32,2116100,0.0,0
2019-03-19,161.19,164.68,160.92,163.17,1371600,0.0,0
2019-03-20,164.26,165.37,162.34,163.9,875200,0.0,0
2019-03-21,163.64,168.97,163.64,168.87,864700,0.06,0
2019-03-22,168.13,168.38,164.53,164.65,941600,0.0,0
2019-03-25,165.31,168.75,164.1,167.59,841100,0.0,0
2019-03-26,167.66,168.7,165.62,168.07,961700,0.0,0
2019-03-27,167.77,169.51,166.51,166.7,998900,0.0,0
2019-03-28,167.13,168.72,166.47,168.55,643400,0.0,0
2019-03-29,169.69,171.37,168.4,170.33,1856200,0.0,0
2019-04-01,172.59,173.98,170.93,173.43,957500,0.0,0
2019-04-02,173.34,173.74,170.73,173.14,670600,0.0,0
2019-04-03,173.88,174.6,171.22,171.49,847200,0.0,0
2019-04-04,171.94,174.21,171.38,173.8,1213800,0.0,0
2019-04-05,174.11,176.62,174.11,176.57,741300,0.0,0
2019-04-08,175.58,177.83,173.63,177.38,830300,0.0,0
2019-04-09,176.69,177.51,175.13,175.45,616200,0.0,0
2019-04-10,176.5,178.65,174.05,178.59,1079500,0.0,0
2019-04-11,178.44,180.81,177.68,180.75,705300,0.0,0
2019-04-12,180.75,181.59,179.53,179.9,922600,0.0,0
2019-04-15,180.33,181.57,178.82,181.22,913200,0.0,0
2019-04-16,182.35,182.35,179.3,179.74,676900,0.0,0
2019-04-17,179.74,179.84,176.47,176.6,741500,0.0,0
2019-04-18,176.36,176.92,173.91,175.2,1025300,0.0,0
2019-04-22,174.25,175.19,169.53,169.88,878800,0.0,0
2019-04-23,170.89,173.52,170.06,172.27,925000,0.0,0
2019-04-24,173.09,173.73,171.56,171.66,915700,0.0,0
2019-04-25,169.6,171.37,165.68,170.44,1265000,0.0,0
2019-04-26,170.11,170.53,167.97,169.99,690700,0.0,0
2019-04-29,169.74,170.36,166.45,166.58,811000,0.0,0
2019-04-30,167.22,168.51,165.06,166.13,872200,0.0,0
2019-05-01,165.94,166.47,163.48,163.64,923200,0.0,0
2019-05-02,163.86,167.02,163.11,166.59,1154500,0.0,0
2019-05-03,166.86,167.2,163.0,163.08,760200,0.0,0
2019-05-06,160.87,163.37,159.64,161.8,1218600,0.0,0
2019-05-07,160.9,162.4,159.46,160.47,1069400,0.0,0
2019-05-08,159.93,160.26,157.55,158.44,586200,0.0,0
2019-05-09,157.14,159.82,156.0,159.7,883600,0.0,0
2019-05-10,159.06,159.06,154.31,157.94,813300,0.0,0
2019-05-13,154.95,155.82,153.23,155.19,1395400,0.0,0
2019-05-14,154.39,156.71,152.91,155.57,1216000,0.0,0
2019-05-15,154.66,155.77,153.07,155.65,783000,0.0,0
2019-05-16,155.62,158.49,153.94,157.1,1264500,0.0,0
2019-05-17,155.74,159.48,155.5,157.79,1146200,0.0,0
2019-05-20,157.17,160.0,157.02,158.46,1714600,0.0,0
2019-05-21,158.84,161.53,156.47,161.11,1821300,0.0,0
2019-05-22,165.5,170.79,164.41,166.1,3608400,0.0,0
2019-05-23,165.39,166.81,158.37,159.61,2600200,0.0,0
2019-05-24,159.53,160.22,155.3,157.91,2127800,0.0,0
2019-05-28,158.05,159.07,154.38,154.38,1207500,0.0,0
2019-05-29,154.0,155.89,151.39,155.6,1665200,0.0,0
2019-05-30,156.61,160.39,156.26,159.21,1080200,0.0,0
2019-05-31,155.82,156.45,154.22,154.82,1487200,0.0,0
2019-06-03,154.23,154.31,151.65,152.99,1104200,0.0,0
2019-06-04,154.38,155.64,153.58,154.43,1008300,0.0,0
2019-06-05,155.08,155.84,152.46,154.43,1093000,0.0,0
2019-06-06,154.46,155.22,153.24,154.72,919500,0.0,0
2019-06-07,154.92,156.95,154.39,155.17,663300,0.0,0
2019-06-10,156.18,157.52,151.95,153.34,1046900,0.0,0
2019-06-11,153.58,153.66,150.15,151.99,1469200,0.0,0
2019-06-12,151.91,152.5,148.86,150.37,796500,0.0,0
2019-06-13,150.49,152.52,150.02,150.44,814800,0.0,0
2019-06-14,150.52,152.5,150.14,151.62,769100,0.0,0
2019-06-17,152.34,153.66,151.48,151.56,694300,0.0,0
2019-06-18,152.24,154.87,152.14,154.65,1194500,0.0,0
2019-06-19,154.69,154.88,151.94,153.59,1092600,0.0,0
2019-06-20,154.2,154.83,151.15,153.15,874700,0.06,0
2019-06-21,153.49,153.99,151.64,153.12,1054200,0.0,0
2019-06-24,153.74,153.74,151.54,152.21,1134100,0.0,0
2019-06-25,152.82,156.1,151.8,154.38,1346800,0.0,0
2019-06-26,153.57,153.8,149.09,149.81,1237800,0.0,0
2019-06-27,149.97,152.91,149.06,151.59,1028900,0.0,0
2019-06-28,151.86,154.33,151.28,154.02,950000,0.0,0
2019-07-01,155.59,158.33,155.45,156.47,1151500,0.0,0
2019-07-02,156.88,160.37,156.2,159.67,1394000,0.0,0
2019-07-03,159.39,161.51,158.55,160.51,588400,0.0,0
2019-07-05,160.02,160.89,159.13,160.5,604400,0.0,0
2019-07-08,160.48,163.1,157.99,158.07,1588100,0.0,0
2019-07-09,157.65,158.76,153.91,155.38,1040700,0.0,0
2019-07-10,155.47,156.69,154.47,156.31,833700,0.0,0
2019-07-11,155.74,157.4,154.96,156.17,970300,0.0,0
2019-07-12,156.12,158.99,155.77,158.46,648600,0.0,0
2019-07-15,158.89,159.02,156.51,158.8,487600,0.0,0
2019-07-16,158.75,162.58,158.75,161.64,763600,0.0,0
2019-07-17,161.03,161.29,156.23,157.55,1116100,0.0,0
2019-07-18,154.63,157.97,152.21,157.78,1126900,0.0,0
2019-07-19,157.97,158.61,156.02,156.81,965300,0.0,0
2019-07-22,157.16,160.05,157.12,158.78,840800,0.0,0
2019-07-23,159.37,159.78,155.23,157.52,894500,0.0,0
2019-07-24,157.52,159.1,156.95,158.38,865500,0.0,0
2019-07-25,156.78,158.09,149.82,149.91,1703200,0.0,0
2019-07-26,149.98,152.71,149.38,152.5,881500,0.0,0
2019-07-29,152.17,153.3,150.82,152.92,782500,0.0,0
2019-07-30,152.4,154.54,150.79,151.68,872900,0.0,0
2019-07-31,151.53,152.36,149.59,150.52,1057100,0.0,0
2019-08-01,150.4,153.4,149.6,149.83,1460300,0.0,0
2019-08-02,149.48,149.92,145.6,145.67,1210900,0.0,0
2019-08-05,142.84,143.29,139.85,143.05,1604800,0.0,0
2019-08-06,142.98,146.0,141.52,145.53,1594000,0.0,0
2019-08-07,144.3,145.2,142.1,143.93,1524000,0.0,0
2019-08-08,144.79,146.51,143.98,144.32,1291600,0.0,0
2019-08-09,144.43,146.83,143.1,144.22,1332600,0.0,0
2019-08-12,143.29,145.24,140.7,142.05,1681100,0.0,0
2019-08-13,130.7,143.95,129.99,142.12,5903800,0.0,0
2019-08-14,138.13,140.35,135.34,136.38,2424500,0.0,0
2019-08-15,137.1,138.16,135.36,137.39,1960500,0.0,0
2019-08-16,137.62,139.58,136.32,136.48,1277800,0.0,0
2019-08-19,137.89,138.15,135.12,136.25,1287800,0.0,0
2019-08-20,136.33,137.74,135.2,135.28,997300,0.0,0
2019-08-21,136.45,136.64,134.6,136.13,1344700,0.0,0
2019-08-22,136.54,138.44,135.98,137.39,1306700,0.0,0
2019-08-23,136.46,138.08,134.35,134.95,1088000,0.0,0
2019-08-26,135.52,135.6,132.79,134.9,901000,0.0,0
2019-08-27,135.72,137.02,134.77,134.79,746800,0.0,0
2019-08-28,134.2,137.45,133.2,136.65,1800700,0.0,0
2019-08-29,137.93,140.63,137.67,137.96,1203800,0.0,0
2019-08-30,138.59,139.71,137.34,137.84,721300,0.0,0
2019-09-03,137.08,140.32,136.66,140.25,1002500,0.0,0
2019-09-04,141.46,142.2,138.4,141.78,1235200,0.0,0
2019-09-05,142.97,147.01,142.96,146.44,770600,0.0,0
2019-09-06,146.78,147.56,146.21,147.1,818200,0.0,0
2019-09-09,147.29,147.7,145.46,147.32,1039700,0.0,0
2019-09-10,147.26,155.26,146.68,154.58,1403200,0.0,0
2019-09-11,154.84,158.77,154.56,158.74,1180100,0.0,0
2019-09-12,159.88,160.03,154.96,155.08,1163200,0.0,0
2019-09-13,158.98,159.2,154.73,156.88,996700,0.0,0
2019-09-16,155.88,158.14,155.58,155.95,904800,0.0,0
2019-09-17,155.32,156.88,153.62,155.95,841000,0.0,0
2019-09-18,155.79,156.25,152.45,153.67,667900,0.0,0
2019-09-19,153.67,154.5,152.25,152.74,705700,0.06,0
2019-09-20,152.87,156.74,152.63,155.63,1050500,0.0,0
2019-09-23,156.49,161.51,155.72,161.16,1234200,0.0,0
2019-09-24,162.42,163.55,158.66,159.16,1263100,0.0,0
2019-09-25,159.16,162.61,158.82,162.22,789300,0.0,0
2019-09-26,162.01,162.01,158.44,160.32,727500,0.0,0
2019-09-27,161.07,162.36,160.39,161.62,531900,0.0,0
2019-09-30,161.58,165.91,161.4,165.34,982800,0.0,0
2019-10-01,165.53,167.58,163.88,167.23,1086300,0.0,0
2019-10-02,166.21,166.81,161.89,162.9,975400,0.0,0
2019-10-03,162.54,162.73,158.2,159.8,918100,0.0,0
2019-10-04,159.48,160.55,157.14,159.88,749000,0.0,0
2019-10-07,159.03,160.31,157.04,158.21,1206600,0.0,0
2019-10-08,156.54,156.83,153.19,154.27,913200,0.0,0
2019-10-09,154.55,155.32,153.19,154.35,641600,0.0,0
2019-10-10,154.54,156.36,153.76,155.89,731400,0.0,0
2019-10-11,157.45,159.94,157.34,158.5,691600,0.0,0
2019-10-14,158.08,159.17,157.03,157.26,430100,0.0,0
2019-10-15,158.68,161.18,157.09,159.67,620300,0.0,0
