Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,30.0,30.3,29.74,30.28,862900,0,0
2019-02-06,30.24,30.33,29.95,30.27,627600,0,0
2019-02-07,30.13,30.47,30.12,30.37,804500,0,0
2019-02-08,30.14,30.4,29.95,30.31,769700,0,0
2019-02-11,30.31,30.36,30.1,30.33,880100,0,0
2019-02-12,30.46,30.96,30.29,30.83,1698400,0,0
2019-02-13,31.0,32.3,30.85,31.96,1898900,0,0
2019-02-14,31.93,31.94,31.09,31.12,1641100,0,0
2019-02-15,31.36,31.86,31.36,31.5,2055700,0,0
2019-02-19,31.46,32.15,31.31,32.07,1228400,0,0
2019-02-20,32.1,32.35,31.97,32.3,1012000,0,0
2019-02-21,32.28,32.37,32.05,32.29,809100,0,0
2019-02-22,32.34,32.42,32.17,32.3,1398900,0,0
2019-02-25,32.38,32.5,32.18,32.26,1632600,0,0
2019-02-26,32.08,32.45,32.08,32.38,1563300,0,0
2019-02-27,32.24,32.49,31.83,32.36,1475100,0,0
2019-02-28,32.38,32.83,32.24,32.67,1574000,0,0
2019-03-01,32.79,33.03,32.6,32.87,1093800,0,0
2019-03-04,32.91,33.04,32.53,32.94,1027100,0,0
2019-03-05,32.95,32.98,32.62,32.84,758100,0,0
2019-03-06,32.78,32.99,32.54,32.58,684400,0,0
2019-03-07,32.54,32.67,32.18,32.24,985300,0,0
2019-03-08,31.99,32.37,31.53,32.11,1139500,0,0
2019-03-11,32.27,32.52,32.09,32.38,743500,0,0
2019-03-12,32.5,32.7,32.24,32.41,1313500,0,0
2019-03-13,32.58,32.65,32.28,32.42,894300,0,0
2019-03-14,32.4,32.65,32.29,32.55,993300,0,0
2019-03-15,32.64,32.99,32.48,32.87,1289900,0,0
2019-03-18,32.88,32.99,32.69,32.84,1196900,0,0
2019-03-19,32.97,33.05,32.31,32.36,1079600,0,0
2019-03-20,32.3,32.41,31.94,31.98,681100,0,0
2019-03-21,31.94,32.46,31.85,32.29,1345800,0,0
2019-03-22,32.07,32.33,31.89,32.06,1066900,0,0
2019-03-25,32.11,32.33,31.94,31.97,895500,0,0
2019-03-26,32.11,32.35,31.91,31.96,864600,0,0
2019-03-27,31.97,32.26,31.96,32.07,3937900,0,0
2019-03-28,32.05,32.23,31.68,32.0,774100,0,0
2019-03-29,32.22,32.45,32.0,32.32,2403100,0,0
2019-04-01,32.58,32.69,32.34,32.66,1205400,0,0
2019-04-02,32.63,32.63,32.33,32.42,732000,0,0
2019-04-03,32.49,32.5,32.1,32.48,902300,0,0
2019-04-04,32.59,32.67,32.33,32.47,733100,0,0
2019-04-05,32.48,32.61,32.35,32.59,842400,0,0
2019-04-08,32.57,32.72,32.41,32.68,639000,0,0
2019-04-09,32.51,32.52,32.09,32.11,872200,0,0
2019-04-10,32.24,32.41,32.06,32.34,1497800,0,0
2019-04-11,32.42,32.66,32.28,32.63,1395500,0,0
2019-04-12,32.75,32.94,32.65,32.89,712100,0,0
2019-04-15,32.83,32.97,32.46,32.49,682100,0,0
2019-04-16,32.56,33.25,32.56,32.91,992800,0,0
2019-04-17,33.01,33.01,32.46,32.62,545500,0,0
2019-04-18,32.65,32.91,32.48,32.53,716900,0,0
2019-04-22,32.37,32.45,32.12,32.19,1477400,0,0
2019-04-23,32.24,32.78,32.13,32.75,1067800,0,0
2019-04-24,32.63,33.17,32.63,32.76,1395800,0,0
2019-04-25,32.59,32.92,32.42,32.85,1093200,0,0
2019-04-26,32.89,33.0,32.73,32.96,1864100,0,0
2019-04-29,33.0,33.57,33.0,33.3,1051900,0,0
2019-04-30,34.58,34.58,33.0,33.78,1332200,0,0
2019-05-01,34.0,34.45,33.8,33.85,1200300,0,0
2019-05-02,33.97,34.1,33.72,33.86,1032800,0,0
2019-05-03,33.86,34.16,33.79,34.15,653600,0,0
2019-05-06,33.74,34.22,33.74,34.14,743400,0,0
2019-05-07,33.99,34.16,33.53,33.63,1279000,0,0
2019-05-08,33.53,33.99,33.44,33.54,1283400,0,0
2019-05-09,33.29,33.57,33.1,33.42,799200,0,0
2019-05-10,33.3,34.0,33.24,33.96,894500,0,0
2019-05-13,33.56,33.66,33.2,33.32,1360200,0,0
2019-05-14,33.23,34.13,33.23,33.89,1539200,0,0
2019-05-15,33.69,34.28,33.69,34.04,1182500,0,0
2019-05-16,34.12,34.6,34.1,34.51,1508500,0,0
2019-05-17,34.23,34.55,33.6,33.78,1884100,0,0
2019-05-20,33.7,34.23,33.7,33.86,1154600,0,0
2019-05-21,33.96,34.44,33.83,34.4,1667900,0,0
2019-05-22,34.33,34.88,34.19,34.86,1352600,0,0
2019-05-23,34.57,34.72,34.25,34.44,700300,0,0
2019-05-24,34.59,34.72,34.31,34.4,731600,0,0
2019-05-28,34.41,34.62,33.81,33.97,2426000,0,0
2019-05-29,33.82,34.26,33.53,34.23,1316200,0,0
2019-05-30,34.35,34.65,34.23,34.27,958700,0,0
2019-05-31,34.06,34.47,33.98,34.43,1358200,0,0
2019-06-03,34.36,35.01,34.36,34.96,1460900,0,0
2019-06-04,35.09,35.19,34.53,34.88,1711200,0,0
2019-06-05,34.87,35.59,34.78,35.4,1780900,0,0
2019-06-06,35.47,35.7,35.4,35.58,1053000,0,0
2019-06-07,35.58,35.83,35.5,35.64,1848600,0,0
2019-06-10,35.65,35.68,35.37,35.42,1054900,0,0
2019-06-11,35.52,35.54,34.85,35.0,938800,0,0
2019-06-12,35.02,35.14,34.92,35.04,1271000,0,0
2019-06-13,35.14,35.24,34.89,35.04,1493400,0,0
2019-06-14,35.06,35.64,34.96,35.56,1702400,0,0
2019-06-17,35.67,35.71,35.43,35.52,639800,0,0
2019-06-18,35.53,35.82,35.49,35.78,845500,0,0
2019-06-19,35.75,36.14,35.72,36.1,741000,0,0
2019-06-20,36.23,36.46,36.07,36.42,1257200,0,0
2019-06-21,36.38,37.0,36.18,36.44,1884000,0,0
2019-06-24,36.35,36.66,36.1,36.18,1160700,0,0
2019-06-25,36.18,36.32,35.85,35.91,728500,0,0
2019-06-26,35.95,36.26,35.21,35.27,1053800,0,0
2019-06-27,35.72,36.24,35.55,36.19,3152100,0,0
2019-06-28,36.38,37.24,36.35,37.08,3001300,0,0
2019-07-01,37.65,37.87,37.02,37.84,1525000,0,0
2019-07-02,37.76,37.91,37.58,37.62,1120100,0,0
2019-07-03,37.86,38.09,37.76,37.94,928900,0,0
2019-07-05,37.88,38.01,37.68,37.98,1400500,0,0
2019-07-08,37.87,38.09,37.77,37.96,1211100,0,0
2019-07-09,37.95,38.45,37.93,38.42,1257500,0,0
2019-07-10,38.45,38.85,38.33,38.47,1149200,0,0
2019-07-11,38.49,38.53,38.02,38.36,1015800,0,0
2019-07-12,38.49,38.49,38.21,38.29,1024700,0,0
2019-07-15,38.35,38.47,38.18,38.42,1488400,0,0
2019-07-16,38.41,38.55,38.3,38.52,982900,0,0
2019-07-17,38.46,38.47,38.11,38.12,873600,0,0
2019-07-18,38.02,38.33,37.81,38.24,1547200,0,0
2019-07-19,38.04,38.23,37.55,37.58,1005300,0,0
2019-07-22,37.62,37.72,37.31,37.42,1041800,0,0
2019-07-23,37.4,37.57,37.15,37.56,602500,0,0
2019-07-24,37.42,37.83,37.3,37.79,1064500,0,0
2019-07-25,37.78,38.03,37.61,38.01,657300,0,0
2019-07-26,38.02,38.21,37.65,38.2,1026800,0,0
2019-07-29,38.19,38.46,38.02,38.2,1574000,0,0
2019-07-30,38.66,39.86,38.24,39.55,2440500,0,0
2019-07-31,39.6,39.82,38.42,38.69,2291200,0,0
2019-08-01,38.93,39.31,38.41,38.55,1145700,0,0
2019-08-02,38.54,38.99,38.32,38.72,879600,0,0
2019-08-05,38.31,38.5,37.57,37.76,1504300,0,0
2019-08-06,38.1,39.06,37.76,38.87,1499400,0,0
2019-08-07,38.49,39.66,38.19,39.26,1948800,0,0
2019-08-08,39.47,40.07,39.12,39.46,1798500,0,0
2019-08-09,39.4,39.57,39.18,39.39,1413800,0,0
2019-08-12,39.31,39.46,38.83,39.0,962400,0,0
2019-08-13,39.05,39.67,38.84,39.46,1171200,0,0
2019-08-14,38.85,39.32,38.27,38.33,694600,0,0
2019-08-15,38.44,39.0,38.34,38.91,881200,0,0
2019-08-16,39.17,39.83,38.94,39.75,1119600,0,0
2019-08-19,39.86,40.2,39.8,40.07,855600,0,0
2019-08-20,40.04,40.16,39.73,39.77,672100,0,0
2019-08-21,39.97,39.97,39.56,39.83,725600,0,0
2019-08-22,39.81,40.1,39.38,39.57,1044400,0,0
2019-08-23,39.48,39.84,38.43,38.61,1108700,0,0
2019-08-26,38.88,39.04,38.67,39.02,610700,0,0
2019-08-27,39.1,39.36,38.83,39.11,1758800,0,0
2019-08-28,39.09,39.36,38.85,39.32,1143300,0,0
2019-08-29,39.8,39.82,39.28,39.5,1677500,0,0
2019-08-30,39.72,39.79,39.43,39.5,1028300,0,0
2019-09-03,39.3,40.34,39.3,40.12,1639200,0,0
2019-09-04,40.13,40.85,40.13,40.82,1230500,0,0
2019-09-05,41.0,41.46,41.0,41.13,1274500,0,0
2019-09-06,41.11,41.57,41.11,41.31,1000800,0,0
2019-09-09,41.47,41.54,41.09,41.34,1544100,0,0
2019-09-10,41.32,41.4,40.3,40.61,1729400,0,0
2019-09-11,40.49,40.7,40.35,40.57,1421200,0,0
2019-09-12,40.7,40.82,40.4,40.44,1218300,0,0
2019-09-13,40.34,40.53,40.11,40.48,1036400,0,0
2019-09-16,40.33,40.66,40.27,40.56,928200,0,0
2019-09-17,40.49,41.1,40.44,40.96,2075500,0,0
2019-09-18,40.8,41.01,40.52,40.91,2002900,0,0
2019-09-19,41.03,41.5,40.96,41.14,991700,0,0
2019-09-20,41.15,41.25,40.72,41.0,1581400,0,0
2019-09-23,41.01,41.32,40.92,41.11,593300,0,0
2019-09-24,41.26,41.65,41.07,41.34,1567200,0,0
2019-09-25,41.33,42.03,41.23,41.97,1498100,0,0
2019-09-26,42.0,42.48,41.89,42.36,1334800,0,0
2019-09-27,42.49,42.68,41.83,42.05,1548900,0,0
2019-09-30,42.73,42.86,41.9,41.98,2509400,0,0
2019-10-01,42.28,42.31,41.33,41.43,1570000,0,0
2019-10-02,41.32,41.41,40.67,40.85,1286000,0,0
2019-10-03,40.85,41.13,40.52,41.12,869200,0,0
2019-10-04,41.24,42.01,41.24,41.86,1144500,0,0
2019-10-07,42.06,42.1,41.6,41.63,1406500,0,0
2019-10-08,41.5,41.63,40.74,40.77,1210200,0,0
2019-10-09,40.91,41.39,40.75,41.16,1577500,0,0
2019-10-10,41.07,41.49,41.01,41.16,914200,0,0
2019-10-11,41.32,41.72,41.19,41.49,1063800,0,0
2019-10-14,41.48,41.7,41.27,41.59,791100,0,0
2019-10-15,41.76,41.95,41.75,41.9,937200,0,0
2019-10-16,41.69,41.99,41.21,41.96,1159900,0,0
2019-10-17,42.07,42.31,41.84,42.0,1448300,0,0
2019-10-18,42.05,42.4,41.73,42.31,1069600,0,0
2019-10-21,42.29,42.72,42.25,42.59,847300,0,0
2019-10-22,42.46,42.55,41.29,41.36,1282300,0,0
2019-10-23,41.34,41.65,41.21,41.39,1751000,0,0
2019-10-24,41.4,41.65,41.24,41.39,1224100,0,0
2019-10-25,41.22,41.33,40.75,40.8,1138600,0,0
2019-10-28,40.95,41.37,40.56,40.7,964600,0,0
2019-10-29,40.5,41.31,40.46,41.03,1107000,0,0
2019-10-30,41.31,42.3,40.92,42.01,1889600,0,0
2019-10-31,41.88,42.19,41.2,41.76,1513000,0,0
2019-11-01,41.82,41.84,41.35,41.82,970800,0,0
2019-11-04,41.88,42.0,40.85,40.95,1090200,0,0
2019-11-05,40.99,41.06,40.23,40.54,2173100,0,0
2019-11-06,40.63,41.39,40.63,41.32,1460000,0,0
2019-11-07,41.28,41.41,40.42,40.46,1942800,0,0
2019-11-08,40.46,40.68,40.31,40.58,1129700,0,0
2019-11-11,40.38,40.85,40.38,40.79,903200,0,0
2019-11-12,40.66,40.69,40.16,40.52,1143900,0,0
2019-11-13,40.33,40.71,40.12,40.58,786800,0,0
