Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,97.53,98.48,97.05,98.38,2472600,0.0,0
2019-02-06,99.01,101.39,98.96,100.34,3279400,0.0,0
2019-02-07,99.28,100.04,97.53,98.6,3471800,0.0,0
2019-02-08,97.44,98.88,97.07,98.7,2407700,0.0,0
2019-02-11,100.33,100.58,98.98,99.7,2232300,0.0,0
2019-02-12,101.05,102.76,100.81,101.96,3693600,0.0,0
2019-02-13,102.32,102.97,101.38,102.31,2417100,0.0,0
2019-02-14,102.13,102.92,101.52,102.38,2971500,0.0,0
2019-02-15,103.25,103.7,102.19,103.61,2289400,0.0,0
2019-02-19,103.31,103.57,102.05,102.12,3722200,0.0,0
2019-02-20,102.98,106.1,102.6,104.67,4811700,0.0,0
2019-02-21,104.19,104.65,102.8,103.16,3518500,0.0,0
2019-02-22,103.94,104.19,103.07,103.77,2248000,0.0,0
2019-02-25,104.65,106.04,104.46,105.72,3987500,0.0,0
2019-02-26,105.19,105.68,104.65,105.02,2083400,0.0,0
2019-02-27,104.19,104.47,102.85,103.79,2617100,0.0,0
2019-02-28,103.36,105.6,103.36,105.34,3212300,0.54,0
2019-03-01,106.21,107.14,105.13,106.8,2821400,0.0,0
2019-03-04,107.35,107.82,105.14,107.01,2518100,0.0,0
2019-03-05,106.96,107.39,106.32,106.59,2843100,0.0,0
2019-03-06,106.68,107.01,104.95,105.17,2028000,0.0,0
2019-03-07,105.14,105.14,103.63,104.08,2507000,0.0,0
2019-03-08,103.16,104.08,102.54,103.81,4791700,0.0,0
2019-03-11,103.85,106.11,103.83,106.05,2884100,0.0,0
2019-03-12,106.04,106.91,105.04,106.28,2392000,0.0,0
2019-03-13,106.78,107.41,106.06,106.44,1814100,0.0,0
2019-03-14,106.75,106.75,105.5,106.61,1961300,0.0,0
2019-03-15,107.33,108.97,106.71,107.73,4574400,0.0,0
2019-03-18,107.38,108.7,106.79,107.5,2745900,0.0,0
2019-03-19,108.25,108.71,107.63,108.28,1944900,0.0,0
2019-03-20,108.3,108.6,106.48,106.96,2640800,0.0,0
2019-03-21,107.35,109.44,106.86,108.51,3724900,0.0,0
2019-03-22,108.13,108.32,105.69,105.77,2300200,0.0,0
2019-03-25,103.25,104.48,102.42,103.66,2690800,0.0,0
2019-03-26,104.42,105.52,104.12,105.48,3310000,0.0,0
2019-03-27,105.34,105.84,102.21,103.37,2621100,0.0,0
2019-03-28,103.47,104.04,101.74,102.49,2615200,0.0,0
2019-03-29,103.58,104.16,103.02,103.68,2777700,0.0,0
2019-04-01,104.91,106.97,104.65,106.64,3445800,0.0,0
2019-04-02,106.49,106.85,105.78,106.47,1684200,0.0,0
2019-04-03,107.96,109.38,107.51,108.18,2739500,0.0,0
2019-04-04,108.1,109.28,107.49,108.87,2435700,0.0,0
2019-04-05,109.41,110.11,108.88,109.77,2529000,0.0,0
2019-04-08,109.07,110.14,108.69,110.05,2237900,0.0,0
2019-04-09,109.81,110.04,108.41,108.82,1856900,0.0,0
2019-04-10,108.73,110.42,108.28,110.37,1966700,0.0,0
2019-04-11,110.67,110.97,109.49,110.13,1784900,0.0,0
2019-04-12,111.11,112.56,110.44,112.48,1984200,0.0,0
2019-04-15,112.71,112.85,110.91,111.23,1420500,0.0,0
2019-04-16,111.61,113.25,111.53,112.86,2298600,0.0,0
2019-04-17,113.34,114.17,112.13,112.67,2505900,0.0,0
2019-04-18,113.35,113.35,112.04,113.05,2052800,0.0,0
2019-04-22,112.68,112.86,111.73,111.89,2295900,0.0,0
2019-04-23,111.85,112.67,111.51,112.38,3437900,0.0,0
2019-04-24,113.04,116.74,112.42,115.51,5727100,0.0,0
2019-04-25,114.62,114.64,111.79,113.28,2952900,0.0,0
2019-04-26,111.53,112.85,110.46,112.71,2244900,0.0,0
2019-04-29,112.52,113.05,111.68,112.16,1877100,0.0,0
2019-04-30,112.73,115.06,112.2,114.48,2624800,0.0,0
2019-05-01,114.79,115.19,112.9,112.96,1601800,0.0,0
2019-05-02,113.09,115.64,112.81,115.19,2223200,0.0,0
2019-05-03,115.8,116.17,114.17,115.18,2476300,0.0,0
2019-05-06,112.34,113.64,111.68,113.19,2247800,0.0,0
2019-05-07,111.68,112.56,110.1,111.96,2965400,0.0,0
2019-05-08,110.76,111.26,108.8,108.88,3819500,0.0,0
2019-05-09,107.49,109.41,106.22,108.88,3408800,0.0,0
2019-05-10,108.54,109.47,106.05,108.92,2422000,0.0,0
2019-05-13,105.52,106.05,102.09,102.65,4900300,0.0,0
2019-05-14,103.58,105.59,103.39,105.13,2271900,0.0,0
2019-05-15,103.99,107.18,103.93,106.26,2305600,0.0,0
2019-05-16,104.06,104.57,102.48,103.11,4409800,0.0,0
2019-05-17,101.66,102.29,98.67,99.3,5468000,0.0,0
2019-05-20,96.4,97.74,95.26,96.02,4506000,0.0,0
2019-05-21,99.88,100.21,97.6,98.37,4636600,0.0,0
2019-05-22,97.34,101.54,97.1,99.9,5187100,0.0,0
2019-05-23,97.97,99.04,96.12,97.23,3387300,0.0,0
2019-05-24,98.06,98.9,96.84,96.93,2283100,0.0,0
2019-05-28,97.17,97.64,95.29,95.64,3602400,0.0,0
2019-05-29,94.66,97.33,94.49,96.62,3051200,0.0,0
2019-05-30,96.87,98.6,96.43,97.11,2099600,0.54,0
2019-05-31,96.05,97.63,95.54,95.68,2156800,0.0,0
2019-06-03,96.37,97.37,94.58,95.14,2900000,0.0,0
2019-06-04,96.56,100.1,95.97,99.99,3588600,0.0,0
2019-06-05,100.65,101.44,97.48,98.9,1785600,0.0,0
2019-06-06,98.74,99.34,97.67,99.0,1881100,0.0,0
2019-06-07,99.69,100.01,98.76,99.71,3046400,0.0,0
2019-06-10,103.28,106.49,102.13,105.52,4179100,0.0,0
2019-06-11,106.63,107.51,103.66,104.15,2325100,0.0,0
2019-06-12,103.87,103.87,102.65,103.36,1506600,0.0,0
2019-06-13,103.76,104.84,103.48,104.75,1696200,0.0,0
2019-06-14,102.44,103.4,101.78,103.01,2327200,0.0,0
2019-06-17,103.19,104.75,102.47,104.08,1859200,0.0,0
2019-06-18,105.66,109.52,105.02,108.87,3190000,0.0,0
2019-06-19,109.42,110.45,108.44,109.96,2474500,0.0,0
2019-06-20,112.45,112.84,110.43,111.47,2437100,0.0,0
2019-06-21,111.03,113.25,110.45,112.57,4351300,0.0,0
2019-06-24,112.61,113.21,111.57,111.81,2052100,0.0,0
2019-06-25,111.91,112.44,108.78,109.21,2516200,0.0,0
2019-06-26,110.41,111.65,109.32,109.8,3823400,0.0,0
2019-06-27,110.61,112.62,110.2,111.75,2054000,0.0,0
2019-06-28,112.26,113.31,111.52,111.78,6136800,0.0,0
2019-07-01,116.03,116.99,113.3,113.88,2586300,0.0,0
2019-07-02,113.38,113.39,111.55,112.41,1357300,0.0,0
2019-07-03,112.52,112.57,110.78,112.07,1444500,0.0,0
2019-07-05,110.98,111.88,110.23,111.77,1022100,0.0,0
2019-07-08,111.1,111.53,110.35,110.75,1790500,0.0,0
2019-07-09,110.68,112.82,110.32,112.19,1952600,0.0,0
2019-07-10,113.57,114.61,111.84,112.9,1762000,0.0,0
2019-07-11,113.16,113.16,111.93,112.82,1414200,0.0,0
2019-07-12,113.11,115.13,113.11,115.07,2139300,0.0,0
2019-07-15,115.77,116.55,115.09,115.89,1228300,0.0,0
2019-07-16,114.88,114.96,113.05,114.34,2007400,0.0,0
2019-07-17,114.82,114.89,112.83,112.84,1545000,0.0,0
2019-07-18,112.89,115.12,112.15,114.89,2245000,0.0,0
2019-07-19,115.16,115.93,114.4,114.66,1558600,0.0,0
2019-07-22,114.92,116.94,114.43,116.57,1667000,0.0,0
2019-07-23,117.35,118.77,116.55,118.76,2307800,0.0,0
2019-07-24,119.85,123.58,119.34,123.43,4240300,0.0,0
2019-07-25,122.0,122.9,119.41,121.0,2675400,0.0,0
2019-07-26,121.59,121.85,120.53,120.62,1372900,0.0,0
2019-07-29,120.9,121.31,119.65,120.03,1694700,0.0,0
2019-07-30,119.13,120.2,118.41,119.79,1163000,0.0,0
2019-07-31,119.8,119.8,114.93,116.32,2460100,0.0,0
2019-08-01,116.64,118.99,112.01,113.35,2978600,0.0,0
2019-08-02,113.1,113.83,111.15,111.59,2628200,0.0,0
2019-08-05,108.38,108.78,105.11,106.59,3642300,0.0,0
2019-08-06,107.8,109.32,107.08,108.22,2868500,0.0,0
2019-08-07,106.8,109.19,106.12,108.76,2048700,0.0,0
2019-08-08,109.15,111.37,108.34,111.24,1837600,0.0,0
2019-08-09,110.15,110.77,108.72,109.59,1713700,0.0,0
2019-08-12,109.15,109.55,107.23,107.9,1395200,0.0,0
2019-08-13,108.05,112.48,107.09,111.92,3047900,0.0,0
2019-08-14,109.51,110.63,108.49,109.24,1840600,0.0,0
2019-08-15,109.54,109.87,106.76,107.4,2161500,0.0,0
2019-08-16,108.75,110.17,108.14,109.45,2576200,0.0,0
2019-08-19,111.96,112.62,109.74,110.09,2784500,0.0,0
2019-08-20,109.3,110.38,108.86,109.22,2254700,0.0,0
2019-08-21,107.94,110.62,106.73,107.54,3236500,0.0,0
2019-08-22,107.5,108.34,106.18,107.58,2761400,0.0,0
2019-08-23,105.94,106.47,102.71,103.16,4382700,0.0,0
2019-08-26,104.55,105.06,103.98,105.0,2510400,0.0,0
2019-08-27,106.25,106.74,105.29,106.01,2222700,0.0,0
2019-08-28,105.41,107.01,104.8,106.98,1553300,0.0,0
2019-08-29,108.74,109.85,108.33,108.51,1949100,0.54,0
2019-08-30,109.44,110.44,108.65,109.31,1881700,0.0,0
2019-09-03,108.2,108.44,105.33,105.88,2607300,0.0,0
2019-09-04,107.7,108.71,107.63,108.67,1181100,0.0,0
2019-09-05,110.74,113.36,110.58,112.49,2294800,0.0,0
2019-09-06,112.7,113.01,111.9,112.14,1217100,0.0,0
2019-09-09,112.66,113.23,111.75,112.34,1208600,0.0,0
2019-09-10,111.83,113.44,110.72,113.44,1459700,0.0,0
2019-09-11,113.49,115.83,112.68,114.5,2387300,0.0,0
2019-09-12,117.44,117.9,114.98,115.66,2053700,0.0,0
2019-09-13,115.48,116.44,114.88,115.97,1646300,0.0,0
2019-09-16,114.64,115.26,114.03,114.72,1192000,0.0,0
2019-09-17,114.44,115.32,113.9,114.74,1426800,0.0,0
2019-09-18,114.67,116.07,114.28,116.01,1350500,0.0,0
2019-09-19,115.55,116.29,114.53,115.33,1636000,0.0,0
2019-09-20,115.21,116.07,114.08,114.79,3204100,0.0,0
2019-09-23,114.41,114.6,112.86,113.75,1593900,0.0,0
2019-09-24,114.5,114.52,110.09,110.44,2916400,0.0,0
2019-09-25,110.62,112.53,109.24,112.15,2349700,0.0,0
2019-09-26,112.32,112.9,111.14,112.61,1020500,0.0,0
2019-09-27,112.43,113.32,109.85,110.52,1517800,0.0,0
2019-09-30,111.62,111.71,110.02,111.2,2276600,0.0,0
2019-10-01,114.27,115.64,109.04,109.26,2901800,0.0,0
2019-10-02,108.61,109.29,107.6,108.46,1545800,0.0,0
2019-10-03,108.36,110.77,107.49,110.35,1816100,0.0,0
2019-10-04,111.32,112.69,110.67,112.5,1437500,0.0,0
2019-10-07,112.39,112.76,110.26,110.32,1658300,0.0,0
2019-10-08,109.47,109.84,105.59,105.63,3196500,0.0,0
2019-10-09,107.26,108.36,106.28,107.56,1869200,0.0,0
2019-10-10,107.29,109.25,107.01,107.93,1883200,0.0,0
2019-10-11,109.21,112.19,109.21,110.69,2613900,0.0,0
2019-10-14,110.05,110.48,109.47,109.82,1755600,0.0,0
2019-10-15,110.23,112.87,109.98,112.76,2615400,0.0,0
2019-10-16,112.18,112.72,109.87,110.07,1928100,0.0,0
2019-10-17,111.24,111.73,109.11,109.48,1494100,0.0,0
2019-10-18,109.65,109.91,107.91,108.96,1444800,0.0,0
2019-10-21,109.67,110.95,109.47,110.59,1327300,0.0,0
2019-10-22,110.72,111.71,110.21,110.36,1641100,0.0,0
2019-10-23,106.99,107.24,104.09,105.07,4584000,0.0,0
2019-10-24,105.87,106.18,104.42,104.82,3038400,0.0,0
2019-10-25,105.05,106.52,104.62,106.33,1867700,0.0,0
2019-10-28,107.19,108.57,106.91,108.32,2084800,0.0,0
2019-10-29,108.72,109.6,107.33,107.54,2765800,0.0,0
2019-10-30,109.99,110.47,107.26,107.74,2543700,0.0,0
2019-10-31,107.19,107.19,104.45,106.13,3847400,0.0,0
2019-11-01,107.11,109.4,107.05,108.85,1991800,0.0,0
2019-11-04,110.55,111.73,109.83,110.86,1681300,0.0,0
2019-11-05,110.94,113.89,110.81,112.91,3043500,0.0,0
2019-11-06,112.47,112.69,110.13,111.5,1676800,0.0,0
2019-11-07,113.23,113.28,111.0,111.76,1139200,0.0,0
2019-11-08,111.45,112.51,110.65,112.49,1123900,0.0,0
2019-11-11,112.02,112.21,110.89,112.02,1263500,0.0,0
2019-11-12,112.5,113.47,112.21,112.73,2277100,0.0,0
2019-11-13,111.73,113.85,111.38,113.63,1683600,0.0,0
2019-11-14,113.16,113.16,112.01,112.79,1102200,0.0,0
2019-11-15,114.16,114.41,112.06,112.86,1767400,0.0,0
2019-11-18,112.5,112.5,111.17,111.44,1845200,0.0,0
2019-11-19,112.2,112.5,111.04,111.18,1876200,0.0,0
2019-11-20,110.28,110.31,107.71,108.07,2987600,0.0,0
2019-11-21,108.55,108.72,107.34,108.27,2903000,0.0,0
2019-11-22,110.56,110.56,108.62,110.13,1783600,0.0,0
2019-11-25,111.09,112.93,110.79,112.4,3030500,0.0,0
2019-11-26,108.11,114.9,107.0,114.35,7432900,0.0,0
2019-11-27,115.56,115.76,112.5,113.16,3948800,0.0,0
2019-11-29,112.5,113.85,111.91,112.42,1036700,0.0,0
2019-12-02,112.53,112.82,110.41,110.73,1715800,0.0,0
2019-12-03,109.02,109.91,108.16,109.73,2108500,0.0,0
2019-12-04,111.27,113.97,111.27,113.85,2890100,0.0,0
2019-12-05,113.95,115.23,113.16,113.43,2443400,0.54,0
2019-12-06,114.74,116.1,114.4,115.89,2150300,0.0,0
2019-12-09,115.78,115.78,114.51,114.62,1551800,0.0,0
2019-12-10,114.58,115.44,114.03,114.41,2815900,0.0,0
2019-12-11,114.95,116.49,114.79,115.85,2203200,0.0,0
2019-12-12,115.87,118.66,115.61,117.81,2424000,0.0,0
2019-12-13,117.58,119.47,116.9,118.77,1644300,0.0,0
2019-12-16,119.52,120.5,118.49,118.86,2062500,0.0,0
2019-12-17,118.91,119.41,118.07,118.82,1467400,0.0,0
2019-12-18,118.89,119.53,116.86,117.0,2708400,0.0,0
2019-12-19,117.38,118.82,117.13,118.7,1591000,0.0,0
2019-12-20,120.18,120.22,117.9,119.82,4449000,0.0,0
2019-12-23,120.0,120.55,119.03,119.17,1565700,0.0,0
2019-12-24,119.26,119.88,119.11,119.72,487800,0.0,0
2019-12-26,119.67,120.13,119.26,119.73,912600,0.0,0
2019-12-27,119.72,120.0,118.99,119.45,1360900,0.0,0
2019-12-30,119.28,119.45,117.94,118.86,1107300,0.0,0
2019-12-31,118.82,119.14,118.14,118.84,963500,0.0,0
2020-01-02,120.11,120.65,118.74,120.43,1279300,0.0,0
2020-01-03,118.0,119.67,117.73,118.31,1374400,0.0,0
2020-01-06,116.25,117.32,115.61,116.92,1979400,0.0,0
2020-01-07,118.9,120.88,118.4,119.58,2214700,0.0,0
2020-01-08,120.31,121.46,119.69,120.66,2036500,0.0,0
2020-01-09,121.63,121.69,119.74,120.66,1418500,0.0,0
2020-01-10,120.8,120.81,118.37,118.57,1610500,0.0,0
2020-01-13,118.78,119.64,118.22,119.06,1357600,0.0,0
2020-01-14,118.98,120.59,118.7,119.53,1326800,0.0,0
2020-01-15,119.41,119.41,117.23,117.51,1729200,0.0,0
2020-01-16,118.48,119.22,118.01,119.13,1413600,0.0,0
2020-01-17,119.75,119.92,119.02,119.47,2303300,0.0,0
2020-01-21,118.19,119.67,118.0,119.31,2548400,0.0,0
2020-01-22,119.64,121.05,119.28,120.42,1654700,0.0,0
2020-01-23,120.42,121.07,118.85,120.86,2170200,0.0,0
2020-01-24,121.78,122.2,116.9,117.57,1972200,0.0,0
2020-01-27,114.65,114.98,112.2,112.21,2737800,0.0,0
2020-01-28,114.03,114.59,113.05,114.31,2670500,0.0,0
2020-01-29,114.31,114.47,112.6,113.23,3500900,0.0,0
2020-01-30,112.23,113.5,110.96,112.37,2761000,0.0,0
2020-01-31,111.66,111.72,109.2,109.75,3245400,0.0,0
2020-02-03,110.7,111.61,109.55,110.0,2134800,0.0,0
