Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,19.71,20.35,19.71,20.33,1877900,0,0
2019-02-06,20.33,21.48,20.33,21.33,2166500,0,0
2019-02-07,19.0,19.09,16.37,17.98,6844200,0,0
2019-02-08,17.52,18.32,17.02,17.81,2484300,0,0
2019-02-11,17.61,18.25,17.14,18.15,2055200,0,0
2019-02-12,18.41,19.25,17.96,19.05,1811300,0,0
2019-02-13,19.02,19.82,19.02,19.75,2144500,0,0
2019-02-14,19.47,20.03,19.28,19.49,1323600,0,0
2019-02-15,19.79,20.44,19.54,20.38,1633800,0,0
2019-02-19,20.22,20.64,19.93,20.05,1520100,0,0
2019-02-20,20.15,21.37,20.15,21.27,1129400,0,0
2019-02-21,21.16,21.41,20.29,20.33,1450500,0,0
2019-02-22,20.54,21.14,20.4,21.09,865100,0,0
2019-02-25,21.25,21.59,20.83,21.2,1356800,0,0
2019-02-26,21.12,21.29,20.62,20.62,1247800,0,0
2019-02-27,20.5,20.9,19.98,20.07,1526500,0,0
2019-02-28,20.05,20.05,19.1,19.44,1165100,0,0
2019-03-01,19.6,20.09,19.16,19.28,1289400,0,0
2019-03-04,19.38,19.51,18.74,19.06,1890000,0,0
2019-03-05,18.94,18.96,18.42,18.47,1263300,0,0
2019-03-06,18.45,18.45,16.62,16.68,2074300,0,0
2019-03-07,16.66,16.78,15.41,15.46,2621300,0,0
2019-03-08,15.44,15.76,15.08,15.16,1951300,0,0
2019-03-11,15.01,15.28,14.86,15.17,1967000,0,0
2019-03-12,15.2,15.3,14.71,15.04,1854100,0,0
2019-03-13,15.01,15.14,14.32,14.39,2437900,0,0
2019-03-14,14.38,14.7,13.87,13.95,3416100,0,0
2019-03-15,14.04,14.25,13.88,13.97,3144300,0,0
2019-03-18,14.52,14.53,13.98,14.37,2798200,0,0
2019-03-19,14.52,14.73,14.08,14.14,1751700,0,0
2019-03-20,14.07,14.16,13.01,13.05,3200600,0,0
2019-03-21,13.05,13.5,12.95,13.47,1599800,0,0
2019-03-22,13.37,13.4,12.53,12.57,2704100,0,0
2019-03-25,12.52,12.9,12.15,12.73,1728200,0,0
2019-03-26,12.68,13.27,12.45,12.67,1533300,0,0
2019-03-27,12.92,12.99,12.54,12.89,1693800,0,0
2019-03-28,12.9,13.48,12.9,13.01,1644800,0,0
2019-03-29,13.02,13.39,12.86,12.96,1500700,0,0
2019-04-01,13.63,14.58,13.46,14.37,2586500,0,0
2019-04-02,14.52,14.72,14.21,14.49,1739300,0,0
2019-04-03,14.79,15.62,14.73,15.12,2101900,0,0
2019-04-04,15.21,16.22,15.02,16.1,2407400,0,0
2019-04-05,16.35,16.56,15.97,16.31,2141300,0,0
2019-04-08,16.18,16.82,16.09,16.81,1314800,0,0
2019-04-09,16.63,16.65,16.16,16.47,1408500,0,0
2019-04-10,16.4,18.25,16.29,18.15,3005700,0,0
2019-04-11,17.8,18.36,17.59,18.24,2490700,0,0
2019-04-12,20.06,21.89,19.45,20.73,6592900,0,0
2019-04-15,21.2,24.75,20.91,23.73,9196200,0,0
2019-04-16,24.31,24.56,23.22,24.48,4672900,0,0
2019-04-17,24.53,25.6,24.53,25.36,3465500,0,0
2019-04-18,25.27,25.95,25.06,25.91,3237700,0,0
2019-04-22,25.13,26.02,24.39,25.54,2606400,0,0
2019-04-23,25.63,25.72,24.66,24.74,3006500,0,0
2019-04-24,24.85,24.93,23.45,24.11,2854700,0,0
2019-04-25,23.99,24.0,22.15,22.47,2254000,0,0
2019-04-26,22.68,23.59,22.35,23.44,1965500,0,0
2019-04-29,23.35,24.35,23.3,24.04,1671200,0,0
2019-04-30,23.87,24.07,22.72,23.1,1576900,0,0
2019-05-01,23.34,24.03,22.99,23.02,1297500,0,0
2019-05-02,22.99,23.93,22.71,23.9,1540000,0,0
2019-05-03,24.02,25.0,23.65,24.89,1657300,0,0
2019-05-06,23.76,24.58,23.32,24.35,2138500,0,0
2019-05-07,22.88,23.0,21.55,21.97,2902900,0,0
2019-05-08,22.08,22.69,21.64,22.03,2195500,0,0
2019-05-09,21.28,21.44,20.06,21.25,3060800,0,0
2019-05-10,21.03,21.64,20.6,21.44,2265500,0,0
2019-05-13,20.59,21.14,20.08,20.51,2240900,0,0
2019-05-14,20.61,20.83,20.09,20.68,2385800,0,0
2019-05-15,20.33,20.45,19.54,20.4,2750200,0,0
2019-05-16,20.2,20.59,17.8,18.04,3647600,0,0
2019-05-17,17.79,18.55,17.51,17.97,1965900,0,0
2019-05-20,17.55,18.37,17.36,17.61,2333800,0,0
2019-05-21,17.61,18.09,17.34,17.78,1650000,0,0
2019-05-22,17.54,17.76,16.67,16.8,1359500,0,0
2019-05-23,16.45,17.18,16.37,17.15,1817800,0,0
2019-05-24,17.23,17.57,16.91,17.36,1014300,0,0
2019-05-28,17.46,18.23,17.39,18.09,1423600,0,0
2019-05-29,17.79,18.19,17.46,18.07,999800,0,0
2019-05-30,18.1,18.99,17.72,17.91,1582600,0,0
