Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,142.1,142.56,141.22,142.36,2802400,0.0,0
2019-02-06,142.08,143.15,141.69,142.61,2039600,0.0,0
2019-02-07,141.12,142.95,141.03,142.74,2638200,0.0,0
2019-02-08,141.41,143.89,141.14,143.85,1712000,0.0,0
2019-02-11,144.22,144.76,143.83,144.54,1949600,0.0,0
2019-02-12,145.71,146.91,145.28,146.49,2181800,0.0,0
2019-02-13,146.98,148.3,146.87,147.43,2136700,0.0,0
2019-02-14,146.61,146.98,145.09,145.16,2656900,0.0,0
2019-02-15,146.54,147.29,145.45,146.65,2862900,0.0,0
2019-02-19,146.02,147.52,146.02,147.28,1354800,0.0,0
2019-02-20,147.62,147.67,146.46,147.53,1622000,0.0,0
2019-02-21,147.11,148.45,146.6,147.94,1309200,0.0,0
2019-02-22,148.56,150.12,148.17,150.09,1608800,0.0,0
2019-02-25,150.96,151.44,149.16,149.42,1560900,0.0,0
2019-02-26,149.47,150.33,149.18,149.8,1400600,0.0,0
2019-02-27,149.02,150.31,148.6,149.9,1479000,0.0,0
2019-02-28,149.6,150.47,149.23,149.95,2241300,0.0,0
2019-03-01,151.14,151.3,150.06,150.8,1773300,0.0,0
2019-03-04,150.79,151.21,148.36,150.17,3966800,0.0,0
2019-03-05,150.36,150.5,149.28,149.58,2914000,0.0,0
2019-03-06,149.4,150.23,149.1,149.46,1643000,0.0,0
2019-03-07,149.07,149.69,147.86,148.16,2915300,0.79,0
2019-03-08,146.77,147.33,145.92,146.99,1928100,0.0,0
2019-03-11,147.62,148.91,146.79,148.82,1817100,0.0,0
2019-03-12,149.47,150.51,148.83,149.7,1796500,0.0,0
2019-03-13,150.41,151.66,149.92,150.54,1539300,0.0,0
2019-03-14,151.03,151.36,149.98,151.2,1840900,0.0,0
2019-03-15,150.71,153.02,150.36,152.97,5612200,0.0,0
2019-03-18,152.97,153.46,151.72,152.36,1716600,0.0,0
2019-03-19,152.67,152.84,151.51,152.3,1439800,0.0,0
2019-03-20,152.11,152.66,151.19,151.7,1974900,0.0,0
2019-03-21,151.13,153.69,151.13,153.0,1848300,0.0,0
2019-03-22,152.6,152.96,151.34,151.5,1659700,0.0,0
