Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,76.9,76.99,76.28,76.55,2658000,0.0,0
2019-02-06,76.36,76.99,76.08,76.74,1587700,0.0,0
2019-02-07,76.74,77.64,76.41,77.63,1871900,0.67,0
2019-02-08,77.33,78.26,77.19,78.19,1970300,0.0,0
2019-02-11,77.97,78.63,77.97,78.26,3914300,0.0,0
2019-02-12,78.36,79.0,77.69,78.46,2470300,0.0,0
2019-02-13,78.25,78.33,77.32,77.73,2779400,0.0,0
2019-02-14,77.96,78.11,77.4,77.53,2122400,0.0,0
2019-02-15,77.83,78.13,77.21,77.45,2740400,0.0,0
2019-02-19,77.66,78.38,77.32,78.25,2168300,0.0,0
2019-02-20,78.0,78.9,77.78,78.68,2218100,0.0,0
2019-02-21,78.36,79.46,78.2,79.29,1997300,0.0,0
2019-02-22,79.41,79.89,78.98,79.85,1828700,0.0,0
2019-02-25,79.72,79.85,78.54,78.93,3216800,0.0,0
2019-02-26,79.11,79.11,78.08,78.58,2083700,0.0,0
2019-02-27,78.27,78.84,78.12,78.78,1567000,0.0,0
2019-02-28,78.85,79.49,78.52,79.29,2523400,0.0,0
2019-03-01,79.25,79.6,78.77,79.54,2945100,0.0,0
2019-03-04,79.88,79.94,78.83,79.56,3054500,0.0,0
2019-03-05,79.45,79.53,78.81,79.17,2258900,0.0,0
2019-03-06,79.28,79.68,79.0,79.4,1892400,0.0,0
2019-03-07,79.73,80.32,79.41,79.58,2115400,0.0,0
2019-03-08,79.82,80.11,79.08,80.07,1721100,0.0,0
2019-03-11,80.23,80.71,80.07,80.71,3831400,0.0,0
2019-03-12,81.09,81.51,80.68,81.21,2371600,0.0,0
2019-03-13,81.1,81.49,81.06,81.28,1781300,0.0,0
2019-03-14,81.25,81.81,80.78,81.08,2915400,0.0,0
2019-03-15,81.29,82.34,81.11,81.89,9901400,0.0,0
2019-03-18,81.88,81.94,81.15,81.57,3371900,0.0,0
2019-03-19,81.43,81.53,80.2,80.67,3855800,0.0,0
2019-03-20,81.03,81.67,80.53,80.97,3322800,0.0,0
2019-03-21,80.99,82.41,80.85,82.16,3243400,0.0,0
2019-03-22,82.64,83.75,82.41,83.19,3595300,0.0,0
2019-03-25,83.31,83.68,82.97,83.37,2383800,0.0,0
2019-03-26,83.41,84.03,83.24,84.01,2166400,0.0,0
2019-03-27,84.06,84.13,82.9,83.28,3297400,0.0,0
2019-03-28,83.27,83.65,81.87,81.87,4990000,0.0,0
2019-03-29,81.69,81.98,81.37,81.83,4625700,0.0,0
2019-04-01,81.98,82.04,80.42,80.92,4769700,0.0,0
2019-04-02,81.31,81.37,80.47,81.18,3306400,0.0,0
2019-04-03,81.14,81.35,80.35,81.01,2771300,0.0,0
2019-04-04,81.35,81.35,80.27,80.73,2401200,0.0,0
2019-04-05,80.92,81.68,80.6,81.66,2194600,0.0,0
