Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,65.16,65.87,62.49,62.92,1716600,0.0,0
2019-02-06,63.04,64.84,62.69,63.67,884100,0.0,0
2019-02-07,63.61,63.9,62.25,62.83,875300,0.0,0
2019-02-08,62.23,62.8,61.57,62.28,686800,0.0,0
2019-02-11,62.42,62.78,61.89,62.61,409400,0.0,0
2019-02-12,63.11,64.3,63.05,63.9,490000,0.0,0
2019-02-13,64.02,64.59,63.77,64.09,479500,0.0,0
2019-02-14,63.71,64.3,63.39,63.75,674900,0.15,0
2019-02-15,63.72,64.92,63.51,64.33,541600,0.0,0
2019-02-19,64.06,65.07,64.01,64.63,630500,0.0,0
2019-02-20,64.49,65.51,64.33,65.33,459000,0.0,0
2019-02-21,65.49,66.71,64.87,65.97,604800,0.0,0
2019-02-22,66.0,66.67,66.0,66.51,335300,0.0,0
2019-02-25,66.89,68.1,66.79,67.73,769300,0.0,0
2019-02-26,67.31,67.68,66.74,66.74,550600,0.0,0
2019-02-27,66.75,67.3,66.46,67.17,574600,0.0,0
2019-02-28,67.18,67.54,66.77,67.13,665400,0.0,0
2019-03-01,67.59,68.21,67.57,68.0,513600,0.0,0
2019-03-04,68.19,68.85,67.8,68.21,797600,0.0,0
2019-03-05,68.15,68.51,67.72,67.83,509400,0.0,0
2019-03-06,67.68,68.03,66.59,66.69,658900,0.0,0
2019-03-07,66.37,66.57,65.36,65.87,459800,0.0,0
2019-03-08,65.12,65.85,64.61,65.53,780800,0.0,0
2019-03-11,65.47,66.32,65.33,66.26,471300,0.0,0
2019-03-12,66.38,66.58,65.87,66.18,281900,0.0,0
2019-03-13,65.49,66.83,65.49,66.32,495400,0.0,0
2019-03-14,65.98,66.5,65.02,65.54,453400,0.0,0
2019-03-15,65.67,66.5,65.67,66.14,753200,0.0,0
2019-03-18,66.34,67.29,66.02,67.23,396000,0.0,0
2019-03-19,67.55,67.99,67.11,67.3,482500,0.0,0
2019-03-20,67.05,68.07,66.69,67.51,469200,0.0,0
2019-03-21,67.05,68.28,67.05,68.17,620900,0.0,0
2019-03-22,67.92,68.4,66.64,66.95,1008200,0.0,0
2019-03-25,67.2,68.45,67.19,67.87,589000,0.0,0
2019-03-26,67.39,68.32,66.98,67.45,666200,0.0,0
2019-03-27,67.74,68.31,67.23,68.15,445500,0.0,0
2019-03-28,68.32,68.62,67.66,68.44,250900,0.0,0
2019-03-29,69.08,69.2,68.55,69.09,493700,0.0,0
2019-04-01,69.84,70.11,69.39,69.97,549400,0.0,0
2019-04-02,69.97,70.14,69.32,70.08,374800,0.0,0
2019-04-03,70.73,70.85,69.96,70.19,568600,0.0,0
2019-04-04,70.09,70.97,69.96,70.5,441900,0.0,0
2019-04-05,70.86,70.99,70.41,70.71,417000,0.0,0
2019-04-08,70.54,71.14,70.25,70.98,439400,0.0,0
2019-04-09,70.52,70.68,69.14,69.36,661400,0.0,0
2019-04-10,69.57,69.9,68.74,69.72,578200,0.0,0
2019-04-11,69.98,70.84,69.64,70.7,461800,0.0,0
2019-04-12,71.48,71.52,70.53,71.48,515000,0.0,0
2019-04-15,71.44,71.52,70.69,70.93,534000,0.0,0
2019-04-16,71.46,72.04,70.31,71.82,492100,0.0,0
2019-04-17,72.02,72.47,71.92,72.09,459000,0.0,0
2019-04-18,72.38,72.73,71.96,72.07,489600,0.0,0
2019-04-22,71.69,72.35,71.69,72.1,400200,0.0,0
2019-04-23,72.2,72.44,71.22,71.35,608700,0.0,0
2019-04-24,71.03,71.57,70.72,71.1,357700,0.0,0
2019-04-25,70.63,70.63,69.11,69.16,420100,0.0,0
2019-04-26,69.21,70.41,69.21,70.4,892400,0.0,0
