Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,138.3,139.43,134.87,135.37,5179500,0.0,0
2019-02-06,135.26,136.69,134.02,134.36,2144100,0.0,0
2019-02-07,134.53,134.53,129.5,129.91,2985900,0.0,0
2019-02-08,129.02,129.94,127.86,129.56,3317600,0.0,0
2019-02-11,129.6,132.35,129.19,132.16,2174300,0.0,0
2019-02-12,133.11,137.32,132.75,136.15,2868500,0.0,0
2019-02-13,136.11,138.53,135.57,137.65,3118900,0.0,0
2019-02-14,137.43,137.57,135.96,136.74,1782600,0.74,0
2019-02-15,138.08,138.24,136.4,137.13,2996200,0.0,0
2019-02-19,136.67,137.51,135.84,136.04,1849500,0.0,0
2019-02-20,135.98,139.19,135.98,138.38,2527100,0.0,0
2019-02-21,138.24,138.46,134.09,134.7,1688900,0.0,0
2019-02-22,134.6,135.83,133.61,134.8,1780700,0.0,0
2019-02-25,135.29,136.26,134.22,134.3,2561700,0.0,0
2019-02-26,134.77,136.51,134.53,134.71,2921500,0.0,0
2019-02-27,135.56,136.56,133.8,134.05,1816000,0.0,0
2019-02-28,134.19,136.1,133.92,135.79,1669000,0.0,0
2019-03-01,136.52,138.86,136.12,138.76,2328300,0.0,0
2019-03-04,139.61,141.18,136.24,137.18,2698400,0.0,0
2019-03-05,137.39,139.21,135.39,138.21,1773600,0.0,0
2019-03-06,138.54,139.02,135.38,135.6,3088800,0.0,0
2019-03-07,133.99,142.89,133.99,141.01,5747500,0.0,0
2019-03-08,140.01,143.43,138.49,143.04,3994600,0.0,0
2019-03-11,143.38,145.4,141.76,144.6,3607200,0.0,0
2019-03-12,144.6,149.5,144.6,145.7,3362500,0.0,0
2019-03-13,146.28,149.73,145.48,148.38,2421000,0.0,0
2019-03-14,148.5,149.18,146.96,147.71,2198400,0.0,0
2019-03-15,147.28,149.84,146.66,149.14,3043300,0.0,0
2019-03-18,149.84,150.73,148.44,148.74,2204000,0.0,0
2019-03-19,148.74,152.62,148.74,151.95,3025100,0.0,0
2019-03-20,151.8,152.51,150.61,151.53,2375300,0.0,0
2019-03-21,151.24,153.35,150.19,151.39,1790000,0.0,0
2019-03-22,150.14,151.23,147.09,147.22,2288800,0.0,0
2019-03-25,146.81,147.53,143.81,144.3,3233500,0.0,0
2019-03-26,145.13,148.32,144.81,147.31,1934200,0.0,0
2019-03-27,147.28,147.77,145.01,145.17,1695000,0.0,0
2019-03-28,145.62,146.15,144.01,144.82,1496300,0.0,0
2019-03-29,145.02,145.25,143.32,144.37,1980900,0.0,0
2019-04-01,145.49,145.74,142.88,145.59,1892400,0.0,0
2019-04-02,145.94,146.88,144.16,144.22,1262300,0.0,0
2019-04-03,144.66,144.94,143.23,143.68,2236400,0.0,0
2019-04-04,144.46,147.76,144.35,147.27,2302300,0.0,0
2019-04-05,147.91,149.25,147.37,147.56,1641100,0.0,0
2019-04-08,148.07,148.66,147.29,148.4,1180200,0.0,0
2019-04-09,147.71,147.9,145.06,145.39,1224300,0.0,0
2019-04-10,145.45,145.87,143.08,144.07,1545500,0.0,0
2019-04-11,144.16,144.95,142.16,143.02,1693600,0.0,0
2019-04-12,143.7,144.73,142.35,142.93,1632600,0.0,0
2019-04-15,142.84,142.84,140.68,141.58,2364800,0.0,0
2019-04-16,142.67,145.25,142.02,143.39,1742100,0.0,0
2019-04-17,143.66,143.66,135.59,138.08,2854200,0.0,0
2019-04-18,138.21,139.32,134.87,138.36,2107900,0.0,0
2019-04-22,137.52,139.74,137.03,138.31,1156900,0.0,0
2019-04-23,138.55,141.03,137.09,140.19,2470800,0.0,0
2019-04-24,140.61,140.61,137.41,137.72,1864200,0.0,0
2019-04-25,137.22,140.03,136.58,139.52,1259100,0.0,0
2019-04-26,140.1,143.42,138.49,143.37,1460100,0.0,0
2019-04-29,142.98,144.57,142.07,144.26,1590100,0.0,0
2019-04-30,144.62,145.15,143.03,144.95,1348100,0.0,0
