Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,4.7112,4.7475,4.6297,4.7112,313600,0.0,0.0
2019-02-06,4.7112,4.7293,4.6659,4.7022,234400,0.0,0.0
2019-02-07,4.6931,4.8381,4.6387,4.829,432100,0.0,0.0
2019-02-08,4.7928,4.8562,4.6206,4.6387,357000,0.0,0.0
2019-02-11,4.6569,4.7384,4.6206,4.7112,321800,0.0,0.0
2019-02-12,4.7656,4.7746,4.6659,4.684,366900,0.0,0.0
2019-02-13,4.675,4.8018,4.6478,4.7837,346000,0.0,0.0
2019-02-14,4.7656,4.8471,4.7022,4.7565,377800,0.0,0.0
2019-02-15,4.7928,4.9105,4.7475,4.8834,317700,0.0,0.0
2019-02-19,4.8834,4.9015,4.7746,4.8109,350500,0.0,0.0
2019-02-20,4.8109,4.983,4.7928,4.9649,381200,0.0,0.0
2019-02-21,4.9649,4.983,4.9377,4.974,248400,0.0,0.0
2019-02-22,4.974,5.1008,4.9649,5.0736,327200,0.0,0.0
2019-02-25,5.1189,5.128,4.9196,4.9558,332700,0.0,0.0
2019-02-26,4.974,5.0011,4.829,4.8471,349200,0.0,0.0
2019-02-27,4.8471,4.8834,4.8018,4.8381,313900,0.0,0.0
2019-02-28,4.8471,4.9468,4.8109,4.8562,646600,0.0,0.0
2019-03-01,4.829,4.829,4.2854,4.3579,1293800,0.0,0.0
2019-03-04,4.3579,4.4938,4.3398,4.376,418800,0.0,0.0
2019-03-05,4.3941,4.5119,4.3126,4.4847,706700,0.0,0.0
2019-03-06,4.4847,4.5028,4.2945,4.3216,609600,0.0,0.0
2019-03-07,4.3488,4.376,4.1404,4.1495,1179400,0.0,0.0
2019-03-08,4.1586,4.2129,4.0951,4.2039,486100,0.0,0.0
2019-03-11,4.2039,4.2854,4.1767,4.231,352400,0.0,0.0
2019-03-12,4.2401,4.3307,4.2039,4.222,267600,0.0,0.0
2019-03-13,4.222,4.3035,4.222,4.2582,270500,0.0,0.0
2019-03-14,4.2582,4.2854,4.222,4.2763,291200,0.0,0.0
2019-03-15,4.2673,4.3398,4.2582,4.2582,2363300,0.0,0.0
2019-03-18,4.2854,4.3851,4.2582,4.3488,573600,0.0,0.0
2019-03-19,4.3488,4.3941,4.1767,4.1767,713800,0.0,0.0
2019-03-20,4.1948,4.2763,4.1314,4.1948,814700,0.0,0.0
2019-03-21,4.1948,4.3488,4.1857,4.3035,584800,0.0,0.0
2019-03-22,4.2854,4.3398,4.1404,4.1767,643300,0.0,0.0
2019-03-25,4.1857,4.3488,4.1676,4.2945,536600,0.0,0.0
2019-03-26,4.3398,4.4485,4.3307,4.4213,653300,0.0,0.0
2019-03-27,4.4032,4.53,4.3579,4.4938,719100,0.0,0.0
2019-03-28,4.523,4.6066,4.4951,4.6066,376600,0.12,0.0
2019-03-29,4.6344,4.653,4.393,4.4115,743400,0.0,0.0
2019-04-01,4.4673,4.6344,4.4394,4.588,782200,0.0,0.0
2019-04-02,4.5973,4.718,4.5601,4.6809,868400,0.0,0.0
2019-04-03,4.718,4.783,4.653,4.7737,609500,0.0,0.0
2019-04-04,4.7737,4.9223,4.7737,4.9223,467900,0.0,0.0
2019-04-05,4.9223,5.0524,4.9223,5.0152,329900,0.0,0.0
2019-04-08,4.9873,5.0988,4.9223,5.0802,459500,0.0,0.0
2019-04-09,5.0895,5.0988,4.783,4.8016,639400,0.0,0.0
2019-04-10,4.8202,4.8852,4.7923,4.8387,634800,0.0,0.0
2019-04-11,4.8295,4.913,4.7923,4.8202,382300,0.0,0.0
2019-04-12,4.848,4.848,4.6809,4.8109,442200,0.0,0.0
2019-04-15,4.8295,4.8666,4.6994,4.7923,368800,0.0,0.0
2019-04-16,4.8016,4.8016,4.7087,4.783,335600,0.0,0.0
2019-04-17,4.783,4.783,4.6716,4.7366,301000,0.0,0.0
2019-04-18,4.718,4.8387,4.6994,4.7923,298500,0.0,0.0
2019-04-22,4.8109,4.8109,4.6437,4.7273,463000,0.0,0.0
2019-04-23,4.7273,4.8573,4.653,4.8109,396800,0.0,0.0
2019-04-24,4.8109,4.9409,4.7737,4.9223,359900,0.0,0.0
2019-04-25,4.8852,4.9502,4.8109,4.9223,315800,0.0,0.0
2019-04-26,4.9409,5.0988,4.9223,5.0895,572900,0.0,0.0
2019-04-29,5.0709,5.2288,5.0616,5.1359,622400,0.0,0.0
2019-04-30,5.1545,5.2474,5.1081,5.1174,537400,0.0,0.0
2019-05-01,5.1359,5.2474,5.0895,5.2381,773400,0.0,0.0
2019-05-02,5.201,5.3774,5.1917,5.2753,640400,0.0,0.0
2019-05-03,5.201,5.4703,5.201,5.2567,553500,0.0,0.0
2019-05-06,5.1731,5.2753,5.1081,5.266,603200,0.0,0.0
2019-05-07,5.2288,5.2845,5.0524,5.1081,595700,0.0,0.0
2019-05-08,5.1359,5.1917,5.0895,5.0895,301900,0.0,0.0
2019-05-09,5.0616,5.1452,4.9873,5.1174,635700,0.0,0.0
2019-05-10,5.0988,5.1267,4.9966,5.0616,339800,0.0,0.0
2019-05-13,4.9873,5.0059,4.848,4.8666,605300,0.0,0.0
2019-05-14,4.8945,4.9409,4.8573,4.8945,453500,0.0,0.0
2019-05-15,4.848,4.9409,4.8202,4.9223,506200,0.0,0.0
2019-05-16,4.9223,5.0802,4.8945,5.0338,325600,0.0,0.0
2019-05-17,4.9873,5.0152,4.8388,4.913,279900,0.0,0.0
2019-05-20,4.8573,4.8759,4.7366,4.7459,409700,0.0,0.0
2019-05-21,4.7552,4.7923,4.6994,4.7459,412900,0.0,0.0
2019-05-22,4.718,4.7644,4.6716,4.6902,370000,0.0,0.0
2019-05-23,4.6623,4.6623,4.5508,4.588,453700,0.0,0.0
2019-05-24,4.6251,4.6623,4.4951,4.588,391900,0.0,0.0
2019-05-28,4.5787,4.6159,4.4951,4.5323,567100,0.0,0.0
2019-05-29,4.4951,4.5044,4.3279,4.3465,429000,0.0,0.0
2019-05-30,4.3651,4.3744,4.1701,4.2072,438700,0.0,0.0
2019-05-31,4.1515,4.1793,4.0215,4.1422,883700,0.0,0.0
2019-06-03,4.1886,4.2351,3.9936,4.0958,727700,0.0,0.0
2019-06-04,4.1329,4.1793,4.0586,4.1515,508100,0.0,0.0
2019-06-05,4.1515,4.2258,4.1143,4.1608,376500,0.0,0.0
2019-06-06,4.1608,4.1608,3.8543,3.9007,1023400,0.0,0.0
2019-06-07,3.9286,4.04,3.845,3.9564,796100,0.0,0.0
2019-06-10,3.9936,4.1701,3.9843,4.1422,633000,0.0,0.0
2019-06-11,4.1701,4.2908,4.0772,4.1236,795300,0.0,0.0
2019-06-12,4.1329,4.1329,3.9936,3.9936,550500,0.0,0.0
2019-06-13,4.0215,4.0772,3.9564,3.9843,621900,0.0,0.0
2019-06-14,3.6778,3.6871,3.2134,3.3899,3446600,0.0,0.0
2019-06-17,3.3435,3.3435,3.1484,3.2413,2196000,0.0,0.0
2019-06-18,3.2413,3.2413,2.9348,3.102,2616800,0.0,0.0
2019-06-19,3.1113,3.1113,2.9441,2.9627,1384100,0.0,0.0
2019-06-20,3.037,3.0741,2.9534,2.9813,1371800,0.0,0.0
2019-06-21,2.9627,2.9906,2.8698,2.8698,4538200,0.0,0.0
2019-06-24,2.8791,2.8977,2.7212,2.7398,2130700,0.0,0.0
2019-06-25,2.7491,2.7955,2.6748,2.6748,1412000,0.0,0.0
2019-06-26,2.7212,2.7491,2.5726,2.5726,1558100,0.0,0.0
2019-06-27,2.6398,2.8012,2.6398,2.7727,1511400,0.06,0.0
2019-06-28,2.7822,2.8582,2.7442,2.8202,1831900,0.0,0.0
2019-07-01,2.8487,2.8772,2.6683,2.6683,1112700,0.0,0.0
2019-07-02,2.6683,2.7062,2.6398,2.6778,1056600,0.0,0.0
2019-07-03,2.6778,2.6967,2.6018,2.6398,906100,0.0,0.0
2019-07-05,2.6303,2.6967,2.6018,2.6303,817900,0.0,0.0
2019-07-08,2.6303,2.6588,2.4499,2.4688,1721000,0.0,0.0
