Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.59,48.08,47.23,47.83,1915900,0.0,0.0
2019-02-06,47.86,48.04,47.62,47.69,1279400,0.0,0.0
2019-02-07,47.53,47.98,47.39,47.72,2298700,0.0,0.0
2019-02-08,47.69,48.16,47.67,47.73,1586000,0.0,0.0
2019-02-11,47.78,48.07,47.61,47.73,1722800,0.0,0.0
2019-02-12,47.72,47.85,47.05,47.39,1624700,0.0,0.0
2019-02-13,47.24,47.95,47.15,47.83,1220400,0.0,0.0
2019-02-14,47.9,48.1,47.63,47.9,972400,0.0,0.0
2019-02-15,48.11,48.14,47.82,48.08,998600,0.0,0.0
2019-02-19,48.08,48.4,47.94,48.33,1260100,0.0,0.0
2019-02-20,48.25,48.25,47.38,47.64,2275400,0.0,0.0
2019-02-21,47.77,48.47,47.55,48.45,1125700,0.402164,1.0
2019-02-22,48.65,48.95,48.25,48.79,1283800,0.0,0.0
2019-02-25,48.59,48.64,47.92,48.09,1179400,0.0,0.0
2019-02-26,48.23,48.37,47.92,48.21,1142700,0.0,0.0
2019-02-27,47.95,48.2,47.64,47.81,1509100,0.0,0.0
2019-02-28,47.68,48.4,47.63,47.82,3467100,0.0,0.0
2019-03-01,47.83,48.0,47.33,47.94,1420500,0.0,0.0
2019-03-04,48.07,48.52,47.63,48.43,1180100,0.0,0.0
2019-03-05,48.34,48.72,48.29,48.31,1039400,0.0,0.0
2019-03-06,48.32,48.4,47.97,48.13,1646900,0.0,0.0
2019-03-07,48.18,48.69,47.97,48.2,928600,0.0,0.0
2019-03-08,48.17,48.67,48.01,48.29,956600,0.0,0.0
2019-03-11,48.42,48.76,48.19,48.69,1416800,0.0,0.0
2019-03-12,48.97,49.18,48.77,49.14,1540300,0.0,0.0
2019-03-13,49.28,49.51,49.14,49.17,930200,0.0,0.0
2019-03-14,49.32,49.63,49.11,49.61,1108000,0.0,0.0
2019-03-15,49.54,49.68,49.32,49.62,1830200,0.0,0.0
2019-03-18,49.56,49.73,48.4,48.66,1238400,0.0,0.0
2019-03-19,48.75,48.85,48.36,48.57,1091800,0.0,0.0
2019-03-20,48.6,48.93,48.1,48.41,1992700,0.0,0.0
2019-03-21,48.35,49.22,48.35,49.14,1546300,0.0,0.0
2019-03-22,49.16,49.6,48.82,48.84,1109000,0.0,0.0
2019-03-25,48.97,49.11,48.59,48.89,1332200,0.0,0.0
2019-03-26,48.94,49.27,48.85,49.26,879700,0.0,0.0
2019-03-27,49.28,49.42,48.81,49.26,987400,0.0,0.0
2019-03-28,49.43,49.48,49.02,49.36,1137100,0.0,0.0
2019-03-29,49.33,49.46,49.03,49.14,1549800,0.0,0.0
2019-04-01,49.14,49.19,48.5,49.09,809800,0.0,0.0
2019-04-02,49.16,49.77,48.81,49.67,1146000,0.0,0.0
2019-04-03,49.65,49.94,49.24,49.77,1154500,0.0,0.0
2019-04-04,49.81,49.81,49.17,49.38,667000,0.0,0.0
2019-04-05,49.34,49.68,49.21,49.61,608200,0.0,0.0
2019-04-08,49.68,49.71,49.21,49.5,656100,0.0,0.0
2019-04-09,49.5,49.55,49.22,49.32,827600,0.0,0.0
2019-04-10,49.55,49.87,49.43,49.66,1620200,0.0,0.0
2019-04-11,49.64,49.98,49.31,49.55,1365200,0.0,0.0
2019-04-12,49.5,49.92,49.14,49.86,1134900,0.0,0.0
2019-04-15,49.93,50.08,49.53,49.73,1155500,0.0,0.0
2019-04-16,49.74,49.88,48.19,48.27,1113700,0.0,0.0
2019-04-17,48.37,48.37,47.19,47.22,1290700,0.0,0.0
2019-04-18,47.2,47.65,47.12,47.48,1398200,0.0,0.0
2019-04-22,47.4,47.46,46.47,46.76,1424200,0.0,0.0
2019-04-23,47.01,47.79,46.9,47.65,983900,0.0,0.0
2019-04-24,47.86,48.28,47.7,48.1,648300,0.0,0.0
2019-04-25,47.88,48.31,47.77,48.07,541500,0.0,0.0
2019-04-26,48.25,48.53,47.98,48.38,547700,0.0,0.0
2019-04-29,48.31,48.5,47.68,47.71,717000,0.0,0.0
2019-04-30,47.7,48.28,47.45,48.24,1301800,0.0,0.0
2019-05-01,48.42,48.79,48.05,48.22,947300,0.0,0.0
2019-05-02,48.2,48.65,47.8,47.94,1054600,0.0,0.0
2019-05-03,47.94,48.96,47.86,48.91,1996900,0.0,0.0
2019-05-06,48.68,48.92,48.52,48.63,981300,0.0,0.0
2019-05-07,48.51,48.73,47.71,47.96,1037600,0.0,0.0
2019-05-08,48.09,48.4,47.83,47.99,914000,0.0,0.0
2019-05-09,47.9,48.34,47.77,48.28,1233300,0.0,0.0
2019-05-10,48.27,48.89,48.12,48.75,745100,0.0,0.0
2019-05-13,48.34,48.8,48.25,48.71,945200,0.0,0.0
2019-05-14,48.68,48.9,48.44,48.61,1002300,0.0,0.0
2019-05-15,48.59,49.03,48.44,48.93,640400,0.0,0.0
2019-05-16,48.89,49.55,48.78,49.51,886700,0.39,0.0
2019-05-17,49.29,49.71,49.02,49.65,796000,0.0,0.0
2019-05-20,49.68,49.68,48.64,48.88,519600,0.0,0.0
2019-05-21,48.97,49.64,48.95,49.57,776200,0.0,0.0
2019-05-22,49.57,49.73,49.36,49.72,411900,0.0,0.0
2019-05-23,49.63,50.23,49.52,50.22,973600,0.0,0.0
2019-05-24,50.38,50.56,50.12,50.27,1557000,0.0,0.0
2019-05-28,50.67,50.67,49.52,49.52,1673100,0.0,0.0
2019-05-29,49.59,49.62,48.49,48.57,1609900,0.0,0.0
2019-05-30,48.56,49.14,48.41,48.84,721100,0.0,0.0
2019-05-31,48.69,49.46,48.51,49.2,1032200,0.0,0.0
2019-06-03,49.38,49.45,48.9,49.24,794700,0.0,0.0
2019-06-04,49.28,49.37,48.57,49.22,1067600,0.0,0.0
2019-06-05,49.49,50.38,49.29,50.38,600100,0.0,0.0
2019-06-06,50.44,50.93,50.25,50.83,686100,0.0,0.0
2019-06-07,51.08,51.21,50.48,50.48,642300,0.0,0.0
