Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,95.93,96.05,95.04,95.97,608100,0.0,0
2019-02-06,95.53,96.18,95.03,95.8,499300,0.0,0
2019-02-07,95.39,95.68,93.88,95.21,458300,0.0,0
2019-02-08,94.95,95.54,93.83,95.04,279300,0.0,0
2019-02-11,95.14,95.53,94.24,95.41,296200,0.0,0
2019-02-12,96.12,97.09,95.91,96.61,434000,0.0,0
2019-02-13,96.18,100.6,94.54,95.8,1478300,0.0,0
2019-02-14,95.49,95.73,94.01,95.04,546900,0.0,0
2019-02-15,95.85,96.95,95.69,96.1,543400,0.0,0
2019-02-19,96.08,96.31,95.41,96.12,419200,0.0,0
2019-02-20,96.25,97.41,95.9,96.7,550300,0.0,0
2019-02-21,96.89,97.06,95.61,96.06,567500,0.0,0
2019-02-22,96.57,97.1,96.12,96.81,240700,0.6,0
2019-02-25,97.27,98.41,96.6,97.52,444100,0.0,0
2019-02-26,97.32,98.73,97.29,97.89,564300,0.0,0
2019-02-27,97.73,99.31,97.56,99.3,503200,0.0,0
2019-02-28,99.43,101.68,99.43,101.39,602600,0.0,0
2019-03-01,102.13,102.69,101.01,102.52,461500,0.0,0
2019-03-04,103.05,103.3,101.62,102.17,470100,0.0,0
2019-03-05,101.94,102.51,100.84,101.61,665200,0.0,0
2019-03-06,101.2,101.61,99.5,99.6,557400,0.0,0
2019-03-07,99.44,99.62,98.07,98.79,428000,0.0,0
2019-03-08,98.09,98.77,97.8,98.41,374800,0.0,0
2019-03-11,98.86,99.63,98.46,99.26,337300,0.0,0
2019-03-12,99.59,99.79,98.86,99.44,420800,0.0,0
2019-03-13,99.72,100.46,99.54,99.71,508700,0.0,0
2019-03-14,95.74,98.17,95.12,96.68,1114900,0.0,0
2019-03-15,96.56,97.61,96.09,97.2,1838000,0.0,0
2019-03-18,97.27,99.09,97.17,98.15,778900,0.0,0
2019-03-19,97.02,97.4,95.41,95.49,6017000,0.0,0
2019-03-20,95.4,95.87,92.96,93.11,1833900,0.0,0
2019-03-21,92.95,95.03,92.95,94.39,1693200,0.0,0
2019-03-22,93.97,94.35,93.07,93.09,776200,0.0,0
2019-03-25,92.99,94.37,92.79,93.09,1149100,0.0,0
2019-03-26,93.51,94.51,92.87,93.89,672000,0.0,0
2019-03-27,93.89,94.86,93.5,93.52,624100,0.0,0
2019-03-28,93.57,94.1,92.54,93.3,694700,0.0,0
2019-03-29,93.61,93.93,92.93,93.44,709100,0.0,0
2019-04-01,93.85,94.86,93.85,94.66,537100,0.0,0
2019-04-02,94.8,94.8,93.48,93.97,471900,0.0,0
2019-04-03,94.76,94.93,93.3,93.97,444700,0.0,0
2019-04-04,93.94,94.55,93.8,94.42,465200,0.0,0
2019-04-05,94.4,94.9,93.82,94.38,428100,0.0,0
2019-04-08,94.5,94.6,93.51,93.95,335700,0.0,0
2019-04-09,93.36,93.57,92.43,92.85,507000,0.0,0
2019-04-10,93.06,93.25,92.25,93.0,524800,0.0,0
2019-04-11,93.25,94.2,92.87,93.96,360000,0.0,0
2019-04-12,94.86,95.48,93.9,94.35,460900,0.0,0
2019-04-15,94.34,94.95,93.35,93.47,340200,0.0,0
2019-04-16,93.95,94.54,93.4,93.74,499100,0.0,0
2019-04-17,94.01,94.01,92.57,92.6,584200,0.0,0
2019-04-18,92.54,93.23,91.72,91.78,383400,0.0,0
2019-04-22,91.43,91.68,90.41,90.56,646400,0.0,0
2019-04-23,90.64,91.74,90.41,91.62,993900,0.0,0
2019-04-24,91.52,92.15,91.09,91.41,965500,0.0,0
2019-04-25,91.12,91.47,90.47,90.88,368800,0.0,0
2019-04-26,90.88,92.1,90.88,92.06,300900,0.0,0
2019-04-29,92.32,93.3,92.17,92.89,415500,0.0,0
2019-04-30,92.99,93.6,92.73,93.53,559600,0.0,0
2019-05-01,93.58,93.9,92.58,92.67,384200,0.0,0
2019-05-02,92.89,93.57,91.92,92.95,393100,0.0,0
2019-05-03,93.26,93.53,92.48,93.11,330500,0.0,0
2019-05-06,91.69,92.75,91.47,92.5,474200,0.0,0
2019-05-07,95.18,97.44,94.27,94.69,1331000,0.0,0
2019-05-08,94.42,96.12,94.27,94.72,522900,0.0,0
2019-05-09,94.04,94.52,93.16,94.14,604500,0.0,0
2019-05-10,93.89,95.76,93.22,95.69,450600,0.0,0
2019-05-13,94.67,94.79,92.85,93.2,798100,0.0,0
2019-05-14,93.16,95.01,93.12,94.28,451600,0.0,0
2019-05-15,93.88,94.49,93.55,94.17,344100,0.0,0
2019-05-16,94.51,95.46,94.51,94.72,321300,0.0,0
2019-05-17,93.86,94.74,93.26,93.27,462400,0.0,0
2019-05-20,93.21,94.66,92.98,94.59,771500,0.0,0
2019-05-21,95.49,99.39,95.34,98.1,1004500,0.0,0
2019-05-22,97.66,98.76,97.45,98.7,697700,0.0,0
2019-05-23,98.11,98.66,97.32,98.66,1167000,0.0,0
2019-05-24,98.99,100.21,98.85,99.88,915700,0.6,0
