Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,75.71,77.11,75.25,76.93,1471800,0.0,0
2019-02-06,76.9,77.09,75.97,76.87,1699900,0.0,0
2019-02-07,76.4,76.51,75.45,76.47,1018900,0.0,0
2019-02-08,76.1,77.3,76.1,77.29,844500,0.0,0
2019-02-11,77.42,78.42,77.05,78.33,836600,0.0,0
2019-02-12,78.64,78.84,78.01,78.13,1278100,0.0,0
2019-02-13,78.21,78.62,77.85,77.99,934700,0.0,0
2019-02-14,77.47,78.08,77.04,77.34,1166600,0.0,0
2019-02-15,78.02,78.59,77.87,78.28,1028700,0.0,0
2019-02-19,78.1,78.9,77.84,78.8,906300,0.0,0
2019-02-20,79.03,79.13,78.62,78.92,811100,0.0,0
2019-02-21,79.01,79.18,78.71,79.07,963200,0.0,0
2019-02-22,79.32,79.51,78.73,79.03,981000,0.0,0
2019-02-25,79.32,79.47,78.67,78.77,662000,0.0,0
2019-02-26,78.6,78.98,78.31,78.33,756600,0.0,0
2019-02-27,78.11,78.95,77.88,78.95,866300,0.0,0
2019-02-28,79.11,79.37,78.77,79.14,1485300,0.43,0
2019-03-01,79.47,79.57,78.71,79.18,966100,0.0,0
2019-03-04,79.27,79.41,78.04,78.49,957700,0.0,0
2019-03-05,78.66,79.32,78.29,78.86,1700700,0.0,0
2019-03-06,78.94,78.98,77.71,77.76,1031800,0.0,0
2019-03-07,77.68,77.68,76.65,77.12,1189300,0.0,0
2019-03-08,76.68,76.86,76.12,76.8,812800,0.0,0
2019-03-11,77.09,77.91,76.77,77.91,1442200,0.0,0
2019-03-12,78.2,78.41,77.81,77.94,1096500,0.0,0
2019-03-13,78.19,78.48,77.82,77.93,866300,0.0,0
2019-03-14,77.91,78.47,77.73,78.46,852800,0.0,0
2019-03-15,78.32,79.19,78.19,79.14,4188400,0.0,0
2019-03-18,78.96,79.28,78.23,78.4,1617700,0.0,0
2019-03-19,78.44,78.68,77.85,78.1,1045400,0.0,0
2019-03-20,77.81,78.34,76.68,76.71,1131700,0.0,0
2019-03-21,76.4,77.94,76.4,77.78,795300,0.0,0
2019-03-22,77.29,78.05,77.2,77.76,992300,0.0,0
2019-03-25,77.92,78.01,77.32,77.48,657500,0.0,0
2019-03-26,77.92,78.19,77.34,77.57,876100,0.0,0
2019-03-27,77.45,77.75,76.75,77.11,939300,0.0,0
2019-03-28,77.11,77.42,75.56,76.03,1976200,0.0,0
2019-03-29,76.45,77.06,76.25,76.99,1856000,0.0,0
2019-04-01,77.63,77.98,77.24,77.9,1019400,0.0,0
2019-04-02,78.02,78.18,77.45,77.45,649000,0.0,0
2019-04-03,77.84,77.84,77.06,77.25,794800,0.0,0
2019-04-04,77.44,77.66,77.01,77.55,687300,0.0,0
2019-04-05,77.51,77.68,76.98,77.18,1124300,0.0,0
2019-04-08,77.16,77.2,76.72,76.85,847800,0.0,0
2019-04-09,76.66,76.93,76.47,76.87,1812500,0.0,0
2019-04-10,76.96,77.5,76.87,77.48,872300,0.0,0
2019-04-11,77.51,78.66,77.51,78.53,1329900,0.0,0
2019-04-12,79.01,79.59,78.87,79.37,909000,0.0,0
2019-04-15,79.35,79.58,78.98,79.46,681100,0.0,0
2019-04-16,79.6,79.91,79.48,79.75,670000,0.0,0
2019-04-17,79.89,79.89,78.12,79.12,1133900,0.0,0
2019-04-18,79.01,79.42,78.63,79.27,1030300,0.0,0
2019-04-22,78.94,79.06,78.54,79.04,751800,0.0,0
2019-04-23,79.22,80.48,79.15,80.42,1141400,0.0,0
2019-04-24,80.38,81.48,80.26,80.89,872300,0.0,0
2019-04-25,80.46,81.81,80.11,81.61,918000,0.0,0
2019-04-26,81.82,82.94,80.73,81.96,1369700,0.0,0
2019-04-29,82.14,82.7,81.68,81.77,1021600,0.0,0
2019-04-30,81.62,82.48,81.23,82.43,1139200,0.0,0
2019-05-01,82.28,82.31,80.95,81.15,972100,0.0,0
2019-05-02,81.21,81.78,80.72,81.71,755400,0.0,0
2019-05-03,81.87,82.28,81.3,81.95,586200,0.0,0
2019-05-06,81.05,82.92,81.05,82.37,670500,0.0,0
2019-05-07,81.91,82.27,80.65,81.09,638600,0.0,0
2019-05-08,80.8,81.83,80.71,81.51,924200,0.0,0
2019-05-09,81.02,81.41,80.23,81.05,869500,0.0,0
2019-05-10,80.77,82.36,80.42,82.28,620500,0.0,0
2019-05-13,81.39,82.15,80.4,80.78,892900,0.0,0
2019-05-14,80.69,81.89,80.69,81.3,877700,0.0,0
2019-05-15,80.94,82.06,80.9,81.53,664200,0.0,0
2019-05-16,81.83,82.91,81.8,82.6,847200,0.0,0
2019-05-17,81.95,82.9,81.82,82.16,780200,0.0,0
2019-05-20,82.04,82.41,81.71,82.1,1146800,0.0,0
2019-05-21,82.43,82.95,82.43,82.65,689500,0.0,0
2019-05-22,82.71,83.6,82.33,83.58,845500,0.0,0
2019-05-23,83.09,83.3,82.34,82.95,769700,0.0,0
2019-05-24,83.31,83.37,82.72,83.08,527000,0.0,0
2019-05-28,83.11,83.63,82.65,82.71,1121400,0.0,0
2019-05-29,82.63,82.89,82.07,82.84,526200,0.0,0
2019-05-30,83.07,83.47,82.81,83.28,861200,0.0,0
