Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,25.97,26.33,25.97,26.05,3187100,0.0,0
2019-02-06,26.09,26.22,25.91,25.99,3080100,0.0,0
2019-02-07,25.87,26.0,25.55,25.78,4130900,0.0,0
2019-02-08,25.56,25.84,25.39,25.84,4268500,0.0,0
2019-02-11,25.87,26.0,25.76,25.83,2563600,0.0,0
2019-02-12,25.98,26.4,25.98,26.22,2728000,0.0,0
2019-02-13,26.26,26.46,26.13,26.22,3212400,0.0,0
2019-02-14,26.18,26.24,26.0,26.01,3235700,0.0,0
2019-02-15,26.22,26.56,26.13,26.42,3385700,0.0,0
2019-02-19,26.27,26.7,26.23,26.6,2682500,0.0,0
2019-02-20,26.62,26.66,26.47,26.58,2386500,0.0,0
2019-02-21,26.57,26.62,26.37,26.42,3505000,0.0,0
2019-02-22,26.49,26.56,26.3,26.36,2261500,0.0,0
2019-02-25,26.44,26.53,25.83,25.86,4735400,0.0,0
2019-02-26,26.08,26.37,26.0,26.14,5020700,0.0,0
2019-02-27,26.11,26.21,25.96,26.05,2555400,0.0,0
2019-02-28,26.07,26.5,25.98,26.5,4178100,0.0,0
2019-03-01,26.65,26.82,26.31,26.44,2713000,0.0,0
2019-03-04,26.4,26.64,26.08,26.35,2335800,0.0,0
2019-03-05,26.26,26.35,26.01,26.12,2839100,0.0,0
2019-03-06,26.07,26.31,25.89,25.89,1586100,0.0,0
2019-03-07,25.86,25.86,25.45,25.56,3255300,0.0,0
2019-03-08,25.29,25.59,25.24,25.38,2989200,0.0,0
2019-03-11,25.55,25.94,25.55,25.85,2601600,0.0,0
2019-03-12,25.88,26.09,25.85,25.98,2815500,0.0,0
2019-03-13,26.14,26.37,26.08,26.26,2287800,0.0,0
2019-03-14,26.19,26.31,26.1,26.15,1912600,0.0,0
2019-03-15,26.11,26.56,26.11,26.42,3512800,0.0,0
2019-03-18,26.52,26.96,26.45,26.72,2427100,0.0,0
2019-03-19,26.81,26.81,26.23,26.27,2588500,0.0,0
2019-03-20,26.24,26.24,25.85,25.92,2926800,0.0,0
2019-03-21,25.72,26.07,25.44,26.0,2793200,0.0,0
2019-03-22,25.82,25.97,25.25,25.5,5499200,0.0,0
2019-03-25,25.52,25.78,25.33,25.55,3755500,0.0,0
2019-03-26,25.78,26.01,25.6,25.97,3649100,0.0,0
2019-03-27,26.0,26.47,26.0,26.35,4187800,0.0,0
2019-03-28,26.41,26.7,26.39,26.68,2752700,0.0,0
2019-03-29,26.9,26.97,26.73,26.89,3161800,0.0,0
2019-04-01,27.09,27.73,27.09,27.7,4964400,0.0,0
2019-04-02,28.07,28.09,27.73,27.9,3543700,0.0,0
2019-04-03,27.95,28.23,27.95,28.12,4800100,0.0,0
2019-04-04,28.11,28.2,27.92,28.16,3209900,0.0,0
2019-04-05,28.2,28.34,28.1,28.22,2311600,0.0,0
2019-04-08,28.08,28.36,28.02,28.35,2409800,0.0,0
2019-04-09,28.33,28.33,27.99,28.08,2024400,0.0,0
2019-04-10,28.16,28.56,28.16,28.52,2722500,0.0,0
2019-04-11,28.61,28.63,28.29,28.35,2999900,0.0,0
2019-04-12,28.69,28.9,28.31,28.86,5779600,0.0,0
2019-04-15,28.88,29.01,28.62,28.82,2659200,0.0,0
2019-04-16,28.9,28.9,28.49,28.63,4872600,0.0,0
2019-04-17,28.77,29.07,28.71,29.02,4297500,0.0,0
2019-04-18,29.42,29.54,28.85,29.08,3308000,0.0,0
2019-04-22,29.17,29.37,28.99,29.3,4231700,0.0,0
2019-04-23,29.3,29.33,29.07,29.11,4344500,0.0,0
2019-04-24,29.16,29.35,29.12,29.26,2420900,0.0,0
2019-04-25,29.14,29.46,29.07,29.13,3669900,0.0,0
2019-04-26,29.15,29.47,29.15,29.46,4069500,0.0,0
2019-04-29,29.44,29.61,29.26,29.32,3580700,0.0,0
2019-04-30,29.26,29.46,28.99,29.23,5032300,0.17,0
2019-05-01,29.31,29.49,29.25,29.25,3023800,0.0,0
