Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,85.32,86.45,81.51,82.3,749500,0,0
2019-02-06,81.92,83.07,80.77,81.76,955700,0,0
2019-02-07,81.57,82.65,80.11,80.8,1003000,0,0
2019-02-08,82.34,82.34,74.29,77.69,1637900,0,0
2019-02-11,78.0,80.86,76.88,80.81,746800,0,0
2019-02-12,81.14,83.96,79.95,83.83,592500,0,0
2019-02-13,84.55,85.69,83.66,84.39,694300,0,0
2019-02-14,84.31,84.74,82.85,83.03,398000,0,0
2019-02-15,83.34,83.76,82.02,83.53,542200,0,0
2019-02-19,83.57,85.33,80.23,80.38,789000,0,0
2019-02-20,80.6,81.3,77.35,77.75,744600,0,0
2019-02-21,77.36,78.37,75.25,76.21,816700,0,0
2019-02-22,76.32,78.42,76.21,78.18,610500,0,0
2019-02-25,78.79,81.71,78.55,81.62,513800,0,0
2019-02-26,81.2,82.58,80.5,81.7,634400,0,0
2019-02-27,81.4,85.2,81.04,85.0,689000,0,0
2019-02-28,84.89,86.21,83.04,85.0,679200,0,0
2019-03-01,85.71,85.99,84.9,85.37,537900,0,0
2019-03-04,86.05,86.4,82.66,85.0,717800,0,0
2019-03-05,88.16,90.33,87.35,88.31,849900,0,0
2019-03-06,85.46,87.12,83.03,84.75,2301000,0,0
2019-03-07,85.15,85.44,82.85,83.37,589400,0,0
2019-03-08,82.77,83.74,81.3,83.27,554000,0,0
2019-03-11,83.5,88.18,83.47,87.85,703300,0,0
2019-03-12,88.05,89.6,86.59,87.97,601800,0,0
2019-03-13,88.2,92.05,87.97,91.76,625600,0,0
2019-03-14,91.41,92.73,88.23,88.34,457300,0,0
2019-03-15,88.41,91.66,88.03,91.43,1096500,0,0
2019-03-18,91.68,92.43,88.75,90.24,622200,0,0
2019-03-19,90.4,90.92,87.99,88.63,428400,0,0
2019-03-20,88.62,90.0,86.69,88.68,520100,0,0
2019-03-21,88.13,91.33,87.91,90.74,511200,0,0
2019-03-22,90.07,90.45,84.29,84.52,764500,0,0
2019-03-25,84.27,85.92,82.52,84.17,506400,0,0
2019-03-26,84.98,87.41,84.28,87.14,528300,0,0
2019-03-27,87.46,88.2,84.67,86.35,625400,0,0
2019-03-28,86.53,91.09,86.33,90.61,717700,0,0
2019-03-29,90.19,93.95,90.19,93.45,1275000,0,0
2019-04-01,94.36,96.08,91.29,91.83,699400,0,0
2019-04-02,92.0,93.31,91.35,92.57,415200,0,0
2019-04-03,93.31,93.41,91.41,92.06,732700,0,0
2019-04-04,92.13,93.0,90.68,91.45,417700,0,0
2019-04-05,91.67,93.0,91.27,92.79,752200,0,0
2019-04-08,93.0,93.89,88.59,90.17,1025200,0,0
2019-04-09,90.99,91.6,88.6,88.91,900600,0,0
2019-04-10,89.81,92.47,89.59,90.89,650500,0,0
2019-04-11,91.25,91.92,87.02,88.1,854400,0,0
2019-04-12,89.36,90.25,88.12,89.81,787000,0,0
2019-04-15,91.23,92.9,87.39,88.53,720600,0,0
2019-04-16,88.96,90.74,88.43,88.56,450200,0,0
2019-04-17,89.08,89.74,83.58,84.89,867200,0,0
2019-04-18,85.06,86.23,79.79,82.07,1376400,0,0
2019-04-22,81.45,83.83,80.49,83.16,712800,0,0
2019-04-23,83.24,88.27,82.89,87.41,609800,0,0
2019-04-24,87.33,87.33,84.67,85.37,346800,0,0
