Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,38.18,38.58,37.91,38.42,13240200,0.0,0
2019-02-06,38.58,39.98,38.49,39.56,21058100,0.0,0
2019-02-07,39.02,39.6,38.85,39.2,13395500,0.0,0
2019-02-08,38.59,39.08,38.03,39.06,9891300,0.0,0
2019-02-11,39.25,39.47,38.62,39.18,9969500,0.0,0
2019-02-12,39.65,40.15,39.56,39.96,8911900,0.0,0
2019-02-13,40.22,40.5,39.99,40.11,10134200,0.0,0
2019-02-14,39.97,40.48,39.78,39.98,13938400,0.0,0
2019-02-15,39.28,39.48,37.9,38.4,22396300,0.0,0
2019-02-19,38.3,39.0,38.3,38.59,12353100,0.0,0
2019-02-20,38.64,38.85,38.38,38.49,9575900,0.2,0
2019-02-21,38.49,38.75,38.03,38.33,7178800,0.0,0
2019-02-22,38.39,38.93,38.3,38.92,8149300,0.0,0
2019-02-25,39.4,39.56,39.11,39.15,8064800,0.0,0
2019-02-26,39.02,39.35,38.97,39.07,6159300,0.0,0
2019-02-27,38.79,38.81,37.8,38.28,14038500,0.0,0
2019-02-28,37.98,38.11,37.43,37.84,9785100,0.0,0
2019-03-01,38.16,38.43,37.57,38.06,7852900,0.0,0
2019-03-04,38.46,39.66,37.91,38.57,20810700,0.0,0
2019-03-05,38.67,38.74,38.26,38.42,12449100,0.0,0
2019-03-06,38.38,38.43,37.17,37.58,12557800,0.0,0
2019-03-07,37.46,37.46,36.57,37.08,9831700,0.0,0
2019-03-08,36.36,37.35,36.32,37.25,8174400,0.0,0
2019-03-11,37.46,38.39,37.32,38.01,7199500,0.0,0
2019-03-12,38.2,38.52,37.82,38.21,6267600,0.0,0
2019-03-13,38.43,38.59,38.06,38.1,6404400,0.0,0
2019-03-14,38.2,39.31,38.2,38.42,9491100,0.0,0
2019-03-15,38.84,40.5,38.79,39.87,23021500,0.0,0
2019-03-18,39.89,40.18,39.39,39.48,7670800,0.0,0
2019-03-19,39.68,40.21,39.65,39.85,7134500,0.0,0
2019-03-20,39.86,40.09,38.85,39.06,7772400,0.0,0
2019-03-21,39.27,41.45,39.26,40.79,13135700,0.0,0
2019-03-22,40.51,40.68,39.29,39.34,9468300,0.0,0
2019-03-25,39.18,39.61,38.56,38.89,6710200,0.0,0
2019-03-26,39.31,39.95,38.68,39.12,8138100,0.0,0
2019-03-27,39.16,39.39,38.07,38.42,7737600,0.0,0
2019-03-28,38.42,38.69,37.74,38.01,8298300,0.0,0
2019-03-29,38.55,39.33,38.49,39.15,9221500,0.0,0
2019-04-01,39.78,40.64,39.69,40.6,11731000,0.0,0
2019-04-02,40.47,40.69,40.08,40.46,8688600,0.0,0
2019-04-03,41.12,42.45,41.08,41.88,13204800,0.0,0
2019-04-04,41.52,42.27,41.47,42.07,8472800,0.0,0
2019-04-05,42.44,42.83,42.14,42.48,8502800,0.0,0
2019-04-08,42.37,42.45,41.56,42.36,6314200,0.0,0
2019-04-09,42.0,42.05,41.12,41.47,7412500,0.0,0
2019-04-10,41.37,41.79,41.19,41.62,5442400,0.0,0
2019-04-11,41.88,42.38,41.74,41.92,6577500,0.0,0
2019-04-12,42.44,42.8,42.22,42.43,4923500,0.0,0
2019-04-15,42.2,42.57,41.78,42.16,5739300,0.0,0
2019-04-16,42.54,43.58,42.49,43.15,9881100,0.0,0
2019-04-17,43.77,43.95,43.0,43.32,8290900,0.0,0
2019-04-18,43.44,43.7,43.22,43.38,6122100,0.0,0
2019-04-22,43.29,43.41,42.71,43.22,4672200,0.0,0
2019-04-23,43.23,43.42,42.84,43.26,6703900,0.0,0
2019-04-24,43.34,45.05,43.31,43.88,10613300,0.0,0
2019-04-25,44.57,45.16,43.73,43.87,9547000,0.0,0
2019-04-26,43.03,44.13,42.77,44.08,7203900,0.0,0
2019-04-29,43.99,44.33,43.63,43.67,5847300,0.0,0
2019-04-30,43.58,44.0,43.15,43.5,10447200,0.0,0
2019-05-01,43.47,44.09,42.82,42.82,9388100,0.0,0
2019-05-02,42.62,43.68,42.3,43.13,12709000,0.0,0
2019-05-03,43.46,43.58,43.04,43.39,7375400,0.0,0
2019-05-06,41.86,42.59,41.25,42.55,11824300,0.0,0
2019-05-07,41.71,41.87,40.67,41.5,9898300,0.0,0
2019-05-08,41.16,41.65,40.72,41.04,7709200,0.0,0
2019-05-09,40.24,40.66,39.33,40.41,11580600,0.0,0
2019-05-10,40.29,40.66,39.27,40.27,9025500,0.0,0
2019-05-13,38.75,39.13,38.17,38.58,10724700,0.0,0
2019-05-14,39.02,39.87,38.89,39.49,8370100,0.0,0
2019-05-15,39.89,41.32,39.59,40.96,12051000,0.0,0
2019-05-16,40.76,41.64,40.43,41.12,11932500,0.0,0
2019-05-17,42.79,43.78,42.02,42.15,20218200,0.0,0
2019-05-20,41.26,42.21,39.7,39.83,21371800,0.0,0
2019-05-21,40.65,40.82,40.29,40.73,8949900,0.0,0
2019-05-22,40.43,40.56,39.83,40.17,5897500,0.21,0
2019-05-23,39.34,39.76,38.84,39.62,8459800,0.0,0
2019-05-24,39.95,40.08,39.14,39.19,8541800,0.0,0
