Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,63.06,64.79,63.06,63.9,448800,0,0
2019-02-06,64.04,64.3,62.73,62.81,488300,0,0
2019-02-07,62.42,62.91,61.44,62.15,429500,0,0
2019-02-08,61.73,62.36,61.54,62.15,362300,0,0
2019-02-11,62.21,62.27,60.71,61.64,449600,0,0
2019-02-12,61.97,62.54,61.08,61.16,408500,0,0
2019-02-13,61.25,62.82,60.9,62.75,550900,0,0
2019-02-14,62.66,64.09,62.38,63.04,429700,0,0
2019-02-15,63.42,64.68,63.25,64.46,437400,0,0
2019-02-19,64.45,64.88,63.94,64.11,479400,0,0
2019-02-20,63.96,64.93,63.72,64.51,510600,0,0
2019-02-21,64.7,64.7,63.42,63.74,655300,0,0
2019-02-22,63.38,64.9,62.67,63.76,538800,0,0
2019-02-25,64.01,64.24,63.11,63.23,712100,0,0
2019-02-26,62.81,63.12,61.18,62.45,786400,0,0
2019-02-27,61.99,63.74,61.26,63.58,1211600,0,0
2019-02-28,64.4,68.42,63.67,65.71,2081000,0,0
2019-03-01,66.66,68.27,65.91,66.39,779700,0,0
2019-03-04,66.54,66.54,62.26,62.38,984500,0,0
2019-03-05,62.25,63.0,61.51,62.84,566700,0,0
2019-03-06,62.65,63.51,62.11,63.1,613500,0,0
2019-03-07,63.1,63.49,61.95,62.04,582100,0,0
2019-03-08,61.72,62.39,61.4,62.39,315700,0,0
2019-03-11,62.0,62.0,60.1,61.25,663500,0,0
2019-03-12,61.15,62.1,60.51,61.94,628700,0,0
2019-03-13,62.32,62.32,58.44,58.98,1637900,0,0
2019-03-14,58.95,60.01,58.46,59.75,829800,0,0
2019-03-15,59.87,60.21,58.94,59.49,1071600,0,0
2019-03-18,59.31,59.89,58.5,59.06,1007200,0,0
2019-03-19,59.15,59.53,57.59,57.79,587300,0,0
2019-03-20,57.76,58.2,56.02,56.73,1039000,0,0
2019-03-21,56.58,57.73,56.25,57.47,806500,0,0
2019-03-22,57.39,57.39,55.85,56.32,637300,0,0
2019-03-25,56.78,57.26,55.53,55.97,463400,0,0
2019-03-26,56.09,57.39,55.82,57.0,1554900,0,0
2019-03-27,57.18,57.68,56.55,56.91,657500,0,0
2019-03-28,56.98,57.25,56.59,56.91,366800,0,0
2019-03-29,57.23,57.36,56.41,56.76,696100,0,0
2019-04-01,57.24,58.04,56.78,57.33,646900,0,0
2019-04-02,57.45,57.75,56.76,56.95,482600,0,0
2019-04-03,57.23,58.25,56.76,57.47,470600,0,0
2019-04-04,57.64,58.7,57.38,57.93,456600,0,0
2019-04-05,58.27,59.0,58.0,58.25,474400,0,0
2019-04-08,58.15,59.06,57.43,58.78,640700,0,0
2019-04-09,58.71,59.25,58.09,58.96,399200,0,0
2019-04-10,58.97,60.2,58.77,59.61,561800,0,0
2019-04-11,59.78,60.99,59.3,59.64,573400,0,0
2019-04-12,59.95,60.68,59.22,60.05,490200,0,0
2019-04-15,59.85,60.89,59.54,60.27,658400,0,0
2019-04-16,60.44,60.87,59.9,60.08,515600,0,0
2019-04-17,60.25,60.75,59.97,60.73,338700,0,0
2019-04-18,60.74,61.13,60.15,60.49,266600,0,0
2019-04-22,60.33,60.33,58.19,58.61,360500,0,0
2019-04-23,58.77,59.41,58.61,58.65,421000,0,0
2019-04-24,58.16,59.56,57.74,59.33,435100,0,0
2019-04-25,59.48,59.48,58.14,58.66,515800,0,0
2019-04-26,58.95,59.82,58.82,59.77,442600,0,0
2019-04-29,60.0,60.63,59.97,60.33,729900,0,0
2019-04-30,60.17,60.28,57.91,58.41,759400,0,0
2019-05-01,59.0,59.62,56.6,58.9,1291400,0,0
2019-05-02,57.05,58.98,55.58,57.36,1150700,0,0
2019-05-03,57.6,57.65,55.74,56.26,759700,0,0
2019-05-06,55.54,57.45,55.4,57.15,769900,0,0
2019-05-07,56.92,57.49,55.85,56.22,601900,0,0
2019-05-08,56.11,57.0,55.81,55.96,470400,0,0
2019-05-09,55.9,56.45,54.86,55.62,883700,0,0
2019-05-10,55.59,56.15,54.82,55.82,451700,0,0
2019-05-13,55.0,55.42,53.47,54.39,1312700,0,0
2019-05-14,54.75,55.0,53.99,54.05,1218100,0,0
2019-05-15,53.63,54.69,53.51,54.34,967900,0,0
2019-05-16,54.52,55.66,54.04,55.05,648100,0,0
2019-05-17,54.6,55.61,54.6,55.45,593600,0,0
2019-05-20,55.53,55.66,54.95,55.37,916400,0,0
2019-05-21,55.57,55.98,55.24,55.3,335300,0,0
2019-05-22,54.97,55.37,54.52,55.05,471900,0,0
2019-05-23,54.55,55.36,54.02,54.43,589300,0,0
2019-05-24,54.62,55.05,54.26,54.46,506600,0,0
2019-05-28,54.49,55.26,54.21,54.25,295000,0,0
2019-05-29,53.91,54.17,52.73,52.83,524700,0,0
2019-05-30,53.02,54.34,52.9,53.56,647300,0,0
2019-05-31,53.13,53.8,52.51,52.77,838700,0,0
2019-06-03,53.79,54.51,52.78,54.38,769200,0,0
2019-06-04,54.76,55.56,54.31,55.29,455700,0,0
2019-06-05,55.38,55.87,54.22,54.6,677800,0,0
2019-06-06,54.43,55.02,54.05,54.82,511200,0,0
2019-06-07,55.12,55.55,54.58,55.24,354200,0,0
2019-06-10,55.53,55.89,54.27,54.63,307800,0,0
2019-06-11,54.96,55.18,54.08,54.59,627400,0,0
2019-06-12,54.49,55.13,54.18,54.42,420800,0,0
2019-06-13,54.5,55.41,54.1,55.3,417800,0,0
2019-06-14,55.2,55.22,54.56,54.78,366000,0,0
2019-06-17,54.75,55.61,54.56,55.08,389800,0,0
2019-06-18,55.23,56.04,54.9,55.03,407600,0,0
2019-06-19,55.12,56.13,54.81,55.95,343900,0,0
2019-06-20,56.25,56.44,55.54,55.78,365100,0,0
2019-06-21,55.69,56.3,55.05,56.03,790400,0,0
2019-06-24,55.81,55.92,54.51,55.0,296900,0,0
