Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,74.63,75.84,73.57,74.42,3157600,0.0,0
2019-02-06,74.27,75.67,74.09,74.15,2137500,0.0,0
2019-02-07,73.68,74.63,73.58,74.63,1903800,0.0,0
2019-02-08,73.94,75.33,73.94,75.28,1786000,0.0,0
2019-02-11,75.25,75.64,75.23,75.57,1450900,0.0,0
2019-02-12,76.08,77.4,75.95,76.85,1929400,0.0,0
2019-02-13,77.71,78.88,76.28,78.27,2595300,0.0,0
2019-02-14,78.07,78.29,77.39,77.41,1137200,0.0,0
2019-02-15,78.14,78.72,77.93,78.51,2697500,0.0,0
2019-02-19,78.06,78.96,77.98,78.54,878100,0.0,0
2019-02-20,78.71,79.41,78.33,79.3,967200,0.0,0
2019-02-21,79.21,79.44,78.59,78.76,1076300,0.0,0
2019-02-22,78.88,79.24,78.58,78.9,1032300,0.0,0
2019-02-25,79.44,79.9,79.07,79.26,1156500,0.0,0
2019-02-26,78.96,79.32,78.54,78.63,996800,0.0,0
2019-02-27,78.44,79.27,78.2,79.13,1025000,0.0,0
2019-02-28,78.98,79.31,78.51,79.07,1376300,0.0,0
2019-03-01,79.45,79.55,78.54,79.06,2015700,0.0,0
2019-03-04,79.49,79.99,78.43,78.99,1792700,0.0,0
2019-03-05,79.05,79.24,78.61,78.65,938900,0.0,0
2019-03-06,78.85,79.1,78.71,78.76,1023100,0.0,0
2019-03-07,78.71,78.72,77.55,78.43,1514600,0.0,0
2019-03-08,77.66,78.31,77.41,78.14,895600,0.0,0
2019-03-11,78.08,79.67,77.84,79.58,1506600,0.0,0
2019-03-12,79.95,80.15,79.56,79.63,968300,0.0,0
2019-03-13,80.09,80.92,79.81,80.57,1411000,0.0,0
2019-03-14,80.33,80.67,79.8,80.28,1124500,0.14,0
2019-03-15,80.35,80.72,80.15,80.44,1868500,0.0,0
2019-03-18,80.43,81.38,80.43,81.38,929500,0.0,0
2019-03-19,81.78,81.94,80.46,80.71,1311600,0.0,0
2019-03-20,80.62,81.07,79.81,80.49,1110700,0.0,0
2019-03-21,80.18,81.79,80.18,81.76,809300,0.0,0
2019-03-22,81.77,81.93,78.99,79.04,1596000,0.0,0
2019-03-25,79.15,79.46,78.75,79.25,1131800,0.0,0
2019-03-26,79.88,80.37,79.53,80.28,889800,0.0,0
2019-03-27,80.37,80.6,79.74,80.31,924500,0.0,0
2019-03-28,80.67,81.94,80.67,81.85,903100,0.0,0
2019-03-29,82.37,82.73,82.22,82.59,1286500,0.0,0
2019-04-01,83.33,83.68,83.02,83.61,1188800,0.0,0
2019-04-02,83.61,83.62,83.02,83.33,1286900,0.0,0
2019-04-03,83.81,84.24,83.47,83.94,1498700,0.0,0
2019-04-04,84.2,84.35,83.22,83.62,979000,0.0,0
2019-04-05,83.69,83.93,83.49,83.9,644500,0.0,0
2019-04-08,83.67,84.27,83.21,84.23,755700,0.0,0
2019-04-09,83.78,83.78,83.03,83.16,642000,0.0,0
2019-04-10,83.4,83.74,83.05,83.65,560600,0.0,0
2019-04-11,83.74,84.48,83.57,84.41,487900,0.0,0
2019-04-12,84.65,85.52,84.61,85.41,1260000,0.0,0
2019-04-15,85.53,85.81,84.95,85.22,661800,0.0,0
2019-04-16,85.61,85.85,85.02,85.51,690400,0.0,0
2019-04-17,86.33,86.33,85.3,85.35,601700,0.0,0
2019-04-18,85.8,86.16,85.37,86.09,954000,0.0,0
2019-04-22,85.62,86.33,85.31,86.22,456200,0.0,0
2019-04-23,86.12,87.18,86.02,86.89,753400,0.0,0
2019-04-24,86.89,87.36,86.68,86.7,700600,0.0,0
2019-04-25,86.09,86.52,85.07,85.51,1107100,0.0,0
2019-04-26,85.59,86.94,85.32,86.9,1048200,0.0,0
2019-04-29,87.38,87.57,86.69,87.03,1050000,0.0,0
2019-04-30,87.45,87.83,86.98,87.76,1689100,0.0,0
2019-05-01,88.09,88.35,85.92,85.96,1709100,0.0,0
2019-05-02,86.05,86.95,85.72,86.62,973900,0.0,0
2019-05-03,87.14,87.31,86.7,86.95,1048800,0.0,0
2019-05-06,85.38,86.18,84.85,86.12,953300,0.0,0
2019-05-07,85.09,86.13,84.45,85.06,1461200,0.0,0
2019-05-08,85.0,85.72,84.5,85.09,947000,0.0,0
2019-05-09,84.05,85.2,83.57,85.05,608000,0.0,0
2019-05-10,84.48,85.45,83.11,85.18,749400,0.0,0
2019-05-13,83.38,84.1,82.77,83.72,1241600,0.0,0
2019-05-14,84.06,85.46,84.06,84.63,923400,0.0,0
2019-05-15,84.18,85.74,83.61,85.37,943100,0.0,0
2019-05-16,85.72,86.34,85.36,86.19,693800,0.0,0
2019-05-17,85.28,86.16,85.22,85.5,757900,0.0,0
2019-05-20,84.92,85.51,84.46,84.77,786400,0.0,0
2019-05-21,85.36,86.2,85.24,86.07,1090400,0.0,0
2019-05-22,85.72,86.0,85.19,85.21,1040500,0.0,0
2019-05-23,84.25,84.5,83.71,84.48,1224100,0.0,0
2019-05-24,84.93,85.27,84.04,84.1,1031600,0.0,0
2019-05-28,84.45,84.76,83.43,83.54,1544500,0.0,0
2019-05-29,83.03,83.52,82.53,83.0,2141100,0.0,0
2019-05-30,83.26,83.89,82.91,83.42,521600,0.0,0
2019-05-31,81.86,82.46,81.45,81.51,1078900,0.0,0
2019-06-03,81.5,82.54,81.24,81.8,1372700,0.0,0
2019-06-04,82.58,83.41,81.81,83.28,1379000,0.0,0
2019-06-05,83.77,84.04,82.42,83.98,1159900,0.0,0
2019-06-06,84.05,84.05,82.86,83.55,1153700,0.0,0
2019-06-07,83.69,85.67,83.58,85.37,973800,0.0,0
2019-06-10,85.89,86.71,85.8,86.08,1308800,0.0,0
2019-06-11,86.88,87.25,85.63,85.9,890900,0.0,0
2019-06-12,85.72,86.46,84.94,85.12,1048300,0.0,0
2019-06-13,85.58,85.75,84.73,85.42,729600,0.14,0
2019-06-14,85.08,85.08,84.25,84.73,737800,0.0,0
2019-06-17,84.93,85.15,84.14,84.2,1118300,0.0,0
2019-06-18,84.82,86.4,84.67,86.25,1325800,0.0,0
2019-06-19,86.59,86.7,85.45,86.54,882600,0.0,0
2019-06-20,86.74,88.47,86.52,88.31,1159100,0.0,0
2019-06-21,88.22,89.55,87.49,87.5,1715800,0.0,0
2019-06-24,87.42,88.17,87.2,87.59,650200,0.0,0
2019-06-25,87.85,87.88,87.23,87.3,573900,0.0,0
2019-06-26,87.42,87.86,87.15,87.57,706100,0.0,0
2019-06-27,87.87,88.92,87.56,87.99,671700,0.0,0
2019-06-28,88.52,90.6,88.13,90.57,4909400,0.0,0
2019-07-01,91.48,92.02,90.48,91.83,1684400,0.0,0
2019-07-02,91.8,91.85,90.46,90.95,1288300,0.0,0
2019-07-03,91.01,91.63,90.73,91.63,452100,0.0,0
2019-07-05,90.82,91.12,89.38,90.82,652200,0.0,0
2019-07-08,90.51,91.12,90.21,90.33,1025700,0.0,0
2019-07-09,89.66,90.32,89.57,90.1,1992600,0.0,0
2019-07-10,90.5,90.73,89.28,89.31,1500800,0.0,0
2019-07-11,89.38,89.74,88.64,89.32,1707800,0.0,0
2019-07-12,89.91,90.91,89.91,90.73,1154300,0.0,0
2019-07-15,90.92,91.01,90.38,90.71,1005500,0.0,0
2019-07-16,90.83,91.17,90.38,91.03,978200,0.0,0
2019-07-17,90.96,91.01,88.98,89.01,1028100,0.0,0
2019-07-18,89.03,89.16,88.23,88.63,1630800,0.0,0
2019-07-19,88.95,89.41,88.39,88.44,1169600,0.0,0
2019-07-22,88.43,88.93,88.15,88.34,833100,0.0,0
2019-07-23,88.83,89.69,88.55,89.53,2048100,0.0,0
2019-07-24,88.94,89.84,88.57,89.71,764100,0.0,0
2019-07-25,89.59,89.6,88.64,88.96,970200,0.0,0
2019-07-26,88.81,89.16,88.32,89.01,1580400,0.0,0
2019-07-29,88.94,88.94,87.98,88.28,1606700,0.0,0
2019-07-30,88.72,91.86,88.0,90.48,1561900,0.0,0
2019-07-31,91.04,91.25,88.39,89.34,1271200,0.0,0
2019-08-01,89.03,90.42,87.88,88.05,1379200,0.0,0
2019-08-02,87.56,87.77,85.91,86.24,1608700,0.0,0
2019-08-05,84.71,84.71,83.17,83.83,1536500,0.0,0
2019-08-06,84.25,85.56,83.88,85.48,1072300,0.0,0
2019-08-07,84.32,85.36,83.56,85.0,1699600,0.0,0
2019-08-08,85.36,86.9,85.25,86.67,1113500,0.0,0
2019-08-09,86.29,86.46,85.0,85.07,1281300,0.0,0
2019-08-12,84.61,85.27,84.19,84.78,703900,0.0,0
2019-08-13,84.65,87.12,84.35,85.83,907200,0.0,0
2019-08-14,84.42,84.62,82.82,83.08,1178700,0.0,0
2019-08-15,83.19,84.37,82.88,84.08,1460300,0.0,0
2019-08-16,84.59,85.76,84.42,85.39,1261500,0.0,0
2019-08-19,86.45,86.96,86.08,86.44,982000,0.0,0
2019-08-20,86.47,86.85,85.74,85.95,1013200,0.0,0
2019-08-21,86.9,86.9,85.74,86.07,814400,0.0,0
2019-08-22,86.41,86.59,85.02,85.51,718700,0.0,0
2019-08-23,85.03,85.42,82.98,83.37,1262200,0.0,0
2019-08-26,83.9,84.25,82.41,82.71,846600,0.0,0
2019-08-27,83.41,83.87,82.78,83.48,1106700,0.0,0
2019-08-28,82.97,84.0,82.6,83.86,840000,0.0,0
2019-08-29,84.81,86.09,84.63,85.85,640700,0.0,0
2019-08-30,86.62,86.91,85.19,85.67,1052000,0.0,0
2019-09-03,84.81,85.27,82.51,83.13,905400,0.0,0
2019-09-04,84.13,84.98,83.77,84.91,1284000,0.0,0
2019-09-05,86.01,88.12,86.01,88.06,1922200,0.0,0
2019-09-06,88.47,89.3,88.0,89.0,1685400,0.0,0
2019-09-09,89.53,89.73,89.06,89.5,775500,0.0,0
2019-09-10,89.73,89.73,87.46,88.13,1278400,0.0,0
2019-09-11,88.02,88.02,86.7,87.84,1274700,0.0,0
2019-09-12,88.27,89.85,87.46,89.55,2001000,0.0,0
2019-09-13,90.18,90.94,89.72,90.57,773900,0.14,0
2019-09-16,90.15,90.89,90.06,90.73,1480700,0.0,0
2019-09-17,90.46,90.61,89.89,90.26,1043100,0.0,0
2019-09-18,89.76,90.09,88.68,89.89,793700,0.0,0
2019-09-19,89.88,90.67,89.61,90.08,1040100,0.0,0
2019-09-20,90.56,91.02,89.03,89.75,2180300,0.0,0
2019-09-23,89.24,89.95,88.67,89.32,1041600,0.0,0
2019-09-24,89.61,90.91,89.24,89.75,1795500,0.0,0
2019-09-25,89.37,90.55,88.52,90.38,778200,0.0,0
2019-09-26,90.31,90.57,89.75,90.04,763100,0.0,0
2019-09-27,90.87,91.74,90.3,91.24,1380400,0.0,0
2019-09-30,91.06,91.86,90.69,91.69,1128400,0.0,0
2019-10-01,92.11,92.73,88.43,88.67,2164300,0.0,0
2019-10-02,87.22,87.53,85.06,86.18,1492100,0.0,0
2019-10-03,85.88,87.29,85.07,87.26,791500,0.0,0
2019-10-04,87.52,88.77,87.18,88.7,724700,0.0,0
2019-10-07,88.55,88.9,87.49,87.87,837600,0.0,0
2019-10-08,86.99,86.99,85.84,85.86,1029900,0.0,0
2019-10-09,86.59,87.19,86.15,86.8,861000,0.0,0
2019-10-10,86.74,88.18,86.6,87.82,675900,0.0,0
2019-10-11,88.73,89.94,88.29,88.38,1214600,0.0,0
2019-10-14,87.82,88.58,87.55,88.23,688800,0.0,0
2019-10-15,88.49,89.61,87.98,88.93,714700,0.0,0
2019-10-16,88.7,89.19,88.06,88.41,666600,0.0,0
2019-10-17,89.11,90.24,88.35,88.38,779200,0.0,0
2019-10-18,88.35,88.74,87.93,88.22,1299700,0.0,0
2019-10-21,88.69,89.2,87.9,88.1,2047900,0.0,0
2019-10-22,88.15,89.07,87.75,88.25,1883200,0.0,0
2019-10-23,88.35,88.89,87.92,88.87,928500,0.0,0
2019-10-24,89.23,89.38,88.56,88.99,406700,0.0,0
2019-10-25,89.12,90.63,88.71,89.83,898900,0.0,0
2019-10-28,90.35,91.07,90.26,90.27,1155200,0.0,0
2019-10-29,89.83,92.16,89.83,91.5,1444000,0.0,0
2019-10-30,91.5,91.5,90.32,91.18,1080400,0.0,0
2019-10-31,93.66,93.86,90.83,91.52,1998500,0.0,0
2019-11-01,92.35,94.06,91.72,94.06,1109500,0.0,0
2019-11-04,94.6,95.68,94.31,95.48,1758600,0.0,0
2019-11-05,95.38,96.73,95.37,96.11,1624400,0.0,0
2019-11-06,96.31,96.34,95.32,96.23,1198700,0.0,0
2019-11-07,97.0,97.16,95.9,96.06,1032200,0.0,0
2019-11-08,95.71,96.43,95.41,96.4,606100,0.0,0
2019-11-11,95.56,96.35,95.56,96.22,431000,0.0,0
2019-11-12,96.43,96.93,96.02,96.11,1456200,0.0,0
2019-11-13,95.44,96.48,95.19,95.91,954300,0.0,0
2019-11-14,95.67,97.38,95.65,96.86,1113800,0.0,0
2019-11-15,97.25,98.11,97.19,98.03,1325400,0.0,0
2019-11-18,97.69,98.0,96.88,97.22,897200,0.0,0
2019-11-19,97.95,99.09,97.49,99.04,1706700,0.0,0
2019-11-20,98.55,98.95,97.18,98.35,1367600,0.0,0
2019-11-21,98.35,98.59,97.13,97.73,1342900,0.0,0
2019-11-22,98.11,98.29,97.2,97.76,583900,0.0,0
2019-11-25,97.9,98.9,97.51,98.57,1150100,0.0,0
2019-11-26,98.62,99.14,98.1,99.12,1498100,0.0,0
2019-11-27,99.29,99.6,98.54,99.35,532900,0.0,0
2019-11-29,98.83,99.28,98.42,98.87,526200,0.0,0
2019-12-02,98.86,99.02,97.36,97.4,1153500,0.0,0
2019-12-03,96.38,97.14,95.71,96.73,1231700,0.0,0
2019-12-04,97.53,98.4,96.53,96.56,976000,0.0,0
2019-12-05,96.84,97.72,96.59,97.68,1088900,0.14,0
2019-12-06,98.68,98.96,98.47,98.55,1074800,0.0,0
2019-12-09,98.37,98.99,98.1,98.33,556400,0.0,0
2019-12-10,98.33,98.39,97.66,98.08,742100,0.0,0
2019-12-11,98.56,98.71,97.68,98.67,822900,0.0,0
2019-12-12,98.79,99.84,98.25,99.3,761000,0.0,0
2019-12-13,98.83,99.46,97.73,98.56,851500,0.0,0
2019-12-16,99.39,99.8,99.0,99.26,870100,0.0,0
2019-12-17,99.61,100.06,99.02,99.2,1142500,0.0,0
2019-12-18,99.56,99.68,98.71,98.96,874900,0.0,0
2019-12-19,98.52,99.76,98.37,99.56,906300,0.0,0
2019-12-20,100.33,100.59,99.52,99.78,1536900,0.0,0
2019-12-23,100.1,100.34,99.35,100.14,466300,0.0,0
2019-12-24,100.09,100.14,99.45,99.71,180500,0.0,0
2019-12-26,100.14,100.14,99.23,100.07,621000,0.0,0
2019-12-27,100.34,100.88,99.61,99.95,339400,0.0,0
2019-12-30,100.11,100.21,99.52,99.93,460900,0.0,0
2019-12-31,99.88,100.43,99.56,99.74,641100,0.0,0
2020-01-02,100.15,100.8,99.44,100.8,1108200,0.0,0
2020-01-03,99.29,101.03,99.19,100.94,785500,0.0,0
2020-01-06,100.31,101.09,99.89,101.05,1157800,0.0,0
2020-01-07,100.5,101.78,100.31,101.63,1265600,0.0,0
2020-01-08,101.54,102.31,101.0,101.86,874000,0.0,0
2020-01-09,101.82,101.97,100.97,101.36,764200,0.0,0
2020-01-10,101.61,101.61,100.59,100.76,840700,0.0,0
2020-01-13,100.38,101.0,99.98,100.83,1181900,0.0,0
2020-01-14,100.72,101.6,100.38,100.84,1007400,0.0,0
2020-01-15,100.84,102.0,100.39,100.66,756600,0.0,0
2020-01-16,100.16,100.77,99.84,100.19,1642600,0.0,0
2020-01-17,100.47,102.07,100.19,101.78,1532600,0.0,0
2020-01-21,101.36,101.99,100.88,101.26,1176100,0.0,0
2020-01-22,101.78,102.3,100.23,100.27,1143500,0.0,0
2020-01-23,99.85,100.93,99.29,100.78,1012000,0.0,0
2020-01-24,101.16,101.23,99.2,99.57,826700,0.0,0
2020-01-27,97.64,98.75,97.14,97.78,1301500,0.0,0
2020-01-28,98.12,99.97,97.78,99.33,1120200,0.0,0
2020-01-29,100.01,100.33,99.23,99.63,939200,0.0,0
2020-01-30,98.63,99.46,97.98,99.33,1232700,0.0,0
2020-01-31,98.65,98.65,96.54,97.15,1285800,0.0,0
2020-02-03,97.63,98.83,97.29,97.72,1316900,0.0,0
