Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,105.99,108.67,105.59,108.47,737700,0.0,0
2019-02-06,107.96,108.93,106.63,107.61,506200,0.0,0
2019-02-07,107.07,108.09,105.74,107.07,259000,0.0,0
2019-02-08,106.38,106.99,102.48,103.37,534600,0.0,0
2019-02-11,103.91,104.26,102.89,103.41,470100,0.0,0
2019-02-12,104.57,105.89,104.31,104.68,442100,0.0,0
2019-02-13,105.46,107.33,105.14,105.28,371000,0.32,0
2019-02-14,104.04,104.84,102.66,104.26,351700,0.0,0
2019-02-15,105.48,107.85,104.87,107.75,517000,0.0,0
2019-02-19,107.02,108.41,106.29,107.79,347200,0.0,0
2019-02-20,107.62,108.83,107.28,108.73,286600,0.0,0
2019-02-21,108.5,108.83,106.63,106.81,626100,0.0,0
2019-02-22,107.0,108.07,106.92,107.92,256200,0.0,0
2019-02-25,108.95,110.96,108.64,109.12,380200,0.0,0
2019-02-26,108.3,109.7,108.3,109.24,519200,0.0,0
2019-02-27,109.18,110.21,108.69,108.94,341100,0.0,0
2019-02-28,108.93,109.38,108.35,108.4,480000,0.0,0
2019-03-01,109.44,111.02,109.09,109.31,318300,0.0,0
2019-03-04,109.85,110.91,108.01,109.07,520700,0.0,0
2019-03-05,108.63,108.63,106.41,107.49,765800,0.0,0
2019-03-06,107.38,107.94,105.28,105.31,365300,0.0,0
2019-03-07,105.08,105.08,102.24,102.47,672400,0.0,0
2019-03-08,101.86,102.85,100.26,102.68,559000,0.0,0
2019-03-11,103.59,105.39,103.34,105.38,388500,0.0,0
2019-03-12,105.86,106.62,104.98,105.38,331800,0.0,0
2019-03-13,105.98,106.36,105.02,106.0,338700,0.0,0
2019-03-14,105.88,106.47,105.45,105.58,328900,0.0,0
2019-03-15,105.5,108.17,105.4,108.14,717700,0.0,0
2019-03-18,108.78,110.48,108.64,110.35,416300,0.0,0
2019-03-19,111.08,111.58,108.9,109.08,483000,0.0,0
2019-03-20,109.06,109.36,105.79,105.82,470700,0.0,0
2019-03-21,104.83,105.57,103.8,104.05,1139600,0.0,0
2019-03-22,102.86,103.31,97.32,98.06,1322200,0.0,0
2019-03-25,98.02,99.25,97.03,98.06,560700,0.0,0
2019-03-26,99.06,101.12,99.06,100.73,464200,0.0,0
2019-03-27,101.01,102.9,100.76,102.57,582900,0.0,0
2019-03-28,102.81,105.36,102.35,105.14,687100,0.0,0
2019-03-29,106.34,106.93,105.67,105.92,635500,0.0,0
2019-04-01,106.93,110.28,106.63,110.16,439800,0.0,0
2019-04-02,110.39,110.59,109.3,110.14,409700,0.0,0
2019-04-03,111.32,112.33,111.02,112.16,529300,0.0,0
2019-04-04,112.18,113.46,111.85,112.85,306400,0.0,0
2019-04-05,113.13,114.47,112.35,114.25,424500,0.0,0
2019-04-08,114.03,114.3,112.51,112.84,560500,0.0,0
2019-04-09,112.07,112.17,108.57,108.74,659400,0.0,0
2019-04-10,108.69,109.32,106.4,109.29,871900,0.0,0
2019-04-11,109.95,111.39,109.07,109.23,439500,0.0,0
2019-04-12,111.01,112.28,110.22,111.1,402600,0.0,0
2019-04-15,111.23,111.8,109.36,109.81,406600,0.0,0
2019-04-16,110.31,111.31,110.29,111.28,617000,0.0,0
2019-04-17,111.49,112.11,110.82,111.15,386500,0.0,0
2019-04-18,111.19,112.57,110.25,112.38,420300,0.0,0
2019-04-22,112.17,113.13,111.75,112.09,324100,0.0,0
2019-04-23,112.16,113.37,111.08,113.21,514000,0.0,0
2019-04-24,112.61,112.79,111.84,111.92,302900,0.0,0
2019-04-25,111.82,111.82,109.9,110.85,299200,0.0,0
2019-04-26,110.38,111.22,109.43,111.21,384700,0.0,0
2019-04-29,111.68,113.05,111.46,111.69,259800,0.0,0
2019-04-30,111.42,111.45,109.43,109.69,403200,0.0,0
