Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,180.7,183.48,180.24,182.75,4933300,0.0,0
2019-02-06,182.75,186.21,182.56,185.13,3322400,0.0,0
2019-02-07,185.04,185.04,177.28,178.79,4188100,0.0,0
2019-02-08,178.0,180.56,178.0,180.51,2601000,0.0,0
2019-02-11,181.28,181.59,180.04,180.31,2867300,0.0,0
2019-02-12,181.8,183.38,180.93,182.87,2412400,0.0,0
2019-02-13,183.64,184.51,182.84,183.4,2166000,0.0,0
2019-02-14,183.46,183.67,181.67,182.57,2611500,1.45,0
2019-02-15,183.93,184.94,181.9,184.19,3314600,0.0,0
2019-02-19,183.66,184.32,182.74,182.85,2267500,0.0,0
2019-02-20,183.07,185.06,182.38,182.81,3046400,0.0,0
2019-02-21,182.29,183.28,180.68,181.42,2947600,0.0,0
2019-02-22,181.8,184.7,181.72,183.37,2774100,0.0,0
2019-02-25,184.51,186.28,183.75,185.63,3182600,0.0,0
2019-02-26,185.39,187.43,185.19,185.9,2431000,0.0,0
2019-02-27,184.59,187.96,184.51,187.21,1886200,0.0,0
2019-02-28,187.17,187.41,185.55,185.9,2776200,0.0,0
2019-03-01,187.18,187.83,186.28,186.95,2409400,0.0,0
2019-03-04,187.6,187.89,183.29,185.6,2274800,0.0,0
2019-03-05,185.82,186.47,184.63,184.66,3445200,0.0,0
2019-03-06,184.72,185.2,178.41,179.12,3956100,0.0,0
2019-03-07,178.89,179.13,176.63,177.47,3421700,0.0,0
2019-03-08,176.63,177.32,175.07,176.89,2750900,0.0,0
2019-03-11,177.84,180.54,177.41,180.09,2816900,0.0,0
2019-03-12,180.55,180.88,179.48,180.13,2677500,0.0,0
2019-03-13,180.63,184.19,180.14,183.23,2719700,0.0,0
2019-03-14,183.4,184.7,181.8,183.63,2909600,0.0,0
2019-03-15,184.31,187.42,183.96,187.03,6865000,0.0,0
2019-03-18,186.87,188.28,186.0,187.1,2430200,0.0,0
2019-03-19,187.71,188.52,186.72,187.28,2268700,0.0,0
2019-03-20,187.29,188.53,185.69,186.91,2378700,0.0,0
2019-03-21,185.55,188.14,185.02,187.67,2292900,0.0,0
2019-03-22,186.76,188.63,182.44,182.59,3144700,0.0,0
2019-03-25,182.53,183.65,180.97,182.48,2523700,0.0,0
2019-03-26,183.42,185.42,182.91,184.13,2359100,0.0,0
2019-03-27,184.11,184.45,181.14,182.22,2022600,0.0,0
2019-03-28,182.96,183.75,181.91,183.52,1885600,0.0,0
2019-03-29,185.2,186.8,184.35,185.8,3189700,0.0,0
2019-04-01,186.93,188.32,186.32,187.55,2660500,0.0,0
2019-04-02,187.59,188.58,186.99,188.19,2141800,0.0,0
2019-04-03,188.93,189.6,187.49,188.67,1948100,0.0,0
2019-04-04,188.61,190.15,186.79,188.1,1785900,0.0,0
2019-04-05,189.61,192.54,189.05,191.11,2163300,0.0,0
2019-04-08,190.25,191.01,188.32,190.59,1629800,0.0,0
2019-04-09,189.33,189.73,188.27,188.73,1872600,0.0,0
2019-04-10,189.88,190.71,188.11,189.62,1653200,0.0,0
2019-04-11,190.29,190.5,186.45,187.88,2082600,0.0,0
2019-04-12,188.77,189.22,186.59,187.21,2060800,0.0,0
