Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,136.31,138.08,135.25,137.68,21200,0.0,0
2019-02-06,137.69,138.96,136.14,138.31,24100,0.0,0
2019-02-07,137.73,139.2,135.6,138.13,27800,0.0,0
2019-02-08,137.45,138.5,136.29,138.3,18000,0.0,0
2019-02-11,138.52,139.21,137.54,139.18,23500,0.0,0
2019-02-12,139.84,141.21,139.46,140.28,22900,0.0,0
2019-02-13,140.67,141.95,139.37,141.62,28100,0.0,0
2019-02-14,141.25,143.45,140.76,143.2,27600,0.0,0
2019-02-15,143.83,146.54,143.22,143.92,25700,0.0,0
2019-02-19,143.87,150.89,143.87,150.89,52000,0.0,0
2019-02-20,150.76,150.9,148.15,149.04,29800,0.0,0
2019-02-21,148.88,149.56,145.38,149.21,67300,0.0,0
2019-02-22,149.67,150.01,147.97,148.98,13800,0.0,0
2019-02-25,149.75,151.12,147.87,148.17,21200,0.0,0
2019-02-26,142.74,145.86,133.32,144.41,60900,0.0,0
2019-02-27,144.29,144.29,137.4,143.21,21000,0.0,0
2019-02-28,143.29,144.19,142.13,143.28,26900,0.0,0
2019-03-01,143.95,146.95,143.31,144.81,34800,0.0,0
2019-03-04,145.01,145.53,141.36,142.34,22200,0.0,0
2019-03-05,142.13,142.3,140.29,141.41,28800,0.0,0
2019-03-06,141.4,142.06,138.46,138.87,25800,0.0,0
2019-03-07,138.62,141.08,136.14,140.41,45200,0.0,0
2019-03-08,140.25,140.39,137.46,138.02,24900,0.82,0
2019-03-11,138.08,139.99,136.64,138.63,26400,0.0,0
2019-03-12,138.68,139.61,136.05,136.11,30600,0.0,0
2019-03-13,136.56,136.75,134.32,135.45,56800,0.0,0
2019-03-14,135.58,136.16,133.87,134.33,23000,0.0,0
2019-03-15,134.68,136.95,133.09,133.31,63700,0.0,0
2019-03-18,133.42,135.45,132.71,134.03,39500,0.0,0
2019-03-19,134.2,138.33,129.82,131.29,34400,0.0,0
2019-03-20,131.29,131.29,126.06,126.52,36200,0.0,0
2019-03-21,126.2,126.37,124.21,125.1,34600,0.0,0
2019-03-22,124.7,124.7,118.12,120.5,73000,0.0,0
2019-03-25,120.2,121.49,118.94,120.68,36600,0.0,0
2019-03-26,121.04,122.55,119.45,122.39,63900,0.0,0
2019-03-27,122.52,123.26,119.91,120.89,46900,0.0,0
2019-03-28,121.24,121.86,118.85,120.23,37300,0.0,0
2019-03-29,120.24,120.48,117.26,118.29,97500,0.0,0
2019-04-01,118.56,121.66,118.56,120.7,30900,0.0,0
2019-04-02,120.9,120.9,118.0,118.8,32900,0.0,0
2019-04-03,119.35,119.35,115.52,116.65,58300,0.0,0
2019-04-04,116.65,118.37,116.03,117.39,77500,0.0,0
2019-04-05,117.4,118.39,116.5,116.89,62100,0.0,0
2019-04-08,116.62,117.63,116.02,116.77,21000,0.0,0
2019-04-09,116.34,117.09,113.61,115.51,38400,0.0,0
2019-04-10,115.71,118.18,115.53,117.09,50400,0.0,0
2019-04-11,117.09,118.79,116.95,118.49,88300,0.0,0
2019-04-12,120.18,121.72,117.74,118.61,65700,0.0,0
2019-04-15,118.95,118.95,115.02,116.0,30200,0.0,0
2019-04-16,116.21,117.93,116.21,116.83,27500,0.0,0
2019-04-17,117.36,117.37,114.55,115.71,39900,0.0,0
2019-04-18,115.7,116.99,114.84,116.31,35000,0.0,0
2019-04-22,116.33,116.37,114.56,114.56,29300,0.0,0
2019-04-23,115.38,115.73,113.4,114.75,54900,0.0,0
2019-04-24,114.74,116.02,112.59,113.37,56200,0.0,0
2019-04-25,113.35,115.43,112.92,113.22,50600,0.0,0
2019-04-26,113.17,114.4,112.18,113.47,48600,0.0,0
2019-04-29,113.51,115.44,111.46,112.05,50800,0.0,0
2019-04-30,111.91,112.7,110.11,110.91,88700,0.0,0
2019-05-01,110.92,112.71,110.7,110.82,61200,0.0,0
2019-05-02,110.6,112.06,110.54,111.13,31400,0.0,0
2019-05-03,111.36,113.37,110.75,111.81,52200,0.0,0
2019-05-06,111.43,113.16,110.81,111.46,80700,0.0,0
2019-05-07,111.13,112.73,111.13,111.81,88400,0.0,0
2019-05-08,111.76,113.62,111.18,111.78,76000,0.0,0
2019-05-09,111.32,115.04,111.32,113.93,108300,0.0,0
2019-05-10,113.44,116.02,113.12,115.2,58200,0.0,0
2019-05-13,113.85,115.08,111.62,111.63,67600,0.0,0
2019-05-14,112.0,113.81,111.8,112.01,74100,0.0,0
2019-05-15,111.71,113.04,110.66,111.93,45800,0.0,0
2019-05-16,112.07,113.43,111.58,111.71,59200,0.0,0
2019-05-17,111.24,114.46,111.16,112.65,55400,0.0,0
2019-05-20,112.48,114.43,112.2,112.8,49900,0.0,0
2019-05-21,113.23,114.09,112.68,112.95,47000,0.0,0
2019-05-22,112.66,114.05,112.04,114.04,39900,0.0,0
2019-05-23,113.37,114.34,111.81,112.22,56600,0.0,0
2019-05-24,112.58,113.66,112.51,113.23,28500,0.0,0
2019-05-28,113.24,113.41,110.88,111.61,41600,0.0,0
2019-05-29,111.63,112.86,110.64,111.78,46100,0.0,0
2019-05-30,112.25,113.25,111.28,111.67,51400,0.0,0
2019-05-31,110.84,111.85,110.12,110.99,65400,0.0,0
2019-06-03,110.67,113.31,110.33,111.37,68900,0.0,0
2019-06-04,112.24,113.96,111.72,113.3,47000,0.0,0
2019-06-05,113.42,113.43,111.96,112.65,42600,0.0,0
2019-06-06,112.85,114.81,111.79,113.0,75500,0.82,0
2019-06-07,113.06,114.59,112.91,113.56,52600,0.0,0
2019-06-10,113.76,113.97,111.97,112.45,47700,0.0,0
2019-06-11,112.81,114.04,112.42,112.75,48500,0.0,0
2019-06-12,112.52,113.76,112.47,113.34,47900,0.0,0
2019-06-13,113.53,114.89,113.38,114.1,36500,0.0,0
2019-06-14,113.76,114.35,113.35,113.85,31300,0.0,0
2019-06-17,113.82,114.28,111.94,112.13,62000,0.0,0
2019-06-18,112.58,114.43,111.91,113.91,44200,0.0,0
2019-06-19,113.74,115.28,113.74,114.07,48400,0.0,0
2019-06-20,114.79,116.26,113.73,115.13,66000,0.0,0
2019-06-21,115.03,115.69,109.66,111.17,129800,0.0,0
