Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,15.07,15.13,14.94,15.04,963200,0.0,0
2019-02-06,15.06,15.11,14.95,14.97,631100,0.0,0
2019-02-07,14.94,15.07,14.9,15.01,1229600,0.0,0
2019-02-08,14.94,15.03,14.7,14.71,1026200,0.0,0
2019-02-11,14.71,14.9,14.71,14.89,1285800,0.0,0
2019-02-12,14.92,14.94,14.77,14.87,902100,0.0,0
2019-02-13,14.85,15.14,14.83,15.12,1376300,0.0,0
2019-02-14,15.11,15.2,14.86,14.97,1015100,0.0,0
2019-02-15,15.02,15.18,15.02,15.18,1105500,0.0,0
2019-02-19,15.2,15.27,15.15,15.18,1237200,0.0,0
2019-02-20,15.18,15.54,15.17,15.5,1952200,0.0,0
2019-02-21,15.47,15.65,15.38,15.55,1544600,0.0,0
2019-02-22,15.55,15.68,15.53,15.58,928200,0.0,0
2019-02-25,15.64,15.65,15.34,15.39,1128100,0.0,0
2019-02-26,15.48,15.68,15.4,15.54,1588500,0.0,0
2019-02-27,15.48,15.5,15.16,15.29,1510600,0.0,0
2019-02-28,15.29,15.41,15.28,15.29,2263600,0.0,0
2019-03-01,15.36,15.4,15.11,15.33,1474800,0.0,0
2019-03-04,15.38,15.42,15.18,15.29,1073000,0.1,0
2019-03-05,15.34,15.49,15.29,15.39,1017400,0.0,0
2019-03-06,15.41,15.53,15.31,15.38,938800,0.0,0
2019-03-07,15.38,15.39,15.14,15.21,963600,0.0,0
2019-03-08,15.16,15.24,15.09,15.17,983300,0.0,0
2019-03-11,15.22,15.35,15.14,15.33,682600,0.0,0
2019-03-12,15.41,15.52,15.34,15.35,869400,0.0,0
2019-03-13,15.39,15.51,15.33,15.35,819100,0.0,0
2019-03-14,15.38,15.47,15.25,15.39,754100,0.0,0
2019-03-15,15.42,15.46,15.32,15.36,1271500,0.0,0
2019-03-18,15.36,15.49,15.23,15.33,1182100,0.0,0
2019-03-19,15.34,15.4,15.27,15.28,963400,0.0,0
2019-03-20,15.27,15.38,15.2,15.25,1053200,0.0,0
2019-03-21,15.21,15.41,15.21,15.31,771100,0.0,0
2019-03-22,15.27,15.31,15.02,15.05,1185900,0.0,0
2019-03-25,15.02,15.13,14.81,14.95,1140600,0.0,0
2019-03-26,14.98,15.23,14.98,15.23,1068900,0.0,0
2019-03-27,15.27,15.36,15.17,15.28,948700,0.0,0
2019-03-28,15.3,15.41,15.2,15.4,888200,0.0,0
2019-03-29,15.4,15.4,15.16,15.22,1261300,0.0,0
2019-04-01,15.28,15.46,15.25,15.46,1173700,0.0,0
2019-04-02,15.45,15.54,15.36,15.51,966100,0.1,0
2019-04-03,15.52,15.66,15.48,15.56,1193500,0.0,0
2019-04-04,15.55,15.71,15.54,15.65,1016700,0.0,0
2019-04-05,15.63,15.81,15.63,15.71,941000,0.0,0
2019-04-08,15.73,15.77,15.62,15.71,1141700,0.0,0
2019-04-09,15.71,15.71,15.33,15.39,1465600,0.0,0
2019-04-10,15.4,15.59,15.4,15.57,911700,0.0,0
2019-04-11,15.59,15.64,15.46,15.54,564000,0.0,0
2019-04-12,15.59,15.59,15.46,15.56,823000,0.0,0
2019-04-15,15.59,15.62,15.39,15.47,713500,0.0,0
2019-04-16,15.48,15.53,15.39,15.47,875100,0.0,0
