Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,34.33,34.88,34.1,34.42,294100,0,0
2019-02-06,34.12,35.21,33.87,34.97,393300,0,0
2019-02-07,34.59,35.11,33.16,34.04,351900,0,0
2019-02-08,33.79,34.59,33.61,33.89,313500,0,0
2019-02-11,33.67,34.83,33.67,34.49,361600,0,0
2019-02-12,34.87,36.32,34.87,36.22,346400,0,0
2019-02-13,36.48,37.22,34.91,35.49,781200,0,0
2019-02-14,35.28,36.64,35.04,35.96,396700,0,0
2019-02-15,36.5,37.06,36.19,36.79,506300,0,0
2019-02-19,37.87,40.24,37.5,39.23,928700,0,0
2019-02-20,39.48,40.92,38.97,40.22,575000,0,0
2019-02-21,40.14,40.61,39.19,40.22,283500,0,0
2019-02-22,40.42,40.83,39.92,40.47,245800,0,0
2019-02-25,40.34,41.93,39.99,41.68,467400,0,0
2019-02-26,41.54,41.96,41.35,41.77,433600,0,0
2019-02-27,41.78,42.56,41.28,42.25,489500,0,0
2019-02-28,42.16,42.42,41.15,41.98,587900,0,0
2019-03-01,42.18,42.64,41.31,41.98,600300,0,0
2019-03-04,42.31,43.37,41.35,41.51,733300,0,0
2019-03-05,41.72,42.1,40.6,41.0,668400,0,0
2019-03-06,40.83,41.28,39.73,40.04,537200,0,0
2019-03-07,40.05,40.53,39.36,39.55,443900,0,0
2019-03-08,39.0,40.28,38.48,39.36,367100,0,0
2019-03-11,40.07,40.3,39.25,39.84,551500,0,0
2019-03-12,39.89,40.5,39.8,39.87,184900,0,0
2019-03-13,40.23,41.44,40.13,41.11,360200,0,0
2019-03-14,41.2,41.73,40.78,40.97,466200,0,0
2019-03-15,40.97,41.94,40.78,41.92,780500,0,0
2019-03-18,41.99,42.54,41.85,42.06,256400,0,0
2019-03-19,42.42,42.49,41.51,41.75,542100,0,0
2019-03-20,41.67,43.4,41.54,42.52,270600,0,0
2019-03-21,42.1,43.04,41.36,42.8,273300,0,0
2019-03-22,42.26,42.32,39.47,39.76,357400,0,0
2019-03-25,39.59,40.79,39.02,40.62,449200,0,0
2019-03-26,41.06,41.83,40.58,41.59,437900,0,0
2019-03-27,41.42,42.49,41.27,41.9,327800,0,0
2019-03-28,41.39,42.52,41.0,41.47,487400,0,0
2019-03-29,41.97,42.39,40.38,41.06,390900,0,0
2019-04-01,41.47,42.03,41.2,41.66,493800,0,0
2019-04-02,41.73,42.23,40.83,41.03,509600,0,0
2019-04-03,41.57,41.57,39.11,39.73,823100,0,0
2019-04-04,39.69,40.62,39.14,40.14,712900,0,0
2019-04-05,40.42,42.08,40.0,41.8,827600,0,0
2019-04-08,41.5,42.47,40.46,40.64,374400,0,0
2019-04-09,40.67,41.19,40.19,40.48,419900,0,0
2019-04-10,40.78,42.64,40.63,42.06,573500,0,0
2019-04-11,41.99,42.4,41.0,41.16,749200,0,0
2019-04-12,41.81,42.91,41.37,41.42,424500,0,0
2019-04-15,41.23,41.89,40.66,40.79,308700,0,0
2019-04-16,41.07,41.96,40.48,41.75,337100,0,0
