Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,10.09,10.15,9.61,9.66,4709700,0,0
2019-02-06,9.62,9.75,9.3,9.32,5612200,0,0
2019-02-07,9.29,9.31,8.65,8.73,9177600,0,0
2019-02-08,8.69,8.84,8.53,8.83,5605800,0,0
2019-02-11,8.87,9.13,8.77,9.04,4524600,0,0
2019-02-12,9.18,9.35,9.04,9.27,7405900,0,0
2019-02-13,9.21,9.46,8.96,9.07,8329000,0,0
2019-02-14,9.01,9.32,8.73,9.07,13912600,0,0
2019-02-15,9.13,9.7,9.12,9.61,8591300,0,0
2019-02-19,9.6,9.89,9.48,9.66,5867000,0,0
2019-02-20,9.7,10.12,9.61,9.84,7385000,0,0
2019-02-21,9.88,9.95,9.7,9.73,6189400,0,0
2019-02-22,9.81,9.89,9.52,9.64,4870200,0,0
2019-02-25,9.63,9.84,9.49,9.66,5341500,0,0
2019-02-26,9.65,9.84,9.44,9.47,5243300,0,0
2019-02-27,9.36,9.41,8.96,8.99,8452900,0,0
2019-02-28,9.02,9.1,8.65,8.66,20036200,0,0
2019-03-01,8.78,9.22,8.72,9.15,13558500,0,0
2019-03-04,9.15,9.41,9.06,9.18,7560800,0,0
2019-03-05,9.13,9.17,8.91,8.99,6379600,0,0
2019-03-06,8.88,8.95,8.57,8.6,6027200,0,0
2019-03-07,8.59,8.59,8.2,8.3,11297600,0,0
2019-03-08,8.18,8.18,7.7,7.81,8891600,0,0
2019-03-11,7.78,7.99,7.63,7.98,8421700,0,0
2019-03-12,8.1,8.26,8.02,8.17,4923900,0,0
2019-03-13,8.24,8.54,8.21,8.33,6765500,0,0
2019-03-14,8.4,8.67,8.4,8.58,6469000,0,0
2019-03-15,8.5,8.58,8.27,8.42,11009600,0,0
2019-03-18,8.48,8.72,8.39,8.69,7183300,0,0
2019-03-19,8.6,8.68,8.5,8.54,6392300,0,0
2019-03-20,8.49,9.02,8.48,8.86,8008000,0,0
2019-03-21,8.83,8.91,8.67,8.74,5457600,0,0
2019-03-22,8.65,8.66,8.3,8.39,5203600,0,0
2019-03-25,8.39,8.49,8.17,8.39,5588500,0,0
2019-03-26,8.49,8.7,8.37,8.51,4718200,0,0
2019-03-27,8.46,8.61,8.35,8.43,3323000,0,0
2019-03-28,8.45,8.69,8.32,8.66,4119000,0,0
2019-03-29,8.75,8.92,8.65,8.83,4604600,0,0
2019-04-01,8.92,9.08,8.69,8.72,5721200,0,0
2019-04-02,8.74,8.91,8.64,8.65,4798200,0,0
2019-04-03,8.7,8.77,8.19,8.2,5734600,0,0
2019-04-04,8.21,8.41,8.14,8.41,5832500,0,0
2019-04-05,8.45,9.0,8.45,8.98,8049000,0,0
2019-04-08,9.04,9.18,8.85,8.97,6162600,0,0
2019-04-09,8.95,8.95,8.51,8.55,5429300,0,0
2019-04-10,8.57,8.72,8.5,8.56,3740500,0,0
2019-04-11,8.51,8.58,8.28,8.33,4385700,0,0
2019-04-12,8.56,8.91,8.55,8.69,5336100,0,0
2019-04-15,8.65,8.82,8.46,8.59,5128500,0,0
2019-04-16,8.64,8.73,8.42,8.69,2837100,0,0
2019-04-17,8.7,8.76,8.46,8.49,3584800,0,0
2019-04-18,8.49,8.56,8.05,8.09,5736600,0,0
2019-04-22,8.17,8.17,7.78,8.04,8751100,0,0
2019-04-23,8.07,8.32,7.86,7.9,10933700,0,0
2019-04-24,7.9,7.97,7.64,7.65,7485500,0,0
2019-04-25,7.66,7.68,7.21,7.26,9951700,0,0
2019-04-26,7.22,7.57,7.21,7.47,9640100,0,0
2019-04-29,7.45,7.5,7.3,7.49,5514800,0,0
2019-04-30,7.51,7.53,7.16,7.25,6922200,0,0
2019-05-01,7.28,7.33,7.07,7.13,6334900,0,0
2019-05-02,7.3,7.34,6.75,7.22,12474000,0,0
2019-05-03,7.27,7.39,7.14,7.17,9728000,0,0
2019-05-06,7.08,7.6,7.04,7.54,8834200,0,0
2019-05-07,7.48,8.09,7.45,8.0,14042300,0,0
2019-05-08,8.04,8.28,7.93,7.99,6329100,0,0
2019-05-09,7.91,8.06,7.81,8.0,4320600,0,0
2019-05-10,7.97,8.08,7.86,8.04,2493100,0,0
2019-05-13,7.9,8.03,7.77,7.84,6821500,0,0
2019-05-14,7.9,8.09,7.8,8.06,8586500,0,0
2019-05-15,8.0,8.25,7.99,8.24,4309400,0,0
2019-05-16,8.26,8.31,7.95,7.98,6796600,0,0
2019-05-17,7.9,7.98,7.58,7.62,8959100,0,0
2019-05-20,7.6,7.61,7.25,7.28,5600100,0,0
2019-05-21,7.29,7.39,7.12,7.39,6370300,0,0
2019-05-22,7.28,7.28,6.88,6.9,7826700,0,0
2019-05-23,6.9,6.96,6.62,6.89,9658200,0,0
2019-05-24,6.96,7.12,6.79,7.08,9475700,0,0
2019-05-28,7.05,7.13,6.72,6.75,5330100,0,0
2019-05-29,6.7,7.01,6.57,6.97,6986300,0,0
2019-05-30,6.85,6.95,6.5,6.55,6671700,0,0
2019-05-31,6.4,6.59,6.4,6.57,5743200,0,0
2019-06-03,6.6,6.73,6.44,6.7,8232000,0,0
2019-06-04,6.76,7.18,6.7,7.05,9681800,0,0
2019-06-05,7.03,7.09,6.4,6.6,6945200,0,0
2019-06-06,6.57,6.7,6.3,6.46,8016700,0,0
2019-06-07,6.45,6.52,6.22,6.45,6176000,0,0
2019-06-10,6.45,6.74,6.22,6.25,6654600,0,0
2019-06-11,6.3,6.37,6.06,6.08,7655900,0,0
2019-06-12,6.07,6.09,5.74,5.76,9592700,0,0
2019-06-13,5.91,6.07,5.8,5.88,11698400,0,0
2019-06-14,5.85,5.97,5.63,5.7,9099500,0,0
2019-06-17,5.64,5.83,5.52,5.7,8222800,0,0
2019-06-18,5.76,5.93,5.65,5.72,9837400,0,0
2019-06-19,5.69,5.73,5.53,5.58,8075600,0,0
2019-06-20,5.67,5.81,5.42,5.47,10963200,0,0
2019-06-21,5.46,5.6,5.27,5.58,11688100,0,0
2019-06-24,5.54,5.58,5.3,5.37,9232600,0,0
2019-06-25,5.38,5.52,5.2,5.4,15291300,0,0
2019-06-26,5.38,5.53,5.29,5.48,11416400,0,0
2019-06-27,5.44,5.57,5.36,5.38,6756200,0,0
2019-06-28,5.38,5.53,5.3,5.53,12575800,0,0
2019-07-01,5.6,5.68,5.37,5.39,7082700,0,0
2019-07-02,5.41,5.44,5.21,5.26,9864600,0,0
2019-07-03,5.3,5.47,5.23,5.45,6179500,0,0
2019-07-05,5.44,5.65,5.44,5.54,5882400,0,0
2019-07-08,5.47,5.53,5.28,5.3,8341900,0,0
2019-07-09,5.37,5.4,5.2,5.39,8260600,0,0
2019-07-10,5.41,5.48,5.29,5.44,9843200,0,0
2019-07-11,5.45,5.64,5.15,5.16,8952200,0,0
2019-07-12,5.2,5.29,5.15,5.2,5656800,0,0
2019-07-15,5.19,5.25,4.97,5.11,9614500,0,0
2019-07-16,5.1,5.18,4.84,4.92,10310700,0,0
2019-07-17,4.9,4.96,4.74,4.75,7586900,0,0
2019-07-18,4.72,4.76,4.57,4.72,11134300,0,0
2019-07-19,4.73,4.97,4.69,4.91,13480700,0,0
2019-07-22,5.0,5.12,4.89,4.97,11865600,0,0
2019-07-23,4.96,5.04,4.87,4.99,6711600,0,0
2019-07-24,4.98,5.05,4.9,4.92,4538600,0,0
2019-07-25,4.93,4.99,4.39,4.49,10724700,0,0
2019-07-26,4.45,4.54,4.12,4.13,10629300,0,0
2019-07-29,4.12,4.17,3.99,4.04,16803900,0,0
2019-07-30,4.03,4.64,3.95,4.54,16893500,0,0
2019-07-31,4.59,4.78,4.4,4.61,12548400,0,0
2019-08-01,4.63,4.8,4.24,4.51,16462200,0,0
2019-08-02,4.6,4.78,4.41,4.65,13344400,0,0
2019-08-05,4.52,4.52,4.18,4.39,9363500,0,0
2019-08-06,4.35,4.36,4.0,4.13,12389500,0,0
2019-08-07,4.05,4.06,3.67,3.78,17550100,0,0
2019-08-08,3.94,3.97,3.69,3.76,11387400,0,0
2019-08-09,3.77,3.79,3.5,3.53,10901700,0,0
2019-08-12,3.52,3.57,3.42,3.55,7724800,0,0
2019-08-13,3.57,3.69,3.48,3.52,16498900,0,0
2019-08-14,3.45,3.49,3.22,3.35,8697900,0,0
2019-08-15,3.3,3.56,3.28,3.44,11193700,0,0
2019-08-16,3.43,3.64,3.36,3.61,8866500,0,0
2019-08-19,3.62,3.78,3.61,3.75,8306400,0,0
2019-08-20,3.67,3.77,3.48,3.6,8036100,0,0
2019-08-21,3.62,3.68,3.42,3.47,6186000,0,0
2019-08-22,3.45,3.58,3.34,3.34,8087600,0,0
2019-08-23,3.3,3.47,3.22,3.26,11255800,0,0
2019-08-26,3.3,3.35,3.08,3.12,9353300,0,0
2019-08-27,3.14,3.14,2.78,2.8,16020300,0,0
