Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,11.94,11.98,11.7,11.76,130900,0.0,0
2019-02-06,11.82,11.86,11.61,11.68,171000,0.0,0
2019-02-07,11.71,11.85,11.37,11.43,145500,0.0,0
2019-02-08,11.53,11.74,11.36,11.74,112400,0.0,0
2019-02-11,11.81,11.81,11.53,11.7,91900,0.0,0
2019-02-12,11.77,12.02,11.77,11.89,31400,0.0,0
2019-02-13,11.92,12.21,11.92,12.19,51500,0.0,0
2019-02-14,12.1,12.32,12.1,12.2,58000,0.0,0
2019-02-15,12.26,12.45,12.26,12.32,46400,0.0,0
2019-02-19,12.38,12.38,12.19,12.25,54000,0.0,0
2019-02-20,12.22,12.6,12.22,12.54,46900,0.0,0
2019-02-21,13.74,14.03,12.17,12.35,201100,0.0,0
2019-02-22,12.33,12.62,12.01,12.06,159200,0.0,0
2019-02-25,12.14,13.03,12.14,12.96,172000,0.0,0
2019-02-26,12.91,13.03,12.63,12.67,73700,0.14,0
2019-02-27,12.68,12.74,12.4,12.69,46300,0.0,0
2019-02-28,12.56,12.78,12.49,12.69,109600,0.0,0
2019-03-01,12.8,12.95,12.69,12.91,150400,0.0,0
2019-03-04,12.99,13.08,12.84,12.99,94000,0.0,0
2019-03-05,12.97,13.04,12.76,12.85,44100,0.0,0
2019-03-06,12.92,13.05,12.82,13.03,81900,0.0,0
2019-03-07,13.06,13.22,12.59,12.68,93400,0.0,0
2019-03-08,12.7,13.02,12.43,13.01,76600,0.0,0
2019-03-11,13.12,13.33,12.69,12.97,75000,0.0,0
2019-03-12,13.06,13.26,12.9,13.21,68900,0.0,0
2019-03-13,13.34,13.34,12.78,12.85,61900,0.0,0
2019-03-14,12.97,12.97,12.65,12.77,33500,0.0,0
2019-03-15,12.77,12.91,12.68,12.69,95200,0.0,0
2019-03-18,12.69,12.86,12.65,12.67,190000,0.0,0
2019-03-19,12.7,13.08,12.67,12.99,87000,0.0,0
2019-03-20,12.91,13.04,12.76,12.79,47200,0.0,0
2019-03-21,12.84,12.87,12.64,12.68,67300,0.0,0
2019-03-22,12.69,12.69,12.39,12.56,41100,0.0,0
2019-03-25,12.53,12.71,12.37,12.68,45200,0.0,0
2019-03-26,12.73,12.87,12.57,12.65,320300,0.0,0
2019-03-27,12.65,12.78,12.62,12.67,37900,0.0,0
2019-03-28,12.59,12.75,12.48,12.7,34300,0.0,0
2019-03-29,12.69,12.87,12.55,12.67,62300,0.0,0
2019-04-01,12.71,13.59,12.71,13.5,106600,0.0,0
2019-04-02,13.45,13.57,13.19,13.28,70800,0.0,0
2019-04-03,13.36,13.46,13.04,13.4,141200,0.0,0
2019-04-04,13.4,13.7,13.35,13.48,62700,0.0,0
2019-04-05,13.54,13.6,13.37,13.43,77900,0.0,0
2019-04-08,13.43,13.61,13.41,13.48,75700,0.0,0
2019-04-09,13.53,13.54,13.24,13.41,25900,0.0,0
2019-04-10,13.43,13.54,13.27,13.46,34400,0.0,0
2019-04-11,13.43,13.62,13.32,13.45,73600,0.0,0
2019-04-12,13.43,13.61,13.43,13.6,56500,0.0,0
2019-04-15,13.64,13.65,13.4,13.54,41000,0.0,0
2019-04-16,13.46,13.62,13.46,13.59,137800,0.0,0
2019-04-17,13.66,13.66,13.38,13.49,50200,0.0,0
2019-04-18,13.44,13.66,13.39,13.54,56200,0.0,0
2019-04-22,13.59,13.67,13.48,13.55,59200,0.0,0
2019-04-23,13.6,13.87,13.47,13.84,93200,0.0,0
2019-04-24,13.77,13.94,13.68,13.71,74100,0.0,0
2019-04-25,13.7,13.7,13.18,13.22,88100,0.0,0
2019-04-26,13.76,13.76,13.06,13.55,426400,0.0,0
2019-04-29,13.47,13.62,13.33,13.52,73500,0.0,0
2019-04-30,13.49,13.63,13.43,13.53,108800,0.0,0
2019-05-01,13.52,13.62,13.34,13.38,88200,0.0,0
2019-05-02,13.43,13.43,13.12,13.39,28700,0.0,0
2019-05-03,13.67,13.67,13.42,13.52,59300,0.0,0
2019-05-06,13.38,13.7,13.38,13.59,343000,0.0,0
2019-05-07,13.6,13.96,13.58,13.83,72400,0.0,0
2019-05-08,13.84,13.88,13.66,13.79,37100,0.0,0
2019-05-09,13.7,13.82,13.46,13.77,48300,0.0,0
2019-05-10,13.66,13.92,13.66,13.89,32600,0.0,0
2019-05-13,13.8,13.8,13.58,13.67,38200,0.0,0
2019-05-14,13.87,13.87,13.7,13.77,45100,0.0,0
2019-05-15,13.76,13.95,13.73,13.84,65100,0.0,0
2019-05-16,14.11,14.18,13.97,14.14,67800,0.14,0
2019-05-17,14.09,14.5,14.09,14.43,69500,0.0,0
2019-05-20,14.4,14.8,14.31,14.6,87200,0.0,0
2019-05-21,14.6,14.86,14.44,14.52,97400,0.0,0
2019-05-22,14.63,14.77,14.48,14.61,77100,0.0,0
2019-05-23,14.57,14.66,14.31,14.47,54200,0.0,0
2019-05-24,14.57,14.61,14.44,14.55,52700,0.0,0
2019-05-28,14.62,14.67,14.44,14.52,56200,0.0,0
2019-05-29,14.47,14.53,14.18,14.31,65800,0.0,0
2019-05-30,14.38,14.42,13.95,14.21,66900,0.0,0
2019-05-31,14.21,14.23,13.96,14.09,39800,0.0,0
2019-06-03,14.09,14.34,13.9,14.04,33100,0.0,0
2019-06-04,14.33,14.67,14.16,14.63,72300,0.0,0
2019-06-05,14.72,14.73,14.39,14.52,79100,0.0,0
2019-06-06,14.87,14.87,14.4,14.67,52600,0.0,0
2019-06-07,14.83,14.89,14.62,14.75,51500,0.0,0
2019-06-10,14.78,14.85,14.64,14.77,36100,0.0,0
2019-06-11,14.71,15.05,14.71,15.0,46900,0.0,0
2019-06-12,14.94,15.35,14.93,15.24,50900,0.0,0
2019-06-13,15.32,15.39,15.15,15.22,48800,0.0,0
2019-06-14,15.32,15.32,14.92,14.93,25200,0.0,0
2019-06-17,15.01,15.09,14.9,15.07,43400,0.0,0
2019-06-18,15.16,15.53,15.16,15.46,82800,0.0,0
