Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,34.15,34.76,32.73,32.83,6192700,0.0,0
2019-02-06,32.67,33.17,32.67,32.94,4664500,0.0,0
2019-02-07,32.84,33.26,32.72,32.96,5293200,0.0,0
2019-02-08,32.72,32.89,31.48,31.58,3034400,0.0,0
2019-02-11,30.92,31.41,30.55,31.02,5427300,0.0,0
2019-02-12,31.32,31.32,30.18,30.45,9471500,0.0,0
2019-02-13,30.76,31.13,30.48,30.97,4711500,0.11,0
2019-02-14,30.76,31.04,30.76,30.92,4005600,0.0,0
2019-02-15,31.2,31.56,31.06,31.52,2445800,0.0,0
2019-02-19,31.41,32.45,31.38,32.31,4131200,0.0,0
2019-02-20,32.39,32.55,32.15,32.28,1506400,0.0,0
2019-02-21,32.3,32.56,32.15,32.46,1473500,0.0,0
2019-02-22,32.52,32.61,31.96,31.98,1454600,0.0,0
2019-02-25,32.21,32.49,31.82,31.91,1973000,0.0,0
2019-02-26,31.82,32.03,31.27,31.36,1757500,0.0,0
2019-02-27,31.3,31.41,31.05,31.08,1533600,0.0,0
2019-02-28,30.97,30.99,30.02,30.03,6422500,0.0,0
2019-03-01,30.15,30.73,30.14,30.26,4819900,0.0,0
2019-03-04,30.37,30.51,29.94,30.32,2810900,0.0,0
2019-03-05,30.36,30.36,29.96,29.97,3281500,0.0,0
2019-03-06,30.04,30.21,29.42,29.56,6458800,0.0,0
2019-03-07,29.44,29.76,29.27,29.69,3238100,0.0,0
2019-03-08,29.49,29.49,29.12,29.44,1744000,0.0,0
2019-03-11,29.46,29.94,29.46,29.88,2778300,0.0,0
2019-03-12,30.03,30.3,29.96,30.04,2627700,0.0,0
2019-03-13,30.18,30.31,29.64,29.75,2645400,0.0,0
2019-03-14,29.75,29.81,29.36,29.6,1742700,0.0,0
2019-03-15,29.66,29.85,29.37,29.61,2358900,0.0,0
2019-03-18,29.12,29.78,29.12,29.67,2734900,0.0,0
2019-03-19,29.71,30.23,29.57,30.06,2558200,0.0,0
2019-03-20,30.03,30.2,29.49,29.83,2086700,0.0,0
2019-03-21,29.66,29.85,29.57,29.64,1414600,0.0,0
2019-03-22,29.56,29.56,28.57,28.65,2636500,0.0,0
2019-03-25,28.55,28.96,28.26,28.8,2454400,0.0,0
2019-03-26,29.14,29.29,28.94,29.21,2274500,0.0,0
2019-03-27,29.21,29.53,28.91,29.28,2562700,0.0,0
2019-03-28,29.28,29.84,29.23,29.5,1685500,0.0,0
2019-03-29,29.53,29.62,29.04,29.29,2091100,0.0,0
2019-04-01,29.46,30.05,29.42,29.71,1607300,0.0,0
2019-04-02,29.75,29.91,29.55,29.6,1698600,0.0,0
2019-04-03,29.83,29.94,29.61,29.8,1673900,0.0,0
2019-04-04,29.81,29.89,29.54,29.59,2972000,0.0,0
2019-04-05,29.75,30.39,29.64,30.28,4189000,0.0,0
2019-04-08,30.25,30.85,30.08,30.78,3102800,0.0,0
2019-04-09,30.64,30.67,29.69,29.78,3028800,0.0,0
2019-04-10,29.99,30.4,29.92,30.16,1748100,0.0,0
2019-04-11,30.23,30.77,30.22,30.7,2246400,0.0,0
2019-04-12,30.93,31.31,30.81,30.95,2124100,0.0,0
2019-04-15,30.99,31.12,30.71,30.75,1723100,0.0,0
2019-04-16,30.81,31.07,30.66,30.75,1172300,0.0,0
2019-04-17,30.81,31.01,30.67,30.99,2208700,0.0,0
2019-04-18,31.1,31.4,30.88,31.37,1860600,0.0,0
2019-04-22,31.27,31.43,30.9,30.98,1977500,0.0,0
2019-04-23,31.08,31.17,30.62,30.83,2531600,0.0,0
2019-04-24,30.85,31.21,30.77,31.09,1363400,0.0,0
2019-04-25,31.05,31.17,30.52,30.53,1700100,0.0,0
2019-04-26,30.62,30.98,30.37,30.77,4088600,0.0,0
2019-04-29,30.68,31.17,30.68,30.85,2639100,0.0,0
2019-04-30,30.86,31.03,30.52,30.81,3494800,0.0,0
2019-05-01,30.95,31.01,30.52,30.56,2618000,0.0,0
2019-05-02,30.57,30.92,30.26,30.45,2125000,0.0,0
2019-05-03,30.65,30.99,30.48,30.9,4347800,0.0,0
2019-05-06,30.25,31.1,30.25,31.03,3775900,0.0,0
2019-05-07,26.49,29.29,25.26,29.27,17313200,0.0,0
2019-05-08,29.09,30.63,28.92,30.22,6710200,0.0,0
2019-05-09,29.78,31.49,29.42,31.07,6930600,0.0,0
2019-05-10,30.88,31.52,30.5,31.04,5110600,0.0,0
2019-05-13,30.34,31.04,29.94,30.92,4467600,0.0,0
2019-05-14,30.96,31.63,30.7,31.28,4458300,0.0,0
2019-05-15,31.29,31.91,31.12,31.7,5212100,0.11,0
2019-05-16,31.69,32.11,31.33,31.38,4772100,0.0,0
2019-05-17,31.1,31.79,31.01,31.47,3329700,0.0,0
2019-05-20,31.26,31.66,31.08,31.53,3193000,0.0,0
2019-05-21,31.61,32.09,31.53,32.08,3416500,0.0,0
2019-05-22,31.94,31.96,31.54,31.65,4054400,0.0,0
2019-05-23,31.4,31.44,30.91,31.04,4463900,0.0,0
2019-05-24,31.21,31.5,30.89,31.39,1686600,0.0,0
2019-05-28,31.5,31.7,31.3,31.56,6634200,0.0,0
2019-05-29,31.5,32.64,31.5,32.56,6993200,0.0,0
2019-05-30,32.72,36.05,32.65,34.7,16755600,0.0,0
2019-05-31,34.56,35.41,34.4,34.6,7106800,0.0,0
2019-06-03,34.5,34.71,33.68,34.31,4772400,0.0,0
2019-06-04,34.69,35.09,34.59,35.07,4212600,0.0,0
2019-06-05,35.1,35.32,34.88,35.24,5754900,0.0,0
2019-06-06,35.16,35.32,34.99,34.99,3073700,0.0,0
2019-06-07,35.08,35.41,34.94,35.37,2789700,0.0,0
2019-06-10,35.57,35.84,34.39,34.54,2185600,0.0,0
2019-06-11,34.81,35.23,34.68,34.87,2360800,0.0,0
2019-06-12,34.73,34.97,34.4,34.74,1236400,0.0,0
2019-06-13,34.85,35.0,34.2,34.33,1069300,0.0,0
2019-06-14,34.31,34.53,34.16,34.28,1511900,0.0,0
2019-06-17,34.29,34.65,34.27,34.46,1218200,0.0,0
2019-06-18,34.71,35.24,34.61,34.67,1228400,0.0,0
2019-06-19,34.72,34.78,34.5,34.67,1575200,0.0,0
2019-06-20,34.85,34.99,34.45,34.63,1268000,0.0,0
2019-06-21,34.47,34.76,34.41,34.41,1043800,0.0,0
2019-06-24,34.37,34.59,34.02,34.13,1354100,0.0,0
2019-06-25,34.2,34.51,34.13,34.13,1310000,0.0,0
2019-06-26,34.2,34.5,33.8,33.86,1361400,0.0,0
2019-06-27,34.05,35.0,33.73,34.97,2348100,0.0,0
2019-06-28,34.94,35.87,34.82,35.87,4054800,0.0,0
2019-07-01,36.13,36.22,35.07,35.55,1590500,0.0,0
2019-07-02,35.5,35.82,35.23,35.66,1507000,0.0,0
2019-07-03,35.81,35.9,35.6,35.74,682900,0.0,0
2019-07-05,35.67,36.12,35.53,36.11,609400,0.0,0
2019-07-08,35.9,36.08,35.64,35.86,1382500,0.0,0
2019-07-09,35.62,36.04,35.26,36.0,3147400,0.0,0
2019-07-10,35.98,36.33,35.74,35.89,3620400,0.0,0
2019-07-11,36.06,36.68,36.05,36.31,3505200,0.0,0
2019-07-12,36.23,36.53,36.18,36.25,2981800,0.0,0
2019-07-15,36.24,36.31,35.95,36.09,2219000,0.0,0
2019-07-16,36.05,36.29,35.58,35.65,2304600,0.0,0
2019-07-17,35.94,36.26,35.52,35.62,3858400,0.0,0
2019-07-18,35.55,36.15,35.48,36.0,2797500,0.0,0
2019-07-19,36.13,36.17,35.56,35.63,2086600,0.0,0
2019-07-22,35.8,35.86,35.31,35.35,3381700,0.0,0
2019-07-23,35.58,36.18,35.42,36.05,3642200,0.0,0
2019-07-24,36.0,36.58,35.79,36.52,2096200,0.0,0
2019-07-25,36.5,36.62,36.38,36.4,1893700,0.0,0
2019-07-26,36.6,36.98,36.56,36.79,2114000,0.0,0
2019-07-29,36.7,36.94,36.4,36.4,4636800,0.0,0
2019-07-30,36.18,36.79,36.02,36.78,2569800,0.0,0
2019-07-31,36.77,36.84,35.84,36.0,2847100,0.0,0
2019-08-01,36.07,36.37,35.24,35.55,2556800,0.0,0
2019-08-02,35.52,35.72,34.87,35.25,1966300,0.0,0
2019-08-05,34.69,34.7,34.13,34.69,12816300,0.0,0
2019-08-06,35.54,38.66,35.54,36.32,9586700,0.0,0
2019-08-07,35.42,37.5,35.32,37.47,7644600,0.0,0
2019-08-08,37.41,37.6,36.38,37.46,7532600,0.0,0
2019-08-09,37.28,37.93,37.1,37.9,7251500,0.0,0
2019-08-12,37.8,38.01,36.72,37.85,4634600,0.0,0
2019-08-13,37.85,38.55,37.53,37.72,5853300,0.0,0
2019-08-14,37.26,37.48,36.72,37.07,3663000,0.11,0
2019-08-15,37.29,37.67,36.99,37.05,3186200,0.0,0
2019-08-16,37.31,37.45,36.98,37.01,1249800,0.0,0
2019-08-19,41.44,41.72,39.82,40.08,13481500,0.0,0
2019-08-20,40.05,40.05,39.27,39.27,3800000,0.0,0
