Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,18.65,18.88,18.57,18.7,3252400,0.0,0
2019-02-06,18.26,18.76,17.75,18.22,10541900,0.0,0
2019-02-07,18.19,18.24,17.3,17.64,6946400,0.06,0
2019-02-08,18.06,18.16,16.62,17.06,9983100,0.0,0
2019-02-11,17.26,17.9,17.26,17.45,9027000,0.0,0
2019-02-12,17.56,18.01,17.56,17.88,6004000,0.0,0
2019-02-13,17.96,18.21,17.84,17.85,4740200,0.0,0
2019-02-14,17.8,17.84,17.42,17.45,3977500,0.0,0
2019-02-15,17.59,17.8,17.47,17.51,4910500,0.0,0
2019-02-19,17.68,18.21,17.66,18.02,6580700,0.0,0
2019-02-20,18.02,18.52,17.94,18.35,5153100,0.0,0
2019-02-21,18.31,18.53,18.14,18.2,4489200,0.0,0
2019-02-22,18.31,18.36,17.89,18.24,4071100,0.0,0
2019-02-25,18.31,18.46,18.2,18.37,5000400,0.0,0
2019-02-26,18.31,18.64,18.21,18.38,5377000,0.0,0
2019-02-27,18.34,18.72,18.34,18.59,4039400,0.0,0
2019-02-28,18.5,18.64,18.37,18.45,3300700,0.0,0
2019-03-01,18.57,18.68,18.34,18.65,4746300,0.0,0
2019-03-04,18.83,19.11,18.41,18.45,3939700,0.0,0
2019-03-05,18.5,18.77,18.41,18.57,4821800,0.0,0
2019-03-06,18.57,18.9,18.48,18.57,4824700,0.0,0
2019-03-07,18.52,18.58,17.99,18.28,4455600,0.0,0
2019-03-08,18.17,18.67,18.07,18.45,2864300,0.0,0
2019-03-11,18.2,18.88,18.18,18.76,4996800,0.0,0
2019-03-12,18.75,18.9,18.6,18.82,5101400,0.0,0
2019-03-13,18.87,19.06,18.8,18.9,4015400,0.0,0
2019-03-14,18.86,19.15,18.86,18.9,3734600,0.0,0
2019-03-15,18.88,19.07,18.81,18.94,6252100,0.0,0
2019-03-18,18.98,19.29,18.9,19.18,4311800,0.0,0
2019-03-19,19.23,19.43,18.97,19.07,4349000,0.0,0
2019-03-20,19.03,19.16,18.91,19.03,3572700,0.0,0
2019-03-21,18.9,19.25,18.9,19.15,3916400,0.0,0
2019-03-22,19.01,19.17,18.39,18.67,4364500,0.0,0
2019-03-25,18.64,18.94,18.54,18.56,3911300,0.0,0
2019-03-26,18.73,18.88,18.56,18.75,3416900,0.0,0
2019-03-27,18.8,19.02,18.68,18.87,3166700,0.0,0
2019-03-28,18.93,19.16,18.85,19.08,2923800,0.0,0
2019-03-29,19.2,19.44,19.01,19.06,4664800,0.0,0
2019-04-01,19.3,19.63,19.22,19.61,6698600,0.0,0
2019-04-02,19.59,19.84,19.52,19.7,3481600,0.0,0
2019-04-03,19.83,19.87,19.41,19.53,4383300,0.0,0
2019-04-04,19.5,19.86,19.49,19.82,3714000,0.0,0
2019-04-05,19.89,20.12,19.85,20.06,8900000,0.0,0
2019-04-08,19.91,20.28,19.72,20.21,4299000,0.0,0
2019-04-09,20.04,20.05,19.75,19.95,4124900,0.0,0
2019-04-10,19.95,20.23,19.94,20.03,4003900,0.0,0
2019-04-11,20.06,20.42,20.03,20.32,4173700,0.0,0
2019-04-12,20.49,20.75,20.44,20.66,3624800,0.0,0
2019-04-15,20.65,20.75,20.48,20.5,3987900,0.0,0
2019-04-16,20.63,20.79,20.51,20.63,3479200,0.0,0
2019-04-17,19.95,20.13,19.63,19.87,10357900,0.0,0
2019-04-18,19.93,20.11,19.89,19.99,4445500,0.0,0
2019-04-22,19.88,20.29,19.84,20.23,3370500,0.0,0
2019-04-23,20.35,20.73,20.32,20.63,4009900,0.0,0
2019-04-24,20.72,21.21,20.68,21.05,5382500,0.0,0
2019-04-25,20.95,21.01,20.56,20.59,3748000,0.0,0
