Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,93.8,94.44,93.16,94.16,780700,0.0,0
2019-02-06,94.37,94.54,93.48,93.9,611300,0.455,0
2019-02-07,93.94,95.62,93.6,95.6,915400,0.0,0
2019-02-08,95.38,96.51,95.2,96.46,665800,0.0,0
2019-02-11,95.79,96.94,95.79,96.32,679100,0.0,0
2019-02-12,96.68,96.95,95.56,96.39,668700,0.0,0
2019-02-13,96.03,96.46,95.68,96.16,670100,0.0,0
2019-02-14,96.46,96.72,95.9,95.98,798900,0.0,0
2019-02-15,96.46,96.89,96.11,96.77,909700,0.0,0
2019-02-19,96.62,97.49,96.36,97.41,834300,0.0,0
2019-02-20,96.45,97.68,95.37,97.37,1831700,0.0,0
2019-02-21,97.22,99.15,96.52,99.07,1188700,0.0,0
2019-02-22,99.55,99.92,98.69,99.66,770600,0.0,0
2019-02-25,99.73,100.0,98.69,99.56,755600,0.0,0
2019-02-26,99.91,99.94,98.97,99.72,621700,0.0,0
2019-02-27,99.0,100.1,99.0,99.72,655900,0.0,0
2019-02-28,99.71,100.73,99.24,100.29,1006400,0.0,0
2019-03-01,100.13,100.5,99.73,100.11,735600,0.0,0
2019-03-04,100.11,100.65,99.29,100.38,1328500,0.0,0
2019-03-05,100.46,100.73,99.7,99.94,1217700,0.0,0
2019-03-06,100.04,100.35,99.52,99.74,1037500,0.0,0
2019-03-07,100.06,100.82,99.99,100.32,1225100,0.0,0
2019-03-08,100.36,101.27,100.36,101.19,968700,0.0,0
2019-03-11,101.26,102.73,101.26,102.67,1785800,0.0,0
2019-03-12,102.81,103.76,102.69,103.55,1342900,0.0,0
2019-03-13,103.49,103.99,103.27,103.73,1384700,0.0,0
2019-03-14,103.63,104.4,102.92,103.61,1508100,0.0,0
2019-03-15,103.53,104.96,103.28,104.42,4074400,0.0,0
2019-03-18,104.42,104.56,103.11,103.75,1569800,0.0,0
2019-03-19,103.6,104.02,102.54,102.98,1010900,0.0,0
2019-03-20,103.06,104.06,102.53,103.32,834200,0.0,0
2019-03-21,103.16,104.9,103.16,104.83,650700,0.0,0
2019-03-22,105.25,106.3,104.94,105.38,961200,0.0,0
2019-03-25,105.3,105.88,104.63,105.29,1116800,0.0,0
2019-03-26,105.28,106.08,105.09,105.8,921600,0.0,0
2019-03-27,105.22,105.66,104.09,104.48,936500,0.0,0
2019-03-28,104.59,104.69,102.21,102.95,1201700,0.0,0
2019-03-29,103.07,103.25,102.51,102.89,1532100,0.0,0
2019-04-01,103.06,103.15,101.66,102.49,1410200,0.0,0
2019-04-02,102.79,102.94,101.59,102.35,1149500,0.0,0
2019-04-03,102.24,103.0,101.6,102.67,1155000,0.0,0
2019-04-04,102.73,102.9,102.05,102.5,1189400,0.0,0
2019-04-05,102.39,103.59,102.15,103.55,1054200,0.0,0
2019-04-08,103.33,103.64,102.57,102.78,775900,0.0,0
