Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,71.76,71.93,71.24,71.29,2676800,0.0,0
2019-02-06,71.05,71.55,70.94,71.01,2052000,0.0,0
2019-02-07,70.67,70.9,69.92,70.36,2204700,0.0,0
2019-02-08,70.09,70.76,69.83,70.75,2571100,0.0,0
2019-02-11,70.98,71.28,70.84,70.97,1760800,0.0,0
2019-02-12,71.31,71.78,71.17,71.72,3458700,0.0,0
2019-02-13,71.91,72.19,71.55,71.9,2421100,0.0,0
2019-02-14,71.74,72.19,71.62,71.68,2200700,0.0,0
2019-02-15,72.24,72.74,72.14,72.66,2372300,0.0,0
2019-02-19,72.4,72.95,72.4,72.7,1999500,0.0,0
2019-02-20,72.72,73.44,72.48,73.35,2816700,0.0,0
2019-02-21,73.26,73.61,73.03,73.25,2388300,0.0,0
2019-02-22,73.37,74.04,73.37,73.89,2136500,0.0,0
2019-02-25,74.18,74.93,73.98,74.0,3457200,0.0,0
2019-02-26,73.92,74.23,73.65,74.12,3350500,0.0,0
2019-02-27,73.76,74.84,73.76,74.28,2997900,0.0,0
2019-02-28,74.12,74.4,73.41,74.13,3375100,0.19,0
2019-03-01,74.56,75.49,74.51,75.23,2420500,0.0,0
2019-03-04,75.57,75.64,74.11,74.86,3723900,0.0,0
2019-03-05,74.77,75.26,74.56,75.1,2162600,0.0,0
2019-03-06,75.28,75.37,73.85,74.13,2382200,0.0,0
2019-03-07,74.08,74.36,73.79,74.12,2916900,0.0,0
2019-03-08,73.73,73.98,72.81,73.53,2818400,0.0,0
2019-03-11,73.94,74.54,73.79,74.52,2015800,0.0,0
2019-03-12,74.74,75.1,74.42,75.07,3579400,0.0,0
2019-03-13,75.31,76.04,75.03,75.77,2485500,0.0,0
2019-03-14,75.67,75.97,75.05,75.9,1993200,0.0,0
2019-03-15,75.68,76.51,75.68,76.32,5042400,0.0,0
2019-03-18,76.52,76.52,75.89,76.33,1862200,0.0,0
2019-03-19,76.53,77.12,76.18,76.97,2064000,0.0,0
2019-03-20,77.06,77.12,76.25,76.56,2728800,0.0,0
2019-03-21,76.29,77.83,76.29,77.82,2115000,0.0,0
2019-03-22,77.47,77.89,76.55,76.62,3152200,0.0,0
2019-03-25,76.65,77.42,76.49,77.01,2050900,0.0,0
2019-03-26,77.54,78.32,77.31,78.17,3571500,0.0,0
2019-03-27,78.1,78.71,77.43,78.45,4062700,0.0,0
2019-03-28,78.65,79.21,78.27,79.05,3170100,0.0,0
2019-03-29,79.36,80.77,79.35,80.66,4078700,0.0,0
2019-04-01,81.23,81.59,80.33,81.11,3661300,0.0,0
2019-04-02,81.19,81.19,80.22,80.88,2412200,0.0,0
2019-04-03,81.21,81.29,79.95,80.22,4269700,0.0,0
2019-04-04,79.93,80.18,79.41,79.9,2246700,0.0,0
2019-04-05,79.87,80.3,79.45,80.02,2061900,0.0,0
2019-04-08,79.16,79.58,78.37,79.02,3637800,0.0,0
2019-04-09,78.83,79.87,78.78,79.43,1966600,0.0,0
2019-04-10,79.37,79.91,79.32,79.52,1807300,0.0,0
2019-04-11,79.8,79.8,78.68,79.19,1909600,0.0,0
2019-04-12,79.38,79.48,78.41,78.68,2226200,0.0,0
2019-04-15,78.94,79.31,78.58,78.97,1846300,0.0,0
2019-04-16,79.36,79.62,76.8,77.0,2384400,0.0,0
2019-04-17,77.06,77.07,73.39,73.79,5641700,0.0,0
2019-04-18,73.99,74.26,72.79,73.73,4054400,0.0,0
2019-04-22,73.48,74.93,73.44,74.65,3086400,0.0,0
2019-04-23,75.08,76.25,74.71,75.73,3411800,0.0,0
2019-04-24,75.57,76.39,75.37,75.67,4393700,0.0,0
2019-04-25,74.33,75.81,73.45,75.64,6132900,0.0,0
2019-04-26,75.55,75.84,74.26,75.57,2408000,0.0,0
2019-04-29,75.57,75.57,74.37,74.9,2390300,0.0,0
2019-04-30,75.09,75.84,74.63,75.69,2877900,0.0,0
2019-05-01,75.59,75.68,74.61,74.84,1782800,0.0,0
2019-05-02,74.9,76.15,74.78,75.68,2453300,0.0,0
2019-05-03,76.14,76.96,76.01,76.68,2539200,0.0,0
2019-05-06,75.46,76.91,75.18,76.7,2489500,0.0,0
2019-05-07,76.19,76.67,75.39,76.07,2403500,0.0,0
2019-05-08,76.1,76.46,75.63,76.07,1637900,0.0,0
2019-05-09,75.26,75.63,74.41,75.39,2376400,0.0,0
2019-05-10,75.05,75.7,73.45,75.33,3406700,0.0,0
2019-05-13,74.62,75.29,74.35,74.83,1930900,0.0,0
2019-05-14,75.07,75.86,74.89,75.27,2315100,0.0,0
2019-05-15,74.9,75.5,74.46,75.33,2511800,0.0,0
2019-05-16,75.42,76.59,75.29,76.28,2544600,0.0,0
2019-05-17,75.57,76.53,75.21,75.37,2349100,0.0,0
2019-05-20,75.11,75.36,74.32,74.71,2281400,0.0,0
2019-05-21,75.17,75.56,74.59,74.69,2649300,0.0,0
2019-05-22,74.55,75.18,74.37,74.96,2429100,0.0,0
2019-05-23,74.74,74.91,73.9,74.43,1480800,0.0,0
2019-05-24,74.61,74.93,74.29,74.5,1641900,0.0,0
2019-05-28,74.58,75.24,73.41,73.58,2609400,0.0,0
2019-05-29,73.41,73.6,72.79,73.25,1437200,0.0,0
2019-05-30,73.45,74.07,73.29,73.77,2104100,0.0,0
2019-05-31,72.48,73.22,71.84,72.85,2825500,0.0,0
2019-06-03,73.08,74.12,72.86,73.37,3111900,0.0,0
2019-06-04,74.18,75.85,73.73,75.6,3890500,0.0,0
2019-06-05,76.13,76.98,75.94,76.37,3195700,0.0,0
2019-06-06,76.37,76.97,76.01,76.45,2378900,0.22,0
2019-06-07,76.96,77.72,76.89,77.18,2441500,0.0,0
2019-06-10,77.65,78.03,77.47,77.76,1386000,0.0,0
2019-06-11,78.09,78.37,76.53,77.25,1594200,0.0,0
2019-06-12,77.33,77.84,77.19,77.57,1721900,0.0,0
2019-06-13,77.8,77.87,77.1,77.8,1833000,0.0,0
2019-06-14,78.05,78.51,77.4,77.53,1580700,0.0,0
2019-06-17,77.54,78.63,77.45,78.44,2010900,0.0,0
2019-06-18,79.2,80.21,78.72,80.14,3411800,0.0,0
2019-06-19,80.04,80.99,79.52,80.89,2108100,0.0,0
2019-06-20,81.52,82.37,80.93,81.61,2845500,0.0,0
2019-06-21,81.74,82.29,80.79,81.98,3514300,0.0,0
2019-06-24,82.04,82.21,81.45,81.84,1617800,0.0,0
2019-06-25,81.57,82.23,81.25,81.31,1900800,0.0,0
2019-06-26,81.22,81.51,79.01,80.2,2373100,0.0,0
2019-06-27,80.58,81.43,80.55,81.25,1629300,0.0,0
2019-06-28,81.56,81.6,80.94,81.47,5095100,0.0,0
2019-07-01,82.31,82.34,80.68,81.01,2266800,0.0,0
2019-07-02,81.25,81.32,80.41,81.29,1826700,0.0,0
2019-07-03,81.67,82.06,81.19,81.64,1072900,0.0,0
2019-07-05,81.2,81.71,80.88,81.58,1296800,0.0,0
2019-07-08,81.42,81.56,80.77,81.16,1807000,0.0,0
2019-07-09,81.03,82.07,80.72,80.98,1835200,0.0,0
2019-07-10,81.24,82.28,81.05,81.69,2758600,0.0,0
2019-07-11,82.17,82.42,81.24,82.1,1988300,0.0,0
2019-07-12,82.05,82.2,80.88,81.23,1147500,0.0,0
2019-07-15,81.36,81.75,80.84,81.58,1732800,0.0,0
2019-07-16,81.75,82.33,81.39,81.64,2092600,0.0,0
2019-07-17,82.07,82.3,81.43,82.22,2427700,0.0,0
2019-07-18,82.07,83.49,81.9,82.65,3649900,0.0,0
2019-07-19,82.98,83.35,82.14,82.67,2838700,0.0,0
2019-07-22,82.89,82.96,82.1,82.26,1633600,0.0,0
2019-07-23,82.41,83.13,82.13,82.87,1741400,0.0,0
2019-07-24,83.12,83.64,82.67,83.49,2843600,0.0,0
2019-07-25,84.72,85.67,83.37,84.72,4909900,0.0,0
2019-07-26,85.34,86.2,83.65,84.71,2545100,0.0,0
2019-07-29,84.76,85.57,84.72,85.52,1987900,0.0,0
2019-07-30,85.02,85.83,84.89,85.71,2028600,0.0,0
2019-07-31,85.44,85.65,82.86,83.53,2768800,0.0,0
2019-08-01,83.77,85.7,83.69,84.64,2164600,0.0,0
2019-08-02,84.33,85.0,83.33,84.26,1571600,0.0,0
2019-08-05,83.26,83.56,80.79,81.48,2305000,0.0,0
2019-08-06,81.95,83.0,81.24,82.98,1781700,0.0,0
2019-08-07,82.16,83.5,81.17,83.38,1689100,0.0,0
2019-08-08,83.33,85.35,83.21,85.29,2310800,0.0,0
2019-08-09,85.3,86.23,85.04,85.52,2132800,0.0,0
2019-08-12,85.43,86.36,84.96,85.16,2052900,0.0,0
2019-08-13,85.55,87.82,85.34,87.72,3379000,0.0,0
2019-08-14,86.56,86.9,85.33,85.39,2448700,0.0,0
2019-08-15,85.69,86.62,85.01,85.33,2720400,0.0,0
2019-08-16,85.86,86.96,85.65,86.52,1583100,0.0,0
2019-08-19,87.25,87.77,86.86,87.41,1339200,0.0,0
2019-08-20,87.72,88.02,86.48,86.52,1665600,0.0,0
2019-08-21,86.95,87.35,86.69,86.86,1405200,0.0,0
2019-08-22,86.89,87.33,86.19,86.76,1485400,0.0,0
2019-08-23,86.8,86.89,84.18,84.59,1809000,0.0,0
2019-08-26,85.33,85.57,84.55,85.32,1918800,0.0,0
2019-08-27,85.57,86.6,85.31,85.94,1891900,0.0,0
2019-08-28,85.63,86.81,85.57,86.48,1285400,0.0,0
2019-08-29,87.22,87.49,86.23,87.27,1163400,0.22,0
2019-08-30,87.79,87.97,87.1,87.72,3789700,0.0,0
2019-09-03,87.39,87.77,86.74,87.55,3392400,0.0,0
2019-09-04,88.15,88.17,86.77,87.27,1653000,0.0,0
2019-09-05,87.88,88.09,87.19,87.68,1930800,0.0,0
2019-09-06,88.26,89.69,87.99,89.54,2994600,0.0,0
2019-09-09,89.42,89.57,86.81,86.97,2838000,0.0,0
2019-09-10,86.53,87.0,84.23,85.68,3847500,0.0,0
2019-09-11,85.49,87.47,85.49,86.48,2585300,0.0,0
2019-09-12,87.07,87.98,86.87,87.59,1948500,0.0,0
2019-09-13,87.53,87.98,86.53,86.7,1869200,0.0,0
2019-09-16,86.33,87.49,86.32,86.69,1765500,0.0,0
2019-09-17,86.99,87.99,86.28,87.34,1960200,0.0,0
2019-09-18,87.46,87.97,86.56,87.21,1807200,0.0,0
2019-09-19,87.15,87.94,86.91,87.23,1683400,0.0,0
2019-09-20,87.47,88.17,86.87,87.17,10427500,0.0,0
2019-09-23,87.15,87.33,86.37,86.61,3625100,0.0,0
2019-09-24,86.77,87.45,85.73,86.22,2675300,0.0,0
2019-09-25,86.12,86.67,86.02,86.57,1883300,0.0,0
2019-09-26,87.13,87.74,86.88,87.5,2657800,0.0,0
2019-09-27,87.69,87.69,85.48,85.7,2169800,0.0,0
2019-09-30,85.92,87.66,85.86,87.24,2801100,0.0,0
2019-10-01,87.41,87.71,85.59,85.68,1991500,0.0,0
2019-10-02,85.29,85.53,83.54,84.01,2129100,0.0,0
2019-10-03,83.78,85.31,83.26,85.01,3113100,0.0,0
2019-10-04,85.59,86.45,85.26,86.41,1319300,0.0,0
2019-10-07,86.0,86.27,85.53,85.56,1205200,0.0,0
2019-10-08,85.09,85.77,84.45,84.78,2497900,0.0,0
2019-10-09,85.56,86.95,85.56,86.67,2214200,0.0,0
2019-10-10,86.14,87.76,86.14,87.38,2691400,0.0,0
2019-10-11,88.26,88.76,87.65,87.8,2283400,0.0,0
2019-10-14,87.77,88.07,86.9,86.97,1632100,0.0,0
2019-10-15,87.44,87.73,86.79,87.51,1350200,0.0,0
2019-10-16,87.02,87.82,86.14,86.79,2301700,0.0,0
2019-10-17,87.27,87.91,86.94,87.62,1529200,0.0,0
2019-10-18,87.4,88.03,87.27,87.76,1769400,0.0,0
2019-10-21,88.24,88.86,88.12,88.21,1694200,0.0,0
2019-10-22,88.34,88.47,86.76,86.81,1475400,0.0,0
2019-10-23,87.06,88.1,87.06,87.72,2784800,0.0,0
2019-10-24,79.29,81.95,76.82,78.87,12806500,0.0,0
2019-10-25,76.93,77.76,75.47,77.07,9896900,0.0,0
2019-10-28,77.14,78.71,76.8,77.64,3658800,0.0,0
2019-10-29,77.55,78.11,76.85,77.65,2965900,0.0,0
2019-10-30,77.72,77.77,76.03,76.67,5089500,0.0,0
2019-10-31,76.66,76.83,76.22,76.5,4535700,0.0,0
2019-11-01,76.91,78.18,76.83,77.7,5046700,0.0,0
2019-11-04,78.0,78.28,76.92,77.62,3026000,0.0,0
2019-11-05,77.83,77.83,76.9,77.27,2638000,0.0,0
2019-11-06,77.35,78.42,77.11,78.16,3214900,0.0,0
2019-11-07,77.74,78.1,77.29,77.79,3535500,0.0,0
2019-11-08,77.57,78.46,77.47,78.3,3037500,0.0,0
2019-11-11,78.11,79.14,77.99,78.65,3040500,0.0,0
2019-11-12,79.02,80.63,78.79,79.89,4688100,0.0,0
