Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,49.31,49.93,48.09,48.97,1393300,0.0,0
2019-02-06,48.85,49.44,48.41,48.43,1082500,0.0,0
2019-02-07,48.15,48.84,48.0,48.48,1202500,0.0,0
2019-02-08,48.34,48.68,47.46,48.26,1043100,0.0,0
2019-02-11,48.45,48.68,46.98,47.45,1406100,0.0,0
2019-02-12,47.83,48.29,47.35,47.84,1405600,0.0,0
2019-02-13,47.86,48.53,47.71,48.2,1069200,0.0,0
2019-02-14,47.99,49.52,47.8,49.17,1249900,0.0,0
2019-02-15,49.57,50.77,48.95,50.55,1539400,0.0,0
2019-02-19,50.65,51.38,50.08,51.01,1072700,0.0,0
2019-02-20,51.06,51.74,50.97,51.39,1158000,0.0,0
2019-02-21,51.4,52.3,51.01,51.21,601500,0.0,0
2019-02-22,51.24,52.14,51.15,52.13,704100,0.0,0
2019-02-25,54.08,54.62,52.62,53.06,1106300,0.21,0
2019-02-26,52.68,53.11,52.12,52.13,1007200,0.0,0
2019-02-27,52.1,52.29,51.4,51.69,701000,0.0,0
2019-02-28,51.66,52.16,51.3,52.04,612700,0.0,0
2019-03-01,52.3,53.12,51.96,52.89,688400,0.0,0
2019-03-04,53.04,53.61,51.99,52.12,797300,0.0,0
2019-03-05,52.22,52.38,51.63,52.02,662000,0.0,0
2019-03-06,52.3,52.55,51.95,52.21,780400,0.0,0
2019-03-07,51.95,52.17,50.69,51.4,747500,0.0,0
2019-03-08,50.81,51.2,50.32,51.15,533500,0.0,0
2019-03-11,51.31,51.76,50.94,51.68,471300,0.0,0
2019-03-12,51.84,52.55,51.52,52.21,520200,0.0,0
2019-03-13,52.32,53.06,52.08,52.32,985100,0.0,0
2019-03-14,52.07,52.75,51.96,52.26,1283000,0.0,0
2019-03-15,52.41,52.84,51.79,51.87,1001200,0.0,0
2019-03-18,51.95,52.29,51.73,52.24,689600,0.0,0
2019-03-19,52.52,53.15,51.83,51.97,1016600,0.0,0
2019-03-20,51.77,52.05,50.19,50.72,776400,0.0,0
2019-03-21,50.55,51.57,50.34,51.24,630800,0.0,0
2019-03-22,50.79,50.79,49.05,49.07,856000,0.0,0
2019-03-25,49.01,49.37,48.65,49.08,550400,0.0,0
2019-03-26,49.32,50.01,48.64,49.19,555400,0.0,0
2019-03-27,49.27,49.28,48.32,48.94,747500,0.0,0
2019-03-28,48.9,49.67,48.84,49.33,501800,0.0,0
2019-03-29,49.6,49.99,49.09,49.66,623700,0.0,0
2019-04-01,49.96,50.5,49.73,50.26,466200,0.0,0
2019-04-02,50.19,50.19,49.5,49.87,446300,0.0,0
2019-04-03,50.43,50.51,49.84,49.98,615600,0.0,0
2019-04-04,49.9,51.13,49.88,50.95,654300,0.0,0
2019-04-05,51.21,51.72,50.93,51.63,315400,0.0,0
2019-04-08,51.74,52.1,51.41,51.61,569400,0.0,0
2019-04-09,51.33,51.46,50.34,50.48,282300,0.0,0
2019-04-10,50.64,51.58,50.35,51.39,690400,0.0,0
2019-04-11,51.43,51.73,50.99,51.09,1048000,0.0,0
2019-04-12,51.45,52.2,51.21,52.08,822800,0.0,0
2019-04-15,51.95,52.76,51.95,52.53,526400,0.0,0
2019-04-16,52.65,53.27,52.33,52.9,544300,0.0,0
2019-04-17,52.89,53.46,52.86,52.9,688000,0.0,0
2019-04-18,52.82,52.87,52.12,52.5,812100,0.0,0
2019-04-22,52.06,52.2,51.36,51.81,559500,0.0,0
2019-04-23,51.81,52.88,51.45,52.72,1412000,0.0,0
2019-04-24,52.94,54.04,52.72,53.76,1298500,0.0,0
2019-04-25,48.36,50.83,47.86,47.86,4495000,0.0,0
2019-04-26,47.5,50.52,47.13,49.78,2769300,0.0,0
2019-04-29,49.93,50.96,49.72,50.12,1169100,0.0,0
2019-04-30,50.41,50.79,49.96,50.53,1316400,0.0,0
2019-05-01,50.52,51.06,50.33,50.39,881700,0.0,0
2019-05-02,50.47,51.11,50.1,51.04,671200,0.0,0
2019-05-03,51.27,52.19,50.84,52.08,822900,0.0,0
2019-05-06,51.79,53.31,51.02,52.73,2774100,0.0,0
2019-05-07,52.07,52.2,50.3,50.57,1678600,0.0,0
2019-05-08,50.41,51.4,49.68,49.85,1547400,0.0,0
2019-05-09,49.29,50.57,48.9,50.51,967400,0.0,0
2019-05-10,50.14,50.84,49.26,50.78,882800,0.0,0
2019-05-13,49.33,49.66,48.44,49.4,1694800,0.0,0
2019-05-14,49.51,49.8,49.22,49.54,713000,0.0,0
2019-05-15,48.99,49.3,48.44,48.9,1086700,0.0,0
2019-05-16,49.31,49.72,48.21,48.29,1113200,0.0,0
2019-05-17,47.61,47.7,46.34,46.44,1565100,0.0,0
2019-05-20,46.12,46.35,45.66,46.08,1618100,0.21,0
2019-05-21,46.41,47.24,46.3,47.24,674900,0.0,0
2019-05-22,46.85,47.29,46.06,46.55,1085300,0.0,0
2019-05-23,46.08,46.08,44.69,45.14,1247200,0.0,0
2019-05-24,45.22,45.22,42.8,42.9,1701900,0.0,0
2019-05-28,42.85,43.47,41.83,42.3,1542100,0.0,0
2019-05-29,42.12,42.19,41.24,41.69,1227200,0.0,0
2019-05-30,42.03,42.72,41.76,42.28,1226500,0.0,0
2019-05-31,41.96,41.96,40.81,41.12,1405000,0.0,0
2019-06-03,40.81,41.92,40.66,41.33,1083800,0.0,0
2019-06-04,41.97,43.1,41.8,42.82,1135700,0.0,0
2019-06-05,43.08,43.41,41.81,43.29,1039400,0.0,0
2019-06-06,43.15,43.32,41.76,42.34,1443100,0.0,0
2019-06-07,42.49,43.15,42.28,42.87,1955000,0.0,0
2019-06-10,43.18,44.07,42.99,43.09,1644700,0.0,0
2019-06-11,43.31,43.77,43.11,43.55,1364700,0.0,0
2019-06-12,43.62,43.93,43.2,43.7,1210400,0.0,0
2019-06-13,43.8,44.74,43.73,44.2,1100100,0.0,0
2019-06-14,44.05,44.48,43.65,44.36,935300,0.0,0
2019-06-17,44.74,45.01,44.1,44.59,856000,0.0,0
2019-06-18,44.93,46.05,44.68,45.67,1790400,0.0,0
2019-06-19,45.61,45.95,45.38,45.84,805700,0.0,0
2019-06-20,46.58,47.04,46.3,46.83,1270400,0.0,0
2019-06-21,46.71,46.88,46.25,46.64,1263200,0.0,0
2019-06-24,46.61,46.72,45.13,45.21,1212900,0.0,0
2019-06-25,45.22,45.64,44.44,44.75,2323600,0.0,0
2019-06-26,44.79,44.96,44.26,44.91,1069600,0.0,0
2019-06-27,44.01,44.92,43.4,44.0,2046500,0.0,0
2019-06-28,44.39,45.97,44.36,45.49,1762000,0.0,0
2019-07-01,44.97,45.95,44.49,45.08,1260700,0.0,0
2019-07-02,45.0,45.2,44.65,44.98,1762700,0.0,0
2019-07-03,45.26,45.63,44.95,45.57,303700,0.0,0
2019-07-05,45.26,45.49,44.77,44.81,849500,0.0,0
2019-07-08,44.56,44.92,43.74,44.16,1240600,0.0,0
2019-07-09,43.88,43.97,43.41,43.77,1098400,0.0,0
2019-07-10,44.17,44.37,43.55,44.34,880200,0.0,0
2019-07-11,44.39,44.45,43.6,44.25,848300,0.0,0
2019-07-12,44.39,45.78,44.14,45.73,921700,0.0,0
2019-07-15,45.78,46.06,45.35,45.87,599300,0.0,0
2019-07-16,45.81,47.3,45.8,47.14,915100,0.0,0
2019-07-17,46.76,47.04,46.23,46.25,989800,0.0,0
2019-07-18,46.25,46.6,45.88,46.32,877200,0.0,0
2019-07-19,46.63,47.32,45.26,45.32,1936500,0.0,0
2019-07-22,43.17,43.74,42.56,43.02,2705200,0.0,0
2019-07-23,43.35,45.39,43.25,45.14,1887300,0.0,0
2019-07-24,45.04,46.56,44.88,46.4,1998300,0.0,0
2019-07-25,47.4,49.46,45.82,46.27,3808000,0.0,0
2019-07-26,46.72,47.92,46.37,47.44,1743100,0.0,0
2019-07-29,47.24,47.64,46.84,47.34,1483000,0.0,0
2019-07-30,47.12,47.93,46.42,47.92,956900,0.0,0
2019-07-31,47.89,49.0,47.64,48.73,2207700,0.0,0
2019-08-01,48.59,48.89,47.39,48.04,2830200,0.0,0
2019-08-02,47.59,47.89,46.71,47.01,1348300,0.0,0
2019-08-05,46.03,46.24,44.86,45.06,1622200,0.0,0
2019-08-06,45.37,45.84,45.03,45.8,1064700,0.0,0
2019-08-07,45.11,46.62,44.68,46.55,914200,0.0,0
2019-08-08,46.87,48.03,46.51,47.86,1060100,0.0,0
2019-08-09,47.49,47.97,47.13,47.57,958100,0.0,0
2019-08-12,47.34,47.45,46.07,46.11,587100,0.0,0
2019-08-13,46.06,47.83,45.74,46.25,801400,0.0,0
2019-08-14,45.18,45.22,43.72,43.91,1210600,0.0,0
2019-08-15,43.93,43.93,42.59,42.68,1166200,0.0,0
2019-08-16,43.02,43.91,42.59,43.74,1345100,0.0,0
2019-08-19,44.62,45.14,44.42,44.96,848200,0.21,0
2019-08-20,44.66,45.12,43.53,44.88,1000900,0.0,0
2019-08-21,45.43,46.0,45.42,45.54,935500,0.0,0
2019-08-22,45.66,46.41,45.02,46.33,843300,0.0,0
2019-08-23,45.79,45.87,43.82,43.98,931500,0.0,0
2019-08-26,44.7,45.09,43.49,43.58,917700,0.0,0
2019-08-27,44.09,44.11,42.69,42.85,741200,0.0,0
2019-08-28,42.6,44.11,42.4,44.03,745200,0.0,0
2019-08-29,44.67,46.13,44.6,45.95,1007600,0.0,0
2019-08-30,46.43,47.43,46.27,46.41,951500,0.0,0
2019-09-03,46.02,46.02,44.52,44.99,725300,0.0,0
2019-09-04,47.5,48.04,46.83,46.95,1332200,0.0,0
2019-09-05,47.84,49.85,47.75,49.18,1459500,0.0,0
2019-09-06,49.19,49.89,48.57,49.26,815000,0.0,0
2019-09-09,49.82,51.47,49.38,51.44,1121800,0.0,0
2019-09-10,51.38,52.92,50.81,52.83,1578000,0.0,0
2019-09-11,52.8,54.14,51.75,54.08,1014500,0.0,0
2019-09-12,54.3,54.53,52.48,53.61,1129200,0.0,0
2019-09-13,53.87,54.37,53.22,53.46,795800,0.0,0
2019-09-16,53.03,53.84,52.71,53.58,866100,0.0,0
2019-09-17,53.25,53.88,52.81,53.76,792700,0.0,0
2019-09-18,53.52,53.76,52.74,53.12,774300,0.0,0
2019-09-19,53.26,53.77,53.02,53.3,928100,0.0,0
2019-09-20,53.53,53.96,52.09,52.1,1564900,0.0,0
2019-09-23,51.69,52.51,51.53,51.81,878600,0.0,0
2019-09-24,52.05,52.4,50.71,50.79,778500,0.0,0
2019-09-25,50.7,52.11,50.7,51.95,782500,0.0,0
2019-09-26,51.9,52.13,51.29,51.41,564500,0.0,0
2019-09-27,51.65,52.11,51.29,51.53,508500,0.0,0
2019-09-30,51.64,52.63,51.57,51.91,519100,0.0,0
2019-10-01,52.21,53.03,51.16,51.29,392900,0.0,0
2019-10-02,50.91,50.98,49.8,50.18,651800,0.0,0
2019-10-03,49.96,50.69,49.16,50.62,640500,0.0,0
2019-10-04,50.68,51.27,50.46,51.24,336900,0.0,0
2019-10-07,51.13,51.44,50.5,50.97,402500,0.0,0
2019-10-08,50.48,51.02,50.08,50.4,542000,0.0,0
2019-10-09,50.95,51.39,50.67,51.06,520500,0.0,0
2019-10-10,51.4,52.29,51.15,51.59,388500,0.0,0
2019-10-11,52.43,53.57,52.43,53.2,692000,0.0,0
2019-10-14,52.95,53.71,52.48,53.44,487500,0.0,0
2019-10-15,53.56,54.87,53.18,54.78,756100,0.0,0
2019-10-16,54.46,55.26,54.44,55.22,728800,0.0,0
2019-10-17,54.02,54.26,53.2,53.52,1434500,0.0,0
2019-10-18,53.43,54.84,53.16,54.56,1030700,0.0,0
2019-10-21,55.12,55.69,54.46,54.51,936900,0.0,0
2019-10-22,55.15,56.69,54.91,56.39,1323500,0.0,0
2019-10-23,56.3,57.41,55.33,57.31,1361800,0.0,0
2019-10-24,58.14,58.93,55.63,58.16,1519900,0.0,0
2019-10-25,58.2,59.91,58.16,58.62,2025700,0.0,0
2019-10-28,59.01,60.37,58.97,59.83,1100500,0.0,0
2019-10-29,59.46,59.73,59.08,59.27,1149900,0.0,0
2019-10-30,59.33,59.33,58.28,58.78,864700,0.0,0
2019-10-31,58.53,58.87,57.45,58.0,1149100,0.0,0
2019-11-01,58.42,58.73,57.93,58.56,917000,0.0,0
2019-11-04,59.26,60.31,58.51,59.76,1590600,0.0,0
2019-11-05,60.1,61.75,59.85,60.23,1083300,0.0,0
2019-11-06,60.25,60.77,59.94,60.47,941700,0.0,0
2019-11-07,61.11,61.98,60.43,60.66,766300,0.0,0
2019-11-08,60.41,61.1,60.38,60.59,510300,0.0,0
2019-11-11,60.18,60.72,59.94,60.2,427400,0.0,0
2019-11-12,60.25,60.55,59.64,59.66,825200,0.0,0
