Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,50.22,50.67,49.95,50.6,472000,0,0
2019-02-06,50.62,51.01,50.36,50.76,515500,0,0
2019-02-07,50.45,50.72,49.97,50.29,708800,0,0
2019-02-08,50.12,50.82,50.12,50.69,465000,0,0
2019-02-11,51.0,51.22,50.44,50.55,768500,0,0
2019-02-12,50.8,51.54,50.48,51.07,1492200,0,0
2019-02-13,50.24,51.86,49.03,51.78,1597500,0,0
2019-02-14,51.54,52.36,51.03,52.12,1644500,0,0
2019-02-15,52.45,52.62,51.84,52.38,618300,0,0
2019-02-19,52.57,52.69,52.31,52.44,876500,0,0
2019-02-20,52.45,52.61,52.08,52.3,964400,0,0
2019-02-21,52.3,52.44,51.81,52.03,1131200,0,0
2019-02-22,52.09,52.37,51.91,52.29,1394000,0,0
2019-02-25,52.46,52.75,51.96,52.0,1304200,0,0
2019-02-26,51.88,52.16,51.74,51.9,533100,0,0
2019-02-27,51.65,52.41,51.53,52.37,829400,0,0
2019-02-28,52.36,52.48,52.12,52.25,1044200,0,0
2019-03-01,52.55,52.89,52.0,52.75,1589600,0,0
2019-03-04,52.8,52.92,52.02,52.35,636500,0,0
2019-03-05,52.28,52.47,52.04,52.23,711400,0,0
2019-03-06,52.27,52.37,51.7,51.75,288200,0,0
2019-03-07,51.69,51.88,51.24,51.74,317600,0,0
2019-03-08,51.28,51.98,51.05,51.8,858100,0,0
2019-03-11,52.02,52.27,51.97,52.1,573000,0,0
2019-03-12,52.17,52.79,51.91,52.05,1155500,0,0
2019-03-13,52.16,52.85,51.96,52.49,1853900,0,0
2019-03-14,52.54,52.83,52.25,52.6,1344100,0,0
2019-03-15,52.7,52.83,52.37,52.52,1108600,0,0
2019-03-18,52.64,52.69,51.95,52.54,480500,0,0
2019-03-19,52.71,53.24,52.32,52.62,811300,0,0
2019-03-20,52.6,53.21,52.37,52.72,386500,0,0
2019-03-21,52.55,53.31,52.41,53.23,277800,0,0
2019-03-22,53.02,53.39,52.54,52.69,391800,0,0
2019-03-25,52.46,52.97,52.2,52.7,512400,0,0
2019-03-26,53.13,53.58,52.97,53.55,294600,0,0
2019-03-27,53.56,54.02,53.25,53.87,514600,0,0
2019-03-28,54.0,54.69,53.8,54.59,528900,0,0
2019-03-29,54.7,54.83,54.21,54.5,861500,0,0
2019-04-01,54.75,54.88,54.3,54.38,578500,0,0
2019-04-02,54.45,54.45,53.86,54.06,912000,0,0
2019-04-03,54.26,54.56,53.93,54.2,678300,0,0
2019-04-04,54.19,54.5,53.84,54.1,581100,0,0
2019-04-05,54.14,54.36,54.0,54.22,899500,0,0
2019-04-08,54.23,54.4,53.63,54.14,1122200,0,0
2019-04-09,54.06,54.35,54.06,54.24,464400,0,0
2019-04-10,54.58,54.7,54.3,54.63,597300,0,0
2019-04-11,54.63,54.63,54.28,54.47,514900,0,0
2019-04-12,54.7,54.7,54.18,54.65,1122100,0,0
2019-04-15,54.48,54.95,54.36,54.72,757700,0,0
2019-04-16,54.91,55.41,54.71,54.94,409400,0,0
2019-04-17,55.08,55.19,54.56,54.65,295800,0,0
2019-04-18,54.67,54.97,54.06,54.87,304600,0,0
2019-04-22,54.78,55.18,54.65,55.07,476300,0,0
2019-04-23,55.12,56.08,54.74,55.82,351700,0,0
2019-04-24,55.78,56.06,55.48,55.62,299900,0,0
2019-04-25,55.59,55.95,55.15,55.86,276100,0,0
2019-04-26,55.99,56.67,55.99,56.66,416000,0,0
2019-04-29,56.58,56.58,56.1,56.14,410300,0,0
2019-04-30,56.24,56.73,55.85,56.42,730200,0,0
2019-05-01,55.84,56.1,53.94,54.53,2045400,0,0
2019-05-02,54.59,55.25,54.13,55.16,1006900,0,0
2019-05-03,55.39,55.44,54.83,54.96,834000,0,0
2019-05-06,54.4,55.41,54.4,54.99,462800,0,0
2019-05-07,54.65,54.91,54.04,54.38,541100,0,0
2019-05-08,54.29,55.26,54.28,54.55,456100,0,0
2019-05-09,54.15,54.47,53.59,54.32,397800,0,0
2019-05-10,54.03,54.91,54.01,54.71,439100,0,0
2019-05-13,53.94,54.55,53.85,54.05,628900,0,0
2019-05-14,54.11,54.59,53.98,54.16,438900,0,0
2019-05-15,53.87,55.12,53.87,55.12,366400,0,0
2019-05-16,55.32,56.2,55.26,55.97,475100,0,0
2019-05-17,55.65,56.69,55.65,56.39,677200,0,0
2019-05-20,56.38,56.61,55.66,55.77,634400,0,0
2019-05-21,55.99,57.07,55.88,56.87,853000,0,0
2019-05-22,56.71,57.97,56.66,57.72,1383400,0,0
2019-05-23,57.29,57.4,56.29,56.49,437400,0,0
2019-05-24,56.83,57.63,56.64,56.69,789000,0,0
2019-05-28,56.83,57.34,56.62,57.14,538100,0,0
2019-05-29,57.05,57.46,56.85,57.14,987200,0,0
2019-05-30,57.28,57.71,56.59,56.75,798200,0,0
2019-05-31,56.36,56.79,55.96,56.69,767700,0,0
2019-06-03,59.49,59.52,56.85,57.17,1127000,0,0
2019-06-04,57.5,59.29,57.5,59.24,1536800,0,0
2019-06-05,59.4,59.94,59.02,59.5,976500,0,0
2019-06-06,59.53,59.85,59.27,59.83,916700,0,0
2019-06-07,60.52,61.04,60.33,60.82,915000,0,0
2019-06-10,61.13,61.97,60.8,61.73,1558700,0,0
2019-06-11,61.92,62.21,60.24,60.6,1082900,0,0
2019-06-12,60.65,61.04,60.0,60.1,680000,0,0
2019-06-13,60.22,60.36,59.43,59.79,557200,0,0
