Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.44,17.55,17.37,17.45,1360000,0.0,0
2019-02-06,17.57,17.59,17.43,17.45,1827600,0.0,0
2019-02-07,17.93,18.52,17.9,18.45,5482300,0.0,0
2019-02-08,18.45,18.73,18.38,18.62,1371900,0.0,0
2019-02-11,18.89,18.94,18.69,18.73,3144900,0.0,0
2019-02-12,18.76,19.01,18.63,18.64,1977800,0.0,0
2019-02-13,18.63,18.76,18.6,18.67,1562200,0.0,0
2019-02-14,18.72,18.73,18.6,18.64,1142500,0.0,0
2019-02-15,18.68,18.76,18.64,18.68,1317100,0.0,0
2019-02-19,18.73,18.73,18.58,18.7,1583200,0.0,0
2019-02-20,18.68,18.74,18.51,18.56,1463700,0.0,0
2019-02-21,18.56,18.67,18.4,18.54,1248800,0.0,0
2019-02-22,18.54,18.76,18.54,18.71,868900,0.0,0
2019-02-25,18.8,18.8,18.58,18.64,1035400,0.0,0
2019-02-26,18.65,18.65,18.51,18.52,1333500,0.0,0
2019-02-27,18.56,18.66,18.38,18.42,1826300,0.33,0
2019-02-28,18.52,18.76,18.46,18.62,4322500,0.0,0
2019-03-01,18.79,18.79,18.23,18.26,1631400,0.0,0
2019-03-04,18.32,18.41,18.18,18.39,990800,0.0,0
2019-03-05,18.37,18.51,18.29,18.45,1078300,0.0,0
2019-03-06,18.42,18.53,18.39,18.46,1128600,0.0,0
2019-03-07,18.54,18.61,18.47,18.54,1033600,0.0,0
2019-03-08,18.52,18.56,18.23,18.28,1195000,0.0,0
2019-03-11,18.32,18.61,18.32,18.53,1018600,0.0,0
2019-03-12,18.57,18.86,18.54,18.79,1027400,0.0,0
2019-03-13,18.85,19.21,18.84,18.98,1833400,0.0,0
2019-03-14,19.03,19.19,18.95,18.98,1171000,0.0,0
2019-03-15,18.98,19.1,18.94,18.97,3571400,0.0,0
2019-03-18,19.0,19.15,18.85,18.91,1086700,0.0,0
2019-03-19,18.98,19.14,18.98,19.06,926800,0.0,0
2019-03-20,19.08,19.24,19.0,19.16,1872400,0.0,0
2019-03-21,19.15,19.54,19.15,19.44,2670500,0.0,0
2019-03-22,19.46,19.48,19.24,19.37,1554800,0.0,0
2019-03-25,19.25,19.35,19.06,19.14,2322400,0.0,0
2019-03-26,19.24,19.35,18.95,18.98,1987900,0.0,0
2019-03-27,19.13,19.7,19.13,19.64,3153300,0.0,0
2019-03-28,19.61,19.7,19.46,19.66,1537100,0.0,0
2019-03-29,19.67,19.71,19.4,19.45,4040800,0.0,0
2019-04-01,19.45,19.72,19.45,19.72,1419500,0.0,0
2019-04-02,19.68,19.9,19.62,19.78,1242400,0.0,0
2019-04-03,19.82,20.02,19.8,19.93,960000,0.0,0
2019-04-04,19.97,20.06,19.83,19.89,842800,0.0,0
2019-04-05,19.9,19.97,19.8,19.84,595900,0.0,0
2019-04-08,19.78,20.03,19.57,20.01,1256200,0.0,0
2019-04-09,19.97,20.04,19.67,19.7,1001300,0.0,0
2019-04-10,19.73,20.06,19.71,20.0,1040600,0.0,0
2019-04-11,20.02,20.11,19.94,20.07,785300,0.0,0
2019-04-12,20.07,20.11,19.59,19.87,896200,0.0,0
2019-04-15,19.94,20.07,19.82,20.06,1292700,0.0,0
2019-04-16,20.06,20.08,19.8,19.88,950900,0.0,0
2019-04-17,19.9,19.97,19.63,19.73,1963900,0.0,0
2019-04-18,19.73,19.91,19.67,19.81,639600,0.0,0
2019-04-22,19.8,19.91,19.68,19.75,888400,0.0,0
2019-04-23,19.75,19.81,19.61,19.68,1535000,0.0,0
2019-04-24,19.76,19.78,19.63,19.7,1291500,0.0,0
2019-04-25,19.71,20.03,19.57,19.96,492400,0.0,0
2019-04-26,19.98,20.01,19.89,19.98,674100,0.0,0
2019-04-29,20.01,20.07,19.75,19.77,1088300,0.0,0
2019-04-30,19.75,19.89,19.71,19.77,539400,0.0,0
2019-05-01,19.78,19.89,19.73,19.81,537400,0.0,0
2019-05-02,19.79,19.92,19.67,19.77,494200,0.0,0
2019-05-03,19.81,19.98,19.76,19.91,893700,0.0,0
2019-05-06,19.81,19.97,19.72,19.76,716000,0.0,0
2019-05-07,19.73,19.73,19.03,19.12,1163400,0.0,0
2019-05-08,19.08,19.24,18.99,19.08,835400,0.0,0
2019-05-09,19.05,19.11,18.9,18.92,992500,0.0,0
2019-05-10,18.89,18.96,18.71,18.95,802500,0.0,0
2019-05-13,18.91,18.98,18.74,18.93,741000,0.0,0
2019-05-14,18.84,18.98,18.74,18.76,1804900,0.0,0
2019-05-15,18.76,18.96,18.63,18.9,1218600,0.0,0
2019-05-16,18.88,19.05,18.83,18.92,2070500,0.0,0
2019-05-17,18.81,18.98,18.79,18.82,1396300,0.0,0
2019-05-20,18.81,18.83,18.41,18.47,1453900,0.0,0
2019-05-21,18.49,18.94,18.42,18.93,1359900,0.0,0
2019-05-22,18.92,19.16,18.79,18.82,1715100,0.0,0
2019-05-23,18.78,18.78,18.49,18.55,1459500,0.0,0
2019-05-24,18.61,18.71,18.55,18.63,1543100,0.0,0
2019-05-28,18.75,19.03,18.5,18.51,13581500,0.0,0
2019-05-29,18.52,18.58,17.99,18.02,2017000,0.0,0
2019-05-30,18.1,18.32,17.69,17.7,1772100,0.33,0
2019-05-31,17.63,17.92,17.47,17.81,2282100,0.0,0
2019-06-03,17.79,17.96,17.55,17.59,2105600,0.0,0
2019-06-04,17.67,18.25,17.67,18.2,2319700,0.0,0
2019-06-05,18.3,18.35,18.18,18.3,1787000,0.0,0
2019-06-06,18.34,18.55,18.06,18.5,3333600,0.0,0
2019-06-07,18.56,18.68,18.44,18.45,1419600,0.0,0
2019-06-10,18.5,18.52,17.93,18.15,2700200,0.0,0
2019-06-11,18.22,18.33,18.07,18.27,1552300,0.0,0
2019-06-12,18.3,18.35,18.06,18.06,1631000,0.0,0
2019-06-13,18.09,18.24,18.03,18.24,1002800,0.0,0
2019-06-14,18.17,18.2,17.85,17.9,2105600,0.0,0
2019-06-17,17.9,18.06,17.85,18.02,2120100,0.0,0
2019-06-18,18.16,18.31,18.1,18.2,1535900,0.0,0
2019-06-19,18.26,18.62,18.19,18.57,1880500,0.0,0
2019-06-20,18.63,19.28,18.59,18.94,2365600,0.0,0
2019-06-21,18.89,18.92,18.72,18.91,2983200,0.0,0
2019-06-24,18.86,18.91,18.78,18.8,1452500,0.0,0
2019-06-25,18.79,18.91,18.5,18.51,1519000,0.0,0
2019-06-26,18.58,18.6,18.04,18.05,1594100,0.0,0
2019-06-27,18.06,18.34,18.06,18.21,2095100,0.0,0
2019-06-28,18.26,18.32,18.19,18.25,4251200,0.0,0
2019-07-01,18.45,18.5,18.06,18.13,967500,0.0,0
2019-07-02,18.12,18.44,18.12,18.35,971100,0.0,0
2019-07-03,18.37,18.6,18.36,18.58,592200,0.0,0
2019-07-05,18.46,18.66,18.37,18.65,627000,0.0,0
2019-07-08,18.65,18.71,18.58,18.68,603300,0.0,0
2019-07-09,18.63,18.7,18.58,18.7,499300,0.0,0
2019-07-10,18.74,18.8,18.58,18.63,523500,0.0,0
2019-07-11,18.6,18.64,18.27,18.27,1003800,0.0,0
2019-07-12,18.27,18.48,18.23,18.44,962800,0.0,0
2019-07-15,18.46,18.62,18.31,18.35,855200,0.0,0
2019-07-16,18.35,18.37,18.13,18.17,692300,0.0,0
2019-07-17,18.21,18.31,18.08,18.19,745500,0.0,0
2019-07-18,18.17,18.34,18.09,18.29,668800,0.0,0
2019-07-19,18.32,18.37,18.07,18.07,1051000,0.0,0
2019-07-22,18.06,18.11,17.92,17.95,774400,0.0,0
2019-07-23,17.97,18.27,17.94,18.27,568800,0.0,0
2019-07-24,18.28,18.44,18.25,18.41,654000,0.0,0
2019-07-25,18.47,18.51,18.33,18.39,436700,0.0,0
2019-07-26,18.42,18.5,18.31,18.46,529700,0.0,0
2019-07-29,18.48,18.7,18.48,18.6,442900,0.0,0
2019-07-30,18.59,18.76,18.55,18.76,847700,0.0,0
2019-07-31,18.77,18.87,18.62,18.65,648700,0.0,0
2019-08-01,18.64,18.77,18.5,18.64,682800,0.0,0
2019-08-02,18.53,18.64,18.18,18.35,2418500,0.0,0
2019-08-05,18.35,18.35,17.61,17.66,1836000,0.0,0
2019-08-06,17.68,18.2,17.68,18.07,814000,0.0,0
2019-08-07,17.93,18.63,17.82,18.48,845400,0.0,0
2019-08-08,18.58,18.89,18.36,18.89,907500,0.0,0
2019-08-09,18.85,18.92,18.61,18.65,596000,0.0,0
2019-08-12,18.6,18.64,18.38,18.45,526100,0.0,0
2019-08-13,18.47,18.75,18.34,18.47,667200,0.0,0
2019-08-14,18.29,18.39,18.06,18.07,962900,0.0,0
2019-08-15,18.07,18.36,18.06,18.12,827300,0.0,0
2019-08-16,18.12,18.54,18.12,18.45,596700,0.0,0
2019-08-19,18.54,18.77,18.42,18.75,523100,0.0,0
2019-08-20,18.59,19.0,18.59,18.72,900300,0.0,0
2019-08-21,18.84,18.9,18.62,18.68,710000,0.0,0
2019-08-22,18.7,18.74,18.31,18.36,1571800,0.0,0
2019-08-23,18.35,18.46,17.97,18.04,2028700,0.0,0
2019-08-26,18.28,18.35,18.17,18.27,868800,0.0,0
2019-08-27,18.42,18.55,18.25,18.27,1029500,0.0,0
2019-08-28,18.32,18.55,18.3,18.53,1077900,0.0,0
2019-08-29,18.66,18.78,18.53,18.63,921000,0.33,0
2019-08-30,18.68,18.68,18.44,18.5,1158400,0.0,0
2019-09-03,18.58,18.59,18.28,18.39,1293900,0.0,0
2019-09-04,18.46,18.66,18.44,18.62,971800,0.0,0
2019-09-05,18.67,19.01,18.59,18.97,1278500,0.0,0
2019-09-06,18.99,19.13,18.89,19.06,960200,0.0,0
2019-09-09,19.11,19.57,19.08,19.54,1424300,0.0,0
2019-09-10,19.66,19.81,19.46,19.78,870400,0.0,0
2019-09-11,19.84,19.86,19.67,19.82,513800,0.0,0
2019-09-12,19.86,20.0,19.79,19.93,528500,0.0,0
2019-09-13,20.01,20.05,19.67,19.73,868200,0.0,0
2019-09-16,19.65,19.88,19.6,19.88,481200,0.0,0
2019-09-17,19.88,19.88,19.56,19.63,532700,0.0,0
2019-09-18,19.63,19.64,19.42,19.54,1261400,0.0,0
2019-09-19,19.61,19.67,19.5,19.53,1148000,0.0,0
2019-09-20,19.57,19.64,19.5,19.56,2838300,0.0,0
2019-09-23,19.47,19.74,19.47,19.55,1207400,0.0,0
2019-09-24,19.64,19.7,19.48,19.51,1290000,0.0,0
2019-09-25,19.52,19.81,19.5,19.74,704200,0.0,0
2019-09-26,19.72,20.17,19.72,20.05,1025500,0.0,0
2019-09-27,20.18,20.2,19.9,19.99,1187700,0.0,0
2019-09-30,20.23,20.42,19.98,20.04,1488700,0.0,0
2019-10-01,19.88,20.03,19.16,19.19,908400,0.0,0
2019-10-02,19.03,19.17,18.71,18.74,1166600,0.0,0
2019-10-03,18.76,18.87,18.51,18.7,1077600,0.0,0
2019-10-04,18.68,18.79,18.63,18.71,553400,0.0,0
2019-10-07,18.71,19.01,18.7,18.89,891300,0.0,0
2019-10-08,18.79,18.88,18.53,18.54,927500,0.0,0
2019-10-09,18.62,18.77,18.52,18.52,654400,0.0,0
2019-10-10,18.54,18.65,18.51,18.57,753900,0.0,0
2019-10-11,18.67,19.05,18.64,18.88,549700,0.0,0
2019-10-14,18.89,18.99,18.69,18.82,580000,0.0,0
2019-10-15,18.85,19.06,18.79,18.94,505600,0.0,0
2019-10-16,18.99,18.99,18.7,18.73,584100,0.0,0
2019-10-17,18.73,18.77,18.69,18.76,576800,0.0,0
2019-10-18,18.73,18.8,18.63,18.7,652700,0.0,0
2019-10-21,18.73,19.06,18.73,19.05,773800,0.0,0
2019-10-22,19.09,19.31,18.99,19.23,608600,0.0,0
2019-10-23,19.18,19.26,19.05,19.18,664600,0.0,0
2019-10-24,19.22,19.22,18.81,18.88,732900,0.0,0
2019-10-25,18.87,18.94,18.82,18.87,420900,0.0,0
2019-10-28,19.01,19.03,18.83,18.92,633300,0.0,0
2019-10-29,18.86,19.16,18.84,19.06,811800,0.0,0
2019-10-30,19.13,19.16,18.76,18.79,994700,0.0,0
2019-10-31,18.85,18.85,18.51,18.58,1035300,0.0,0
2019-11-01,18.64,18.73,18.56,18.68,784600,0.0,0
2019-11-04,18.73,18.84,18.68,18.8,515200,0.0,0
2019-11-05,18.82,18.83,18.66,18.67,710900,0.0,0
2019-11-06,19.01,19.01,18.65,18.84,584800,0.0,0
2019-11-07,18.87,18.92,18.64,18.67,544600,0.0,0
2019-11-08,18.57,18.8,18.52,18.72,464800,0.0,0
2019-11-11,18.66,18.8,18.55,18.63,567200,0.0,0
2019-11-12,18.65,18.73,18.59,18.61,536400,0.0,0
2019-11-13,18.58,18.68,18.53,18.6,647800,0.0,0
2019-11-14,18.62,18.8,18.6,18.8,494700,0.0,0
