Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,35.01,35.48,34.98,35.44,481200,0.0,0
2019-02-06,35.45,35.79,35.33,35.5,395100,0.0,0
2019-02-07,35.32,35.38,34.69,35.22,438900,0.0,0
2019-02-08,34.94,35.24,34.56,35.21,595900,0.0,0
2019-02-11,35.17,35.83,35.17,35.4,980800,0.0,0
2019-02-12,36.3,37.9,35.1,37.44,1979700,0.0,0
2019-02-13,37.77,37.77,36.42,37.33,715100,0.0,0
2019-02-14,37.1,37.45,36.89,36.94,788300,0.0,0
2019-02-15,37.13,37.86,36.38,37.8,708600,0.0,0
2019-02-19,37.62,37.8,37.1,37.17,576800,0.0,0
2019-02-20,37.16,37.32,36.98,37.21,841100,0.0,0
2019-02-21,37.16,37.34,36.71,37.18,610700,0.0,0
2019-02-22,37.19,37.77,37.12,37.67,289900,0.0,0
2019-02-25,37.86,38.52,37.5,37.87,461900,0.0,0
2019-02-26,37.6,37.79,36.58,37.24,517300,0.0,0
2019-02-27,37.24,38.43,37.24,38.34,886500,0.0,0
2019-02-28,38.2,38.49,37.82,38.07,556600,0.0,0
2019-03-01,38.34,39.01,38.33,38.84,553000,0.0,0
2019-03-04,38.93,39.04,37.9,38.54,573600,0.04,0
2019-03-05,38.45,38.51,38.1,38.31,450300,0.0,0
2019-03-06,38.31,38.31,37.54,37.55,391700,0.0,0
2019-03-07,37.54,37.88,37.14,37.58,349400,0.0,0
2019-03-08,37.31,37.62,37.04,37.45,275600,0.0,0
2019-03-11,37.61,38.08,37.52,38.04,401300,0.0,0
2019-03-12,38.04,38.29,37.77,37.9,497700,0.0,0
2019-03-13,38.14,38.5,37.87,38.24,634000,0.0,0
2019-03-14,38.15,38.35,36.74,38.05,640100,0.0,0
2019-03-15,38.29,38.82,37.69,38.77,1550000,0.0,0
2019-03-18,38.71,39.19,38.51,39.16,870500,0.0,0
2019-03-19,39.21,39.72,39.06,39.13,854600,0.0,0
2019-03-20,39.14,39.47,38.69,39.11,797100,0.0,0
2019-03-21,39.11,40.14,39.11,40.05,924300,0.0,0
2019-03-22,39.66,39.75,37.97,38.0,972000,0.0,0
2019-03-25,37.99,38.35,37.63,38.02,703400,0.0,0
2019-03-26,38.3,38.44,37.8,38.2,489700,0.0,0
2019-03-27,38.15,38.47,37.4,37.81,553500,0.0,0
2019-03-28,37.86,38.31,37.82,38.24,429300,0.0,0
2019-03-29,38.72,38.72,38.23,38.34,614200,0.0,0
2019-04-01,38.66,38.91,38.37,38.77,761800,0.0,0
2019-04-02,38.84,38.91,38.29,38.43,666800,0.0,0
2019-04-03,38.64,39.14,38.53,38.91,2647400,0.0,0
2019-04-04,38.85,38.91,37.72,38.22,503700,0.0,0
2019-04-05,38.31,39.13,38.2,38.31,509500,0.0,0
2019-04-08,38.3,38.78,37.81,38.73,404400,0.0,0
