Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,27.65,27.83,27.52,27.8,1325200.0,0.08,0
2019-02-06,27.72,27.78,27.56,27.69,937900.0,0.0,0
2019-02-07,27.63,27.63,27.19,27.56,1408700.0,0.0,0
2019-02-08,27.47,27.72,27.42,27.58,1256500.0,0.0,0
2019-02-11,27.66,27.91,27.55,27.88,1114400.0,0.0,0
2019-02-12,28.01,28.3,27.96,28.22,1432300.0,0.0,0
2019-02-13,28.28,28.43,28.12,28.2,1095400.0,0.0,0
2019-02-14,28.05,28.38,27.94,28.23,1135700.0,0.0,0
2019-02-15,28.43,28.8,28.37,28.8,1236900.0,0.0,0
2019-02-19,28.72,29.01,28.66,28.86,1381900.0,0.0,0
2019-02-20,28.9,29.2,28.82,29.18,956900.0,0.0,0
2019-02-21,29.18,29.35,29.1,29.18,561600.0,0.0,0
2019-02-22,29.2,29.36,29.14,29.25,525800.0,0.0,0
2019-02-25,29.32,29.51,29.17,29.25,592900.0,0.0,0
2019-02-26,29.17,29.25,28.92,28.94,756500.0,0.0,0
2019-02-27,28.75,29.19,28.75,29.08,718000.0,0.0,0
2019-02-28,29.12,29.44,28.94,29.36,1142600.0,0.0,0
2019-03-01,29.5,29.7,29.34,29.61,937900.0,0.0,0
2019-03-04,29.56,29.68,29.33,29.61,1068300.0,0.0,0
2019-03-05,29.68,29.86,29.15,29.18,1322300.0,0.0,0
2019-03-06,29.15,29.27,28.99,29.03,965000.0,0.0,0
2019-03-07,28.94,29.07,28.69,28.81,802800.0,0.0,0
2019-03-08,28.64,28.73,28.44,28.62,636600.0,0.0,0
2019-03-11,28.73,28.95,28.69,28.91,767300.0,0.0,0
2019-03-12,28.98,29.07,28.81,28.87,735500.0,0.0,0
2019-03-13,28.93,29.03,28.81,28.91,1039200.0,0.0,0
2019-03-14,28.94,29.11,28.84,28.9,718500.0,0.0,0
2019-03-15,28.9,29.29,28.89,29.2,1402400.0,0.0,0
2019-03-18,29.26,29.39,29.12,29.21,532000.0,0.0,0
2019-03-19,29.32,29.39,28.77,28.82,838400.0,0.0,0
2019-03-20,28.75,28.84,28.45,28.46,797300.0,0.0,0
2019-03-21,28.39,28.87,28.36,28.85,713300.0,0.0,0
2019-03-22,28.66,28.82,28.59,28.63,711700.0,0.0,0
2019-03-25,28.66,28.85,28.56,28.75,813100.0,0.0,0
2019-03-26,28.98,29.12,28.82,28.95,835700.0,0.0,0
2019-03-27,28.94,29.13,28.89,29.03,757500.0,0.0,0
2019-03-28,29.05,29.19,28.8,29.15,805300.0,0.0,0
2019-03-29,29.35,29.4,29.1,29.25,825200.0,0.0,0
2019-04-01,29.43,29.59,29.32,29.54,634300.0,0.0,0
2019-04-02,29.52,29.57,29.35,29.4,715300.0,0.0,0
2019-04-03,29.55,29.55,29.3,29.49,807600.0,0.0,0
2019-04-04,29.55,29.69,29.43,29.68,784800.0,0.0,0
2019-04-05,29.73,29.77,29.57,29.67,608900.0,0.0,0
2019-04-08,29.63,29.71,29.51,29.64,709600.0,0.0,0
2019-04-09,29.63,29.63,29.36,29.44,872900.0,0.0,0
2019-04-10,29.5,29.82,29.47,29.71,755100.0,0.0,0
2019-04-11,29.8,30.04,29.72,30.0,937900.0,0.0,0
2019-04-12,30.18,30.3,30.06,30.24,728000.0,0.0,0
2019-04-15,30.25,30.53,30.25,30.41,886200.0,0.0,0
2019-04-16,30.56,30.62,30.33,30.46,879900.0,0.0,0
2019-04-17,30.56,30.57,29.97,30.14,964600.0,0.0,0
2019-04-18,30.12,30.34,30.11,30.3,905200.0,0.0,0
2019-04-22,30.17,30.31,29.94,30.24,1058600.0,0.0,0
2019-04-23,31.53,31.89,30.74,31.29,2925900.0,0.0,0
2019-04-24,31.31,31.54,31.16,31.18,1090900.0,0.0,0
2019-04-25,31.01,31.29,30.81,31.22,931500.0,0.0,0
2019-04-26,31.18,31.42,30.91,31.4,794800.0,0.0,0
2019-04-29,31.42,31.53,31.21,31.27,987700.0,0.0,0
2019-04-30,31.23,31.51,31.12,31.47,920400.0,0.0,0
2019-05-01,31.58,31.66,31.0,31.05,1113100.0,0.0,0
2019-05-02,31.15,31.53,30.83,31.53,920500.0,0.0,0
2019-05-03,31.58,32.09,31.54,32.05,766700.0,0.0,0
2019-05-06,31.73,32.25,31.7,32.17,1034800.0,0.0,0
2019-05-07,32.0,32.18,31.65,31.84,785700.0,0.08,0
2019-05-08,31.76,32.08,31.71,31.75,913500.0,0.0,0
2019-05-09,31.49,31.76,31.32,31.47,2026000.0,0.0,0
2019-05-10,31.42,32.05,31.28,31.98,1161200.0,0.0,0
2019-05-13,31.55,31.61,31.16,31.2,957500.0,0.0,0
2019-05-14,31.27,31.43,31.06,31.16,2335400.0,0.0,0
2019-05-15,31.0,31.6,30.92,31.52,904100.0,0.0,0
2019-05-16,31.63,31.97,31.56,31.8,644600.0,0.0,0
2019-05-17,31.6,31.77,31.48,31.49,779500.0,0.0,0
2019-05-20,31.3,31.57,31.2,31.29,733000.0,0.0,0
2019-05-21,31.38,31.71,31.38,31.71,813300.0,0.0,0
2019-05-22,31.68,31.87,31.47,31.83,528000.0,0.0,0
2019-05-23,31.55,31.63,31.34,31.61,799100.0,0.0,0
2019-05-24,31.72,31.77,31.45,31.65,1041800.0,0.0,0
2019-05-28,31.62,31.83,31.39,31.39,689100.0,0.0,0
2019-05-29,31.25,31.49,31.17,31.45,620900.0,0.0,0
2019-05-30,31.51,31.69,31.36,31.46,658600.0,0.0,0
2019-05-31,31.2,31.42,30.99,31.37,1227900.0,0.0,0
2019-06-03,31.28,31.76,31.14,31.74,1349700.0,0.0,0
2019-06-04,31.88,31.98,31.3,31.86,967600.0,0.0,0
2019-06-05,31.84,32.4,31.84,32.37,1071900.0,0.0,0
2019-06-06,32.45,32.45,32.16,32.31,658400.0,0.0,0
2019-06-07,32.39,32.74,32.31,32.66,699500.0,0.0,0
2019-06-10,32.73,32.93,32.37,32.48,1010100.0,0.0,0
2019-06-11,32.61,32.77,32.36,32.38,996400.0,0.0,0
2019-06-12,32.39,32.66,32.23,32.64,916900.0,0.0,0
2019-06-13,32.76,32.77,32.26,32.48,604500.0,0.0,0
2019-06-14,32.49,32.7,32.43,32.61,654400.0,0.0,0
2019-06-17,32.69,32.74,32.43,32.47,803900.0,0.0,0
2019-06-18,32.48,32.79,32.4,32.53,930500.0,0.0,0
2019-06-19,32.52,33.02,32.52,32.95,854900.0,0.0,0
2019-06-20,33.13,33.25,32.78,33.19,771700.0,0.0,0
2019-06-21,33.06,33.13,32.69,32.69,1323200.0,0.0,0
2019-06-24,32.74,33.11,32.71,33.01,1083700.0,0.0,0
2019-06-25,33.06,33.16,32.94,32.96,713300.0,0.0,0
2019-06-26,32.95,33.01,32.33,32.33,558700.0,0.0,0
2019-06-27,32.38,32.98,32.38,32.94,588700.0,0.0,0
2019-06-28,33.04,33.31,32.94,33.29,1505400.0,0.0,0
2019-07-01,33.47,33.82,33.3,33.8,785500.0,0.0,0
2019-07-02,33.88,34.12,33.74,34.11,1104900.0,0.0,0
2019-07-03,34.2,34.54,34.15,34.51,812900.0,0.0,0
2019-07-05,34.43,34.55,34.14,34.54,578200.0,0.0,0
2019-07-08,34.47,34.58,34.29,34.31,995300.0,0.0,0
2019-07-09,34.18,34.56,34.17,34.54,796800.0,0.0,0
2019-07-10,34.66,34.85,34.5,34.56,828300.0,0.0,0
2019-07-11,34.54,34.64,34.35,34.64,547100.0,0.0,0
2019-07-12,34.76,34.84,34.52,34.77,799800.0,0.0,0
2019-07-15,34.78,35.01,34.61,34.7,584800.0,0.0,0
2019-07-16,34.8,35.05,34.72,34.8,844700.0,0.0,0
2019-07-17,34.67,34.92,34.63,34.7,793100.0,0.0,0
2019-07-18,34.71,34.91,34.65,34.91,999400.0,0.0,0
2019-07-19,34.98,35.0,34.48,34.48,943000.0,0.0,0
2019-07-22,34.46,34.63,34.27,34.43,1296900.0,0.0,0
2019-07-23,34.78,35.55,34.64,35.34,1662900.0,0.0,0
2019-07-24,35.46,35.93,35.23,35.92,1313600.0,0.0,0
2019-07-25,35.97,36.1,35.61,35.77,1566100.0,0.0,0
2019-07-26,35.76,36.25,35.63,36.16,962600.0,0.0,0
2019-07-29,36.37,36.48,35.96,36.09,1103200.0,0.0,0
2019-07-30,35.95,36.27,35.82,36.18,973000.0,0.0,0
2019-07-31,36.19,36.3,35.51,35.7,2155200.0,0.0,0
2019-08-01,35.77,36.24,35.54,35.66,1119900.0,0.0,0
2019-08-02,35.69,35.84,35.36,35.62,926700.0,0.0,0
2019-08-05,35.19,35.35,34.49,35.06,2058600.0,0.0,0
2019-08-06,35.16,35.88,35.03,35.84,954300.0,0.08,0
2019-08-07,35.36,36.14,35.16,35.99,1059600.0,0.0,0
2019-08-08,36.28,36.76,36.17,36.66,2145500.0,0.0,0
2019-08-09,36.67,36.73,36.24,36.59,836900.0,0.0,0
2019-08-12,36.41,36.64,35.97,36.05,642400.0,0.0,0
2019-08-13,36.05,36.51,35.91,36.35,849500.0,0.0,0
2019-08-14,35.83,36.22,35.2,35.27,1116600.0,0.0,0
2019-08-15,35.57,35.71,35.33,35.51,995500.0,0.0,0
2019-08-16,35.69,36.02,35.33,35.93,1453000.0,0.0,0
2019-08-19,36.27,36.4,36.14,36.24,621600.0,0.0,0
2019-08-20,36.13,36.2,35.65,35.68,780300.0,0.0,0
2019-08-21,35.93,36.03,35.8,35.89,782900.0,0.0,0
2019-08-22,35.99,36.22,35.73,36.07,780800.0,0.0,0
2019-08-23,35.94,36.22,35.14,35.27,952700.0,0.0,0
2019-08-26,35.57,35.61,35.13,35.55,941800.0,0.0,0
2019-08-27,35.69,35.8,35.21,35.31,769100.0,0.0,0
2019-08-28,35.23,35.53,35.07,35.49,901300.0,0.0,0
2019-08-29,35.85,36.24,35.75,36.07,704700.0,0.0,0
2019-08-30,36.3,36.87,36.05,36.74,1975800.0,0.0,0
2019-09-03,36.36,36.61,36.18,36.38,1122600.0,0.0,0
2019-09-04,36.71,36.71,36.3,36.55,937600.0,0.0,0
2019-09-05,36.87,37.05,36.57,36.69,735200.0,0.0,0
2019-09-06,36.69,36.97,36.58,36.66,959000.0,0.0,0
2019-09-09,36.84,36.85,36.01,36.35,991300.0,0.0,0
2019-09-10,36.4,36.4,34.67,34.73,2632400.0,0.0,0
2019-09-11,34.81,35.43,34.69,35.43,2176000.0,0.0,0
2019-09-12,35.65,35.93,35.35,35.81,1007700.0,0.0,0
2019-09-13,35.87,36.01,35.45,35.83,936100.0,0.0,0
2019-09-16,35.58,35.95,35.43,35.68,824200.0,0.0,0
2019-09-17,35.7,36.49,35.7,36.25,1127500.0,0.0,0
2019-09-18,36.24,36.34,35.91,36.21,604800.0,0.0,0
2019-09-19,36.24,36.59,36.24,36.36,874200.0,0.0,0
2019-09-20,36.51,36.56,35.82,36.08,3124500.0,0.0,0
2019-09-23,35.9,36.31,35.88,36.13,1303300.0,0.0,0
2019-09-24,36.17,36.44,35.65,35.81,1928500.0,0.0,0
2019-09-25,35.67,36.19,35.67,35.98,1811900.0,0.0,0
2019-09-26,36.01,36.12,35.67,35.94,796500.0,0.0,0
2019-09-27,36.22,36.23,35.44,35.64,1039200.0,0.0,0
2019-09-30,35.63,35.95,35.59,35.91,769900.0,0.0,0
2019-10-01,36.08,36.28,35.25,35.27,1074700.0,0.0,0
2019-10-02,35.15,35.37,34.84,34.98,1502400.0,0.0,0
2019-10-03,34.93,35.52,34.91,35.47,1602600.0,0.0,0
2019-10-04,35.65,36.27,35.64,36.26,1116300.0,0.0,0
2019-10-07,36.17,36.24,35.84,36.03,1202200.0,0.0,0
2019-10-08,35.8,35.85,35.15,35.16,1723100.0,0.0,0
2019-10-09,35.62,35.62,35.19,35.44,1484500.0,0.0,0
2019-10-10,35.4,35.97,35.34,35.79,1265000.0,0.0,0
2019-10-11,36.19,36.31,35.89,35.89,918200.0,0.0,0
2019-10-14,35.86,36.21,35.81,35.95,703600.0,0.0,0
2019-10-15,36.04,36.19,35.84,35.88,789600.0,0.0,0
2019-10-16,35.78,36.02,35.56,35.93,1389300.0,0.0,0
2019-10-17,36.01,36.27,35.91,36.15,1030700.0,0.0,0
2019-10-18,36.03,36.32,35.97,36.17,985100.0,0.0,0
2019-10-21,36.39,36.56,36.23,36.47,892400.0,0.0,0
2019-10-22,36.4,36.64,36.15,36.23,1202000.0,0.0,0
2019-10-23,36.17,36.35,35.84,36.17,1344100.0,0.0,0
2019-10-24,36.25,36.76,36.19,36.69,1349000.0,0.0,0
2019-10-25,36.74,36.74,35.61,35.81,1451400.0,0.0,0
2019-10-28,35.95,36.31,35.66,35.71,1958500.0,0.0,0
2019-10-29,35.6,37.48,35.6,37.16,2742500.0,0.0,0
2019-10-30,37.15,37.62,36.76,37.54,1930300.0,0.0,0
2019-10-31,37.33,37.76,37.19,37.53,2081200.0,0.0,0
2019-11-01,37.72,37.81,37.38,37.48,1740900.0,0.0,0
2019-11-04,37.66,37.75,36.86,37.02,1396700.0,0.0,0
2019-11-05,37.11,37.2,36.61,36.94,1524600.0,0.0,0
2019-11-06,36.97,37.66,36.97,37.59,1694000.0,0.0,0
2019-11-07,37.75,37.92,37.45,37.57,1158400.0,0.085,0
2019-11-08,37.53,37.77,37.43,37.68,1549000.0,0.0,0
2019-11-11,37.56,37.96,37.44,37.81,988700.0,0.0,0
2019-11-12,37.93,38.06,37.74,37.77,1230400.0,0.0,0
2019-11-13,37.64,38.11,37.49,37.99,1599000.0,0.0,0
2019-11-14,37.95,37.98,37.71,37.82,1922400.0,0.0,0
2019-11-15,37.98,38.01,37.64,37.8,1947100.0,0.0,0
2019-11-18,37.66,37.9,37.54,37.74,1452800.0,0.0,0
2019-11-19,37.89,38.11,37.82,37.9,1676800.0,0.0,0
2019-11-20,37.85,38.27,37.7,38.02,1833300.0,0.0,0
2019-11-21,38.01,38.09,37.59,37.66,1242000.0,0.0,0
2019-11-22,37.68,37.88,37.53,37.78,1339100.0,0.0,0
2019-11-25,37.87,38.23,37.73,37.89,1981400.0,0.0,0
2019-11-26,37.96,38.3,37.7,37.82,18629300.0,0.0,0
2019-11-27,37.86,37.97,37.23,37.89,1974700.0,0.0,0
2019-11-29,37.84,38.16,37.64,37.67,789500.0,0.0,0
2019-12-02,37.85,38.07,37.51,37.56,2484100.0,0.0,0
2019-12-03,37.3,37.58,37.21,37.53,2052500.0,0.0,0
2019-12-04,37.53,37.84,37.46,37.57,1417300.0,0.0,0
2019-12-05,38.01,38.13,37.75,38.07,1277100.0,0.0,0
2019-12-06,38.27,38.4,38.03,38.3,1957100.0,0.0,0
2019-12-09,38.26,38.29,38.06,38.15,970100.0,0.0,0
2019-12-10,38.22,38.22,37.8,37.89,1349000.0,0.0,0
2019-12-11,37.91,38.2,37.75,38.18,2300800.0,0.0,0
2019-12-12,38.2,38.56,38.08,38.56,2303100.0,0.0,0
2019-12-13,38.4,38.79,38.29,38.79,1357600.0,0.0,0
2019-12-16,38.95,39.25,38.79,38.91,1091100.0,0.0,0
2019-12-17,38.82,39.48,38.77,39.47,1315800.0,0.0,0
2019-12-18,39.62,39.62,39.08,39.31,2535100.0,0.0,0
2019-12-19,39.31,39.48,39.07,39.45,1672600.0,0.0,0
2019-12-20,39.76,40.27,39.6,40.17,3104600.0,0.0,0
2019-12-23,40.27,40.32,39.2,39.26,1349300.0,0.0,0
2019-12-24,39.25,39.33,39.1,39.1,372300.0,0.0,0
2019-12-26,39.17,39.34,39.09,39.3,714300.0,0.0,0
2019-12-27,39.32,39.49,39.15,39.23,587600.0,0.0,0
2019-12-30,39.21,39.41,39.04,39.29,727000.0,0.0,0
2019-12-31,39.28,39.5,39.26,39.41,967900.0,0.0,0
2020-01-02,39.55,39.6,39.13,39.54,1354300.0,0.0,0
2020-01-03,39.13,39.65,39.1,39.58,910800.0,0.0,0
2020-01-06,39.36,39.63,39.19,39.55,1476300.0,0.0,0
2020-01-07,39.59,39.75,39.43,39.43,782400.0,0.0,0
2020-01-08,39.51,39.98,39.46,39.72,1767500.0,0.0,0
2020-01-09,39.93,40.36,39.77,40.25,1731300.0,0.0,0
2020-01-10,40.27,40.59,40.11,40.32,3513800.0,0.0,0
2020-01-13,40.35,40.61,40.16,40.3,1559100.0,0.0,0
2020-01-14,40.2,40.29,40.04,40.14,872700.0,0.0,0
2020-01-15,40.16,40.59,40.15,40.51,1283000.0,0.0,0
2020-01-16,40.65,41.05,40.56,41.04,878800.0,0.0,0
2020-01-17,41.19,41.35,41.06,41.33,1320200.0,0.0,0
2020-01-21,41.22,41.42,41.11,41.12,1166200.0,0.0,0
2020-01-22,41.2,41.46,41.17,41.42,896000.0,0.0,0
2020-01-23,41.2,41.8,41.09,41.71,1303700.0,0.0,0
2020-01-24,41.82,41.95,41.54,41.75,1179300.0,0.0,0
2020-01-27,41.26,41.88,41.19,41.58,2111800.0,0.0,0
2020-01-28,42.8,44.86,42.2,44.57,3825200.0,0.0,0
2020-01-29,44.84,45.24,44.39,44.93,2089300.0,0.0,0
2020-01-30,44.64,45.36,44.57,45.28,1807800.0,0.0,0
2020-01-31,45.09,45.36,44.66,44.82,2763000.0,0.0,0
2020-02-03,45.13,45.77,45.08,45.53,2709800.0,0.0,0
2020-02-04,,,,,,0.085,0
