Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,16.5,16.75,16.28,16.71,58450000,0.0,0
2019-02-06,16.65,16.69,16.43,16.5,8595500,0.0,0
2019-02-07,16.46,16.77,16.35,16.7,5355200,0.0,0
2019-02-08,16.59,16.83,16.59,16.77,4973100,0.0,0
2019-02-11,16.84,16.99,16.76,16.85,5787400,0.0,0
2019-02-12,16.88,16.93,16.51,16.66,4354200,0.0,0
2019-02-13,16.65,16.88,16.58,16.85,4003200,0.0,0
2019-02-14,16.86,16.99,16.73,16.93,4837900,0.0,0
2019-02-15,16.95,17.07,16.88,16.92,3577100,0.0,0
2019-02-19,16.9,17.03,16.69,16.78,3841700,0.0,0
2019-02-20,16.75,16.76,16.49,16.57,5823100,0.0,0
2019-02-21,16.51,16.63,16.45,16.6,6070600,0.0,0
2019-02-22,16.66,16.82,16.59,16.64,3208700,0.0,0
2019-02-25,16.68,16.78,16.59,16.63,1928800,0.0,0
2019-02-26,16.66,16.7,16.44,16.49,2683700,0.0,0
2019-02-27,16.41,16.51,16.32,16.42,3288300,0.0,0
2019-02-28,16.43,16.67,16.35,16.47,4061100,0.0,0
2019-03-01,16.5,16.6,16.08,16.32,3072700,0.0,0
2019-03-04,16.32,16.35,16.04,16.24,3951300,0.0,0
2019-03-05,16.21,16.46,16.1,16.41,2516700,0.0,0
2019-03-06,16.36,16.38,16.17,16.19,2431800,0.0,0
2019-03-07,16.27,16.37,16.13,16.16,3162100,0.0,0
2019-03-08,16.11,16.28,16.05,16.1,2576100,0.0,0
2019-03-11,16.14,16.33,16.04,16.33,1324300,0.0,0
2019-03-12,16.37,16.62,16.37,16.56,1923500,0.0,0
2019-03-13,16.61,16.72,16.57,16.63,2050700,0.0,0
2019-03-14,16.66,16.67,16.48,16.61,1982800,0.0,0
2019-03-15,16.65,16.7,16.51,16.55,4398500,0.0,0
2019-03-18,16.56,16.64,16.25,16.35,1820500,0.0,0
2019-03-19,16.38,16.49,16.29,16.45,6175400,0.0,0
2019-03-20,16.48,16.66,16.3,16.54,2052500,0.0,0
2019-03-21,16.53,17.04,16.43,17.04,1976900,0.0,0
2019-03-22,17.03,17.21,16.91,16.93,2562700,0.0,0
2019-03-25,16.92,17.1,16.76,16.97,2800000,0.0,0
2019-03-26,16.99,17.33,16.99,17.32,2281300,0.0,0
2019-03-27,17.34,17.45,17.22,17.35,2398300,0.0,0
2019-03-28,17.33,17.44,17.16,17.43,2855500,0.0,0
2019-03-29,17.45,17.48,17.31,17.32,2129200,0.0,0
2019-04-01,17.36,17.42,17.03,17.28,2257200,0.0,0
2019-04-02,17.3,17.4,17.03,17.39,2963900,0.0,0
2019-04-03,17.38,17.48,17.24,17.34,2310800,0.0,0
2019-04-04,17.45,17.5,17.3,17.39,1901800,0.28,0
2019-04-05,17.38,17.61,17.37,17.58,1751300,0.0,0
2019-04-08,17.58,17.58,17.28,17.28,2204600,0.0,0
2019-04-09,17.31,17.34,17.07,17.11,2347600,0.0,0
2019-04-10,17.21,17.44,17.15,17.35,3350000,0.0,0
2019-04-11,17.43,17.58,17.28,17.38,2420700,0.0,0
