Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,48.9722,49.4171,48.7943,49.2392,2385100,0.0,0
2019-02-06,49.3677,49.6148,49.0217,49.2095,1771200,0.0,0
2019-02-07,48.9525,49.0118,47.9738,48.5867,1483100,0.0,0
2019-02-08,48.4088,48.992,48.0826,48.992,1781700,0.0,0
2019-02-11,48.6164,49.0414,47.4005,47.5389,2586100,0.0,0
2019-02-12,47.7563,48.2012,47.5784,47.8255,3191800,0.0,0
2019-02-13,48.0826,48.2308,47.6377,47.875,3068400,0.0,0
2019-02-14,47.7761,49.0612,47.5982,48.5373,4485600,0.0,0
2019-02-15,48.043,50.4847,47.9046,50.0596,6830900,0.0,0
2019-02-19,50.0201,50.2376,49.7137,49.9904,4189700,0.0,0
2019-02-20,49.9311,51.0383,49.8718,50.6132,4281100,0.0,0
2019-02-21,50.6132,50.6231,49.9608,50.3364,1901500,0.0,0
2019-02-22,50.4056,51.1075,50.0201,51.0976,3410500,0.0,0
2019-02-25,51.3447,51.3447,49.9608,50.0003,2584600,0.0,0
2019-02-26,49.9212,50.0695,49.3973,49.8916,2121200,0.0,0
2019-02-27,49.6148,49.7038,48.8833,49.0513,2439100,0.0,0
2019-02-28,49.1798,49.8323,48.6164,49.6346,2865900,0.0,0
2019-03-01,50.0201,50.3463,49.8026,50.2079,2426100,0.0,0
2019-03-04,50.4946,50.5934,49.1205,49.5357,2029400,0.0,0
2019-03-05,49.3677,49.6543,49.1798,49.6247,2081800,0.0,0
2019-03-06,49.7038,49.8422,49.1205,49.4467,2225900,0.0,0
2019-03-07,49.4566,49.4566,48.2111,48.5768,2499700,0.0,0
2019-03-08,48.2097,48.6463,47.9716,48.6264,1856400,0.18,0
2019-03-11,48.7455,48.7554,48.1998,48.6959,3112900,0.0,0
2019-03-12,48.9439,49.2416,48.7951,49.0531,1964900,0.0,0
2019-03-13,49.0729,49.4996,47.9121,48.3189,3821300,0.0,0
2019-03-14,48.6364,48.7257,47.5946,47.8625,5885800,0.0,0
2019-03-15,47.7335,47.9121,47.287,47.3267,6755200,0.0,0
2019-03-18,47.3763,47.4656,46.8604,47.2672,3620600,0.0,0
2019-03-19,47.2771,47.7037,46.7711,46.8504,1990000,0.0,0
2019-03-20,46.6322,46.8306,45.6003,45.7987,5196600,0.0,0
2019-03-21,45.6102,46.1063,45.392,45.7392,4693600,0.0,0
2019-03-22,45.5309,45.7491,44.6875,44.7074,2970100,0.0,0
2019-03-25,45.134,45.9079,44.8463,45.1737,3423800,0.0,0
2019-03-26,45.4515,47.7632,45.4515,46.9497,6169100,0.0,0
2019-03-27,47.4358,47.535,46.7215,47.2076,3158700,0.0,0
2019-03-28,47.1283,47.5251,46.9199,46.9199,2733900,0.0,0
2019-03-29,47.158,47.545,46.7711,47.158,3071000,0.0,0
2019-04-01,47.6243,48.2792,47.5251,47.8327,2290100,0.0,0
2019-04-02,47.9319,48.0113,47.3664,47.5648,1284700,0.0,0
2019-04-03,47.8228,48.815,47.5847,48.428,2864300,0.0,0
