Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,43.85,45.24,41.5,42.03,1738500,0.0,0
2019-02-06,41.84,42.91,41.68,42.45,974900,0.0,0
2019-02-07,42.09,42.36,41.29,41.58,466100,0.0,0
2019-02-08,41.29,41.77,40.76,41.43,374800,0.0,0
2019-02-11,41.53,42.27,41.22,41.79,414600,0.0,0
2019-02-12,41.88,43.02,41.78,42.94,482700,0.0,0
2019-02-13,42.94,43.66,42.94,43.41,520700,0.0,0
2019-02-14,42.98,44.21,42.73,43.78,646400,0.0,0
2019-02-15,44.32,45.16,44.04,45.06,582800,0.0,0
2019-02-19,44.76,45.86,44.57,45.44,398400,0.0,0
2019-02-20,45.44,46.54,45.38,46.13,429300,0.0,0
2019-02-21,46.15,46.99,45.32,45.44,412500,0.33,0
2019-02-22,45.7,46.77,45.7,46.5,375800,0.0,0
2019-02-25,46.46,47.11,46.44,46.59,728200,0.0,0
2019-02-26,46.44,47.02,46.23,46.52,370400,0.0,0
2019-02-27,46.52,46.53,45.9,45.94,393700,0.0,0
2019-02-28,45.55,45.84,45.08,45.73,295800,0.0,0
2019-03-01,45.9,46.6,45.77,46.23,322900,0.0,0
2019-03-04,46.37,46.58,45.44,46.37,296300,0.0,0
2019-03-05,46.17,46.33,45.58,45.61,320300,0.0,0
2019-03-06,45.92,46.09,44.97,45.04,322900,0.0,0
2019-03-07,44.89,44.93,43.69,44.89,681200,0.0,0
2019-03-08,44.41,44.59,42.26,42.65,998800,0.0,0
2019-03-11,42.98,43.84,42.71,43.79,360700,0.0,0
2019-03-12,43.84,44.18,43.53,43.77,287300,0.0,0
2019-03-13,43.9,43.93,43.05,43.09,477400,0.0,0
2019-03-14,42.79,43.14,41.74,41.8,627900,0.0,0
2019-03-15,41.87,42.71,41.87,42.29,724000,0.0,0
2019-03-18,42.76,42.76,41.91,42.06,346200,0.0,0
2019-03-19,42.37,42.66,41.64,41.87,320000,0.0,0
2019-03-20,41.78,42.19,41.24,41.73,228800,0.0,0
2019-03-21,41.44,42.49,41.41,42.15,192300,0.0,0
2019-03-22,41.86,41.86,39.75,39.79,277200,0.0,0
2019-03-25,39.67,39.85,39.15,39.5,489900,0.0,0
2019-03-26,39.85,40.23,39.32,39.69,196200,0.0,0
2019-03-27,39.72,40.06,39.24,39.41,274500,0.0,0
2019-03-28,39.5,40.1,39.48,40.1,226500,0.0,0
2019-03-29,40.68,40.91,40.28,40.61,399200,0.0,0
2019-04-01,41.2,42.31,41.1,41.85,401400,0.0,0
2019-04-02,42.01,42.14,41.5,41.92,216200,0.0,0
2019-04-03,42.4,42.96,42.4,42.59,429700,0.0,0
2019-04-04,42.67,43.63,42.67,43.6,397600,0.0,0
2019-04-05,43.65,44.24,43.65,44.2,280500,0.0,0
2019-04-08,44.06,44.37,43.7,44.25,313500,0.0,0
2019-04-09,44.0,44.02,43.37,43.44,281600,0.0,0
2019-04-10,43.6,43.96,43.34,43.6,217000,0.0,0
2019-04-11,43.72,44.18,43.47,44.06,158400,0.0,0
2019-04-12,44.36,44.86,43.8,44.6,296400,0.0,0
2019-04-15,44.69,45.23,44.4,45.15,290500,0.0,0
2019-04-16,45.24,46.2,44.98,46.2,277000,0.0,0
2019-04-17,46.4,46.99,46.24,46.8,487000,0.0,0
2019-04-18,46.85,47.21,46.59,46.87,184000,0.0,0
2019-04-22,46.67,47.0,46.14,46.23,282100,0.0,0
2019-04-23,46.24,46.95,45.62,46.74,291600,0.0,0
2019-04-24,46.65,47.11,46.13,46.23,521100,0.0,0
2019-04-25,45.97,45.97,44.1,44.11,229000,0.0,0
2019-04-26,44.24,44.88,43.94,44.83,237700,0.0,0
2019-04-29,44.69,45.09,44.56,44.74,266600,0.0,0
2019-04-30,44.72,44.96,43.92,44.26,279100,0.0,0
2019-05-01,44.3,44.87,44.03,44.27,390400,0.0,0
2019-05-02,43.95,44.38,42.86,43.85,271900,0.0,0
2019-05-03,43.83,45.9,43.83,45.76,415600,0.0,0
2019-05-06,44.75,45.36,44.11,45.05,637400,0.0,0
2019-05-07,44.6,47.01,44.19,45.99,892300,0.0,0
2019-05-08,45.6,46.02,45.16,45.69,437300,0.0,0
2019-05-09,45.14,45.77,44.45,45.24,534200,0.0,0
2019-05-10,45.55,45.82,44.39,45.38,422600,0.0,0
2019-05-13,44.17,44.49,42.79,42.93,470300,0.0,0
2019-05-14,43.03,43.74,42.72,43.39,305600,0.0,0
2019-05-15,43.0,43.39,42.71,43.14,283500,0.0,0
2019-05-16,43.38,43.47,42.73,42.8,351500,0.0,0
2019-05-17,42.31,42.74,41.69,41.75,213800,0.0,0
2019-05-20,41.27,41.83,40.98,41.35,216200,0.0,0
2019-05-21,41.73,42.82,41.34,42.71,333300,0.0,0
2019-05-22,42.51,42.57,41.67,41.67,234400,0.0,0
2019-05-23,40.84,41.39,39.9,40.14,341800,0.0,0
2019-05-24,41.02,41.02,39.91,40.27,303000,0.0,0
2019-05-28,40.44,40.59,39.86,40.31,243200,0.0,0
2019-05-29,39.81,40.43,39.42,40.35,368100,0.0,0
2019-05-30,40.47,41.05,40.08,40.26,232400,0.35,0
2019-05-31,39.52,39.86,39.29,39.29,476500,0.0,0
2019-06-03,39.42,40.82,39.21,40.25,598300,0.0,0
2019-06-04,40.4,42.86,40.4,42.84,422600,0.0,0
2019-06-05,42.88,43.2,41.89,43.17,320200,0.0,0
2019-06-06,43.28,44.05,43.11,43.89,353900,0.0,0
2019-06-07,44.15,44.58,43.79,44.27,443500,0.0,0
2019-06-10,44.6,45.51,44.36,45.21,333600,0.0,0
2019-06-11,46.12,46.64,45.25,45.5,608300,0.0,0
2019-06-12,45.47,46.43,45.24,46.07,493500,0.0,0
2019-06-13,46.35,46.86,46.01,46.18,385100,0.0,0
2019-06-14,45.55,46.04,44.67,44.73,301200,0.0,0
2019-06-17,44.66,45.11,44.05,45.06,280200,0.0,0
2019-06-18,45.49,46.02,45.06,45.44,406400,0.0,0
2019-06-19,45.25,45.39,44.74,45.13,256400,0.0,0
2019-06-20,46.12,46.17,45.29,45.64,324200,0.0,0
2019-06-21,45.27,45.27,44.56,44.91,554100,0.0,0
2019-06-24,45.73,45.73,44.81,44.88,237500,0.0,0
2019-06-25,44.85,45.22,44.36,44.75,252600,0.0,0
2019-06-26,45.01,45.54,44.7,44.96,179500,0.0,0
2019-06-27,45.06,45.72,44.98,45.34,551100,0.0,0
2019-06-28,45.73,47.06,45.56,46.93,494000,0.0,0
2019-07-01,47.47,48.27,47.02,47.45,337800,0.0,0
2019-07-02,47.34,47.34,46.54,46.89,437600,0.0,0
2019-07-03,46.93,47.27,46.39,46.96,263300,0.0,0
2019-07-05,46.28,47.39,46.28,46.83,155900,0.0,0
2019-07-08,46.79,46.9,45.58,45.65,262100,0.0,0
2019-07-09,45.41,45.44,44.86,45.08,213200,0.0,0
2019-07-10,45.28,45.59,44.24,44.28,242900,0.0,0
2019-07-11,44.12,44.23,43.28,43.74,252300,0.0,0
2019-07-12,43.85,45.07,43.72,44.92,283800,0.0,0
2019-07-15,45.09,45.61,44.71,45.06,404700,0.0,0
2019-07-16,44.98,45.99,44.63,45.57,220500,0.0,0
2019-07-17,45.56,45.56,44.19,44.24,224400,0.0,0
2019-07-18,44.13,44.45,43.67,43.89,182500,0.0,0
2019-07-19,43.99,45.01,43.99,44.34,235500,0.0,0
2019-07-22,44.61,44.65,43.83,43.93,167800,0.0,0
2019-07-23,44.03,45.24,43.57,45.12,256700,0.0,0
2019-07-24,44.79,46.4,44.79,46.32,193600,0.0,0
2019-07-25,46.24,46.24,45.08,45.34,256800,0.0,0
2019-07-26,45.48,45.68,44.99,45.2,306700,0.0,0
2019-07-29,45.26,45.26,43.57,43.7,507600,0.0,0
2019-07-30,43.37,45.17,43.15,45.14,279800,0.0,0
2019-07-31,44.18,45.41,43.62,43.99,560700,0.0,0
2019-08-01,43.93,44.74,41.56,41.81,539900,0.0,0
2019-08-02,41.32,41.49,39.97,40.71,449000,0.0,0
2019-08-05,38.86,39.65,38.0,38.88,773100,0.0,0
2019-08-06,39.27,39.75,36.51,38.38,889800,0.0,0
2019-08-07,37.56,38.64,37.15,38.17,616500,0.0,0
2019-08-08,38.65,39.83,38.18,39.55,647400,0.0,0
2019-08-09,39.41,39.41,37.52,37.59,459500,0.0,0
2019-08-12,37.75,37.75,37.02,37.48,308000,0.0,0
2019-08-13,37.12,39.53,36.91,38.36,370200,0.0,0
2019-08-14,37.54,37.56,36.89,37.14,415000,0.0,0
2019-08-15,37.15,37.53,36.8,37.08,347200,0.0,0
2019-08-16,37.32,37.97,37.22,37.72,424400,0.0,0
2019-08-19,38.52,38.54,38.09,38.19,395400,0.0,0
2019-08-20,37.94,38.28,37.54,37.81,313500,0.0,0
2019-08-21,38.36,38.64,37.97,38.01,282800,0.0,0
2019-08-22,38.15,38.77,38.09,38.26,293200,0.0,0
2019-08-23,38.02,38.63,37.17,37.28,437300,0.0,0
2019-08-26,37.89,38.07,37.22,37.43,288500,0.0,0
2019-08-27,37.9,37.93,37.1,37.32,290000,0.0,0
2019-08-28,37.35,38.5,37.01,38.35,324700,0.0,0
2019-08-29,38.91,39.68,38.91,39.18,253600,0.35,0
2019-08-30,39.58,40.02,39.31,39.71,213900,0.0,0
2019-09-03,39.04,39.14,38.28,38.56,355100,0.0,0
2019-09-04,39.34,39.87,39.19,39.67,232100,0.0,0
2019-09-05,40.22,41.53,40.22,41.28,306600,0.0,0
2019-09-06,41.38,42.1,41.03,41.85,361500,0.0,0
2019-09-09,42.09,43.69,41.67,43.49,383300,0.0,0
2019-09-10,43.65,45.5,42.99,45.5,430500,0.0,0
2019-09-11,45.74,46.65,44.18,46.65,319800,0.0,0
2019-09-12,46.58,46.82,45.54,46.58,354200,0.0,0
2019-09-13,47.26,47.69,46.34,46.88,298900,0.0,0
2019-09-16,46.75,47.15,46.08,46.41,431400,0.0,0
2019-09-17,45.99,45.99,45.09,45.6,284100,0.0,0
2019-09-18,45.3,45.47,44.63,45.11,368000,0.0,0
2019-09-19,45.24,45.98,44.97,45.05,264700,0.0,0
2019-09-20,45.26,45.61,44.76,44.96,559500,0.0,0
2019-09-23,44.44,45.55,44.32,45.28,210500,0.0,0
2019-09-24,45.13,45.35,43.91,44.06,540400,0.0,0
2019-09-25,44.13,45.17,44.02,44.95,227100,0.0,0
2019-09-26,44.68,45.0,44.2,44.78,183400,0.0,0
2019-09-27,44.93,45.58,44.28,44.3,172100,0.0,0
2019-09-30,44.42,45.21,44.15,44.99,182900,0.0,0
2019-10-01,45.26,45.97,43.15,43.34,141400,0.0,0
2019-10-02,42.71,43.38,42.34,42.9,265100,0.0,0
2019-10-03,42.58,43.01,41.88,42.92,292300,0.0,0
2019-10-04,43.08,43.6,42.63,43.39,299100,0.0,0
2019-10-07,43.16,43.8,42.91,42.95,305500,0.0,0
2019-10-08,42.44,42.63,41.83,42.02,192000,0.0,0
2019-10-09,42.44,42.68,41.93,42.4,166700,0.0,0
2019-10-10,42.58,42.99,42.03,42.35,164900,0.0,0
2019-10-11,43.27,44.6,43.27,44.16,188400,0.0,0
2019-10-14,43.72,44.12,42.72,43.32,207200,0.0,0
2019-10-15,43.4,44.23,43.05,43.55,255000,0.0,0
2019-10-16,42.29,43.66,42.19,42.93,247600,0.0,0
2019-10-17,43.38,43.74,43.11,43.51,334100,0.0,0
2019-10-18,43.55,43.88,43.38,43.45,184100,0.0,0
2019-10-21,44.12,44.64,43.61,43.65,179100,0.0,0
