Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,35.46,35.8,35.24,35.71,1189600,0.0,0
2019-02-06,35.48,36.0,35.41,35.85,1267200,0.0,0
2019-02-07,35.43,35.76,34.1,34.67,1274600,0.0,0
2019-02-08,34.38,35.12,34.2,34.55,1372800,0.0,0
2019-02-11,34.59,35.19,34.59,35.05,1073100,0.0,0
2019-02-12,35.62,37.11,35.5,36.6,2082200,0.0,0
2019-02-13,36.81,37.43,36.78,36.82,1302800,0.0,0
2019-02-14,36.64,37.32,36.58,36.76,2449200,0.0,0
2019-02-15,37.45,37.46,35.68,35.87,2988800,0.0,0
2019-02-19,35.42,35.9,34.27,35.73,2882000,0.0,0
2019-02-20,35.68,36.54,35.57,36.28,2425700,0.0,0
2019-02-21,36.36,36.79,35.69,35.75,1665100,0.0,0
2019-02-22,36.23,37.81,36.16,37.27,1571500,0.0,0
2019-02-25,37.36,37.48,36.52,36.9,1236200,0.0,0
2019-02-26,36.71,37.08,36.43,36.58,928800,0.25,0
2019-02-27,36.19,37.22,36.18,37.19,1006600,0.0,0
2019-02-28,37.03,37.23,36.33,36.37,1653500,0.0,0
2019-03-01,36.8,37.43,36.31,36.36,1143300,0.0,0
2019-03-04,36.57,36.73,35.5,36.25,1309700,0.0,0
2019-03-05,36.07,36.41,35.79,36.03,1070500,0.0,0
2019-03-06,36.03,36.37,35.82,35.9,778800,0.0,0
2019-03-07,35.81,36.64,35.07,36.51,2600000,0.0,0
2019-03-08,36.1,36.68,35.62,36.37,1930900,0.0,0
2019-03-11,36.51,37.15,36.13,36.69,1092400,0.0,0
2019-03-12,36.78,37.03,36.58,36.9,972800,0.0,0
2019-03-13,37.03,37.67,36.81,37.27,1824100,0.0,0
2019-03-14,37.18,37.33,36.34,36.92,2598100,0.0,0
2019-03-15,36.42,37.47,36.1,36.24,2267900,0.0,0
2019-03-18,36.13,37.47,35.62,37.32,1520000,0.0,0
2019-03-19,37.71,38.91,37.53,37.67,1628900,0.0,0
2019-03-20,37.66,38.47,37.46,38.24,2329400,0.0,0
2019-03-21,38.1,39.29,37.94,38.81,2119700,0.0,0
2019-03-22,38.5,38.67,36.62,36.63,2135800,0.0,0
2019-03-25,36.63,37.22,34.74,34.96,2903700,0.0,0
2019-03-26,34.7,35.27,33.4,33.87,3406800,0.0,0
2019-03-27,34.03,34.34,33.58,33.98,1947800,0.0,0
2019-03-28,34.12,35.29,34.12,35.08,2096200,0.0,0
2019-03-29,35.38,36.2,35.15,35.54,2551800,0.0,0
2019-04-01,35.73,36.39,34.97,35.93,1429600,0.0,0
2019-04-02,35.86,36.25,35.38,35.69,1689800,0.0,0
2019-04-03,36.22,37.1,36.22,36.35,1728400,0.0,0
2019-04-04,36.35,36.91,36.12,36.31,1228100,0.0,0
2019-04-05,36.53,36.77,36.27,36.37,797300,0.0,0
2019-04-08,36.44,37.04,36.09,36.77,1142900,0.0,0
2019-04-09,36.43,36.51,35.77,35.86,1243200,0.0,0
2019-04-10,36.07,37.35,35.87,36.9,1737600,0.0,0
2019-04-11,36.87,37.34,36.66,37.16,1419000,0.0,0
2019-04-12,37.73,38.53,37.47,37.93,1228600,0.0,0
2019-04-15,39.14,39.78,38.37,38.68,1876900,0.0,0
2019-04-16,38.68,38.83,38.27,38.44,1505600,0.0,0
2019-04-17,38.83,38.83,37.9,38.02,1757600,0.0,0
2019-04-18,38.09,38.2,37.37,37.57,1061600,0.0,0
2019-04-22,37.31,37.94,37.18,37.62,963100,0.0,0
2019-04-23,37.77,38.3,37.64,38.03,1614600,0.0,0
2019-04-24,38.03,38.28,37.12,37.29,1574700,0.0,0
2019-04-25,36.99,37.07,36.14,36.43,1639900,0.0,0
2019-04-26,36.28,37.15,36.19,36.87,1286100,0.0,0
