Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,56.14,56.45,55.97,56.23,2983700,0.0,0
2019-02-06,56.22,56.24,55.75,55.99,3296100,0.0,0
2019-02-07,55.25,55.71,54.19,54.7,3965600,0.0,0
2019-02-08,54.2,54.5,53.61,54.38,3609500,0.0,0
2019-02-11,54.41,54.8,54.35,54.56,2310200,0.0,0
2019-02-12,54.7,54.71,53.91,54.32,2758000,0.0,0
2019-02-13,54.79,55.09,54.64,54.78,2595500,0.0,0
2019-02-14,54.59,54.95,54.13,54.83,2443800,0.0,0
2019-02-15,55.11,55.19,54.67,54.98,3240300,0.0,0
2019-02-19,55.04,56.24,54.96,55.98,3807400,0.0,0
2019-02-20,56.06,56.62,55.84,56.51,3507500,0.0,0
2019-02-21,56.73,57.37,56.32,56.43,3726400,0.5,0
2019-02-22,56.71,57.03,56.43,56.97,2234600,0.0,0
2019-02-25,56.73,57.04,56.42,56.73,3336100,0.0,0
2019-02-26,56.67,57.04,56.39,56.42,2394700,0.0,0
2019-02-27,56.2,56.52,55.58,55.86,2986600,0.0,0
2019-02-28,55.76,56.12,55.46,55.94,4367200,0.0,0
2019-03-01,56.5,56.83,55.73,56.02,2902600,0.0,0
2019-03-04,55.84,55.88,54.68,54.78,3569000,0.0,0
2019-03-05,55.02,55.73,54.85,55.31,3889300,0.0,0
2019-03-06,55.1,55.32,54.35,54.38,3366100,0.0,0
2019-03-07,53.83,53.89,53.24,53.64,3422800,0.0,0
2019-03-08,53.27,53.34,52.81,53.24,3447800,0.0,0
2019-03-11,53.53,53.98,53.37,53.68,3472500,0.0,0
2019-03-12,53.88,53.99,53.17,53.52,4375100,0.0,0
2019-03-13,54.44,55.03,54.2,54.32,4136300,0.0,0
2019-03-14,54.36,54.67,54.02,54.65,3789900,0.0,0
2019-03-15,54.75,55.51,54.75,54.83,4395100,0.0,0
2019-03-18,54.87,55.73,54.86,55.54,4165600,0.0,0
2019-03-19,55.62,55.87,55.13,55.32,3416100,0.0,0
2019-03-20,55.14,55.33,54.38,54.75,4361300,0.0,0
2019-03-21,54.46,55.52,54.46,55.46,2931800,0.0,0
2019-03-22,54.99,55.37,54.48,54.64,3514500,0.0,0
2019-03-25,54.51,55.13,54.23,54.87,4244300,0.0,0
2019-03-26,50.8,52.3,49.47,50.08,18505000,0.0,0
2019-03-27,50.18,50.41,48.87,49.06,7383000,0.0,0
2019-03-28,48.69,49.24,48.34,48.75,5569200,0.0,0
2019-03-29,48.63,49.26,48.48,49.12,4929500,0.0,0
2019-04-01,49.39,50.56,49.39,50.55,5004900,0.0,0
2019-04-02,50.41,50.99,50.33,50.72,4509200,0.0,0
2019-04-03,51.24,51.98,51.19,51.51,4954100,0.0,0
2019-04-04,51.56,51.62,51.12,51.43,2296700,0.0,0
2019-04-05,51.44,51.68,51.15,51.4,3821200,0.0,0
2019-04-08,51.32,51.38,50.67,50.86,3192100,0.0,0
2019-04-09,50.85,51.03,50.14,50.27,4108500,0.0,0
2019-04-10,50.55,50.76,50.16,50.62,2639800,0.0,0
2019-04-11,50.76,51.13,50.54,50.82,4584200,0.0,0
2019-04-12,51.29,51.89,51.21,51.88,3395700,0.0,0
2019-04-15,51.71,52.12,51.57,52.05,3002000,0.0,0
2019-04-16,52.2,53.12,52.1,53.07,3464600,0.0,0
2019-04-17,53.38,53.6,52.59,52.82,4991900,0.0,0
2019-04-18,52.93,52.99,51.7,51.94,4114300,0.0,0
2019-04-22,51.61,51.92,51.37,51.4,2463100,0.0,0
2019-04-23,51.7,52.23,51.63,52.06,2541200,0.0,0
2019-04-24,51.57,52.12,51.43,52.04,2863300,0.0,0
2019-04-25,51.84,52.39,51.69,52.13,2482200,0.0,0
2019-04-26,52.38,52.93,52.26,52.71,1794200,0.0,0
2019-04-29,52.71,53.16,52.49,52.72,4796700,0.0,0
2019-04-30,52.54,53.2,52.27,53.13,4313700,0.0,0
2019-05-01,53.85,54.27,53.13,54.06,6672100,0.0,0
2019-05-02,53.57,53.63,52.4,52.62,7569800,0.0,0
2019-05-03,52.52,53.56,52.5,53.44,3826900,0.0,0
2019-05-06,52.48,53.14,52.36,53.12,2969500,0.0,0
2019-05-07,52.18,52.5,51.53,51.99,5068100,0.0,0
2019-05-08,52.11,52.73,51.81,52.32,3207100,0.0,0
2019-05-09,51.65,52.42,51.28,52.24,2749400,0.0,0
2019-05-10,51.79,52.68,51.23,52.63,2507300,0.0,0
2019-05-13,51.33,51.58,50.68,51.12,4467400,0.0,0
2019-05-14,51.08,52.54,50.97,52.12,4244100,0.0,0
2019-05-15,51.68,52.25,51.44,52.1,3906800,0.0,0
2019-05-16,51.96,52.47,51.83,52.23,2794400,0.0,0
2019-05-17,51.71,52.19,51.56,51.99,3006700,0.0,0
2019-05-20,51.2,51.24,50.53,50.73,2876500,0.0,0
2019-05-21,51.13,51.49,50.98,51.0,3220400,0.0,0
2019-05-22,50.99,51.09,50.58,50.97,2211000,0.0,0
2019-05-23,50.52,50.6,50.02,50.47,2930700,0.5,0
2019-05-24,50.69,50.95,50.43,50.46,1678700,0.0,0
2019-05-28,50.66,50.92,50.11,50.11,3153000,0.0,0
2019-05-29,49.92,50.6,49.59,50.45,3485200,0.0,0
2019-05-30,50.52,50.76,50.12,50.41,1950900,0.0,0
2019-05-31,49.78,50.13,49.69,50.05,2669500,0.0,0
2019-06-03,49.86,50.35,49.56,49.98,3544300,0.0,0
2019-06-04,50.48,51.17,49.74,51.12,4178100,0.0,0
2019-06-05,51.3,51.33,49.38,49.76,5599100,0.0,0
2019-06-06,49.35,50.16,49.17,50.02,4086000,0.0,0
2019-06-07,50.05,51.35,49.96,51.07,3503800,0.0,0
2019-06-10,50.91,52.2,50.85,52.0,3067300,0.0,0
2019-06-11,52.54,52.66,51.72,51.99,2775000,0.0,0
2019-06-12,52.18,52.52,51.85,52.2,2137700,0.0,0
2019-06-13,51.75,52.16,51.43,51.68,3030400,0.0,0
2019-06-14,51.7,52.1,51.5,51.94,1965200,0.0,0
2019-06-17,52.01,52.16,51.1,51.12,2467000,0.0,0
2019-06-18,51.2,51.81,50.82,51.22,3331600,0.0,0
2019-06-19,51.65,52.11,51.38,51.67,3662000,0.0,0
2019-06-20,46.15,47.99,45.09,47.72,18522500,0.0,0
2019-06-21,45.6,46.23,45.17,45.59,12021200,0.0,0
2019-06-24,44.48,45.23,44.31,44.98,8929500,0.0,0
2019-06-25,44.46,44.7,44.0,44.44,9504600,0.0,0
2019-06-26,44.61,44.91,44.25,44.37,7337000,0.0,0
2019-06-27,44.21,45.17,43.77,44.9,6662700,0.0,0
2019-06-28,44.98,45.57,44.78,45.52,5950300,0.0,0
2019-07-01,45.72,46.04,45.14,45.26,4821000,0.0,0
2019-07-02,45.31,45.53,45.06,45.5,4150300,0.0,0
2019-07-03,45.64,45.64,45.01,45.15,2599300,0.0,0
2019-07-05,45.63,45.93,45.37,45.87,3597100,0.0,0
2019-07-08,45.61,45.88,45.28,45.39,4066200,0.0,0
2019-07-09,44.98,45.16,44.79,44.9,5222000,0.0,0
2019-07-10,45.09,45.09,44.25,44.5,4056800,0.0,0
2019-07-11,44.64,44.88,44.25,44.81,2799600,0.0,0
2019-07-12,44.85,45.34,44.77,45.23,2871900,0.0,0
2019-07-15,45.22,46.03,45.19,45.91,3876400,0.0,0
2019-07-16,45.67,45.92,45.2,45.42,4392400,0.0,0
2019-07-17,45.42,45.48,44.59,44.63,4730300,0.0,0
2019-07-18,44.64,44.87,44.42,44.48,2492000,0.0,0
2019-07-19,44.7,44.97,44.07,44.09,2845200,0.0,0
2019-07-22,44.14,44.36,43.8,44.1,2792100,0.0,0
2019-07-23,44.69,45.28,44.68,45.17,4392200,0.0,0
2019-07-24,45.17,46.09,45.1,46.07,5333600,0.0,0
