Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,46.31,47.01,46.31,46.79,736500,0.0,0
2019-02-06,46.8,48.1,46.8,47.85,1000500,0.0,0
2019-02-07,47.25,47.67,46.54,47.16,1537900,0.0,0
2019-02-08,46.67,47.0,45.41,46.73,1241200,0.0,0
2019-02-11,46.87,47.8,46.31,47.75,1359000,0.0,0
2019-02-12,47.95,49.28,47.8,49.13,2123900,0.0,0
2019-02-13,49.48,49.48,48.39,49.16,1760900,0.0,0
2019-02-14,48.7,49.14,46.58,48.66,2935100,0.0,0
2019-02-15,51.78,51.82,49.7,50.51,3497400,0.0,0
2019-02-19,50.17,51.39,49.8,51.27,1425800,0.0,0
2019-02-20,50.95,51.94,50.53,51.05,1510000,0.0,0
2019-02-21,50.96,51.03,50.23,50.98,858600,0.0,0
2019-02-22,51.19,51.69,51.16,51.61,932600,0.0,0
2019-02-25,51.97,53.25,51.85,53.13,1696500,0.0,0
2019-02-26,53.03,53.63,52.78,53.62,1415300,0.0,0
2019-02-27,53.26,54.02,53.02,53.83,1463900,0.0,0
2019-02-28,53.53,53.79,52.72,53.22,1262500,0.05,0
2019-03-01,53.66,54.51,53.23,54.27,1214300,0.0,0
2019-03-04,54.63,54.67,53.02,54.48,1222400,0.0,0
2019-03-05,54.48,54.79,53.75,53.77,975400,0.0,0
2019-03-06,53.66,53.77,52.44,52.81,1032700,0.0,0
2019-03-07,52.42,52.42,51.28,51.91,1550300,0.0,0
2019-03-08,51.21,51.49,50.48,51.32,1118600,0.0,0
2019-03-11,51.7,52.66,51.39,52.34,893700,0.0,0
2019-03-12,52.43,53.09,51.8,52.69,926900,0.0,0
2019-03-13,52.99,53.25,52.09,53.1,811400,0.0,0
2019-03-14,53.06,53.13,52.41,52.84,521200,0.0,0
2019-03-15,52.96,54.44,52.72,54.17,2101700,0.0,0
2019-03-18,54.14,54.22,53.22,53.92,953200,0.0,0
2019-03-19,54.22,54.22,53.14,53.22,1044500,0.0,0
2019-03-20,53.2,53.58,52.59,52.98,773200,0.0,0
2019-03-21,52.91,53.56,52.58,53.29,1321000,0.0,0
2019-03-22,52.9,52.9,49.88,49.93,1076200,0.0,0
2019-03-25,49.9,50.31,49.29,49.95,985600,0.0,0
2019-03-26,50.61,50.82,49.61,49.99,727800,0.0,0
2019-03-27,49.9,50.11,48.61,49.34,1529600,0.0,0
2019-03-28,49.57,50.8,49.53,49.98,944100,0.0,0
2019-03-29,50.34,50.97,50.34,50.69,777500,0.0,0
2019-04-01,51.59,52.89,51.19,52.87,1096300,0.0,0
2019-04-02,52.92,53.19,52.38,53.08,1008900,0.0,0
2019-04-03,53.62,54.42,53.37,53.73,889600,0.0,0
2019-04-04,53.84,54.52,52.91,53.39,923300,0.0,0
2019-04-05,51.79,53.2,50.91,53.04,1853600,0.0,0
2019-04-08,52.91,53.86,52.82,53.5,1039600,0.0,0
2019-04-09,53.46,53.64,52.78,52.96,698400,0.0,0
2019-04-10,53.04,53.6,52.57,53.55,880900,0.0,0
2019-04-11,52.66,54.26,52.66,54.14,718200,0.0,0
2019-04-12,51.08,55.0,51.08,54.65,639600,0.0,0
2019-04-15,54.66,55.18,53.93,54.39,631300,0.0,0
2019-04-16,54.9,56.03,54.84,55.79,1152000,0.0,0
2019-04-17,56.25,56.68,55.56,55.83,755700,0.0,0
2019-04-18,55.75,56.5,55.13,56.31,933100,0.0,0
2019-04-22,55.93,55.94,54.63,54.94,947700,0.0,0
2019-04-23,55.18,56.81,55.04,56.65,984900,0.0,0
2019-04-24,56.59,57.12,55.71,55.96,1186000,0.0,0
2019-04-25,55.81,55.9,54.3,54.55,1024800,0.0,0
2019-04-26,54.39,54.77,53.62,54.75,1258700,0.0,0
2019-04-29,54.57,54.94,53.46,53.52,1593400,0.0,0
2019-04-30,45.31,50.45,44.82,50.26,7816900,0.0,0
2019-05-01,49.71,51.18,48.12,48.12,3134700,0.0,0
2019-05-02,48.18,48.8,47.69,48.12,1799300,0.0,0
2019-05-03,48.55,49.09,48.44,48.86,1248800,0.0,0
2019-05-06,47.4,48.15,46.9,47.89,1389500,0.0,0
2019-05-07,47.53,47.53,46.62,47.34,1231000,0.0,0
2019-05-08,47.2,47.88,47.16,47.45,895700,0.0,0
2019-05-09,46.82,47.45,45.93,46.66,1255800,0.0,0
2019-05-10,46.35,46.9,45.45,46.65,1026200,0.0,0
2019-05-13,45.02,45.63,43.85,43.86,1206900,0.0,0
2019-05-14,44.39,45.35,44.39,45.0,1037800,0.0,0
2019-05-15,44.47,45.54,44.47,45.28,866500,0.0,0
2019-05-16,45.41,45.67,44.75,44.84,992600,0.05,0
2019-05-17,44.12,44.97,43.77,43.91,1092700,0.0,0
2019-05-20,43.05,43.71,42.8,43.26,963100,0.0,0
2019-05-21,43.82,44.1,43.64,43.85,792500,0.0,0
2019-05-22,43.54,44.0,43.15,43.15,897600,0.0,0
2019-05-23,42.48,42.67,42.0,42.35,780300,0.0,0
2019-05-24,42.84,43.22,42.25,42.31,716900,0.0,0
2019-05-28,42.48,42.88,41.87,41.9,1928000,0.0,0
2019-05-29,41.37,41.97,40.86,41.6,949500,0.0,0
2019-05-30,41.75,42.28,41.2,41.66,911700,0.0,0
2019-05-31,40.96,41.26,40.46,40.51,1357700,0.0,0
2019-06-03,40.64,41.19,40.09,40.66,1503600,0.0,0
2019-06-04,41.45,42.55,40.99,42.5,1295700,0.0,0
2019-06-05,42.79,42.9,41.88,42.7,720800,0.0,0
2019-06-06,42.82,43.22,42.32,43.06,902000,0.0,0
2019-06-07,43.24,44.31,43.04,44.23,966700,0.0,0
2019-06-10,44.67,45.75,44.67,45.46,719400,0.0,0
2019-06-11,46.32,46.77,45.09,45.37,1339600,0.0,0
2019-06-12,45.24,45.3,44.13,44.6,1065200,0.0,0
2019-06-13,44.78,45.03,44.22,44.87,915900,0.0,0
2019-06-14,44.76,44.76,43.33,43.59,883100,0.0,0
2019-06-17,43.47,44.15,43.12,43.43,745600,0.0,0
2019-06-18,43.74,44.85,43.34,44.74,1687000,0.0,0
2019-06-19,45.1,45.82,44.9,45.65,1249200,0.0,0
2019-06-20,46.49,47.32,46.12,46.91,1002000,0.0,0
2019-06-21,46.82,46.83,46.2,46.31,1037400,0.0,0
2019-06-24,46.25,46.65,45.77,46.15,548500,0.0,0
2019-06-25,46.16,46.29,45.9,46.06,726000,0.0,0
2019-06-26,46.42,47.14,46.04,46.89,882600,0.0,0
2019-06-27,47.23,47.61,46.82,47.21,758000,0.0,0
2019-06-28,47.46,48.24,47.34,47.87,1459600,0.0,0
2019-07-01,49.02,49.69,47.63,47.64,1362400,0.0,0
2019-07-02,47.55,47.55,45.3,45.52,1496000,0.0,0
2019-07-03,45.58,45.8,44.98,45.71,1140200,0.0,0
2019-07-05,44.86,45.6,42.78,44.34,1455600,0.0,0
2019-07-08,43.97,44.01,42.37,42.64,1165700,0.0,0
2019-07-09,42.4,43.23,42.12,42.98,1483000,0.0,0
2019-07-10,43.29,43.47,41.96,42.35,1321300,0.0,0
2019-07-11,42.5,42.65,41.62,41.85,1162800,0.0,0
2019-07-12,41.92,42.61,41.51,42.33,1344500,0.0,0
2019-07-15,42.49,42.63,41.86,42.42,1360200,0.0,0
2019-07-16,39.89,43.1,39.89,42.93,2027200,0.0,0
2019-07-17,42.95,43.46,42.71,42.86,1054900,0.0,0
2019-07-18,42.79,42.95,42.05,42.47,1543700,0.0,0
2019-07-19,42.76,42.92,42.21,42.22,1384900,0.0,0
2019-07-22,42.37,42.92,42.3,42.75,1236200,0.0,0
2019-07-23,43.15,43.81,42.9,43.73,1595000,0.0,0
2019-07-24,43.69,44.49,43.54,44.45,1791600,0.0,0
2019-07-25,44.35,44.36,42.69,42.76,1379700,0.0,0
2019-07-26,42.71,42.93,41.88,42.07,2484300,0.0,0
2019-07-29,42.06,42.76,41.76,42.2,2020100,0.0,0
2019-07-30,41.73,46.02,40.96,46.01,4578200,0.0,0
2019-07-31,45.82,46.54,43.57,43.91,2754100,0.0,0
2019-08-01,43.86,44.86,42.72,43.31,1561700,0.0,0
2019-08-02,42.71,42.88,41.09,41.94,1546100,0.0,0
2019-08-05,40.8,42.12,40.11,41.91,1491700,0.0,0
2019-08-06,42.38,42.84,41.68,42.63,950100,0.0,0
2019-08-07,41.99,43.09,41.81,42.85,916200,0.0,0
2019-08-08,43.09,44.48,43.09,44.44,1018100,0.0,0
2019-08-09,44.29,44.4,43.0,43.67,637800,0.0,0
2019-08-12,43.32,44.04,42.51,42.91,1160700,0.0,0
2019-08-13,42.67,45.0,42.54,44.94,1066800,0.0,0
2019-08-14,43.74,43.97,43.01,43.64,1675000,0.0,0
2019-08-15,43.76,43.76,43.06,43.47,1509600,0.05,0
2019-08-16,43.77,44.68,43.77,44.14,983400,0.0,0
2019-08-19,44.97,45.82,44.83,45.15,1238800,0.0,0
2019-08-20,45.21,45.45,44.55,44.8,785400,0.0,0
2019-08-21,45.44,45.44,44.59,44.82,563300,0.0,0
2019-08-22,45.11,45.26,44.45,44.67,550900,0.0,0
2019-08-23,44.37,44.87,42.99,43.19,914900,0.0,0
2019-08-26,43.98,44.15,42.83,43.2,536000,0.0,0
2019-08-27,43.6,43.68,42.67,42.99,548800,0.0,0
2019-08-28,42.8,43.42,42.51,43.29,444100,0.0,0
2019-08-29,43.97,44.74,43.97,44.58,452700,0.0,0
2019-08-30,45.03,45.19,44.73,45.03,759400,0.0,0
2019-09-03,44.7,45.59,42.86,43.18,1034400,0.0,0
2019-09-04,43.87,44.83,43.87,44.67,617100,0.0,0
2019-09-05,45.25,47.22,45.25,47.1,747600,0.0,0
2019-09-06,47.25,47.58,46.81,47.27,837100,0.0,0
2019-09-09,47.43,48.08,47.0,47.66,854400,0.0,0
2019-09-10,47.56,48.19,46.24,48.19,783700,0.0,0
2019-09-11,48.33,49.85,47.7,49.83,922000,0.0,0
2019-09-12,49.95,50.28,49.22,50.0,851800,0.0,0
2019-09-13,50.33,50.68,49.77,50.42,615200,0.0,0
2019-09-16,49.94,50.72,49.63,49.8,666800,0.0,0
2019-09-17,49.75,49.8,48.75,49.74,692900,0.0,0
2019-09-18,49.58,50.18,49.24,50.12,695500,0.0,0
2019-09-19,50.22,50.92,50.02,50.4,905700,0.0,0
2019-09-20,50.38,50.4,47.94,48.16,1921100,0.0,0
2019-09-23,48.37,48.91,47.95,48.04,783500,0.0,0
2019-09-24,48.23,48.37,46.57,47.06,713800,0.0,0
2019-09-25,46.91,48.22,46.72,47.99,767400,0.0,0
2019-09-26,47.99,48.35,47.73,48.08,547300,0.0,0
2019-09-27,48.13,48.82,47.69,48.17,880600,0.0,0
2019-09-30,48.45,49.29,48.19,49.08,851100,0.0,0
2019-10-01,49.49,50.13,47.66,47.87,871600,0.0,0
2019-10-02,47.53,47.65,46.43,47.23,712200,0.0,0
2019-10-03,47.05,48.02,46.49,48.02,392500,0.0,0
2019-10-04,48.15,49.2,48.04,49.18,465100,0.0,0
2019-10-07,48.81,49.49,48.66,48.98,772700,0.0,0
2019-10-08,48.56,48.95,46.12,46.16,1423700,0.0,0
2019-10-09,46.71,47.46,46.13,47.2,671600,0.0,0
2019-10-10,47.16,48.11,46.65,46.79,731800,0.0,0
2019-10-11,47.83,49.4,47.83,48.87,750100,0.0,0
2019-10-14,48.62,48.74,48.27,48.7,447700,0.0,0
2019-10-15,49.0,49.73,48.45,49.09,703000,0.0,0
2019-10-16,48.85,49.34,48.39,48.83,648600,0.0,0
2019-10-17,49.66,50.95,49.36,50.73,689600,0.0,0
2019-10-18,50.57,51.57,50.45,50.99,745700,0.0,0
2019-10-21,51.44,52.17,51.09,52.15,752200,0.0,0
2019-10-22,52.08,52.77,51.69,52.55,679300,0.0,0
2019-10-23,52.38,52.57,50.83,52.34,878800,0.0,0
2019-10-24,52.85,53.62,52.06,52.09,692200,0.0,0
2019-10-25,52.21,52.69,52.07,52.44,939100,0.0,0
2019-10-28,53.12,54.08,53.04,53.92,1085000,0.0,0
2019-10-29,52.42,52.74,50.03,51.91,2138600,0.0,0
2019-10-30,51.11,51.94,50.22,51.91,1013600,0.0,0
2019-10-31,51.66,51.89,50.78,51.43,757300,0.0,0
2019-11-01,51.78,52.45,51.46,52.33,1468600,0.0,0
2019-11-04,52.93,53.5,52.25,53.31,846100,0.0,0
2019-11-05,53.31,54.75,53.12,54.45,833000,0.0,0
2019-11-06,54.28,54.28,53.07,53.16,641800,0.0,0
2019-11-07,53.78,53.92,53.24,53.63,676200,0.0,0
2019-11-08,53.51,53.53,52.53,53.28,889600,0.0,0
2019-11-11,52.75,53.17,52.7,52.88,418800,0.0,0
2019-11-12,52.73,53.01,51.54,51.74,1049800,0.0,0
2019-11-13,51.39,51.71,50.71,51.03,1217400,0.0,0
2019-11-14,50.85,51.37,50.63,50.86,963900,0.055,0
2019-11-15,51.09,51.59,50.43,51.41,1324100,0.0,0
2019-11-18,51.15,51.36,49.75,49.88,702400,0.0,0
2019-11-19,50.12,50.71,49.17,50.54,1172400,0.0,0
2019-11-20,50.3,50.98,49.78,50.13,1059300,0.0,0
2019-11-21,50.12,50.54,49.67,50.15,978600,0.0,0
2019-11-22,50.6,50.6,49.5,49.58,516700,0.0,0
2019-11-25,49.62,50.81,49.03,50.24,1107600,0.0,0
2019-11-26,50.43,50.94,50.11,50.52,838700,0.0,0
2019-11-27,50.59,52.02,50.49,52.02,761700,0.0,0
2019-11-29,51.54,51.59,50.12,50.18,518100,0.0,0
2019-12-02,50.44,51.32,49.59,49.71,654000,0.0,0
2019-12-03,48.99,49.38,48.5,49.28,667300,0.0,0
2019-12-04,49.75,51.24,49.4,49.97,766300,0.0,0
2019-12-05,50.2,50.41,49.71,49.87,903000,0.0,0
2019-12-06,50.37,51.48,50.01,51.39,807500,0.0,0
2019-12-09,51.19,51.38,50.12,50.15,649400,0.0,0
2019-12-10,50.2,50.98,50.13,50.91,536700,0.0,0
2019-12-11,50.92,52.5,50.72,52.45,1051300,0.0,0
2019-12-12,52.29,54.07,51.96,53.99,942400,0.0,0
2019-12-13,53.9,55.01,53.63,54.53,1461900,0.0,0
2019-12-16,54.84,55.94,54.82,55.58,1317400,0.0,0
2019-12-17,55.71,56.75,55.27,56.51,1318400,0.0,0
2019-12-18,56.45,56.45,55.24,55.7,1201500,0.0,0
2019-12-19,55.66,56.35,55.45,56.14,1441900,0.0,0
2019-12-20,56.57,57.02,54.86,55.22,2718800,0.0,0
2019-12-23,55.32,56.09,54.94,55.9,493500,0.0,0
