Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,86.51,87.57,86.24,87.56,1279800,0.0,0
2019-02-06,87.45,89.0,87.45,88.6,1627800,0.0,0
2019-02-07,87.98,88.92,87.76,88.18,1419500,0.0,0
2019-02-08,87.79,88.31,86.74,88.18,836800,0.0,0
2019-02-11,88.04,88.93,87.78,87.92,792800,0.0,0
2019-02-12,88.53,89.48,88.27,88.82,913400,0.0,0
2019-02-13,88.68,88.89,87.72,88.71,758800,0.0,0
2019-02-14,88.23,89.28,88.03,88.52,751500,0.0,0
2019-02-15,88.9,89.72,88.0,89.25,1201800,0.0,0
2019-02-19,88.94,90.21,88.75,89.74,1020400,0.0,0
2019-02-20,89.52,90.02,89.17,89.8,792000,0.0,0
2019-02-21,89.64,90.26,89.36,89.96,1035300,0.0,0
2019-02-22,90.04,90.37,89.2,89.73,711600,0.0,0
2019-02-25,90.16,90.49,88.77,88.84,993000,0.0,0
2019-02-26,88.82,89.37,88.71,88.92,1771900,0.0,0
2019-02-27,88.26,88.73,87.38,87.9,960400,0.0,0
2019-02-28,87.84,88.73,87.47,88.7,949300,0.5,0
2019-03-01,89.38,90.28,88.09,88.52,1424000,0.0,0
2019-03-04,88.72,89.43,86.88,87.09,1416400,0.0,0
2019-03-05,87.24,87.46,86.32,87.17,903100,0.0,0
2019-03-06,87.33,87.65,85.89,86.35,893600,0.0,0
2019-03-07,86.05,86.56,85.25,85.84,960200,0.0,0
2019-03-08,85.32,85.96,84.54,85.81,563800,0.0,0
2019-03-11,85.7,87.25,85.55,87.21,777000,0.0,0
2019-03-12,87.42,88.03,86.58,87.1,592300,0.0,0
2019-03-13,87.34,88.14,86.7,87.42,735200,0.0,0
2019-03-14,87.73,88.18,87.1,87.67,750500,0.0,0
2019-03-15,87.67,88.45,87.04,87.34,1289100,0.0,0
2019-03-18,87.34,88.41,87.18,88.41,732400,0.0,0
2019-03-19,88.46,88.53,86.41,86.66,961100,0.0,0
2019-03-20,86.26,86.98,84.84,85.03,756100,0.0,0
2019-03-21,84.86,85.87,84.44,85.65,763500,0.0,0
2019-03-22,85.33,85.33,83.06,83.1,1094900,0.0,0
2019-03-25,82.99,83.27,81.4,81.88,1619100,0.0,0
2019-03-26,82.35,84.04,81.61,83.95,1645500,0.0,0
2019-03-27,84.0,84.8,83.46,84.22,1027300,0.0,0
2019-03-28,84.3,85.23,84.13,84.67,910300,0.0,0
2019-03-29,84.94,85.43,84.74,85.37,1273400,0.0,0
2019-04-01,85.99,86.82,85.57,86.65,695500,0.0,0
2019-04-02,86.94,87.27,86.33,86.84,1268600,0.0,0
2019-04-03,87.29,88.65,86.85,87.05,1178100,0.0,0
2019-04-04,87.3,88.65,87.26,87.57,659300,0.0,0
2019-04-05,87.66,88.24,87.36,87.79,476200,0.0,0
2019-04-08,87.69,88.32,87.39,87.95,624200,0.0,0
2019-04-09,87.5,87.76,86.8,87.57,673100,0.0,0
2019-04-10,87.44,87.44,86.15,86.68,760600,0.0,0
2019-04-11,87.29,88.2,87.11,88.0,871300,0.0,0
2019-04-12,88.32,89.27,88.03,89.1,813200,0.0,0
2019-04-15,89.25,89.78,88.52,89.19,946200,0.0,0
2019-04-16,86.09,88.2,85.87,87.85,1869200,0.0,0
2019-04-17,88.42,88.46,87.67,87.8,872800,0.0,0
2019-04-18,88.1,89.2,87.64,88.31,760800,0.0,0
2019-04-22,87.92,88.55,87.63,88.48,641500,0.0,0
2019-04-23,88.9,89.73,88.54,89.04,932100,0.0,0
2019-04-24,88.96,90.26,88.96,89.72,910900,0.0,0
2019-04-25,89.58,89.58,86.24,86.93,1059900,0.0,0
2019-04-26,87.05,87.28,85.86,86.12,1893000,0.0,0
2019-04-29,85.81,85.81,79.46,79.6,3803300,0.0,0
2019-04-30,79.94,80.58,79.44,79.49,2914600,0.0,0
2019-05-01,77.15,80.89,76.27,79.23,5235600,0.0,0
2019-05-02,79.53,83.08,79.22,81.87,3730700,0.0,0
2019-05-03,82.68,83.39,81.61,82.34,1673600,0.0,0
2019-05-06,81.27,82.41,80.62,81.66,1144900,0.0,0
2019-05-07,81.13,81.59,80.55,81.01,1769000,0.0,0
2019-05-08,81.09,82.89,80.5,81.71,2017800,0.0,0
2019-05-09,81.53,82.33,80.79,81.14,1783500,0.0,0
2019-05-10,81.02,81.02,79.01,80.21,1349300,0.0,0
2019-05-13,78.92,79.81,78.26,78.56,1388300,0.0,0
2019-05-14,78.92,80.6,78.83,79.87,1057800,0.0,0
2019-05-15,79.5,80.48,79.11,80.33,915500,0.0,0
2019-05-16,80.67,82.09,80.29,81.36,1631500,0.0,0
2019-05-17,80.66,81.69,80.24,80.69,809000,0.0,0
2019-05-20,80.3,80.89,79.97,80.27,1009200,0.0,0
2019-05-21,80.65,81.21,80.26,80.36,718700,0.0,0
2019-05-22,79.85,80.11,78.58,79.67,755600,0.0,0
2019-05-23,79.15,80.11,78.67,79.24,1542800,0.0,0
2019-05-24,79.49,79.75,77.99,78.23,1453500,0.0,0
2019-05-28,78.33,78.33,77.08,77.54,1994300,0.0,0
2019-05-29,77.48,78.51,76.55,78.2,1260200,0.0,0
2019-05-30,78.35,78.73,76.44,77.32,1400600,0.0,0
2019-05-31,76.56,78.4,76.56,78.15,1919200,0.0,0
2019-06-03,77.91,79.12,77.56,78.31,1049700,0.0,0
2019-06-04,78.85,79.02,78.02,78.74,2216400,0.0,0
2019-06-05,78.7,79.65,78.21,79.49,888700,0.0,0
2019-06-06,79.17,79.4,77.84,78.56,1274900,0.5,0
2019-06-07,78.97,79.95,78.66,78.69,761900,0.0,0
2019-06-10,79.13,80.22,78.98,79.19,828300,0.0,0
2019-06-11,79.76,80.32,79.07,79.4,733100,0.0,0
2019-06-12,79.61,81.23,79.38,81.19,1074400,0.0,0
2019-06-13,81.34,82.7,81.19,82.52,1404700,0.0,0
2019-06-14,82.6,82.76,81.65,82.65,1365000,0.0,0
2019-06-17,82.71,82.71,81.2,81.26,1074400,0.0,0
2019-06-18,81.96,83.34,81.83,82.45,1084400,0.0,0
2019-06-19,82.52,82.68,81.7,82.32,852300,0.0,0
2019-06-20,83.28,83.44,82.1,82.95,932100,0.0,0
2019-06-21,82.97,82.97,81.82,81.99,1626500,0.0,0
2019-06-24,81.91,82.44,81.34,81.83,1076600,0.0,0
2019-06-25,81.87,82.16,80.46,81.7,965200,0.0,0
2019-06-26,81.58,82.64,81.07,82.27,1229300,0.0,0
2019-06-27,82.58,83.81,82.43,83.11,1074100,0.0,0
2019-06-28,83.27,84.29,82.95,83.29,2101100,0.0,0
2019-07-01,84.24,84.49,82.7,83.25,932700,0.0,0
2019-07-02,83.16,83.71,82.03,82.58,786200,0.0,0
2019-07-03,82.83,84.15,82.82,83.97,500500,0.0,0
2019-07-05,83.51,83.92,82.89,83.84,542300,0.0,0
2019-07-08,83.81,83.96,82.32,82.87,791000,0.0,0
2019-07-09,82.33,83.0,81.18,82.15,961000,0.0,0
2019-07-10,82.33,82.94,81.11,81.16,703100,0.0,0
2019-07-11,81.08,82.01,80.52,81.8,880100,0.0,0
2019-07-12,81.71,84.6,81.71,83.99,1379900,0.0,0
2019-07-15,84.02,84.17,83.21,83.45,769800,0.0,0
2019-07-16,83.55,84.93,82.84,83.88,1698400,0.0,0
2019-07-17,83.54,83.54,80.97,81.22,2522400,0.0,0
2019-07-18,80.81,81.63,80.4,81.43,1641300,0.0,0
2019-07-19,81.61,83.29,81.31,82.6,875800,0.0,0
2019-07-22,82.84,83.33,82.11,82.18,1012700,0.0,0
2019-07-23,82.44,82.49,81.37,82.36,860800,0.0,0
2019-07-24,82.6,85.74,82.38,84.81,2019700,0.0,0
2019-07-25,84.75,85.28,82.4,83.02,1855100,0.0,0
2019-07-26,82.53,84.2,82.4,84.05,1344600,0.0,0
2019-07-29,83.79,84.73,83.56,83.99,1232600,0.0,0
2019-07-30,83.79,84.8,83.29,83.71,1437200,0.0,0
2019-07-31,80.73,83.35,78.52,82.68,3196600,0.0,0
2019-08-01,82.09,82.25,79.15,79.98,2330500,0.0,0
2019-08-02,80.14,81.59,80.01,80.64,1265100,0.0,0
2019-08-05,79.98,80.47,79.56,80.14,2238600,0.0,0
2019-08-06,80.7,81.17,79.86,80.31,1005000,0.0,0
2019-08-07,79.9,82.62,79.52,82.45,2055800,0.0,0
2019-08-08,82.7,85.39,82.55,84.98,1821000,0.0,0
2019-08-09,85.01,85.97,83.34,83.42,1800200,0.0,0
2019-08-12,83.2,84.04,82.53,83.37,1097500,0.0,0
2019-08-13,83.47,84.51,82.76,83.57,1104700,0.0,0
2019-08-14,82.61,82.96,81.07,81.36,1097300,0.0,0
2019-08-15,81.6,82.12,80.97,81.86,1027700,0.0,0
2019-08-16,82.48,83.27,81.83,82.77,1075700,0.0,0
