Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,17.34,17.35,17.26,17.33,992100,0.0,0
2019-02-06,17.33,17.36,17.21,17.25,1190100,0.0,0
2019-02-07,17.2,17.27,17.1,17.21,1329600,0.0,0
2019-02-08,17.17,17.34,17.17,17.31,994700,0.0,0
2019-02-11,17.33,17.34,17.19,17.24,793000,0.0,0
2019-02-12,17.26,17.31,17.2,17.23,1323100,0.0,0
2019-02-13,17.19,17.26,16.61,16.95,3141000,0.0,0
2019-02-14,16.81,16.86,16.7,16.75,2627400,0.0,0
2019-02-15,16.81,16.85,16.7,16.74,1915700,0.0,0
2019-02-19,16.74,16.83,16.69,16.7,1286700,0.0,0
2019-02-20,16.71,16.74,16.62,16.63,1815000,0.0,0
2019-02-21,16.6,16.8,16.6,16.76,1276000,0.0,0
2019-02-22,16.78,16.92,16.76,16.87,1046700,0.0,0
2019-02-25,16.88,16.95,16.8,16.83,1221500,0.0,0
2019-02-26,16.85,16.85,16.74,16.74,1281100,0.0,0
2019-02-27,16.74,16.78,16.61,16.72,936100,0.0,0
2019-02-28,16.71,16.78,16.63,16.71,2447300,0.0,0
2019-03-01,16.77,16.84,16.64,16.79,1049200,0.0,0
2019-03-04,16.86,16.92,16.77,16.86,1247100,0.0,0
2019-03-05,16.85,16.88,16.78,16.87,909200,0.0,0
2019-03-06,16.93,16.94,16.81,16.85,815300,0.0,0
2019-03-07,16.87,16.9,16.77,16.79,933900,0.0,0
2019-03-08,16.82,17.02,16.8,16.91,1324700,0.0,0
2019-03-11,16.97,17.17,16.96,17.15,1306700,0.0,0
2019-03-12,17.17,17.25,17.14,17.15,1300300,0.0,0
2019-03-13,17.18,17.32,17.15,17.15,1381400,0.0,0
2019-03-14,17.17,17.25,17.14,17.17,1121800,0.0,0
2019-03-15,17.21,17.25,17.15,17.21,2009200,0.0,0
2019-03-18,17.15,17.38,17.15,17.37,1254700,0.0,0
2019-03-19,17.39,17.41,17.25,17.28,1234000,0.0,0
2019-03-20,17.26,17.3,17.17,17.19,1106500,0.0,0
2019-03-21,17.2,17.4,17.19,17.33,794900,0.0,0
2019-03-22,17.34,17.37,17.19,17.19,1246100,0.0,0
2019-03-25,17.2,17.34,17.2,17.25,1356500,0.0,0
2019-03-26,17.34,17.43,17.31,17.37,1227300,0.0,0
2019-03-27,17.41,17.55,17.41,17.53,2020300,0.0,0
2019-03-28,17.62,17.63,17.33,17.51,2873700,0.5,0
2019-03-29,17.53,17.62,17.37,17.39,1822200,0.0,0
2019-04-01,17.4,17.6,17.39,17.58,1263500,0.0,0
2019-04-02,17.58,17.62,17.45,17.56,1132800,0.0,0
2019-04-03,17.55,17.61,17.49,17.5,801300,0.0,0
2019-04-04,17.5,17.62,17.5,17.61,659000,0.0,0
2019-04-05,17.61,17.67,17.6,17.62,859800,0.0,0
2019-04-08,17.63,17.66,17.59,17.64,861400,0.0,0
2019-04-09,17.65,17.65,17.5,17.5,961500,0.0,0
2019-04-10,17.53,17.57,17.51,17.53,634900,0.0,0
2019-04-11,17.56,17.58,17.49,17.53,832200,0.0,0
2019-04-12,17.58,17.59,17.49,17.53,710500,0.0,0
2019-04-15,17.53,17.56,17.49,17.53,798100,0.0,0
2019-04-16,17.54,17.55,17.48,17.48,890400,0.0,0
2019-04-17,17.48,17.51,17.42,17.44,676200,0.0,0
2019-04-18,17.44,17.55,17.44,17.52,791000,0.0,0
2019-04-22,17.52,17.54,17.43,17.53,710000,0.0,0
2019-04-23,17.58,17.66,17.53,17.62,947900,0.0,0
2019-04-24,17.66,17.76,17.65,17.72,961500,0.0,0
2019-04-25,17.75,17.75,17.45,17.55,1151400,0.0,0
2019-04-26,17.6,17.81,17.59,17.76,1251900,0.0,0
2019-04-29,17.71,17.77,17.65,17.7,1065600,0.0,0
2019-04-30,17.74,17.79,17.65,17.79,1266800,0.0,0
2019-05-01,17.67,17.99,17.49,17.61,1664100,0.0,0
2019-05-02,17.64,17.74,17.53,17.64,1084300,0.0,0
2019-05-03,17.67,17.69,17.53,17.63,1233700,0.0,0
2019-05-06,17.49,17.69,17.49,17.65,981600,0.0,0
2019-05-07,17.57,17.7,17.49,17.51,2086300,0.0,0
2019-05-08,17.51,17.58,17.44,17.52,1296800,0.0,0
2019-05-09,17.46,17.52,17.33,17.51,1397900,0.0,0
2019-05-10,17.53,17.66,17.47,17.6,1119700,0.0,0
2019-05-13,17.52,17.55,17.43,17.5,1000600,0.0,0
2019-05-14,17.5,17.56,17.43,17.52,736500,0.0,0
2019-05-15,17.52,17.55,17.43,17.51,623400,0.0,0
2019-05-16,17.52,17.59,17.51,17.55,1102400,0.0,0
2019-05-17,17.46,17.58,17.46,17.52,868300,0.0,0
2019-05-20,17.53,17.55,17.39,17.4,1018900,0.0,0
2019-05-21,17.46,17.46,17.34,17.36,766600,0.0,0
2019-05-22,17.36,17.42,17.34,17.41,630900,0.0,0
2019-05-23,17.36,17.4,17.33,17.4,814000,0.0,0
2019-05-24,17.43,17.49,17.41,17.46,635300,0.0,0
2019-05-28,17.46,17.51,17.31,17.32,1104200,0.0,0
2019-05-29,17.33,17.35,17.16,17.22,1249000,0.0,0
2019-05-30,17.26,17.27,17.05,17.11,1204200,0.0,0
2019-05-31,17.07,17.07,16.79,16.92,1883500,0.0,0
2019-06-03,16.94,17.34,16.93,17.28,1282200,0.0,0
2019-06-04,17.4,17.45,17.24,17.43,1304800,0.0,0
2019-06-05,17.49,17.53,17.28,17.33,1253300,0.0,0
2019-06-06,17.39,17.48,17.2,17.42,1550700,0.0,0
2019-06-07,17.49,17.49,17.28,17.41,1357100,0.0,0
2019-06-10,17.43,17.53,17.37,17.53,772000,0.0,0
2019-06-11,17.55,17.56,17.46,17.48,666300,0.0,0
2019-06-12,17.52,17.58,17.5,17.53,623500,0.0,0
2019-06-13,17.59,17.59,17.51,17.56,816300,0.0,0
2019-06-14,17.55,17.65,17.53,17.58,611000,0.0,0
2019-06-17,17.63,17.66,17.54,17.57,1151400,0.0,0
2019-06-18,17.69,17.74,17.6,17.67,1039200,0.0,0
2019-06-19,17.66,17.85,17.62,17.82,809500,0.0,0
2019-06-20,17.86,17.89,17.75,17.75,1092000,0.0,0
2019-06-21,17.75,17.85,17.72,17.76,1305500,0.0,0
2019-06-24,17.85,17.92,17.79,17.86,1016300,0.0,0
2019-06-25,17.92,17.95,17.81,17.84,1391300,0.0,0
2019-06-26,17.9,17.93,17.77,17.77,1546900,0.0,0
2019-06-27,17.84,17.9,17.75,17.89,1409800,0.5,0
2019-06-28,17.95,18.08,17.93,17.98,1764900,0.0,0
2019-07-01,18.08,18.14,17.91,17.96,1222700,0.0,0
2019-07-02,17.97,18.0,17.73,17.83,1579500,0.0,0
2019-07-03,17.83,18.02,17.81,18.0,996700,0.0,0
2019-07-05,18.01,18.19,17.91,18.19,1202300,0.0,0
2019-07-08,18.13,18.24,18.05,18.1,1206600,0.0,0
2019-07-09,18.05,18.14,18.0,18.12,841500,0.0,0
2019-07-10,18.16,18.23,18.15,18.18,1218700,0.0,0
2019-07-11,18.2,18.29,18.19,18.29,1540700,0.0,0
2019-07-12,18.29,18.35,18.23,18.29,975100,0.0,0
