Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,46.06,46.38,45.77,46.25,680100,0.0,0
2019-02-06,46.13,46.59,45.95,46.37,640700,0.0,0
2019-02-07,46.79,47.49,46.62,47.2,855800,0.25,0
2019-02-08,46.96,47.34,46.49,46.94,1217000,0.0,0
2019-02-11,46.96,47.33,46.71,47.24,814600,0.0,0
2019-02-12,47.57,48.41,47.51,48.12,799200,0.0,0
2019-02-13,48.23,49.1,48.11,49.03,1322500,0.0,0
2019-02-14,48.53,49.22,48.1,49.0,1190400,0.0,0
2019-02-15,49.4,49.92,49.34,49.64,880400,0.0,0
2019-02-19,49.28,50.13,49.23,49.98,671800,0.0,0
2019-02-20,49.9,50.31,49.64,50.12,718500,0.0,0
2019-02-21,49.94,50.06,49.45,49.9,774700,0.0,0
2019-02-22,50.05,50.28,49.9,50.16,714400,0.0,0
2019-02-25,50.5,50.67,49.89,50.12,795700,0.0,0
2019-02-26,49.96,50.3,49.54,49.55,478400,0.0,0
2019-02-27,49.66,50.25,49.23,50.12,574800,0.0,0
2019-02-28,50.07,50.28,49.8,49.84,715500,0.0,0
2019-03-01,50.15,50.56,49.66,50.11,543600,0.0,0
2019-03-04,50.13,50.58,49.54,49.94,472200,0.0,0
2019-03-05,49.85,49.85,48.89,49.25,1016100,0.0,0
2019-03-06,49.05,49.28,48.13,48.28,779700,0.0,0
2019-03-07,48.09,48.16,47.43,47.7,1040900,0.0,0
2019-03-08,47.18,47.93,47.02,47.83,541800,0.0,0
2019-03-11,47.91,48.58,47.85,48.42,489100,0.0,0
2019-03-12,48.45,48.78,48.0,48.18,838600,0.0,0
2019-03-13,48.39,49.14,48.29,49.0,1771400,0.0,0
2019-03-14,48.93,49.28,48.81,48.96,1257800,0.0,0
2019-03-15,48.89,49.53,48.88,49.02,2220000,0.0,0
2019-03-18,49.09,50.12,49.09,49.84,1690100,0.0,0
2019-03-19,50.1,50.4,48.77,48.86,1356400,0.0,0
2019-03-20,48.75,49.08,47.02,47.07,1206400,0.0,0
2019-03-21,46.76,47.34,46.52,46.88,1158000,0.0,0
2019-03-22,46.36,46.46,44.58,45.1,1338600,0.0,0
2019-03-25,45.14,45.67,44.68,45.09,1218500,0.0,0
2019-03-26,45.64,46.66,45.64,46.34,1084800,0.0,0
