Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,59.46,60.1,59.25,59.53,294600,0,0
2019-02-06,59.28,59.72,58.62,58.72,238900,0,0
2019-02-07,58.39,58.65,57.07,57.37,505600,0,0
2019-02-08,57.29,57.94,56.14,57.7,459100,0,0
2019-02-11,57.75,58.76,57.75,58.19,651900,0,0
2019-02-12,58.1,59.58,58.06,59.47,339000,0,0
2019-02-13,59.64,59.98,58.64,59.34,280500,0,0
2019-02-14,59.03,59.85,59.03,59.37,513900,0,0
2019-02-15,59.81,60.55,59.81,60.04,354900,0,0
2019-02-19,60.03,60.63,60.03,60.28,384600,0,0
2019-02-20,60.23,60.58,59.27,60.31,539300,0,0
2019-02-21,60.26,61.08,60.2,60.4,256300,0,0
2019-02-22,60.55,60.73,59.76,59.87,275400,0,0
2019-02-25,60.0,60.64,59.63,59.72,653100,0,0
2019-02-26,59.92,60.47,59.66,60.01,443200,0,0
2019-02-27,66.14,69.07,65.0,68.07,1038800,0,0
2019-02-28,68.7,69.31,67.42,68.0,720400,0,0
2019-03-01,68.1,68.94,67.95,68.77,692000,0,0
2019-03-04,68.7,69.51,67.6,67.68,677000,0,0
2019-03-05,67.8,68.53,66.34,66.91,646300,0,0
2019-03-06,66.89,67.23,65.97,66.82,306600,0,0
2019-03-07,66.77,68.7,65.93,68.6,624100,0,0
2019-03-08,67.93,68.34,67.11,67.62,415600,0,0
2019-03-11,67.62,68.55,67.28,68.51,425900,0,0
2019-03-12,68.49,69.01,68.02,68.64,185200,0,0
2019-03-13,69.04,69.51,68.7,69.11,446000,0,0
2019-03-14,69.11,69.55,68.57,69.29,505300,0,0
2019-03-15,69.13,69.55,68.37,68.74,442900,0,0
2019-03-18,68.78,69.53,68.52,69.39,235200,0,0
2019-03-19,69.45,70.31,69.29,69.61,605600,0,0
2019-03-20,69.44,70.3,68.58,69.57,348100,0,0
2019-03-21,69.17,71.74,69.17,71.49,543600,0,0
2019-03-22,71.24,71.28,69.91,70.31,438700,0,0
2019-03-25,70.36,70.88,69.68,70.28,512500,0,0
2019-03-26,70.92,72.2,70.61,72.04,340000,0,0
2019-03-27,72.04,72.26,70.57,70.7,436800,0,0
2019-03-28,71.03,71.53,70.47,70.87,495700,0,0
2019-03-29,71.27,72.03,70.87,71.53,358800,0,0
2019-04-01,72.01,72.21,71.19,72.0,311900,0,0
2019-04-02,71.85,71.97,71.24,71.79,275000,0,0
2019-04-03,72.06,72.59,71.58,72.06,592900,0,0
2019-04-04,72.2,72.65,71.14,71.47,293000,0,0
2019-04-05,71.77,72.14,71.58,72.0,505500,0,0
2019-04-08,72.01,72.33,71.34,72.23,357000,0,0
2019-04-09,72.15,72.24,71.42,71.52,217100,0,0
2019-04-10,71.86,72.74,71.71,72.39,806900,0,0
2019-04-11,72.36,72.6,71.79,72.49,357800,0,0
2019-04-12,73.09,73.96,72.14,72.46,522400,0,0
2019-04-15,72.81,73.23,72.48,73.09,181400,0,0
2019-04-16,73.51,73.51,72.28,72.78,209100,0,0
2019-04-17,72.85,72.85,71.83,72.18,211800,0,0
2019-04-18,72.26,72.61,71.39,72.16,365700,0,0
2019-04-22,72.07,73.23,71.97,72.92,386800,0,0
2019-04-23,73.4,74.66,73.08,74.32,401400,0,0
2019-04-24,73.98,75.01,73.98,74.5,1318800,0,0
2019-04-25,74.52,74.62,73.21,73.57,317400,0,0
2019-04-26,73.65,74.38,73.65,74.24,312900,0,0
2019-04-29,74.61,75.68,74.5,75.16,519400,0,0
2019-04-30,75.23,76.2,75.23,76.0,701400,0,0
2019-05-01,77.24,77.24,70.24,70.9,1128900,0,0
2019-05-02,70.41,71.61,69.55,71.37,551800,0,0
2019-05-03,71.71,71.93,70.41,71.83,525100,0,0
2019-05-06,70.6,71.86,70.5,71.16,387300,0,0
2019-05-07,70.55,70.96,69.85,70.23,289600,0,0
2019-05-08,70.23,70.46,69.88,69.95,240500,0,0
2019-05-09,69.32,70.32,68.01,69.78,502000,0,0
2019-05-10,69.37,70.05,68.44,69.92,548200,0,0
2019-05-13,68.71,69.0,67.45,68.0,244300,0,0
2019-05-14,68.26,68.7,67.89,68.17,450000,0,0
2019-05-15,67.75,68.31,67.6,68.05,189900,0,0
2019-05-16,68.43,69.72,68.32,68.71,338300,0,0
2019-05-17,68.28,68.58,67.73,67.77,203400,0,0
2019-05-20,67.48,68.04,67.17,67.96,287400,0,0
2019-05-21,68.29,69.14,68.02,69.12,229900,0,0
2019-05-22,68.83,69.44,67.93,68.21,214300,0,0
2019-05-23,67.58,67.58,66.27,66.4,179800,0,0
2019-05-24,66.78,67.78,66.59,66.81,584800,0,0
2019-05-28,66.75,67.25,64.91,64.99,255000,0,0
2019-05-29,64.6,64.6,63.62,64.04,288600,0,0
2019-05-30,64.05,64.84,63.14,63.85,149800,0,0
2019-05-31,63.03,64.42,62.54,64.12,320100,0,0
2019-06-03,64.34,64.98,63.88,64.64,211400,0,0
2019-06-04,65.03,65.82,64.56,65.65,266100,0,0
2019-06-05,66.08,66.9,65.76,66.84,332000,0,0
2019-06-06,66.97,67.07,66.07,66.45,169700,0,0
2019-06-07,66.72,66.9,65.86,65.94,207800,0,0
2019-06-10,65.96,67.05,65.82,66.67,334300,0,0
2019-06-11,67.1,67.8,66.56,66.91,179200,0,0
2019-06-12,66.73,67.47,66.34,67.14,201300,0,0
2019-06-13,67.38,67.64,66.44,66.88,117900,0,0
2019-06-14,66.9,66.9,65.56,66.4,228400,0,0
2019-06-17,66.44,67.65,66.17,67.4,217200,0,0
2019-06-18,67.8,68.5,67.48,67.85,280400,0,0
2019-06-19,67.84,68.48,67.3,68.31,192900,0,0
2019-06-20,69.11,71.18,69.02,69.84,453800,0,0
2019-06-21,69.5,70.15,69.09,69.81,445000,0,0
2019-06-24,70.05,70.17,68.09,68.24,206100,0,0
2019-06-25,68.46,69.19,67.77,68.56,326300,0,0
2019-06-26,68.73,69.3,68.2,68.84,234600,0,0
2019-06-27,69.21,70.07,69.02,69.99,285200,0,0
2019-06-28,70.43,71.43,70.2,71.1,498400,0,0
2019-07-01,71.86,72.28,70.23,70.53,311900,0,0
2019-07-02,70.55,70.9,69.61,70.2,188500,0,0
2019-07-03,70.55,71.2,70.0,70.67,106300,0,0
2019-07-05,70.59,71.42,70.08,71.42,198500,0,0
2019-07-08,71.41,71.41,70.06,70.49,248900,0,0
2019-07-09,70.27,70.5,69.18,69.34,280000,0,0
2019-07-10,69.62,69.84,68.47,68.86,493000,0,0
2019-07-11,68.63,68.83,67.83,68.44,203900,0,0
2019-07-12,68.67,69.95,68.61,69.78,343200,0,0
2019-07-15,70.0,70.15,69.22,69.28,188000,0,0
2019-07-16,69.29,70.24,69.04,69.78,227900,0,0
