Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,144.04,145.44,142.92,145.34,1674800,0.0,0
2019-02-06,143.06,146.46,141.87,144.89,2116500,0.0,0
2019-02-07,144.94,146.23,143.96,145.15,1141600,0.0,0
2019-02-08,143.97,144.8,142.15,143.85,891200,0.0,0
2019-02-11,143.73,144.65,143.03,143.75,1272200,0.0,0
2019-02-12,144.65,147.61,144.53,147.25,1129100,0.0,0
2019-02-13,147.88,148.88,146.89,148.15,1137300,0.0,0
2019-02-14,147.05,147.87,146.49,146.87,810500,0.0,0
2019-02-15,147.77,150.85,147.2,150.82,1350200,0.0,0
2019-02-19,150.45,150.67,148.87,149.07,1820200,0.0,0
2019-02-20,149.5,151.21,148.22,150.75,1497900,0.0,0
2019-02-21,150.0,151.81,149.49,150.57,1163900,1.14,0
2019-02-22,151.05,152.68,150.62,151.91,1384300,0.0,0
2019-02-25,153.34,153.6,151.68,152.53,978800,0.0,0
2019-02-26,151.31,153.47,150.53,151.78,1664300,0.0,0
2019-02-27,152.18,152.63,150.5,151.83,1132400,0.0,0
2019-02-28,151.46,151.46,150.22,150.59,1002000,0.0,0
2019-03-01,151.69,152.37,150.27,150.9,1496100,0.0,0
2019-03-04,151.98,152.58,149.84,151.52,1142600,0.0,0
2019-03-05,150.94,152.63,150.94,150.98,1032600,0.0,0
2019-03-06,150.94,151.89,150.34,151.01,1070800,0.0,0
2019-03-07,150.4,151.56,148.43,150.78,1333700,0.0,0
2019-03-08,149.29,151.67,149.27,151.06,1402200,0.0,0
2019-03-11,151.08,154.65,150.61,154.45,1606100,0.0,0
2019-03-12,154.85,155.28,153.68,154.82,1924800,0.0,0
2019-03-13,155.39,155.39,153.09,153.39,1798200,0.0,0
2019-03-14,153.17,154.24,152.75,153.54,1707500,0.0,0
2019-03-15,153.54,154.5,152.99,153.83,3532800,0.0,0
2019-03-18,154.12,156.96,154.01,156.9,1340100,0.0,0
2019-03-19,157.56,158.65,155.94,156.47,1498700,0.0,0
2019-03-20,155.86,156.14,152.82,154.18,1462000,0.0,0
2019-03-21,153.52,155.58,153.52,155.02,711900,0.0,0
2019-03-22,154.06,154.23,151.42,152.09,1348400,0.0,0
2019-03-25,151.97,153.18,151.86,152.9,898300,0.0,0
2019-03-26,154.01,154.74,152.17,152.72,981300,0.0,0
2019-03-27,152.92,152.97,151.35,152.02,1371600,0.0,0
2019-03-28,152.36,153.29,151.71,152.45,1199900,0.0,0
2019-03-29,153.68,154.35,152.84,154.28,1379600,0.0,0
2019-04-01,156.05,158.91,155.73,158.64,1436600,0.0,0
2019-04-02,158.82,160.07,157.96,158.15,986400,0.0,0
2019-04-03,158.51,159.07,157.31,157.78,640700,0.0,0
2019-04-04,157.29,159.92,156.79,159.72,801600,0.0,0
2019-04-05,159.79,160.69,159.23,159.56,948600,0.0,0
2019-04-08,159.3,159.84,158.48,159.48,534300,0.0,0
2019-04-09,158.48,159.16,156.62,158.04,911300,0.0,0
2019-04-10,158.63,159.49,157.58,158.85,545800,0.0,0
2019-04-11,158.98,161.25,158.4,160.82,613800,0.0,0
2019-04-12,161.84,163.01,160.97,162.3,991000,0.0,0
2019-04-15,162.31,162.88,160.82,161.22,1587000,0.0,0
2019-04-16,162.83,163.95,161.35,163.42,970000,0.0,0
