Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,44.67,44.89,44.38,44.85,180300,0.0,0
2019-02-06,44.72,45.08,44.72,45.01,213400,0.0,0
2019-02-07,44.77,45.2,44.53,45.19,192400,0.0,0
2019-02-08,44.98,45.32,44.59,45.12,219600,0.0,0
2019-02-11,42.65,43.17,41.09,41.61,1357700,0.0,0
2019-02-12,41.86,42.71,41.66,41.9,481300,0.0,0
2019-02-13,41.85,42.71,41.85,42.47,355000,0.0,0
2019-02-14,42.43,42.78,42.15,42.5,384400,0.0,0
2019-02-15,42.86,43.29,42.85,43.18,259900,0.0,0
2019-02-19,43.11,44.16,43.11,43.9,453600,0.0,0
2019-02-20,43.83,44.44,43.5,44.28,436600,0.0,0
2019-02-21,44.32,44.62,44.04,44.51,587000,0.0,0
2019-02-22,42.61,42.62,41.76,42.25,326700,0.35,0
2019-02-25,42.27,42.64,42.2,42.21,297200,0.0,0
2019-02-26,42.07,42.51,42.04,42.12,180200,0.0,0
2019-02-27,42.0,42.34,41.94,42.08,209200,0.0,0
2019-02-28,42.17,42.34,42.06,42.23,209300,0.0,0
2019-03-01,42.54,42.7,42.22,42.47,248500,0.0,0
2019-03-04,42.6,42.8,42.15,42.54,160100,0.0,0
2019-03-05,42.57,42.63,41.97,42.18,212100,0.0,0
2019-03-06,42.15,42.36,42.0,42.01,122800,0.0,0
2019-03-07,41.97,42.03,41.6,41.81,306000,0.0,0
2019-03-08,41.53,42.2,41.53,42.1,407300,0.0,0
2019-03-11,42.23,42.35,41.82,42.34,461400,0.0,0
2019-03-12,42.38,42.49,42.23,42.31,170300,0.0,0
2019-03-13,42.45,42.46,42.17,42.25,263700,0.0,0
2019-03-14,42.27,42.45,42.17,42.29,343900,0.0,0
2019-03-15,42.36,43.11,42.36,42.57,744100,0.0,0
2019-03-18,42.57,43.33,42.57,43.05,382000,0.0,0
2019-03-19,43.2,43.45,42.6,42.65,308600,0.0,0
2019-03-20,42.51,42.81,42.04,42.05,436300,0.0,0
