Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,29.59,29.73,29.51,29.6,6156800,0.0,0
2019-02-06,29.5,29.59,29.29,29.38,4231300,0.0,0
2019-02-07,29.41,29.63,29.26,29.58,4006500,0.0,0
2019-02-08,29.58,29.65,29.26,29.62,4929300,0.0,0
2019-02-11,29.6,29.71,29.27,29.56,4539600,0.0,0
2019-02-12,29.63,29.77,29.43,29.61,4621300,0.0,0
2019-02-13,29.53,29.66,29.41,29.53,3379700,0.0,0
2019-02-14,29.55,29.74,29.45,29.6,3626600,0.0,0
2019-02-15,29.72,29.8,29.51,29.66,3797400,0.0,0
2019-02-19,29.7,29.99,29.65,29.97,4638000,0.0,0
2019-02-20,29.99,30.1,29.82,30.02,4870300,0.2875,0
2019-02-21,29.85,30.29,29.73,30.25,2875700,0.0,0
2019-02-22,30.31,30.45,30.12,30.43,3042400,0.0,0
2019-02-25,30.42,30.44,29.92,30.05,3382400,0.0,0
2019-02-26,30.3,30.3,29.95,29.97,4009000,0.0,0
2019-02-27,29.95,30.22,29.77,30.2,6019700,0.0,0
2019-02-28,29.26,29.28,28.3,29.21,11266700,0.0,0
2019-03-01,29.17,29.34,28.91,29.24,5962300,0.0,0
2019-03-04,29.24,29.42,28.97,29.4,4788300,0.0,0
2019-03-05,29.35,29.42,29.13,29.24,4568800,0.0,0
2019-03-06,29.28,29.31,29.01,29.17,4118000,0.0,0
2019-03-07,29.23,29.37,28.99,29.1,5644200,0.0,0
2019-03-08,29.15,29.19,28.84,29.1,3960500,0.0,0
2019-03-11,29.1,29.49,29.07,29.49,4084800,0.0,0
2019-03-12,29.49,29.78,29.39,29.73,3943900,0.0,0
2019-03-13,29.76,29.81,29.46,29.47,6378400,0.0,0
2019-03-14,29.48,29.67,29.32,29.47,5730200,0.0,0
2019-03-15,29.48,29.86,29.41,29.86,9949200,0.0,0
2019-03-18,29.85,29.88,29.44,29.63,5015200,0.0,0
2019-03-19,29.54,29.62,29.28,29.33,3641300,0.0,0
2019-03-20,29.43,29.59,29.28,29.32,3466400,0.0,0
2019-03-21,29.3,29.81,29.25,29.67,2916500,0.0,0
2019-03-22,29.77,29.96,29.7,29.77,3836600,0.0,0
2019-03-25,29.71,29.92,29.62,29.85,2888500,0.0,0
2019-03-26,29.85,30.11,29.82,29.97,2445500,0.0,0
2019-03-27,30.01,30.04,29.55,29.59,3800200,0.0,0
2019-03-28,29.6,29.7,29.21,29.39,4122700,0.0,0
2019-03-29,29.42,29.83,29.3,29.75,4084500,0.0,0
2019-04-01,29.74,29.81,29.5,29.75,3133500,0.0,0
2019-04-02,29.86,29.91,29.62,29.83,3940600,0.0,0
2019-04-03,29.75,29.93,29.52,29.75,3372000,0.0,0
2019-04-04,29.94,29.98,29.48,29.59,2680500,0.0,0
2019-04-05,29.68,29.91,29.57,29.91,3856900,0.0,0
2019-04-08,29.83,29.85,29.45,29.52,4356900,0.0,0
2019-04-09,29.53,29.59,29.25,29.38,4005600,0.0,0
2019-04-10,29.43,29.58,29.15,29.27,4637300,0.0,0
2019-04-11,29.3,29.43,29.17,29.35,4812800,0.0,0
2019-04-12,29.26,29.68,29.09,29.62,5162400,0.0,0
2019-04-15,29.74,29.82,29.46,29.56,4584900,0.0,0
2019-04-16,29.44,29.56,29.05,29.22,3432600,0.0,0
2019-04-17,29.21,29.25,29.03,29.08,3000200,0.0,0
2019-04-18,29.23,29.52,29.18,29.35,3892500,0.0,0
2019-04-22,29.3,29.56,29.28,29.54,3154700,0.0,0
2019-04-23,29.63,29.78,29.46,29.67,3940200,0.0,0
2019-04-24,29.72,29.81,29.34,29.35,6149900,0.0,0
2019-04-25,29.26,29.67,29.09,29.57,4768600,0.0,0
2019-04-26,29.76,29.92,29.52,29.53,2843200,0.0,0
2019-04-29,29.42,29.59,29.36,29.51,2378500,0.0,0
2019-04-30,29.59,30.08,29.45,30.04,4436200,0.0,0
2019-05-01,29.93,30.13,29.8,29.83,6036200,0.0,0
2019-05-02,29.82,30.07,29.75,29.8,5859300,0.0,0
2019-05-03,29.86,30.2,29.86,30.19,2679400,0.0,0
