Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,21.25,21.38,21.06,21.37,1271900,0,0
2019-02-06,21.4,21.61,21.32,21.4,1056800,0,0
2019-02-07,21.22,21.43,20.91,21.2,1540900,0,0
2019-02-08,21.11,21.37,20.94,21.26,1480700,0,0
2019-02-11,21.36,21.86,21.27,21.68,1176200,0,0
2019-02-12,21.76,22.04,21.75,21.94,1092200,0,0
2019-02-13,21.96,22.39,21.81,22.32,1432200,0,0
2019-02-14,22.29,22.64,22.15,22.19,1588700,0,0
2019-02-15,22.28,22.82,22.11,22.68,1599300,0,0
2019-02-19,22.74,23.23,22.64,23.18,2318600,0,0
2019-02-20,23.14,23.75,23.11,23.45,3291700,0,0
2019-02-21,24.03,24.03,22.54,23.6,3663000,0,0
2019-02-22,23.79,23.89,23.15,23.82,2938000,0,0
2019-02-25,22.94,23.37,22.66,23.34,3936300,0,0
2019-02-26,23.26,23.71,23.0,23.44,2678700,0,0
2019-02-27,23.35,24.1,23.22,24.1,2502600,0,0
2019-02-28,24.16,24.29,23.29,23.31,2681000,0,0
2019-03-01,23.49,23.85,23.37,23.42,2400900,0,0
2019-03-04,23.5,23.66,23.03,23.1,1871300,0,0
2019-03-05,23.03,23.27,22.84,22.86,1442900,0,0
2019-03-06,22.75,22.86,22.55,22.56,1238100,0,0
2019-03-07,22.49,22.49,22.0,22.11,1361200,0,0
2019-03-08,21.84,22.03,21.56,21.9,1901800,0,0
2019-03-11,22.03,22.3,21.98,22.07,2921400,0,0
2019-03-12,22.16,22.32,21.93,22.04,1698500,0,0
2019-03-13,22.13,22.29,21.88,21.91,2321100,0,0
2019-03-14,21.89,21.95,21.69,21.87,1623100,0,0
2019-03-15,21.98,22.01,21.78,21.8,2425900,0,0
2019-03-18,21.78,22.05,21.69,21.87,2393000,0,0
2019-03-19,21.92,21.98,21.64,21.69,2199700,0,0
2019-03-20,21.64,21.82,21.22,21.28,2238400,0,0
2019-03-21,21.21,21.94,21.15,21.88,984000,0,0
2019-03-22,21.73,21.84,21.2,21.24,1924900,0,0
2019-03-25,21.21,21.33,20.63,20.84,2056500,0,0
2019-03-26,21.04,21.79,20.73,21.07,1807100,0,0
2019-03-27,21.1,21.3,20.8,20.88,1425400,0,0
2019-03-28,20.95,21.4,20.68,21.37,1831800,0,0
2019-03-29,21.49,21.8,21.46,21.73,1881900,0,0
2019-04-01,21.86,22.32,21.86,22.23,1524500,0,0
2019-04-02,23.79,24.32,22.8,22.83,3959200,0,0
2019-04-03,23.97,24.17,23.61,23.87,4282600,0,0
2019-04-04,23.96,24.76,23.96,24.45,2969500,0,0
2019-04-05,24.64,24.97,24.55,24.77,2237000,0,0
2019-04-08,25.08,25.24,24.41,24.62,1770900,0,0
2019-04-09,24.48,24.66,24.16,24.48,1080500,0,0
2019-04-10,24.52,25.01,24.27,25.0,2970400,0,0
2019-04-11,25.1,25.46,25.01,25.35,3324600,0,0
2019-04-12,25.75,26.24,25.5,26.09,3713200,0,0
2019-04-15,26.18,26.32,25.68,26.04,1618400,0,0
2019-04-16,26.18,26.7,26.06,26.68,1774000,0,0
2019-04-17,26.75,27.0,26.34,26.42,2160900,0,0
2019-04-18,26.46,26.59,25.85,26.01,1962900,0,0
2019-04-22,26.78,26.85,25.86,25.99,2124700,0,0
2019-04-23,25.96,26.22,25.78,26.03,2503300,0,0
2019-04-24,26.1,26.5,25.95,26.37,1649700,0,0
2019-04-25,26.32,26.34,25.2,25.48,3900500,0,0
2019-04-26,25.48,25.51,24.84,25.44,3092000,0,0
2019-04-29,25.36,25.68,25.09,25.21,2515400,0,0
2019-04-30,25.12,25.12,24.35,24.78,2900200,0,0
2019-05-01,24.87,25.0,24.17,24.19,2174200,0,0
2019-05-02,24.2,24.2,23.54,23.87,2826400,0,0
2019-05-03,23.89,24.26,23.73,24.25,3023200,0,0
2019-05-06,23.56,24.19,23.36,24.13,1807400,0,0
2019-05-07,23.84,23.91,23.04,23.48,3107600,0,0
2019-05-08,23.28,23.79,22.95,23.06,4115300,0,0
2019-05-09,19.68,20.58,18.66,18.86,13241900,0,0
2019-05-10,18.73,19.1,17.83,19.09,9064000,0,0
2019-05-13,18.36,18.58,17.93,18.28,4399100,0,0
2019-05-14,18.32,18.73,18.25,18.61,3923300,0,0
2019-05-15,18.48,18.62,18.12,18.6,2893500,0,0
2019-05-16,18.69,19.23,18.54,18.76,3744000,0,0
2019-05-17,18.65,18.95,18.52,18.8,2977800,0,0
2019-05-20,18.54,18.57,18.2,18.2,2082500,0,0
2019-05-21,18.35,18.7,18.25,18.36,2840100,0,0
2019-05-22,18.2,18.34,17.85,17.86,1556500,0,0
2019-05-23,17.6,17.62,17.18,17.49,2638700,0,0
2019-05-24,17.67,17.73,17.23,17.45,2298900,0,0
2019-05-28,17.39,17.45,16.67,16.7,4560700,0,0
2019-05-29,16.81,16.88,16.51,16.64,2783900,0,0
2019-05-30,16.59,17.16,16.59,16.91,3160700,0,0
2019-05-31,16.63,16.66,16.02,16.15,3687700,0,0
2019-06-03,16.23,16.47,16.11,16.18,2608300,0,0
2019-06-04,16.3,16.58,16.29,16.32,2205600,0,0
2019-06-05,17.46,17.46,16.23,16.87,3644200,0,0
2019-06-06,16.76,16.9,16.17,16.37,2816900,0,0
2019-06-07,16.42,16.67,16.27,16.54,2007700,0,0
2019-06-10,16.74,17.07,16.55,16.72,2127600,0,0
2019-06-11,16.99,17.15,16.49,16.52,2399200,0,0
2019-06-12,16.82,16.83,16.06,16.25,2575400,0,0
2019-06-13,16.32,16.45,16.13,16.4,1730300,0,0
2019-06-14,15.8,16.11,15.34,15.9,5004200,0,0
2019-06-17,15.78,16.07,15.66,15.81,2876000,0,0
2019-06-18,16.11,16.61,15.8,15.88,4302500,0,0
2019-06-19,15.99,16.12,15.47,15.61,3330200,0,0
2019-06-20,16.64,16.76,15.91,16.0,4713300,0,0
2019-06-21,16.0,16.15,15.85,16.01,3023900,0,0
2019-06-24,15.96,16.07,15.75,15.87,1878200,0,0
2019-06-25,15.95,15.95,15.58,15.59,1958800,0,0
2019-06-26,15.75,15.78,15.43,15.47,3148200,0,0
2019-06-27,15.5,15.51,15.02,15.09,2344200,0,0
2019-06-28,15.2,15.8,15.06,15.73,3575300,0,0
2019-07-01,16.08,16.32,16.0,16.22,2521700,0,0
2019-07-02,16.2,16.2,15.91,16.09,2430200,0,0
2019-07-03,16.19,16.26,15.65,15.91,4067600,0,0
2019-07-05,15.8,15.9,15.65,15.7,1440900,0,0
2019-07-08,15.58,15.75,15.34,15.53,2821600,0,0
2019-07-09,15.41,15.7,15.27,15.66,2117100,0,0
2019-07-10,15.73,15.93,15.38,15.45,2757800,0,0
2019-07-11,15.45,15.53,14.92,15.04,3871200,0,0
2019-07-12,15.11,15.47,15.06,15.41,2903000,0,0
2019-07-15,15.42,15.55,15.19,15.5,2295400,0,0
2019-07-16,15.53,15.7,15.34,15.35,2007100,0,0
2019-07-17,15.25,15.34,14.77,15.12,3647000,0,0
2019-07-18,15.04,15.19,14.41,14.59,5789700,0,0
2019-07-19,14.59,14.85,14.3,14.64,3289300,0,0
2019-07-22,14.67,14.72,14.34,14.39,2187500,0,0
2019-07-23,14.33,14.64,14.28,14.61,3632100,0,0
2019-07-24,14.55,14.9,14.55,14.84,2873500,0,0
2019-07-25,14.9,14.94,14.65,14.7,1767800,0,0
2019-07-26,14.74,14.96,14.36,14.93,2297200,0,0
2019-07-29,14.87,15.06,14.65,14.87,2286800,0,0
2019-07-30,15.33,15.49,14.31,14.47,6139700,0,0
2019-07-31,14.57,14.65,14.1,14.28,4038200,0,0
2019-08-01,14.26,14.51,13.88,14.05,2423800,0,0
2019-08-02,13.8,13.86,13.38,13.73,3516900,0,0
2019-08-05,13.36,13.47,13.01,13.35,4295600,0,0
2019-08-06,13.47,13.7,12.92,13.29,3798400,0,0
2019-08-07,13.05,13.09,12.56,12.9,5886100,0,0
2019-08-08,12.8,13.89,12.63,12.95,8195100,0,0
2019-08-09,12.78,12.91,12.14,12.2,5276500,0,0
2019-08-12,12.04,12.11,11.35,11.48,5329000,0,0
2019-08-13,11.4,11.76,11.16,11.51,5522800,0,0
2019-08-14,11.24,11.31,10.66,10.72,5071300,0,0
2019-08-15,10.69,10.69,10.12,10.36,4694200,0,0
2019-08-16,10.45,10.99,10.45,10.83,4212000,0,0
2019-08-19,11.01,11.36,10.85,11.28,5008600,0,0
2019-08-20,11.13,11.2,10.71,10.96,5727900,0,0
2019-08-21,11.13,11.13,10.61,10.81,5578800,0,0
2019-08-22,10.9,11.02,10.67,10.68,4124600,0,0
2019-08-23,10.56,10.57,10.15,10.19,5085600,0,0
2019-08-26,10.35,10.35,9.94,10.0,3193200,0,0
2019-08-27,9.98,10.0,9.53,9.7,12622700,0,0
2019-08-28,9.65,10.63,9.52,10.53,7427400,0,0
2019-08-29,10.81,11.1,10.64,10.87,4491600,0,0
2019-08-30,10.98,11.09,10.62,10.74,3868500,0,0
2019-09-03,10.57,10.7,10.21,10.34,4029600,0,0
2019-09-04,10.45,10.7,10.38,10.57,3739200,0,0
2019-09-05,10.78,11.25,10.7,10.87,4573300,0,0
2019-09-06,10.89,11.35,10.65,11.27,5183900,0,0
2019-09-09,11.31,12.13,11.31,12.0,5608600,0,0
2019-09-10,11.96,12.57,11.87,12.54,4374900,0,0
2019-09-11,12.74,13.22,12.33,13.2,5587900,0,0
2019-09-12,13.13,13.43,12.58,12.61,5752300,0,0
2019-09-13,12.66,12.9,12.06,12.1,4351200,0,0
2019-09-16,12.21,13.44,12.11,13.32,5443800,0,0
2019-09-17,12.93,12.97,12.31,12.52,4839100,0,0
2019-09-18,12.42,12.68,11.99,12.11,4250200,0,0
2019-09-19,12.13,12.47,11.98,12.05,3859300,0,0
2019-09-20,12.16,12.57,11.98,12.03,11741000,0,0
2019-09-23,12.03,12.1,11.6,12.04,4865000,0,0
2019-09-24,12.11,12.13,11.4,11.46,3028500,0,0
2019-09-25,11.37,11.98,11.35,11.93,3520400,0,0
2019-09-26,11.87,11.92,11.35,11.53,2905300,0,0
2019-09-27,11.55,11.9,11.55,11.72,2080100,0,0
2019-09-30,11.72,11.86,11.48,11.76,3491100,0,0
2019-10-01,11.91,12.06,11.02,11.18,3556000,0,0
2019-10-02,11.02,11.17,10.51,10.87,4113700,0,0
2019-10-03,10.71,10.96,10.31,10.94,4727900,0,0
2019-10-04,11.0,11.06,10.54,10.99,4052000,0,0
2019-10-07,11.02,11.44,10.95,11.18,2765800,0,0
2019-10-08,11.12,11.23,10.88,10.96,2569100,0,0
2019-10-09,11.15,11.15,10.72,10.74,2552800,0,0
2019-10-10,10.71,10.9,10.48,10.81,2430600,0,0
2019-10-11,10.97,11.42,10.83,11.2,2300000,0,0
2019-10-14,11.13,11.31,10.8,11.14,2331800,0,0
2019-10-15,11.22,11.46,11.02,11.33,2167800,0,0
2019-10-16,11.36,11.71,11.28,11.4,2139400,0,0
2019-10-17,11.51,11.64,11.38,11.63,2222900,0,0
2019-10-18,11.57,11.72,11.47,11.57,1687700,0,0
2019-10-21,12.08,13.09,12.07,13.06,7381200,0,0
2019-10-22,13.2,13.35,12.87,13.02,4640300,0,0
2019-10-23,12.88,13.17,12.69,13.04,3733700,0,0
2019-10-24,13.0,13.02,12.01,12.14,5379400,0,0
2019-10-25,12.15,12.49,12.08,12.23,2712800,0,0
2019-10-28,12.3,12.53,11.74,11.76,2836600,0,0
2019-10-29,11.27,11.89,11.27,11.81,3545100,0,0
2019-10-30,11.78,11.78,11.28,11.36,3814000,0,0
2019-10-31,11.31,11.52,11.08,11.2,4332000,0,0
2019-11-01,11.01,11.41,10.7,11.31,4946800,0,0
2019-11-04,11.48,11.84,11.32,11.64,3525100,0,0
