Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,53.13,53.13,52.01,52.98,695100,0.0,0
2019-02-06,52.8,53.19,52.42,52.77,733300,0.0,0
2019-02-07,52.48,53.11,51.95,52.88,744200,0.0,0
2019-02-08,52.78,53.4,52.42,52.79,1063700,0.0,0
2019-02-11,52.99,53.36,52.75,52.8,1958800,0.0,0
2019-02-12,52.94,53.05,52.21,52.77,915400,0.0,0
2019-02-13,52.78,53.45,52.48,53.26,691600,0.0,0
2019-02-14,53.22,54.49,53.04,54.38,1056900,0.0,0
2019-02-15,54.53,55.69,54.23,55.63,899800,0.0,0
2019-02-19,55.63,56.26,55.0,55.88,1080900,0.0,0
2019-02-20,55.79,56.06,54.84,55.48,1251500,0.0,0
2019-02-21,52.29,52.87,49.92,50.85,2983400,0.0,0
2019-02-22,50.39,51.35,50.14,51.24,2570000,0.0,0
2019-02-25,50.79,51.17,48.76,50.05,3194100,0.0,0
2019-02-26,50.05,50.21,48.87,48.93,1723800,0.0,0
2019-02-27,48.88,49.18,47.99,48.51,1136200,0.0,0
2019-02-28,48.53,48.94,47.87,48.31,1918300,0.0,0
2019-03-01,48.37,49.04,47.45,48.85,1052000,0.0,0
2019-03-04,49.03,49.29,47.54,48.58,1048400,0.0,0
2019-03-05,48.39,49.15,47.44,48.73,834700,0.0,0
2019-03-06,48.83,49.08,48.43,48.89,759400,0.0,0
2019-03-07,48.84,49.53,47.8,49.12,1379300,0.0,0
2019-03-08,48.93,49.24,48.08,48.38,745100,0.0,0
2019-03-11,48.55,50.12,48.55,50.02,910600,0.0,0
2019-03-12,50.31,50.6,49.9,50.34,714400,0.0,0
2019-03-13,50.45,51.0,50.39,50.74,1537500,0.0,0
2019-03-14,50.78,51.04,50.04,50.24,948000,0.0,0
2019-03-15,50.44,50.9,49.76,50.27,1292700,0.0,0
2019-03-18,50.3,50.6,49.84,50.33,600500,0.0,0
2019-03-19,50.4,50.54,49.93,50.12,477500,0.0,0
2019-03-20,50.04,50.7,49.85,50.42,642000,0.0,0
2019-03-21,50.37,51.19,49.98,50.86,1084100,0.0,0
2019-03-22,50.97,51.02,50.33,50.54,656100,0.0,0
2019-03-25,50.54,50.54,49.75,50.11,371700,0.0,0
2019-03-26,50.26,50.5,50.03,50.37,767200,0.0,0
2019-03-27,50.51,50.82,49.88,50.45,1230400,0.0,0
2019-03-28,50.55,51.27,50.55,51.01,1550000,0.46,0
2019-03-29,51.2,51.63,50.99,51.28,3070100,0.0,0
2019-04-01,51.44,51.63,50.75,51.56,961300,0.0,0
2019-04-02,51.68,53.33,51.15,53.17,1320500,0.0,0
2019-04-03,53.25,53.54,52.87,53.19,522200,0.0,0
2019-04-04,53.24,53.45,52.21,52.97,572600,0.0,0
2019-04-05,53.1,54.15,52.96,54.11,937000,0.0,0
2019-04-08,53.93,54.22,52.96,53.46,668500,0.0,0
2019-04-09,53.35,53.69,52.96,53.1,704300,0.0,0
2019-04-10,53.4,53.96,53.14,53.95,707500,0.0,0
2019-04-11,54.08,54.43,53.93,54.3,699700,0.0,0
2019-04-12,54.86,57.02,54.69,56.83,2523500,0.0,0
2019-04-15,56.93,56.97,55.46,56.22,1103600,0.0,0
2019-04-16,56.12,56.12,54.6,55.27,669600,0.0,0
2019-04-17,55.52,55.95,54.89,55.71,806000,0.0,0
2019-04-18,55.72,55.88,55.28,55.64,552400,0.0,0
2019-04-22,55.68,55.68,54.28,54.8,517800,0.0,0
2019-04-23,54.52,54.77,53.89,54.42,734800,0.0,0
2019-04-24,54.52,55.51,54.52,55.14,808600,0.0,0
2019-04-25,54.91,55.14,53.93,54.98,926700,0.0,0
2019-04-26,54.96,54.96,53.46,54.6,1622600,0.0,0
2019-04-29,54.71,55.04,53.97,54.19,921100,0.0,0
2019-04-30,54.3,54.75,54.17,54.46,1320300,0.0,0
2019-05-01,54.87,55.59,54.47,54.54,1294300,0.0,0
2019-05-02,54.86,57.8,54.86,56.75,2014900,0.0,0
2019-05-03,57.91,59.82,56.65,59.76,2075800,0.0,0
2019-05-06,59.16,59.88,58.93,59.37,998700,0.0,0
2019-05-07,59.93,59.93,58.17,58.32,1738900,0.0,0
2019-05-08,58.25,59.58,58.19,58.57,708000,0.0,0
2019-05-09,58.64,59.43,57.59,59.11,682700,0.0,0
2019-05-10,59.72,60.05,58.65,59.27,630200,0.0,0
2019-05-13,58.1,59.08,58.1,59.04,643900,0.0,0
2019-05-14,59.41,60.4,59.1,60.27,625800,0.0,0
2019-05-15,60.01,61.16,60.01,60.85,828600,0.0,0
2019-05-16,60.6,61.85,60.6,61.56,721800,0.0,0
2019-05-17,62.08,62.5,61.33,62.31,754500,0.0,0
2019-05-20,61.94,62.24,60.91,60.99,855800,0.0,0
2019-05-21,61.21,62.59,61.11,61.67,723700,0.0,0
2019-05-22,61.55,62.28,61.55,62.02,513200,0.0,0
2019-05-23,61.83,62.07,61.05,61.23,880200,0.0,0
2019-05-24,61.41,62.13,60.89,61.16,849300,0.0,0
2019-05-28,61.46,61.85,59.82,59.91,941100,0.0,0
2019-05-29,59.9,59.99,58.38,58.61,916700,0.0,0
2019-05-30,58.64,59.1,58.2,58.47,959600,0.0,0
2019-05-31,58.94,58.95,57.22,57.73,1540000,0.0,0
2019-06-03,57.77,58.14,56.26,57.33,1784100,0.0,0
2019-06-04,57.47,57.51,55.51,56.69,961300,0.0,0
2019-06-05,56.75,58.08,56.29,57.99,1025800,0.0,0
2019-06-06,58.28,58.43,57.66,57.76,779300,0.0,0
2019-06-07,58.33,59.3,57.9,58.39,870100,0.0,0
2019-06-10,58.36,58.99,58.15,58.63,581100,0.0,0
2019-06-11,58.86,59.04,57.96,58.61,515600,0.0,0
2019-06-12,58.56,59.16,58.27,58.58,635200,0.0,0
2019-06-13,60.28,60.3,56.72,57.38,1088300,0.0,0
2019-06-14,57.07,57.72,56.73,57.61,912100,0.0,0
2019-06-17,57.55,59.11,57.54,58.83,712600,0.0,0
2019-06-18,59.23,60.0,58.5,59.38,739400,0.0,0
2019-06-19,59.18,60.26,58.97,59.93,685100,0.0,0
2019-06-20,60.35,60.65,59.3,59.43,749600,0.0,0
2019-06-21,59.17,59.17,58.01,58.69,1722700,0.0,0
2019-06-24,58.58,58.84,57.74,57.96,659600,0.0,0
2019-06-25,57.86,58.25,56.43,56.47,751500,0.0,0
2019-06-26,56.62,56.76,54.94,55.31,783100,0.0,0
2019-06-27,55.73,56.91,55.73,56.29,482600,0.46,0
2019-06-28,56.3,57.3,56.3,56.91,1216400,0.0,0
2019-07-01,57.41,57.41,55.63,56.59,587100,0.0,0
2019-07-02,56.78,58.68,56.58,58.44,713700,0.0,0
2019-07-03,58.51,59.46,58.42,58.83,220600,0.0,0
2019-07-05,58.47,59.35,57.81,59.23,405100,0.0,0
2019-07-08,59.15,59.32,58.39,59.04,579600,0.0,0
2019-07-09,58.93,59.39,58.71,59.07,386700,0.0,0
