Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,94.93,95.32,94.35,94.94,232300,0.0,0
2019-02-06,94.94,95.17,93.24,93.82,232000,0.0,0
2019-02-07,92.91,93.22,90.99,92.77,657700,0.0,0
2019-02-08,93.08,95.92,93.01,95.9,348200,0.0,0
2019-02-11,92.97,96.36,92.97,95.19,396100,0.0,0
2019-02-12,95.48,95.85,94.29,95.54,289000,0.0,0
2019-02-13,95.56,96.45,95.44,95.86,214000,0.0,0
2019-02-14,95.97,97.98,95.97,97.92,357100,0.0,0
2019-02-15,98.01,98.75,97.33,98.49,268600,0.0,0
2019-02-19,98.76,101.07,98.07,100.48,296400,0.0,0
2019-02-20,100.18,102.04,99.68,101.41,436300,0.0,0
2019-02-21,101.03,101.03,99.07,100.05,379000,0.0,0
2019-02-22,100.55,101.55,100.02,101.1,226600,0.0,0
2019-02-25,101.08,101.08,99.58,100.17,232100,0.0,0
2019-02-26,100.39,100.48,97.5,97.86,358000,0.0,0
2019-02-27,97.13,98.46,96.55,98.17,394600,0.0,0
2019-02-28,98.2,98.8,97.35,98.04,537600,0.0,0
2019-03-01,98.16,99.1,96.91,98.93,255700,0.0,0
2019-03-04,99.36,99.36,96.37,97.71,323800,0.0,0
2019-03-05,97.32,98.02,97.13,97.43,188600,0.0,0
2019-03-06,97.51,97.93,96.28,96.82,216800,0.0,0
2019-03-07,96.84,97.39,95.82,96.78,285200,0.0,0
2019-03-08,96.84,97.61,96.69,97.04,235900,0.0,0
2019-03-11,97.61,98.59,97.21,98.55,344400,0.0,0
2019-03-12,98.85,99.18,98.29,98.71,262800,0.0,0
2019-03-13,98.82,99.59,98.3,98.88,297500,0.0,0
2019-03-14,99.2,99.2,98.44,99.14,361700,0.0,0
2019-03-15,99.44,99.84,98.67,99.52,375100,0.0,0
2019-03-18,99.45,100.02,98.51,99.01,200400,0.0,0
2019-03-19,99.08,100.03,98.88,99.5,137300,0.0,0
2019-03-20,99.47,101.33,98.94,100.44,252800,0.0,0
2019-03-21,100.22,103.37,100.06,102.73,347500,0.0,0
2019-03-22,102.83,103.31,100.71,100.79,204600,0.0,0
2019-03-25,100.68,101.0,99.33,100.07,177400,0.0,0
2019-03-26,100.59,101.31,100.19,101.01,146600,0.0,0
2019-03-27,100.87,101.96,100.21,101.85,246800,0.0,0
2019-03-28,102.2,103.94,102.2,103.85,316800,1.1,0
2019-03-29,103.91,104.25,102.99,103.69,278700,0.0,0
2019-04-01,104.12,104.48,102.42,104.39,267200,0.0,0
