Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,7.43,7.68,7.34,7.47,10414000,0.0,0
2019-02-06,7.48,7.58,7.1,7.12,15713900,0.0,0
2019-02-07,7.02,7.17,6.76,6.76,14162400,0.0,0
2019-02-08,8.38,8.98,8.14,8.93,43495800,0.0,0
2019-02-11,8.9,9.39,8.84,9.25,21771900,0.0,0
2019-02-12,10.82,10.87,10.37,10.4,48856600,0.0,0
2019-02-13,10.5,10.69,10.41,10.69,21831800,0.0,0
2019-02-14,10.62,10.78,10.51,10.6,11313300,0.0,0
2019-02-15,10.64,10.77,10.51,10.57,9687300,0.0,0
2019-02-19,10.56,10.63,10.4,10.57,10020000,0.0,0
2019-02-20,10.52,10.69,10.5,10.67,7530100,0.0,0
2019-02-21,10.65,10.81,10.57,10.63,6734200,0.0,0
2019-02-22,10.6,10.81,10.51,10.79,12814100,0.0,0
2019-02-25,10.82,10.82,10.52,10.68,11629400,0.0,0
2019-02-26,10.69,10.86,10.68,10.7,8617600,0.0,0
2019-02-27,10.7,10.89,10.57,10.7,18683800,0.125,0
2019-02-28,10.73,10.73,10.6,10.65,7744900,0.0,0
2019-03-01,10.72,10.76,10.64,10.72,9068900,0.0,0
2019-03-04,10.77,10.89,10.72,10.82,8191800,0.0,0
2019-03-05,10.8,10.87,10.66,10.67,4688800,0.0,0
2019-03-06,10.68,10.72,10.6,10.63,5812400,0.0,0
2019-03-07,10.63,10.7,10.43,10.51,4966500,0.0,0
2019-03-08,10.5,10.7,10.46,10.65,4252400,0.0,0
2019-03-11,10.64,10.74,10.55,10.57,5618400,0.0,0
2019-03-12,10.57,10.67,10.53,10.54,7704400,0.0,0
2019-03-13,10.55,10.75,10.54,10.65,14146800,0.0,0
2019-03-14,10.63,10.66,10.6,10.65,14887500,0.0,0
2019-03-15,10.68,10.69,10.49,10.54,22118600,0.0,0
2019-03-18,10.79,10.94,10.69,10.91,31730000,0.0,0
2019-03-19,10.98,11.13,10.92,11.13,30181000,0.0,0
2019-03-20,11.11,11.11,10.99,11.02,14719600,0.0,0
2019-03-21,11.01,11.06,10.91,10.92,21122900,0.0,0
2019-03-22,10.92,11.01,10.84,10.86,22547600,0.0,0
2019-03-25,10.86,10.93,10.81,10.87,14656500,0.0,0
2019-03-26,10.91,10.95,10.87,10.91,22506500,0.0,0
2019-03-27,10.89,11.05,10.86,11.05,29888800,0.0,0
2019-03-28,11.05,11.15,11.02,11.13,36757600,0.0,0
2019-03-29,11.12,11.14,11.01,11.13,68687100,0.0,0
2019-04-01,10.93,11.03,10.86,10.92,20151100,0.0,0
2019-04-02,10.83,10.92,10.77,10.89,14645200,0.0,0
2019-04-03,10.91,10.94,10.8,10.83,10697400,0.0,0
2019-04-04,10.86,10.96,10.77,10.94,9710900,0.0,0
2019-04-05,10.96,10.96,10.87,10.9,7000400,0.0,0
2019-04-08,10.92,10.93,10.88,10.93,6393800,0.0,0
2019-04-09,10.93,10.93,10.83,10.85,7676200,0.0,0
2019-04-10,10.85,10.88,10.72,10.81,9640000,0.0,0
2019-04-11,10.82,10.86,10.77,10.82,9349300,0.0,0
2019-04-12,10.74,10.93,10.72,10.84,12208700,0.0,0
2019-04-15,10.79,10.84,10.71,10.83,20221400,0.0,0
2019-04-16,10.86,10.87,10.73,10.82,10133100,0.0,0
2019-04-17,10.77,10.96,10.77,10.89,9725300,0.0,0
2019-04-18,10.88,10.93,10.82,10.9,10248000,0.0,0
2019-04-22,10.89,10.9,10.82,10.86,3837600,0.0,0
2019-04-23,10.86,10.93,10.85,10.86,5108300,0.0,0
2019-04-24,10.9,10.94,10.73,10.76,9745300,0.0,0
2019-04-25,10.8,10.84,10.72,10.74,6640800,0.0,0
2019-04-26,10.82,10.92,10.78,10.9,11615500,0.0,0
2019-04-29,10.64,10.67,10.4,10.51,38272500,0.0,0
2019-04-30,10.54,10.59,10.38,10.47,41339900,0.0,0
2019-05-01,10.54,10.64,10.4,10.49,29102400,0.0,0
2019-05-02,10.52,10.6,10.41,10.49,10516900,0.0,0
2019-05-03,10.55,12.31,10.54,11.11,40882500,0.0,0
2019-05-06,10.9,11.84,10.81,11.75,34461000,0.0,0
2019-05-07,11.66,11.98,11.37,11.86,32157500,0.0,0
2019-05-08,11.32,11.62,10.79,11.21,27051200,0.0,0
2019-05-09,11.17,11.41,10.85,11.2,18445800,0.0,0
2019-05-10,11.3,11.52,11.11,11.35,38267500,0.0,0
2019-05-13,11.09,11.42,10.96,11.35,14440800,0.0,0
2019-05-14,11.45,11.86,11.42,11.73,18446800,0.0,0
2019-05-15,11.84,12.86,11.77,12.86,25076900,0.0,0
2019-05-16,12.99,13.15,12.68,12.82,10868100,0.0,0
2019-05-17,12.79,13.69,12.76,13.07,20666500,0.0,0
2019-05-20,13.05,13.29,12.78,13.07,9545600,0.0,0
2019-05-21,13.12,13.26,12.93,13.08,7162300,0.0,0
2019-05-22,12.97,12.97,12.32,12.7,12039900,0.0,0
2019-05-23,12.61,12.82,12.48,12.69,4440600,0.0,0
2019-05-24,12.73,12.82,12.5,12.66,3289100,0.0,0
2019-05-28,12.6,12.94,12.59,12.59,7527800,0.0,0
2019-05-29,12.56,12.59,12.1,12.21,7882800,0.0,0
2019-05-30,12.28,12.43,12.09,12.17,5733100,0.0,0
2019-05-31,12.08,12.21,11.8,11.94,6842100,0.0,0
2019-06-03,11.98,12.21,11.83,12.18,5841700,0.0,0
2019-06-04,12.66,12.68,12.26,12.61,6817600,0.0,0
2019-06-05,12.75,12.83,12.47,12.77,5455400,0.125,0
2019-06-06,12.78,13.26,12.68,13.2,5840400,0.0,0
2019-06-07,13.19,13.43,13.13,13.21,5348400,0.0,0
2019-06-10,13.4,13.4,13.12,13.2,3664300,0.0,0
2019-06-11,13.21,13.29,13.01,13.1,3770700,0.0,0
2019-06-12,13.09,13.32,13.01,13.05,3344100,0.0,0
2019-06-13,13.02,13.39,12.95,13.37,2567600,0.0,0
2019-06-14,13.33,13.4,13.17,13.27,2633900,0.0,0
2019-06-17,13.31,13.48,13.23,13.3,2952000,0.0,0
2019-06-18,13.38,13.48,13.28,13.42,2257500,0.0,0
2019-06-19,13.44,13.51,13.12,13.16,5900900,0.0,0
2019-06-20,13.25,13.36,13.12,13.18,6121900,0.0,0
2019-06-21,13.16,13.19,12.71,12.78,12942400,0.0,0
2019-06-24,12.94,12.97,12.65,12.7,5916800,0.0,0
2019-06-25,12.67,13.02,12.64,12.89,5288000,0.0,0
2019-06-26,12.89,13.08,12.71,12.82,5830000,0.0,0
2019-06-27,12.86,12.94,12.73,12.85,3222500,0.0,0
2019-06-28,12.88,13.17,12.82,13.1,6510200,0.0,0
2019-07-01,13.22,13.23,10.61,11.33,26513000,0.0,0
2019-07-02,10.85,11.56,10.85,11.43,11526500,0.0,0
2019-07-03,11.36,11.51,11.27,11.4,3231600,0.0,0
2019-07-05,11.29,11.38,11.0,11.29,7647700,0.0,0
2019-07-08,11.24,11.26,11.05,11.19,7044300,0.0,0
2019-07-09,11.14,11.23,10.98,11.16,7183300,0.0,0
2019-07-10,11.24,11.26,10.97,11.04,4358700,0.0,0
2019-07-11,11.02,11.1,10.94,10.98,4567300,0.0,0
2019-07-12,10.97,11.08,10.78,10.87,4816800,0.0,0
2019-07-15,10.89,11.14,10.8,10.86,5449500,0.0,0
2019-07-16,10.84,11.01,10.82,10.89,4325900,0.0,0
2019-07-17,10.88,10.99,10.74,10.8,2784100,0.0,0
2019-07-18,10.8,10.87,10.69,10.8,3809700,0.0,0
2019-07-19,10.85,11.01,10.75,10.82,4961100,0.0,0
2019-07-22,10.85,11.04,10.67,10.71,3705700,0.0,0
2019-07-23,10.75,10.79,10.6,10.69,3362800,0.0,0
2019-07-24,10.68,10.79,10.62,10.76,5799300,0.0,0
2019-07-25,10.72,10.92,10.7,10.75,4016300,0.0,0
2019-07-26,10.79,10.93,10.64,10.85,2896400,0.0,0
2019-07-29,10.85,10.92,10.7,10.75,2436700,0.0,0
2019-07-30,10.75,11.12,10.75,10.94,5196000,0.0,0
2019-07-31,10.91,10.95,10.5,10.66,7365800,0.0,0
2019-08-01,10.64,10.79,10.59,10.63,3997500,0.0,0
2019-08-02,10.65,10.65,10.35,10.46,3530400,0.0,0
2019-08-05,10.35,10.38,9.89,9.92,6082000,0.0,0
2019-08-06,10.03,10.13,9.8,10.06,4641100,0.0,0
2019-08-07,9.99,10.24,9.88,10.2,4454200,0.0,0
2019-08-08,10.24,10.4,10.17,10.18,3888000,0.0,0
2019-08-09,10.17,10.21,9.93,10.13,2346400,0.0,0
2019-08-12,10.06,10.06,9.61,9.62,3533800,0.0,0
2019-08-13,9.58,9.76,9.45,9.45,7266100,0.0,0
2019-08-14,9.36,9.39,9.08,9.32,6416900,0.0,0
2019-08-15,9.34,9.39,8.8,8.81,6739400,0.0,0
2019-08-16,8.84,8.93,8.76,8.9,4477000,0.0,0
2019-08-19,9.2,9.24,8.95,8.98,5991300,0.0,0
2019-08-20,8.87,8.88,8.51,8.61,8547900,0.0,0
2019-08-21,8.67,8.85,8.57,8.65,3975900,0.0,0
2019-08-22,8.65,8.84,8.65,8.72,2832800,0.0,0
2019-08-23,8.69,8.72,8.41,8.48,5153400,0.0,0
2019-08-26,8.52,8.61,8.5,8.55,2847400,0.0,0
2019-08-27,8.64,8.66,8.55,8.6,7574300,0.0,0
2019-08-28,9.16,9.2,8.82,9.12,10250400,0.0,0
2019-08-29,9.14,9.25,8.96,9.14,6189300,0.0,0
2019-08-30,9.23,9.42,9.23,9.33,5301600,0.0,0
2019-09-03,9.28,9.38,8.86,8.9,8927900,0.0,0
2019-09-04,8.91,9.2,8.81,9.18,5471100,0.0,0
2019-09-05,9.68,9.75,9.36,9.68,6802300,0.0,0
2019-09-06,9.65,10.06,9.65,9.92,4830400,0.125,0
2019-09-09,9.91,10.19,9.88,10.16,4678000,0.0,0
2019-09-10,10.08,10.52,10.08,10.47,8966600,0.0,0
2019-09-11,10.44,10.64,10.24,10.63,4523900,0.0,0
2019-09-12,10.69,10.69,10.4,10.47,3349400,0.0,0
2019-09-13,10.46,10.62,10.46,10.55,2349900,0.0,0
2019-09-16,10.48,10.78,10.44,10.74,3876200,0.0,0
2019-09-17,10.7,10.7,10.35,10.45,3360200,0.0,0
2019-09-18,10.44,10.55,10.25,10.38,2463700,0.0,0
2019-09-19,10.36,10.36,10.07,10.16,3376800,0.0,0
2019-09-20,10.16,10.27,10.04,10.07,6199100,0.0,0
2019-09-23,10.0,10.25,9.9,10.24,2709200,0.0,0
2019-09-24,10.28,10.39,10.21,10.31,2718600,0.0,0
2019-09-25,10.35,10.44,10.3,10.38,1911700,0.0,0
2019-09-26,10.38,10.41,10.22,10.25,2379500,0.0,0
2019-09-27,10.36,10.49,10.26,10.42,2322500,0.0,0
2019-09-30,10.29,10.56,10.25,10.4,3350300,0.0,0
2019-10-01,10.43,10.52,10.18,10.49,5203400,0.0,0
2019-10-02,10.4,10.4,9.93,9.95,3120200,0.0,0
2019-10-03,9.92,10.14,9.75,10.14,1915600,0.0,0
2019-10-04,10.18,10.25,10.08,10.22,1877600,0.0,0
2019-10-07,10.22,10.42,10.2,10.23,2032000,0.0,0
2019-10-08,10.14,10.21,9.98,10.08,2064500,0.0,0
2019-10-09,10.12,10.15,9.9,9.97,2641300,0.0,0
2019-10-10,10.0,10.06,9.91,9.97,2557700,0.0,0
2019-10-11,10.08,10.55,9.99,10.46,3507400,0.0,0
2019-10-14,10.5,10.79,10.46,10.54,2830700,0.0,0
2019-10-15,10.52,10.52,10.25,10.27,3009300,0.0,0
2019-10-16,10.32,10.39,10.17,10.19,3470200,0.0,0
2019-10-17,10.21,10.28,10.06,10.1,1807400,0.0,0
2019-10-18,10.05,10.16,9.96,10.02,3163900,0.0,0
2019-10-21,10.89,11.53,10.59,11.36,17740300,0.0,0
2019-10-22,11.53,11.81,11.28,11.79,6830500,0.0,0
2019-10-23,11.78,11.85,11.56,11.78,4051800,0.0,0
2019-10-24,11.78,11.78,11.54,11.66,2768000,0.0,0
2019-10-25,11.62,11.78,11.41,11.64,2948800,0.0,0
