Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,2.7734,2.803,2.6747,2.7438,3483100,0.0,0
2019-02-06,2.7141,2.7536,2.6451,2.6747,2507100,0.0,0
2019-02-07,2.6747,2.6747,2.4871,2.5167,4711200,0.0,0
2019-02-08,2.5168,2.5562,2.4871,2.5464,3330600,0.0,0
2019-02-11,2.5266,2.5365,2.3983,2.4181,4627300,0.0,0
2019-02-12,2.4674,2.5957,2.4674,2.576,2899700,0.0,0
2019-02-13,2.576,2.7734,2.576,2.724,3428500,0.0,0
2019-02-14,2.7141,2.803,2.6648,2.7536,1725400,0.0,0
2019-02-15,2.803,2.8523,2.7734,2.8424,2018900,0.0,0
2019-02-19,2.8326,3.03,2.8326,3.0201,2264400,0.0,0
2019-02-20,3.0201,3.0694,2.9708,2.9905,2166000,0.0,0
2019-02-21,2.9806,3.0201,2.8918,2.9214,2072300,0.0,0
2019-02-22,3.0004,3.03,2.9411,2.9609,1174000,0.0,0
2019-02-25,2.951,3.0102,2.9214,2.9905,1802100,0.0,0
2019-02-26,2.9806,3.2076,2.9806,3.1583,3753800,0.0,0
2019-02-27,3.2076,3.3458,3.1978,3.2274,2127800,0.0,0
2019-02-28,3.2076,3.2471,3.1089,3.1681,2838000,0.0,0
2019-03-01,3.178,3.2767,3.1484,3.1681,1574900,0.0,0
2019-03-04,3.1879,3.2175,3.0102,3.0892,3733300,0.0,0
2019-03-05,3.0892,3.0892,3.0102,3.0201,2323900,0.0,0
2019-03-06,3.0102,3.0398,2.9708,2.9806,2766200,0.0,0
2019-03-07,2.9609,3.0102,2.7043,2.8819,6880900,0.0,0
2019-03-08,2.7832,2.9806,2.7043,2.9708,4190700,0.0,0
2019-03-11,2.9905,3.0596,2.9214,2.9411,3470700,0.0,0
2019-03-12,2.9609,2.9905,2.8128,2.8721,4199500,0.0,0
2019-03-13,2.9017,3.0497,2.8622,3.03,2452300,0.0,0
2019-03-14,3.0201,3.0795,2.9607,2.9706,1849200,0.01,0
2019-03-15,2.9607,3.0003,2.921,2.9409,2489000,0.0,0
2019-03-18,2.9706,3.0498,2.931,3.0399,3031000,0.0,0
2019-03-19,3.0696,3.0795,2.9706,2.9805,1737900,0.0,0
2019-03-20,2.9706,3.2676,2.931,3.2379,4328900,0.0,0
2019-03-21,3.228,3.5251,3.228,3.4458,8128400,0.0,0
2019-03-22,3.4359,3.4359,3.2676,3.2874,3561800,0.0,0
2019-03-25,3.2676,3.2874,3.129,3.1488,3219700,0.0,0
2019-03-26,3.2082,3.327,3.2082,3.2874,2861400,0.0,0
2019-03-27,3.3072,3.3468,3.1983,3.2379,3382600,0.0,0
2019-03-28,3.1983,3.2379,3.1092,3.1686,2444300,0.0,0
2019-03-29,3.2478,3.2874,3.1686,3.2082,2260400,0.0,0
2019-04-01,3.2478,3.2973,3.2082,3.228,1654900,0.0,0
2019-04-02,3.2181,3.2379,3.0795,3.1092,3859800,0.0,0
2019-04-03,3.129,3.1587,2.9904,3.0102,4317600,0.0,0
2019-04-04,3.0102,3.1191,2.9904,3.0597,2840100,0.0,0
2019-04-05,3.0894,3.2874,3.0894,3.2775,3069200,0.0,0
2019-04-08,3.327,3.7231,3.327,3.6934,5463900,0.0,0
2019-04-09,3.733,3.7924,3.5845,3.7231,3762700,0.0,0
2019-04-10,3.7528,4.0499,3.7528,3.9805,5360700,0.0,0
2019-04-11,3.9905,4.1786,3.8914,3.9706,4430600,0.0,0
2019-04-12,4.1291,4.1984,4.0895,4.1885,5709700,0.0,0
2019-04-15,4.1786,4.2974,4.1192,4.1687,3172300,0.0,0
2019-04-16,4.1885,4.2083,3.9706,4.0103,3068100,0.0,0
2019-04-17,4.0598,4.1588,4.0004,4.1489,3201400,0.0,0
2019-04-18,4.1588,4.1588,4.0004,4.0697,1952600,0.0,0
2019-04-22,4.1489,4.3766,4.1489,4.3667,2705400,0.0,0
2019-04-23,4.3667,4.4162,4.2182,4.3271,2853000,0.0,0
2019-04-24,4.337,4.3667,4.0796,4.0895,2505200,0.0,0
2019-04-25,4.0994,4.1093,3.9905,4.0301,3587000,0.0,0
2019-04-26,3.9508,3.9706,3.7924,3.9607,4245500,0.0,0
2019-04-29,3.9508,4.0499,3.8419,3.9805,1513500,0.0,0
2019-04-30,4.0598,4.0697,3.8122,3.8419,2309500,0.0,0
2019-05-01,3.8221,3.8221,3.5845,3.6241,4284000,0.0,0
2019-05-02,3.5449,3.6043,3.4458,3.4657,4080400,0.0,0
2019-05-03,3.4557,3.634,3.4359,3.6142,3381200,0.0,0
2019-05-06,3.4657,3.7231,3.4458,3.6835,3266500,0.0,0
2019-05-07,3.6142,3.634,3.4756,3.5251,2723600,0.0,0
2019-05-08,3.5152,3.7429,3.5152,3.6835,2570800,0.0,0
2019-05-09,3.7627,3.9409,3.7033,3.8914,6336800,0.0,0
2019-05-10,3.931,4.1192,3.9211,3.9508,4294300,0.0,0
2019-05-13,3.9905,4.0301,3.7132,3.7627,3821600,0.0,0
2019-05-14,3.832,3.9607,3.7825,3.9112,3268900,0.0,0
2019-05-15,3.8518,4.0103,3.8023,3.9409,1938900,0.0,0
2019-05-16,3.9805,4.0994,3.9409,3.9706,2109100,0.0,0
2019-05-17,3.931,4.0004,3.8716,3.8914,1922000,0.0,0
2019-05-20,3.8914,3.8914,3.8221,3.832,787000,0.0,0
2019-05-21,3.8419,3.9706,3.832,3.9706,1746800,0.0,0
2019-05-22,3.9211,3.9508,3.733,3.7429,2246600,0.0,0
2019-05-23,3.6142,3.6637,3.3666,3.4359,3992900,0.0,0
2019-05-24,3.535,3.5449,3.3765,3.4557,1734600,0.0,0
