Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,94.27,95.13,93.73,95.07,469900,0.0,0
2019-02-06,94.97,95.46,94.54,95.23,333000,0.0,0
2019-02-07,94.82,96.28,94.57,96.19,413800,0.0,0
2019-02-08,96.0,96.86,95.62,95.97,519800,0.0,0
2019-02-11,96.33,96.98,96.06,96.29,470100,0.0,0
2019-02-12,96.32,96.44,94.5,95.02,613800,0.0,0
2019-02-13,94.78,95.85,94.48,95.82,398600,0.0,0
2019-02-14,95.86,96.31,95.36,95.67,504300,0.0,0
2019-02-15,95.97,96.38,95.51,95.75,522500,0.0,0
2019-02-19,95.72,96.1,95.07,95.85,653600,0.0,0
2019-02-20,94.36,94.62,93.37,93.62,2412500,0.0,0
2019-02-21,93.8,94.6,93.18,94.41,1519400,0.0,0
2019-02-22,94.71,95.08,94.32,94.71,1015200,0.0,0
2019-02-25,94.88,95.04,93.9,94.49,1087700,0.0,0
2019-02-26,94.71,94.83,94.26,94.55,582100,0.0,0
2019-02-27,94.27,94.77,93.78,94.71,651100,0.0,0
2019-02-28,94.78,96.41,94.44,95.16,919100,0.0,0
2019-03-01,95.19,95.3,93.8,94.75,573800,0.0,0
2019-03-04,95.06,96.07,94.08,95.82,580300,0.0,0
2019-03-05,95.74,96.58,95.33,96.15,438200,0.0,0
2019-03-06,96.28,96.46,95.62,95.63,485900,0.0,0
2019-03-07,95.89,96.62,95.31,95.59,790000,0.0,0
2019-03-08,95.59,96.49,95.59,96.16,551300,0.0,0
2019-03-11,96.46,97.3,96.19,97.24,611900,0.0,0
2019-03-12,97.46,98.13,97.24,97.78,528700,0.0,0
2019-03-13,97.99,98.53,97.97,98.09,683200,0.0,0
2019-03-14,98.21,98.42,97.73,98.35,517900,0.0,0
2019-03-15,98.15,98.95,97.42,97.76,1486200,0.0,0
2019-03-18,97.91,98.08,96.5,96.94,625700,0.0,0
2019-03-19,99.39,99.39,96.32,96.76,555400,0.0,0
2019-03-20,96.61,97.2,95.76,96.12,943400,0.0,0
2019-03-21,95.8,97.32,95.8,96.89,815900,0.0,0
2019-03-22,97.08,98.03,96.7,96.83,574300,0.0,0
2019-03-25,97.04,97.41,96.39,97.08,371000,0.0,0
2019-03-26,97.5,98.51,97.39,98.45,543400,0.0,0
2019-03-27,98.7,99.16,97.75,98.45,495500,0.0,0
2019-03-28,98.84,99.44,98.55,99.43,425000,0.8,0
2019-03-29,99.69,99.9,98.91,99.25,468800,0.0,0
