Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,81.86,83.7,81.38,83.01,601000,0.0,0
2019-02-06,83.22,83.79,82.41,83.66,436700,0.0,0
2019-02-07,83.22,83.93,82.57,83.3,342700,0.0,0
2019-02-08,83.21,84.06,81.97,82.06,419300,0.0,0
2019-02-11,82.44,83.78,81.59,83.23,739300,0.0,0
2019-02-12,83.85,86.87,83.68,86.64,816100,0.0,0
2019-02-13,86.73,87.37,85.8,87.0,933300,0.0,0
2019-02-14,86.24,88.02,85.82,87.48,412900,0.0,0
2019-02-15,88.09,88.69,87.38,88.2,674000,0.0,0
2019-02-19,87.85,88.15,87.12,87.73,990200,0.0,0
2019-02-20,87.85,89.03,87.16,88.59,1001500,0.0,0
2019-02-21,88.51,88.82,87.34,88.53,967100,0.0,0
2019-02-22,88.87,90.86,88.25,90.57,1079400,0.0,0
2019-02-25,97.11,101.24,96.92,97.92,4023900,0.0,0
2019-02-26,97.99,99.2,96.07,97.03,1213500,0.0,0
2019-02-27,96.7,97.34,96.17,96.25,1009200,0.0,0
2019-02-28,96.28,96.74,94.88,95.39,977800,0.0,0
2019-03-01,96.95,98.03,95.78,97.56,822700,0.0,0
2019-03-04,97.11,97.89,93.21,93.32,988400,0.0,0
2019-03-05,93.64,94.4,92.41,92.47,595900,0.0,0
2019-03-06,92.3,92.9,90.85,91.14,658500,0.0,0
2019-03-07,91.37,91.93,89.86,91.6,742800,0.0,0
2019-03-08,90.68,91.53,89.94,90.94,660400,0.0,0
2019-03-11,91.41,92.05,90.45,91.79,893300,0.5,0
2019-03-12,91.8,92.68,91.15,92.35,605900,0.0,0
2019-03-13,92.6,93.38,92.13,92.71,635100,0.0,0
2019-03-14,92.65,92.78,91.26,92.12,489300,0.0,0
2019-03-15,92.06,93.58,91.91,93.36,718400,0.0,0
2019-03-18,93.98,95.58,93.36,95.34,1102000,0.0,0
2019-03-19,96.27,97.4,95.93,96.35,890300,0.0,0
2019-03-20,96.19,96.82,94.59,94.78,702100,0.0,0
2019-03-21,94.69,96.66,94.43,96.44,642600,0.0,0
2019-03-22,95.71,96.57,92.53,92.96,845200,0.0,0
2019-03-25,92.66,94.47,92.27,94.34,632600,0.0,0
2019-03-26,95.13,96.96,94.41,96.41,779600,0.0,0
2019-03-27,96.71,99.37,96.71,99.01,832300,0.0,0
2019-03-28,100.29,101.87,99.21,100.06,645600,0.0,0
2019-03-29,100.25,100.25,98.51,99.2,692300,0.0,0
2019-04-01,99.75,100.33,97.77,100.32,769400,0.0,0
2019-04-02,100.27,100.27,97.5,97.68,574900,0.0,0
2019-04-03,98.48,99.25,97.6,99.13,523900,0.0,0
2019-04-04,99.28,100.87,99.28,100.77,558100,0.0,0
2019-04-05,101.05,102.13,100.48,101.07,458300,0.0,0
2019-04-08,100.67,101.45,100.32,100.71,360600,0.0,0
2019-04-09,100.2,100.99,99.54,100.32,483400,0.0,0
2019-04-10,100.44,101.27,99.66,100.28,374000,0.0,0
2019-04-11,100.6,101.19,99.93,100.84,751800,0.0,0
2019-04-12,101.24,103.38,100.9,103.33,463700,0.0,0
2019-04-15,103.37,104.17,103.03,103.45,522700,0.0,0
