Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,127.51,129.56,126.31,126.4,371100,0,0
2019-02-06,126.38,127.5,125.81,126.49,354500,0,0
2019-02-07,125.97,126.5,124.72,125.38,362400,0,0
2019-02-08,124.77,125.55,124.23,125.43,230200,0,0
2019-02-11,125.86,127.37,125.3,126.07,381400,0,0
2019-02-12,127.11,129.55,126.64,129.2,543600,0,0
2019-02-13,135.06,139.91,135.06,139.12,940400,0,0
2019-02-14,139.86,141.53,138.6,139.7,506100,0,0
2019-02-15,140.74,140.92,138.75,140.86,578200,0,0
2019-02-19,139.91,141.99,139.44,141.13,433500,0,0
2019-02-20,141.43,141.68,139.84,141.67,317800,0,0
2019-02-21,141.32,142.7,140.59,142.39,311700,0,0
2019-02-22,142.36,145.23,141.95,144.67,302300,0,0
2019-02-25,144.75,146.31,144.04,145.31,615200,0,0
2019-02-26,144.59,145.01,139.27,140.71,443400,0,0
2019-02-27,140.0,142.68,139.84,142.57,267500,0,0
2019-02-28,141.91,142.64,139.97,142.17,318900,0,0
2019-03-01,143.0,144.76,142.11,144.09,405500,0,0
2019-03-04,144.09,144.53,140.37,141.2,582600,0,0
2019-03-05,141.34,141.9,140.2,140.78,292100,0,0
2019-03-06,141.09,141.09,137.96,138.03,290800,0,0
2019-03-07,138.06,139.29,137.0,138.48,321300,0,0
2019-03-08,136.89,138.74,136.11,137.95,267500,0,0
2019-03-11,138.93,140.75,138.76,140.35,174000,0,0
2019-03-12,140.65,141.28,139.97,140.49,295300,0,0
2019-03-13,141.0,142.78,140.43,141.51,506500,0,0
2019-03-14,141.84,142.29,140.67,140.99,306600,0,0
2019-03-15,142.1,144.35,142.1,143.48,489300,0,0
2019-03-18,144.07,145.09,142.64,144.9,421300,0,0
2019-03-19,145.63,146.2,144.87,145.81,276900,0,0
2019-03-20,145.99,146.55,144.05,145.12,207800,0,0
2019-03-21,144.25,147.72,143.82,146.73,292600,0,0
2019-03-22,145.45,146.25,140.78,141.03,349800,0,0
2019-03-25,140.81,142.9,139.37,142.35,273400,0,0
2019-03-26,144.11,144.92,142.31,143.2,201200,0,0
2019-03-27,142.72,143.69,140.07,141.24,193700,0,0
2019-03-28,142.07,143.66,141.55,143.34,259100,0,0
2019-03-29,144.23,145.48,143.53,145.25,258100,0,0
2019-04-01,146.8,147.85,144.77,145.5,363600,0,0
2019-04-02,145.5,148.16,145.0,147.58,494200,0,0
2019-04-03,148.5,149.07,147.15,148.55,711900,0,0
2019-04-04,148.41,148.41,143.06,143.89,520300,0,0
2019-04-05,144.5,145.24,143.67,143.9,340600,0,0
2019-04-08,143.63,145.39,141.1,144.81,615800,0,0
2019-04-09,144.25,145.73,143.91,144.11,244100,0,0
2019-04-10,144.37,145.66,144.16,145.22,210700,0,0
2019-04-11,145.17,145.17,142.92,144.21,215000,0,0
2019-04-12,144.88,145.86,143.72,144.39,444700,0,0
