Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,103.87,104.65,103.64,104.6,1992100,0.0,0
2019-02-06,104.82,105.41,103.88,104.13,1469500,0.0,0
2019-02-07,103.44,104.1,102.81,103.66,2505200,0.0,0
2019-02-08,103.2,104.0,103.18,103.96,1259700,0.0,0
2019-02-11,104.39,104.92,103.19,103.58,1904300,0.0,0
2019-02-12,104.51,104.51,103.64,103.97,1726300,0.0,0
2019-02-13,104.4,104.67,103.29,103.55,1181000,0.0,0
2019-02-14,103.62,105.04,103.03,104.72,1993500,0.0,0
2019-02-15,105.45,105.66,104.38,105.01,1675900,0.0,0
2019-02-19,104.69,105.45,104.23,104.8,1187400,0.0,0
2019-02-20,104.92,105.5,103.63,103.9,2208100,0.0,0
2019-02-21,103.85,103.85,102.91,103.53,1710700,0.0,0
2019-02-22,104.12,104.28,102.99,103.73,1541500,0.0,0
2019-02-25,104.31,104.47,103.69,104.0,2060900,0.0,0
2019-02-26,103.99,104.85,103.49,103.96,1835200,0.0,0
2019-02-27,103.58,104.27,103.31,103.89,1375400,0.0,0
2019-02-28,103.86,104.57,103.33,104.03,2078500,0.0,0
2019-03-01,104.89,105.1,103.68,104.57,2261800,0.0,0
2019-03-04,105.3,105.51,102.55,103.46,2484600,0.0,0
2019-03-05,103.48,103.82,102.82,102.93,1941300,0.0,0
2019-03-06,103.07,103.61,101.85,102.19,1594100,0.0,0
2019-03-07,102.03,102.57,101.32,101.78,2116100,0.35,0
2019-03-08,101.07,101.88,97.11,98.92,7005700,0.0,0
2019-03-11,99.27,99.72,98.58,99.08,2769700,0.0,0
2019-03-12,99.47,99.47,97.95,99.14,3126600,0.0,0
2019-03-13,99.14,100.46,99.12,99.5,2757600,0.0,0
2019-03-14,99.49,101.06,99.34,100.59,2920100,0.0,0
2019-03-15,100.77,101.35,99.61,99.81,3839500,0.0,0
2019-03-18,99.81,100.94,99.72,100.49,1914400,0.0,0
2019-03-19,100.69,100.93,99.85,100.19,2046300,0.0,0
2019-03-20,100.16,100.71,99.1,99.42,1767300,0.0,0
2019-03-21,99.33,100.79,99.03,100.63,1761800,0.0,0
2019-03-22,100.27,100.74,98.96,99.4,2085300,0.0,0
2019-03-25,99.12,99.25,97.82,98.05,2909900,0.0,0
2019-03-26,98.6,99.56,97.99,98.93,3165800,0.0,0
2019-03-27,98.87,99.79,97.72,98.3,1772300,0.0,0
2019-03-28,98.38,98.86,97.49,98.4,2366100,0.0,0
2019-03-29,99.01,99.34,98.26,98.61,2836700,0.0,0
2019-04-01,98.94,99.83,97.96,98.64,3001000,0.0,0
2019-04-02,98.65,99.19,98.06,99.07,2385000,0.0,0
2019-04-03,99.43,106.02,98.55,101.4,7862300,0.0,0
2019-04-04,101.59,102.07,98.18,98.95,3839800,0.0,0
2019-04-05,99.27,100.32,98.95,99.91,2256700,0.0,0
2019-04-08,99.62,100.55,99.29,99.86,1654600,0.0,0
2019-04-09,99.72,100.63,99.15,100.28,1544600,0.0,0
2019-04-10,100.35,101.11,100.08,100.49,1376800,0.0,0
2019-04-11,100.78,100.97,100.06,100.83,1173700,0.0,0
2019-04-12,100.92,101.74,100.19,101.19,1337800,0.0,0
2019-04-15,101.2,101.74,100.81,101.17,1244800,0.0,0
2019-04-16,101.37,101.84,100.27,100.69,1594900,0.0,0
2019-04-17,100.95,101.2,98.93,99.14,1980300,0.0,0
2019-04-18,99.29,99.29,97.68,99.05,2223600,0.0,0
2019-04-22,98.6,99.11,98.27,98.8,1299100,0.0,0
2019-04-23,99.12,100.45,98.86,99.81,2303800,0.0,0
2019-04-24,100.41,100.85,99.05,99.4,2234400,0.0,0
2019-04-25,98.47,99.11,95.79,98.47,2806400,0.0,0
2019-04-26,98.27,100.34,97.83,99.91,2180300,0.0,0
2019-04-29,99.83,100.65,99.45,99.76,2284600,0.0,0
2019-04-30,99.75,100.21,99.04,99.89,1694600,0.0,0
2019-05-01,99.93,100.3,99.2,99.72,2384100,0.0,0
2019-05-02,100.07,100.07,98.08,98.2,1972600,0.0,0
2019-05-03,98.41,98.83,97.62,98.1,1248800,0.0,0
2019-05-06,96.64,97.76,95.96,97.34,1489100,0.0,0
2019-05-07,96.55,96.88,95.96,96.51,1911900,0.0,0
2019-05-08,96.36,96.67,95.48,96.51,1098300,0.0,0
2019-05-09,95.47,96.32,94.75,95.85,2079300,0.0,0
2019-05-10,95.56,96.4,94.27,96.16,1501300,0.0,0
2019-05-13,94.59,95.34,94.0,94.34,2843300,0.0,0
2019-05-14,94.63,95.57,94.37,94.81,1673500,0.0,0
2019-05-15,94.71,95.61,94.45,95.03,1352400,0.0,0
2019-05-16,95.37,96.17,94.91,95.56,1463600,0.0,0
2019-05-17,95.26,95.55,94.63,94.79,1612300,0.0,0
2019-05-20,94.14,94.36,93.18,94.07,1398800,0.0,0
2019-05-21,94.77,95.14,94.55,94.65,1171400,0.0,0
2019-05-22,94.31,95.81,94.0,95.11,1188000,0.0,0
2019-05-23,94.24,94.7,93.65,94.18,2183000,0.0,0
2019-05-24,94.66,94.79,93.0,93.65,1347800,0.0,0
2019-05-28,93.98,94.65,93.52,93.99,3789400,0.0,0
2019-05-29,93.75,94.07,93.02,93.39,1410200,0.0,0
2019-05-30,93.5,94.14,93.23,93.74,928200,0.0,0
2019-05-31,92.72,93.33,92.57,93.13,1844400,0.0,0
2019-06-03,93.0,93.49,92.14,92.49,2050700,0.0,0
2019-06-04,93.61,93.84,92.55,93.36,1983000,0.0,0
2019-06-05,94.11,94.72,92.94,93.93,1365600,0.0,0
2019-06-06,95.73,95.79,94.49,94.7,1854400,0.35,0
2019-06-07,95.15,95.86,94.89,95.2,1202700,0.0,0
2019-06-10,95.82,96.11,95.12,95.32,1273900,0.0,0
2019-06-11,95.76,96.01,94.83,95.18,1093300,0.0,0
2019-06-12,94.94,96.23,93.85,95.87,1541100,0.0,0
2019-06-13,96.27,97.71,95.97,96.08,1360300,0.0,0
2019-06-14,95.7,96.37,95.34,96.12,1213800,0.0,0
2019-06-17,96.49,97.65,96.24,96.44,2100600,0.0,0
2019-06-18,97.13,97.98,96.88,97.03,1592800,0.0,0
2019-06-19,97.36,98.42,96.56,98.26,2083700,0.0,0
2019-06-20,99.38,100.03,98.44,98.69,1987900,0.0,0
2019-06-21,98.94,99.31,98.43,99.1,3040200,0.0,0
2019-06-24,99.31,99.68,98.76,98.89,1574000,0.0,0
2019-06-25,98.92,98.98,97.28,97.48,1855600,0.0,0
2019-06-26,97.9,98.25,96.57,96.73,1558000,0.0,0
2019-06-27,96.98,97.75,96.8,97.05,780500,0.0,0
2019-06-28,97.19,97.61,96.87,97.46,1969800,0.0,0
2019-07-01,98.75,99.2,97.39,97.7,1542700,0.0,0
2019-07-02,97.69,98.63,97.52,98.6,1492000,0.0,0
2019-07-03,99.12,99.28,98.33,99.0,1043400,0.0,0
2019-07-05,98.47,99.21,97.57,99.14,1424900,0.0,0
2019-07-08,99.03,99.12,97.75,98.3,1828400,0.0,0
2019-07-09,97.18,98.3,97.18,98.28,1180400,0.0,0
2019-07-10,98.53,99.6,98.53,98.95,1542500,0.0,0
2019-07-11,99.16,99.24,98.3,99.0,1570100,0.0,0
2019-07-12,99.25,100.47,99.24,100.14,1595900,0.0,0
2019-07-15,100.44,100.96,100.14,100.83,1528700,0.0,0
2019-07-16,100.78,100.97,99.95,100.15,1295400,0.0,0
2019-07-17,100.3,100.43,99.42,99.88,1547900,0.0,0
2019-07-18,99.81,101.25,99.35,101.03,2225800,0.0,0
2019-07-19,101.26,101.91,100.33,100.51,2051800,0.0,0
2019-07-22,100.59,101.35,100.02,100.84,1539600,0.0,0
2019-07-23,101.09,101.26,99.66,100.18,1301600,0.0,0
2019-07-24,100.28,100.64,99.57,100.02,1830700,0.0,0
2019-07-25,96.27,96.6,94.2,94.41,10151900,0.0,0
2019-07-26,94.6,95.86,94.12,94.93,3051400,0.0,0
2019-07-29,94.88,95.22,93.6,94.65,1964500,0.0,0
2019-07-30,94.16,94.58,93.62,94.47,2479700,0.0,0
2019-07-31,94.37,94.63,92.69,93.59,2432200,0.0,0
2019-08-01,93.97,94.47,93.11,93.6,2511200,0.0,0
2019-08-02,93.16,93.65,92.55,92.89,2793300,0.0,0
2019-08-05,91.86,92.3,90.99,91.39,3571600,0.0,0
2019-08-06,91.69,92.03,90.07,90.98,3671700,0.0,0
2019-08-07,90.24,90.99,89.66,90.77,3223800,0.0,0
2019-08-08,91.4,91.9,91.02,91.78,2884000,0.0,0
2019-08-09,91.42,91.87,90.44,91.35,1918000,0.0,0
2019-08-12,90.86,91.18,90.54,90.59,2835700,0.0,0
