Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,114.03,115.88,113.55,115.55,332400,0.0,0
2019-02-06,115.49,116.1,114.86,115.54,212000,0.0,0
2019-02-07,114.79,115.59,112.82,115.09,418600,0.0,0
2019-02-08,114.37,115.91,114.37,115.79,218300,0.0,0
2019-02-11,116.18,116.8,114.68,115.15,233500,0.0,0
2019-02-12,116.05,117.13,115.54,116.88,156600,0.0,0
2019-02-13,117.56,118.07,116.25,117.35,140800,0.0,0
2019-02-14,116.64,118.01,116.38,117.49,178000,0.0,0
2019-02-15,118.36,119.56,118.22,119.49,228100,0.0,0
2019-02-19,119.32,119.81,118.7,119.44,152000,0.0,0
2019-02-20,119.6,120.73,119.16,120.55,239800,0.0,0
2019-02-21,120.43,120.53,119.33,120.32,178800,0.0,0
2019-02-22,120.79,121.48,120.3,120.77,137400,0.0,0
2019-02-25,121.45,121.45,120.49,120.97,195800,0.0,0
2019-02-26,120.82,120.82,118.38,118.57,261800,0.0,0
2019-02-27,118.71,125.27,118.71,123.6,666300,0.0,0
2019-02-28,124.12,125.04,122.26,122.63,359000,0.0,0
2019-03-01,121.82,123.63,120.62,121.94,426900,0.0,0
2019-03-04,122.36,123.71,120.39,120.44,445500,0.0,0
2019-03-05,120.56,121.3,119.72,119.76,230900,0.0,0
2019-03-06,119.72,120.26,116.81,116.82,238000,0.0,0
2019-03-07,116.45,116.81,114.57,115.27,307700,0.0,0
2019-03-08,114.33,114.53,113.5,113.96,235800,0.0,0
2019-03-11,113.83,114.16,113.11,113.68,463400,0.0,0
2019-03-12,113.64,113.99,113.02,113.69,457300,0.0,0
2019-03-13,114.1,115.29,113.81,114.42,360900,0.0,0
2019-03-14,114.14,114.78,113.22,114.02,228700,0.0,0
2019-03-15,114.07,114.17,111.27,111.65,851600,0.0,0
2019-03-18,111.66,115.0,111.66,114.51,392100,0.0,0
2019-03-19,114.88,115.63,113.19,113.41,527700,0.0,0
2019-03-20,113.53,116.75,113.46,114.9,288200,0.0,0
2019-03-21,114.47,116.6,114.47,115.67,176900,0.0,0
2019-03-22,114.99,115.06,112.26,112.29,234100,0.0,0
2019-03-25,112.11,113.13,111.78,111.86,228500,0.0,0
2019-03-26,112.76,113.22,111.12,111.35,171100,0.0,0
2019-03-27,111.49,113.06,111.36,112.05,168800,0.15,0
2019-03-28,112.31,113.3,111.69,112.67,163900,0.0,0
2019-03-29,113.52,113.52,112.36,112.89,644800,0.0,0
2019-04-01,113.82,115.12,111.92,112.09,575800,0.0,0
2019-04-02,112.19,112.8,111.35,111.55,846200,0.0,0
2019-04-03,112.2,112.37,109.37,109.59,721500,0.0,0
2019-04-04,110.13,113.48,109.76,112.03,785100,0.0,0
2019-04-05,112.55,113.23,111.65,112.43,387600,0.0,0
2019-04-08,111.55,113.02,111.03,112.76,321800,0.0,0
2019-04-09,112.06,112.63,110.14,110.23,270300,0.0,0
2019-04-10,110.51,110.51,109.1,109.72,300200,0.0,0
2019-04-11,109.89,111.69,109.38,111.4,567600,0.0,0
2019-04-12,112.25,112.92,111.41,111.73,340000,0.0,0
2019-04-15,111.61,112.06,110.71,111.88,158600,0.0,0
2019-04-16,111.92,112.44,111.44,112.25,177300,0.0,0
2019-04-17,112.64,112.99,110.03,110.09,187800,0.0,0
2019-04-18,110.34,112.0,110.18,111.94,203300,0.0,0
2019-04-22,111.59,112.1,111.15,111.71,202900,0.0,0
2019-04-23,112.53,115.06,111.94,114.21,276000,0.0,0
2019-04-24,114.8,115.34,113.36,113.67,149000,0.0,0
2019-04-25,113.17,113.62,111.55,113.08,200500,0.0,0
2019-04-26,113.03,114.56,112.58,114.27,229400,0.0,0
2019-04-29,114.21,115.55,114.1,114.63,157200,0.0,0
2019-04-30,114.7,114.95,113.23,113.49,173000,0.0,0
2019-05-01,113.86,115.29,113.63,113.85,149600,0.0,0
2019-05-02,113.7,114.14,112.32,114.11,229100,0.0,0
2019-05-03,114.81,116.51,114.81,115.39,205200,0.0,0
2019-05-06,113.4,115.74,113.01,115.36,293400,0.0,0
2019-05-07,114.03,114.38,112.08,112.85,183600,0.0,0
2019-05-08,112.51,113.58,112.38,112.9,259900,0.0,0
2019-05-09,113.67,113.67,109.43,113.19,343900,0.0,0
2019-05-10,113.29,114.7,111.77,114.63,348400,0.0,0
2019-05-13,112.22,112.46,108.53,108.87,313900,0.0,0
2019-05-14,109.59,113.07,109.44,112.42,450600,0.0,0
2019-05-15,111.4,113.92,111.4,113.65,226800,0.0,0
2019-05-16,114.54,118.0,114.4,117.13,423300,0.0,0
2019-05-17,116.08,117.01,114.99,115.65,368600,0.0,0
2019-05-20,114.74,115.44,113.93,114.74,270000,0.0,0
2019-05-21,116.04,117.26,115.05,117.21,391000,0.0,0
2019-05-22,116.27,117.26,115.93,116.51,406400,0.0,0
2019-05-23,115.16,115.79,113.52,115.28,437400,0.0,0
2019-05-24,115.95,116.2,113.69,114.8,244700,0.0,0
2019-05-28,114.8,115.36,113.7,113.78,283100,0.0,0
2019-05-29,112.94,113.92,112.36,112.9,209900,0.0,0
2019-05-30,113.09,113.95,112.12,112.74,219800,0.0,0
2019-05-31,111.55,111.77,110.7,111.05,233600,0.0,0
2019-06-03,110.91,113.68,110.49,112.3,313600,0.0,0
2019-06-04,113.36,116.92,113.19,116.92,327400,0.0,0
2019-06-05,117.02,117.46,115.73,116.71,216100,0.0,0
2019-06-06,116.58,117.87,116.35,117.27,222500,0.0,0
2019-06-07,117.69,118.65,117.34,117.59,194900,0.0,0
2019-06-10,118.45,119.33,117.24,117.89,164900,0.0,0
2019-06-11,118.8,118.98,113.85,114.82,342200,0.0,0
2019-06-12,115.15,115.59,114.52,115.1,289700,0.0,0
2019-06-13,115.8,117.5,114.74,117.43,202100,0.0,0
2019-06-14,116.9,117.48,116.53,117.08,411700,0.0,0
2019-06-17,117.35,117.35,116.02,116.33,276000,0.0,0
2019-06-18,117.04,119.54,117.04,119.11,189600,0.0,0
2019-06-19,119.31,119.31,118.2,119.11,143200,0.17,0
2019-06-20,120.49,120.94,119.53,120.78,223300,0.0,0
2019-06-21,120.13,120.13,118.81,119.19,399300,0.0,0
2019-06-24,119.49,120.15,119.18,119.39,182000,0.0,0
2019-06-25,119.25,120.52,118.99,119.46,186500,0.0,0
2019-06-26,119.69,121.92,119.02,120.72,275300,0.0,0
2019-06-27,121.06,122.64,120.49,122.32,496000,0.0,0
2019-06-28,122.68,126.84,122.42,126.8,799700,0.0,0
2019-07-01,127.87,128.62,126.54,126.99,391800,0.0,0
2019-07-02,127.14,127.14,124.51,125.21,411300,0.0,0
2019-07-03,125.54,126.35,125.28,126.18,94400,0.0,0
2019-07-05,125.27,127.14,125.27,126.99,143800,0.0,0
2019-07-08,126.11,126.52,125.38,125.97,243400,0.0,0
2019-07-09,125.38,126.61,124.75,126.57,336800,0.0,0
2019-07-10,126.57,127.62,125.43,125.66,379900,0.0,0
2019-07-11,125.37,125.57,123.16,124.84,242700,0.0,0
2019-07-12,125.3,127.23,124.74,126.79,311000,0.0,0
2019-07-15,126.91,127.2,125.44,125.98,301700,0.0,0
2019-07-16,125.64,126.97,125.32,126.82,182600,0.0,0
2019-07-17,126.65,126.65,124.74,125.82,430600,0.0,0
2019-07-18,125.83,126.21,125.17,126.15,189500,0.0,0
2019-07-19,126.92,127.83,126.27,126.8,200500,0.0,0
2019-07-22,126.9,127.42,126.18,126.99,177800,0.0,0
2019-07-23,127.94,128.21,127.06,127.91,180400,0.0,0
2019-07-24,127.54,129.73,127.29,129.63,216500,0.0,0
2019-07-25,130.1,130.25,128.17,128.47,163100,0.0,0
2019-07-26,128.21,128.96,127.86,128.61,173600,0.0,0
2019-07-29,128.52,128.52,127.06,127.38,150000,0.0,0
2019-07-30,126.64,127.65,125.56,127.58,189400,0.0,0
2019-07-31,127.87,129.23,126.36,126.58,267900,0.0,0
2019-08-01,124.68,127.8,122.77,123.73,274200,0.0,0
2019-08-02,123.95,123.95,121.34,123.11,221500,0.0,0
2019-08-05,121.06,121.06,116.76,118.3,260100,0.0,0
2019-08-06,119.22,121.53,118.53,121.32,286000,0.0,0
2019-08-07,119.76,121.2,119.07,120.54,259800,0.0,0
2019-08-08,121.17,123.46,121.11,123.05,382900,0.0,0
2019-08-09,122.62,122.62,120.26,120.38,188100,0.0,0
2019-08-12,119.68,120.28,118.57,118.57,100300,0.0,0
2019-08-13,118.73,121.88,118.34,120.17,243700,0.0,0
2019-08-14,118.21,119.67,116.33,116.51,207600,0.0,0
2019-08-15,116.78,117.68,115.56,117.42,247500,0.0,0
2019-08-16,118.23,119.98,118.18,119.64,148700,0.0,0
2019-08-19,120.87,121.65,120.47,121.22,96200,0.0,0
2019-08-20,120.73,121.3,120.39,120.71,150400,0.0,0
2019-08-21,121.88,121.9,120.33,121.51,165000,0.0,0
2019-08-22,121.95,122.93,121.38,122.65,171400,0.0,0
2019-08-23,121.7,122.56,119.91,120.31,326700,0.0,0
2019-08-26,121.75,121.84,119.52,121.0,178700,0.0,0
2019-08-27,121.64,122.51,120.05,120.5,169500,0.0,0
2019-08-28,120.11,122.04,119.67,121.39,160500,0.0,0
2019-08-29,122.7,123.72,122.31,122.54,142300,0.0,0
2019-08-30,123.27,123.27,121.59,122.33,134100,0.0,0
2019-09-03,121.04,122.07,119.92,122.03,153700,0.0,0
2019-09-04,123.31,123.64,122.89,123.35,113500,0.0,0
2019-09-05,124.68,127.03,124.32,126.94,172400,0.0,0
2019-09-06,127.24,127.81,126.7,127.54,160600,0.0,0
2019-09-09,127.97,128.34,127.29,128.31,250900,0.0,0
2019-09-10,128.24,131.01,126.98,130.99,248900,0.0,0
2019-09-11,131.24,131.28,129.79,131.28,219400,0.0,0
2019-09-12,131.77,131.77,129.42,131.52,181900,0.0,0
2019-09-13,132.18,132.52,129.47,132.14,192100,0.0,0
2019-09-16,131.35,134.07,131.35,132.99,148500,0.0,0
2019-09-17,132.65,133.76,131.3,133.11,215500,0.0,0
2019-09-18,132.89,133.02,129.47,131.37,144100,0.0,0
2019-09-19,131.75,131.75,130.08,130.33,128000,0.0,0
2019-09-20,130.52,130.77,128.08,128.09,465400,0.0,0
2019-09-23,127.56,129.06,127.54,128.6,115000,0.0,0
2019-09-24,128.99,129.35,127.43,128.92,183200,0.0,0
2019-09-25,129.35,130.62,127.65,130.19,177800,0.0,0
2019-09-26,130.75,130.75,128.54,129.19,145000,0.0,0
2019-09-27,130.02,130.13,128.93,129.27,203800,0.0,0
2019-09-30,129.74,130.31,128.77,129.04,107500,0.0,0
2019-10-01,129.84,130.61,125.8,126.36,211300,0.0,0
2019-10-02,125.31,125.56,122.72,123.86,172400,0.17,0
2019-10-03,123.7,124.95,121.56,124.95,276100,0.0,0
2019-10-04,125.28,126.25,124.93,125.6,187700,0.0,0
2019-10-07,125.33,126.96,125.06,126.56,267300,0.0,0
2019-10-08,125.19,125.2,123.36,124.03,191800,0.0,0
2019-10-09,125.2,125.59,123.7,125.16,93000,0.0,0
2019-10-10,124.99,126.81,124.99,126.03,85800,0.0,0
2019-10-11,128.08,129.31,127.57,127.98,102900,0.0,0
2019-10-14,127.23,127.25,126.22,126.37,63900,0.0,0
2019-10-15,126.4,127.35,126.2,126.42,152900,0.0,0
2019-10-16,125.96,126.93,125.65,126.78,151800,0.0,0
2019-10-17,127.89,128.91,127.48,127.81,209300,0.0,0
2019-10-18,127.72,127.72,124.8,125.46,96300,0.0,0
2019-10-21,125.73,126.78,125.35,125.59,147200,0.0,0
2019-10-22,125.45,126.21,124.73,125.43,257600,0.0,0
2019-10-23,125.43,126.62,125.08,126.54,310300,0.0,0
2019-10-24,126.95,128.92,125.7,128.71,141400,0.0,0
2019-10-25,128.64,128.99,128.17,128.31,115700,0.0,0
2019-10-28,128.85,130.56,128.76,128.87,122500,0.0,0
2019-10-29,128.62,130.12,128.13,129.83,129100,0.0,0
2019-10-30,129.49,131.16,128.69,130.88,146900,0.0,0
2019-10-31,131.84,135.3,129.37,135.08,335100,0.0,0
2019-11-01,136.13,140.1,135.17,139.89,386500,0.0,0
2019-11-04,140.06,140.64,138.88,139.25,301100,0.0,0
2019-11-05,139.97,139.97,137.26,137.74,187500,0.0,0
2019-11-06,137.92,138.67,136.48,138.63,185400,0.0,0
2019-11-07,139.78,140.67,138.81,139.42,170100,0.0,0
2019-11-08,139.03,140.09,138.17,139.31,119800,0.0,0
2019-11-11,137.79,139.2,137.58,139.04,119000,0.0,0
2019-11-12,139.01,140.28,138.27,140.15,201100,0.0,0
2019-11-13,139.31,140.6,139.31,140.58,158800,0.0,0
2019-11-14,140.28,140.83,139.15,140.63,158600,0.0,0
2019-11-15,141.23,142.79,140.69,140.95,129100,0.0,0
2019-11-18,140.69,140.69,139.21,140.07,134200,0.0,0
2019-11-19,140.26,140.83,139.17,139.61,185000,0.0,0
2019-11-20,139.51,140.91,138.79,139.51,214200,0.0,0
2019-11-21,139.49,139.49,137.43,138.04,161900,0.0,0
2019-11-22,138.61,138.61,136.13,136.4,134400,0.0,0
2019-11-25,136.87,137.95,135.75,137.68,163000,0.0,0
2019-11-26,138.01,139.09,137.24,138.31,198600,0.0,0
2019-11-27,139.05,139.15,137.1,138.33,112600,0.17,0
2019-11-29,137.93,138.72,137.05,137.31,104700,0.0,0
2019-12-02,137.89,138.74,134.98,135.03,142600,0.0,0
2019-12-03,134.18,136.2,133.24,136.05,197900,0.0,0
2019-12-04,136.74,138.61,136.48,137.17,282300,0.0,0
2019-12-05,137.79,138.68,137.57,138.52,153900,0.0,0
2019-12-06,140.0,140.43,139.34,139.59,178600,0.0,0
2019-12-09,139.26,141.06,139.21,140.92,325900,0.0,0
2019-12-10,141.16,141.63,139.72,141.35,211000,0.0,0
2019-12-11,141.75,142.25,140.87,142.19,191200,0.0,0
2019-12-12,142.25,143.34,141.57,143.21,231700,0.0,0
2019-12-13,143.22,143.79,142.14,143.4,222300,0.0,0
2019-12-16,143.86,144.82,142.74,142.79,340200,0.0,0
2019-12-17,143.12,143.12,140.68,141.37,397200,0.0,0
2019-12-18,141.91,141.91,139.48,139.59,270200,0.0,0
2019-12-19,139.98,141.06,139.0,140.84,249100,0.0,0
2019-12-20,141.6,142.95,141.23,142.87,528600,0.0,0
2019-12-23,143.58,143.8,142.08,143.35,112900,0.0,0
2019-12-24,143.6,144.0,141.7,143.48,65600,0.0,0
2019-12-26,143.52,143.65,142.16,142.37,81700,0.0,0
2019-12-27,142.92,142.92,141.62,141.72,101800,0.0,0
2019-12-30,142.15,142.45,140.95,141.65,119100,0.0,0
2019-12-31,141.69,142.43,140.73,140.89,147000,0.0,0
2020-01-02,141.32,143.18,140.74,143.11,170700,0.0,0
2020-01-03,141.99,143.51,141.11,143.42,125300,0.0,0
2020-01-06,142.45,143.57,141.56,143.54,260400,0.0,0
2020-01-07,143.8,145.6,142.99,145.25,230100,0.0,0
2020-01-08,145.57,146.15,144.21,145.01,143600,0.0,0
2020-01-09,145.91,146.99,145.0,146.06,209400,0.0,0
2020-01-10,146.11,146.21,143.51,143.73,114700,0.0,0
2020-01-13,144.13,145.44,143.47,145.44,136600,0.0,0
2020-01-14,145.16,145.76,144.03,145.03,114100,0.0,0
2020-01-15,146.5,148.6,146.04,147.41,179700,0.0,0
2020-01-16,148.6,149.9,148.26,149.08,183500,0.0,0
2020-01-17,148.93,149.3,148.01,148.67,168200,0.0,0
2020-01-21,148.34,148.74,147.05,147.92,152700,0.0,0
2020-01-22,147.92,148.74,146.85,147.43,161900,0.0,0
2020-01-23,147.21,148.27,146.37,147.95,154600,0.0,0
2020-01-24,148.25,148.66,146.72,147.49,175500,0.0,0
2020-01-27,145.58,147.82,144.92,146.84,308900,0.0,0
2020-01-28,147.32,148.95,146.67,148.63,176600,0.0,0
2020-01-29,149.27,149.59,147.79,148.64,152100,0.0,0
2020-01-30,147.68,148.95,146.75,148.64,132300,0.0,0
2020-01-31,148.05,148.05,145.07,145.43,181300,0.0,0
2020-02-03,146.04,147.32,145.0,145.35,197500,0.0,0
