Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,14.34,14.63,14.29,14.51,4614100,0.0,0
2019-02-06,14.68,15.13,14.65,14.9,7756300,0.0,0
2019-02-07,14.71,14.86,14.5,14.58,4806100,0.0,0
2019-02-08,14.38,14.57,14.22,14.5,4168000,0.0,0
2019-02-11,14.61,14.77,14.51,14.64,3985900,0.0,0
2019-02-12,14.81,15.29,14.78,15.26,7754900,0.0,0
2019-02-13,15.29,15.37,15.13,15.32,4077000,0.0,0
2019-02-14,15.23,15.45,15.22,15.39,4675700,0.0,0
2019-02-15,15.47,15.51,15.3,15.36,2871100,0.0,0
2019-02-19,15.26,15.34,15.19,15.2,3200200,0.0,0
2019-02-20,15.24,15.4,15.2,15.34,2534700,0.0,0
2019-02-21,15.33,15.41,15.17,15.22,2596500,0.0,0
2019-02-22,15.32,15.45,15.28,15.34,3322700,0.0,0
2019-02-25,15.55,15.59,15.35,15.4,4664300,0.0,0
2019-02-26,15.33,15.41,15.23,15.25,2807800,0.0,0
2019-02-27,15.2,15.22,14.92,15.13,2657000,0.0,0
2019-02-28,15.02,15.22,14.93,15.1,2633100,0.0,0
2019-03-01,15.25,15.29,14.93,15.23,4327600,0.0,0
2019-03-04,15.31,15.33,14.88,15.09,3258600,0.0,0
2019-03-05,15.07,15.14,14.95,14.97,2176300,0.0,0
2019-03-06,14.96,15.02,14.73,14.73,2193400,0.0,0
2019-03-07,14.67,14.71,14.37,14.46,4535900,0.0,0
2019-03-08,14.21,14.56,14.11,14.49,2559600,0.0,0
2019-03-11,14.63,14.87,14.55,14.8,2221400,0.0,0
2019-03-12,14.81,14.94,14.66,14.77,3503100,0.0,0
2019-03-13,14.85,15.08,14.78,14.83,4980000,0.0,0
2019-03-14,14.92,15.0,14.74,14.77,3140100,0.0,0
2019-03-15,14.9,15.15,14.86,15.01,6171000,0.0,0
2019-03-18,14.98,15.02,14.74,14.84,2623700,0.0,0
2019-03-19,14.92,15.06,14.88,14.94,2537600,0.0,0
2019-03-20,14.94,14.99,14.62,14.73,2390100,0.0,0
2019-03-21,14.79,15.32,14.79,15.19,3624800,0.0,0
2019-03-22,15.11,15.11,14.62,14.62,4882900,0.0,0
2019-03-25,14.55,14.67,14.34,14.52,3914600,0.0,0
2019-03-26,14.64,14.78,14.51,14.68,2886500,0.0,0
2019-03-27,14.7,14.8,14.36,14.51,3965400,0.11,0
2019-03-28,14.49,14.72,14.38,14.49,3151100,0.0,0
2019-03-29,14.64,14.79,14.6,14.71,2658100,0.0,0
2019-04-01,14.92,15.22,14.83,15.21,3877100,0.0,0
2019-04-02,15.21,15.25,15.08,15.17,2643600,0.0,0
2019-04-03,15.46,15.74,15.39,15.5,6206700,0.0,0
2019-04-04,15.51,15.67,15.44,15.6,3106600,0.0,0
2019-04-05,15.69,15.81,15.56,15.77,3953600,0.0,0
2019-04-08,15.67,15.85,15.64,15.84,2430300,0.0,0
2019-04-09,15.73,15.77,15.53,15.57,2684500,0.0,0
2019-04-10,15.52,15.7,15.45,15.63,2288900,0.0,0
2019-04-11,15.68,15.8,15.59,15.64,1580400,0.0,0
2019-04-12,15.88,15.95,15.78,15.86,3105400,0.0,0
2019-04-15,15.87,16.04,15.73,15.92,3139700,0.0,0
2019-04-16,16.0,16.24,15.97,16.23,2997300,0.0,0
2019-04-17,16.32,16.43,16.07,16.24,4478400,0.0,0
2019-04-18,16.22,16.26,16.04,16.1,3112300,0.0,0
2019-04-22,16.06,16.06,15.91,15.92,1813000,0.0,0
2019-04-23,15.88,16.13,15.84,16.01,3302000,0.0,0
2019-04-24,16.07,16.54,16.04,16.34,5520700,0.0,0
2019-04-25,16.29,16.31,15.87,15.95,6007800,0.0,0
2019-04-26,16.38,17.11,16.09,17.05,12107100,0.0,0
2019-04-29,17.05,17.16,16.74,16.92,6002200,0.0,0
2019-04-30,16.91,17.11,16.76,16.93,5559600,0.0,0
2019-05-01,17.04,17.15,16.68,16.69,4011800,0.0,0
2019-05-02,16.65,16.99,16.57,16.87,4196600,0.0,0
2019-05-03,16.87,17.35,16.82,17.32,4477100,0.0,0
2019-05-06,16.69,17.0,16.52,16.89,4811500,0.0,0
2019-05-07,16.74,16.89,16.44,16.65,3688500,0.0,0
2019-05-08,16.48,16.76,16.45,16.46,3492600,0.0,0
2019-05-09,16.23,16.4,15.86,16.33,4876000,0.0,0
2019-05-10,16.17,16.26,15.81,16.08,5083300,0.0,0
2019-05-13,15.66,15.71,15.04,15.14,6587900,0.0,0
2019-05-14,15.35,15.74,15.29,15.67,4946300,0.0,0
2019-05-15,15.51,15.94,15.47,15.85,3309600,0.0,0
2019-05-16,15.77,15.79,15.46,15.71,5273300,0.0,0
2019-05-17,15.49,15.75,15.3,15.33,4181200,0.0,0
2019-05-20,15.07,15.17,14.72,14.84,6314500,0.0,0
2019-05-21,15.09,15.32,15.05,15.19,4567500,0.0,0
2019-05-22,14.98,15.29,14.98,15.19,2807700,0.0,0
2019-05-23,14.92,15.34,14.88,15.28,7837000,0.0,0
2019-05-24,15.38,15.57,15.23,15.25,3876300,0.0,0
2019-05-28,15.33,15.38,14.94,15.17,4021000,0.0,0
2019-05-29,15.13,17.4,15.06,17.0,24275300,0.0,0
2019-05-30,17.11,17.82,17.06,17.63,17086600,0.0,0
