Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,9.2,9.32,9.18,9.3,23244000,0,0
2019-02-06,9.3,9.3,9.19,9.25,38921500,0,0
2019-02-07,9.22,9.29,9.12,9.25,24408900,0,0
2019-02-08,9.2,9.4,9.16,9.32,22557500,0,0
2019-02-11,9.37,9.44,9.26,9.4,15954900,0,0
2019-02-12,9.48,9.49,9.32,9.41,19289300,0,0
2019-02-13,9.43,9.49,9.33,9.4,21823400,0,0
2019-02-14,9.27,9.42,9.13,9.4,26970700,0,0
2019-02-15,9.62,9.65,9.1,9.15,53656400,0,0
2019-02-19,9.32,9.72,9.21,9.62,29463300,0,0
2019-02-20,9.79,9.81,9.6,9.62,17633700,0,0
2019-02-21,9.67,9.7,9.35,9.43,18409700,0,0
2019-02-22,9.31,9.38,8.86,9.05,46500100,0,0
2019-02-25,9.13,9.32,8.92,8.96,26494100,0,0
2019-02-26,9.0,9.09,8.71,8.72,21315300,0,0
2019-02-27,8.7,8.83,8.39,8.45,29858000,0,0
2019-02-28,8.4,8.66,8.4,8.62,31622600,0,0
2019-03-01,8.82,8.99,8.62,8.97,24836400,0,0
2019-03-04,9.0,9.1,8.68,8.75,15905300,0,0
2019-03-05,8.77,9.01,8.73,8.87,11782500,0,0
2019-03-06,8.87,8.99,8.67,8.69,13791800,0,0
2019-03-07,8.64,8.75,8.45,8.58,14447200,0,0
2019-03-08,8.57,8.63,8.36,8.45,22268800,0,0
2019-03-11,8.56,8.73,8.38,8.67,55215900,0,0
2019-03-12,8.69,8.76,8.49,8.5,39720900,0,0
2019-03-13,8.5,8.61,8.3,8.35,17637100,0,0
2019-03-14,8.34,8.42,8.0,8.16,26015200,0,0
2019-03-15,8.18,8.28,8.06,8.08,16586200,0,0
2019-03-18,8.4,8.5,8.22,8.45,20639300,0,0
2019-03-19,8.47,8.63,8.45,8.52,20182500,0,0
2019-03-20,8.6,8.65,8.33,8.37,41891200,0,0
2019-03-21,8.51,8.98,8.48,8.89,37210100,0,0
2019-03-22,8.91,8.95,8.62,8.67,17825400,0,0
2019-03-25,8.67,8.7,8.5,8.56,12683300,0,0
2019-03-26,8.57,8.74,8.43,8.45,21814300,0,0
2019-03-27,8.45,8.52,8.27,8.46,19688200,0,0
2019-03-28,8.47,8.79,8.47,8.71,26215400,0,0
2019-03-29,8.78,8.86,8.62,8.69,38327600,0,0
2019-04-01,8.75,9.01,8.75,8.84,26399200,0,0
2019-04-02,8.81,8.85,8.69,8.83,18196300,0,0
2019-04-03,8.87,9.09,8.76,8.85,36057500,0,0
2019-04-04,8.82,9.13,8.81,9.08,25089900,0,0
2019-04-05,9.16,9.25,9.11,9.19,20967900,0,0
2019-04-08,9.18,9.24,9.11,9.11,15559500,0,0
2019-04-09,9.07,9.13,8.74,8.79,21820200,0,0
2019-04-10,8.77,9.08,8.74,9.05,17127000,0,0
2019-04-11,9.15,9.5,9.15,9.4,68413300,0,0
2019-04-12,9.42,9.55,9.37,9.47,39013300,0,0
2019-04-15,9.5,9.51,9.15,9.38,33838300,0,0
2019-04-16,9.29,9.65,9.27,9.52,42596100,0,0
2019-04-17,9.58,9.67,9.45,9.47,12003100,0,0
2019-04-18,9.52,9.65,9.37,9.56,25511800,0,0
2019-04-22,9.52,9.54,9.38,9.47,14277600,0,0
2019-04-23,9.51,9.54,9.44,9.47,20750600,0,0
2019-04-24,9.48,9.52,9.39,9.46,7040900,0,0
2019-04-25,9.49,9.49,9.31,9.42,9062500,0,0
2019-04-26,9.45,9.59,9.16,9.59,9183600,0,0
2019-04-29,9.54,9.65,9.45,9.56,19679800,0,0
2019-04-30,9.49,9.51,9.19,9.36,21193300,0,0
2019-05-01,9.45,9.48,9.1,9.1,16714100,0,0
2019-05-02,9.41,9.58,9.09,9.15,46803200,0,0
2019-05-03,9.23,9.42,9.19,9.35,22680600,0,0
2019-05-06,9.14,9.28,9.06,9.25,13062900,0,0
2019-05-07,9.16,9.18,8.9,9.03,20337900,0,0
2019-05-08,8.97,9.11,8.91,8.92,16062700,0,0
2019-05-09,8.9,9.12,8.69,9.09,21062600,0,0
2019-05-10,9.01,9.3,8.9,9.25,11389000,0,0
2019-05-13,9.0,9.05,8.81,8.88,16381000,0,0
2019-05-14,9.0,9.17,8.87,9.09,14969100,0,0
2019-05-15,9.06,9.26,8.91,9.18,16486000,0,0
