Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,49.04,49.71,48.7,49.2,8727600,0.0,0
2019-02-06,48.84,49.44,48.54,49.18,6228100,0.0,0
2019-02-07,49.01,49.33,48.65,49.08,5673900,0.0,0
2019-02-08,48.75,49.19,48.6,49.14,4456600,0.0,0
2019-02-11,49.27,49.68,49.26,49.27,6963900,0.0,0
2019-02-12,49.52,49.72,48.56,48.57,8301700,0.0,0
2019-02-13,48.73,49.39,48.57,49.08,5754900,0.0,0
2019-02-14,48.75,49.39,48.64,49.15,5780000,0.0,0
2019-02-15,49.54,50.11,49.23,49.73,6492000,0.0,0
2019-02-19,49.65,50.84,49.65,50.45,7904800,0.0,0
2019-02-20,49.83,50.27,49.23,49.89,7497300,0.0,0
2019-02-21,49.85,50.49,49.75,50.12,6615000,0.0,0
2019-02-22,50.24,50.59,49.89,50.16,5413200,0.0,0
2019-02-25,50.44,50.5,49.91,50.05,6180400,0.0,0
2019-02-26,50.04,50.59,49.73,49.77,6826800,0.0,0
2019-02-27,49.62,49.68,48.63,49.1,9041600,0.0,0
2019-02-28,49.11,49.18,48.57,48.61,9483800,0.35,0
2019-03-01,48.4,48.75,47.27,48.0,11393900,0.0,0
2019-03-04,48.08,48.6,47.48,47.83,10194100,0.0,0
2019-03-05,49.05,49.5,48.44,48.74,9800700,0.0,0
2019-03-06,48.83,49.29,48.47,48.73,8702600,0.0,0
2019-03-07,48.54,48.82,47.8,48.62,8183600,0.0,0
2019-03-08,48.28,48.63,47.96,48.62,8570100,0.0,0
2019-03-11,48.82,50.28,48.79,50.12,8868100,0.0,0
2019-03-12,50.18,50.31,49.04,49.67,8073900,0.0,0
2019-03-13,49.98,50.09,49.1,50.02,10536300,0.0,0
2019-03-14,50.37,51.06,49.84,49.94,8048800,0.0,0
2019-03-15,50.28,50.46,49.98,50.18,8192400,0.0,0
2019-03-18,50.07,50.24,49.54,49.74,6415200,0.0,0
2019-03-19,49.99,50.38,49.82,49.96,5606600,0.0,0
2019-03-20,49.89,49.89,48.79,48.89,7753000,0.0,0
2019-03-21,48.73,49.62,48.72,49.31,5128700,0.0,0
2019-03-22,49.06,49.25,48.55,48.78,5896200,0.0,0
2019-03-25,48.63,49.06,48.01,48.07,6454000,0.0,0
2019-03-26,48.39,48.66,47.72,48.13,5321500,0.0,0
2019-03-27,48.09,49.54,48.02,48.99,7907200,0.0,0
2019-03-28,49.13,49.66,48.92,49.33,6600100,0.0,0
2019-03-29,49.73,50.73,49.39,50.64,9162100,0.0,0
2019-04-01,50.8,51.3,50.51,51.16,8501400,0.0,0
2019-04-02,53.46,54.84,52.86,54.24,15920700,0.0,0
2019-04-03,54.86,56.44,54.71,55.88,13299500,0.0,0
2019-04-04,56.33,56.54,55.26,56.1,8998000,0.0,0
2019-04-05,56.31,57.06,56.2,56.6,6918300,0.0,0
2019-04-08,56.37,56.76,55.79,56.58,7921600,0.0,0
2019-04-09,56.08,56.31,55.67,55.83,9581600,0.0,0
2019-04-10,57.81,57.81,55.66,56.72,14398200,0.0,0
2019-04-11,56.81,57.68,56.68,57.24,8452400,0.0,0
2019-04-12,57.67,57.68,56.42,56.91,7693900,0.0,0
2019-04-15,56.86,57.34,56.24,56.32,5327000,0.0,0
2019-04-16,56.53,56.98,56.52,56.97,3970200,0.0,0
2019-04-17,57.69,57.83,56.95,57.28,4987600,0.0,0
2019-04-18,57.35,57.43,56.88,57.03,4108100,0.0,0
2019-04-22,56.66,56.83,56.16,56.62,4043900,0.0,0
2019-04-23,56.53,57.26,56.53,57.1,4593000,0.0,0
2019-04-24,57.1,57.38,56.66,56.71,3275200,0.0,0
2019-04-25,56.7,57.33,55.27,55.6,5557400,0.0,0
2019-04-26,55.45,56.34,55.37,55.99,3714100,0.0,0
