Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,47.34,47.87,47.17,47.81,447800,0.0,0
2019-02-06,47.66,48.17,47.29,47.37,344600,0.0,0
2019-02-07,46.9,47.3,46.43,47.21,493800,0.0,0
2019-02-08,47.02,47.41,46.41,47.17,586100,0.19,0
2019-02-11,47.34,47.55,46.93,47.14,465100,0.0,0
2019-02-12,47.54,48.48,47.51,48.25,378700,0.0,0
2019-02-13,48.49,49.22,48.49,48.96,409100,0.0,0
2019-02-14,48.67,49.15,48.51,48.85,584100,0.0,0
2019-02-15,49.21,50.06,49.14,49.8,1168600,0.0,0
2019-02-19,49.57,50.55,49.57,50.2,466400,0.0,0
2019-02-20,50.29,51.11,50.1,50.92,391600,0.0,0
2019-02-21,50.77,51.22,50.63,51.07,281400,0.0,0
2019-02-22,51.2,51.63,51.08,51.53,410100,0.0,0
2019-02-25,51.86,52.02,51.17,51.56,567500,0.0,0
2019-02-26,51.38,51.64,51.25,51.31,428300,0.0,0
2019-02-27,51.41,51.62,50.91,51.59,475300,0.0,0
2019-02-28,51.54,51.83,50.93,50.96,485400,0.0,0
2019-03-01,51.47,51.7,50.86,51.0,521300,0.0,0
2019-03-04,51.01,51.42,50.65,50.84,486700,0.0,0
2019-03-05,50.88,51.75,50.8,51.1,625100,0.0,0
2019-03-06,49.01,50.25,48.06,48.53,1389300,0.0,0
2019-03-07,48.2,48.71,47.83,48.11,899600,0.0,0
2019-03-08,47.57,47.78,47.12,47.68,533700,0.0,0
2019-03-11,47.68,48.83,47.68,48.77,355800,0.0,0
2019-03-12,48.81,48.85,48.25,48.37,338800,0.0,0
2019-03-13,48.69,48.77,48.06,48.24,460400,0.0,0
2019-03-14,48.28,48.28,47.76,48.13,302000,0.0,0
2019-03-15,48.24,48.69,48.06,48.26,669800,0.0,0
2019-03-18,48.3,49.06,48.3,48.89,323200,0.0,0
2019-03-19,49.14,49.28,48.58,48.64,325400,0.0,0
2019-03-20,48.53,48.84,47.72,48.04,371200,0.0,0
2019-03-21,47.88,48.96,47.88,48.85,389900,0.0,0
2019-03-22,48.43,48.44,46.93,46.93,304900,0.0,0
2019-03-25,46.92,47.63,46.59,47.29,295800,0.0,0
2019-03-26,47.83,48.39,47.68,48.12,412500,0.0,0
2019-03-27,48.18,48.34,47.68,48.07,239400,0.0,0
2019-03-28,48.17,49.01,48.17,48.65,275200,0.0,0
2019-03-29,49.16,49.56,49.13,49.45,464700,0.0,0
2019-04-01,49.96,51.07,49.96,51.02,367400,0.0,0
2019-04-02,50.93,51.11,50.54,50.81,342900,0.0,0
2019-04-03,50.99,51.75,50.99,51.34,470800,0.0,0
2019-04-04,51.44,51.8,51.25,51.77,328800,0.0,0
2019-04-05,51.81,52.09,51.73,52.09,296300,0.0,0
2019-04-08,51.84,52.32,51.4,52.17,262600,0.0,0
2019-04-09,51.78,51.78,50.58,50.74,283300,0.0,0
2019-04-10,50.76,51.13,50.51,51.09,290500,0.0,0
2019-04-11,51.24,51.71,50.82,51.68,151900,0.0,0
2019-04-12,51.99,52.38,51.71,52.35,166900,0.0,0
2019-04-15,52.4,52.45,51.87,52.0,160400,0.0,0
2019-04-16,52.25,52.57,52.04,52.52,245900,0.0,0
2019-04-17,52.91,53.04,52.33,52.35,187500,0.0,0
2019-04-18,52.47,53.04,52.11,52.89,266900,0.0,0
2019-04-22,52.64,52.7,52.12,52.51,190300,0.0,0
2019-04-23,52.51,53.15,52.33,52.97,235400,0.0,0
2019-04-24,53.01,53.27,52.71,52.87,279700,0.0,0
2019-04-25,52.52,52.52,51.34,51.73,292900,0.0,0
2019-04-26,51.85,52.64,51.68,52.6,269800,0.0,0
2019-04-29,52.78,53.26,52.48,53.14,359900,0.0,0
2019-04-30,53.29,53.29,52.2,52.88,819000,0.0,0
2019-05-01,53.09,53.09,52.14,52.24,191400,0.0,0
2019-05-02,52.04,52.36,51.44,52.1,313800,0.0,0
2019-05-03,52.6,53.27,52.46,53.16,360400,0.0,0
2019-05-06,51.86,53.02,51.59,52.8,373500,0.0,0
2019-05-07,52.04,52.54,51.79,52.11,339500,0.0,0
2019-05-08,51.96,52.55,51.96,52.0,292600,0.0,0
2019-05-09,51.38,51.61,50.74,51.49,401500,0.0,0
2019-05-10,51.15,51.69,50.37,51.52,227500,0.0,0
2019-05-13,50.24,50.56,49.37,49.53,328600,0.0,0
2019-05-14,49.67,50.24,49.53,49.89,298300,0.0,0
2019-05-15,49.37,49.93,49.15,49.74,299300,0.0,0
2019-05-16,50.11,50.39,49.81,50.04,229900,0.0,0
2019-05-17,49.5,49.79,48.96,48.98,356800,0.0,0
2019-05-20,48.56,49.22,48.56,48.64,293200,0.0,0
2019-05-21,49.09,49.53,48.74,49.23,379500,0.0,0
2019-05-22,48.91,49.27,48.77,48.79,313300,0.0,0
2019-05-23,48.17,48.17,46.94,47.31,337800,0.0,0
2019-05-24,47.41,47.78,47.41,47.6,330100,0.0,0
2019-05-28,47.78,47.99,47.02,47.08,340800,0.0,0
2019-05-29,46.86,47.14,46.64,46.94,299100,0.0,0
2019-05-30,46.95,47.42,46.6,47.04,329900,0.0,0
2019-05-31,46.59,47.08,46.3,46.87,537400,0.0,0
2019-06-03,46.94,48.5,46.59,47.94,573800,0.0,0
2019-06-04,47.06,48.58,45.44,48.12,1105500,0.0,0
2019-06-05,48.17,48.32,46.18,48.29,584800,0.0,0
2019-06-06,48.06,48.28,47.06,47.92,588900,0.0,0
2019-06-07,48.32,48.88,48.2,48.54,429300,0.0,0
2019-06-10,48.63,49.23,48.58,48.8,403300,0.0,0
2019-06-11,49.44,49.81,48.85,48.94,475900,0.0,0
2019-06-12,48.89,49.16,48.54,48.91,501300,0.21,0
2019-06-13,49.16,49.55,48.69,49.34,335300,0.0,0
2019-06-14,49.25,49.25,48.21,48.43,327700,0.0,0
2019-06-17,48.35,48.36,47.43,47.5,273800,0.0,0
2019-06-18,47.91,48.92,47.91,48.63,365900,0.0,0
2019-06-19,48.73,49.21,48.43,49.09,352200,0.0,0
2019-06-20,49.61,50.04,49.26,49.97,323400,0.0,0
2019-06-21,49.9,49.96,48.95,49.12,737500,0.0,0
2019-06-24,49.12,49.4,48.84,48.98,220700,0.0,0
2019-06-25,49.13,49.45,48.82,49.17,329200,0.0,0
2019-06-26,49.22,49.73,49.09,49.52,210700,0.0,0
2019-06-27,49.72,50.2,49.44,50.17,299200,0.0,0
2019-06-28,50.3,50.84,50.19,50.45,691000,0.0,0
2019-07-01,51.1,51.1,49.85,50.34,350700,0.0,0
2019-07-02,50.31,50.31,49.48,49.8,374000,0.0,0
2019-07-03,49.91,50.08,49.62,50.05,155300,0.0,0
2019-07-05,49.69,49.69,48.88,49.47,206100,0.0,0
2019-07-08,49.26,49.44,48.8,49.01,234100,0.0,0
2019-07-09,48.74,48.88,48.44,48.55,286900,0.0,0
2019-07-10,48.79,49.25,47.51,47.67,395500,0.0,0
2019-07-11,47.69,47.69,47.09,47.39,476100,0.0,0
2019-07-12,47.36,48.3,47.0,48.17,541100,0.0,0
2019-07-15,48.3,48.47,47.82,48.13,336300,0.0,0
2019-07-16,48.03,49.26,48.03,48.93,476200,0.0,0
2019-07-17,48.87,49.21,48.43,48.43,444100,0.0,0
2019-07-18,48.56,48.57,47.91,48.04,291900,0.0,0
2019-07-19,48.26,48.79,47.93,47.95,329000,0.0,0
2019-07-22,48.03,48.36,47.81,48.19,217700,0.0,0
2019-07-23,48.41,49.24,48.33,49.18,301700,0.0,0
2019-07-24,48.85,49.92,48.78,49.9,361400,0.0,0
2019-07-25,50.08,50.08,49.13,49.28,327900,0.0,0
2019-07-26,49.25,49.57,49.06,49.33,347100,0.0,0
2019-07-29,49.32,49.41,48.95,49.22,350100,0.0,0
2019-07-30,48.73,49.75,48.67,49.73,414500,0.0,0
2019-07-31,49.73,50.56,49.35,49.55,852500,0.0,0
2019-08-01,49.61,50.09,48.38,48.51,564400,0.0,0
2019-08-02,48.32,48.53,47.81,48.25,436800,0.0,0
2019-08-05,47.39,47.52,46.01,46.42,432400,0.0,0
2019-08-06,46.7,47.34,46.55,47.23,455000,0.0,0
2019-08-07,46.6,47.68,46.05,47.37,518100,0.0,0
2019-08-08,47.71,48.73,47.52,48.55,771300,0.0,0
2019-08-09,48.42,48.68,47.81,48.37,375100,0.0,0
2019-08-12,48.02,48.45,47.77,47.92,238800,0.21,0
2019-08-13,47.81,49.74,47.81,48.81,372700,0.0,0
2019-08-14,47.89,48.11,47.06,47.08,397200,0.0,0
2019-08-15,47.22,47.76,47.1,47.64,408700,0.0,0
2019-08-16,47.96,49.03,47.72,48.96,359300,0.0,0
2019-08-19,49.78,49.78,49.18,49.25,381900,0.0,0
2019-08-20,49.1,49.38,48.69,48.75,434700,0.0,0
2019-08-21,49.09,49.27,48.31,48.31,399700,0.0,0
2019-08-22,48.6,48.79,47.82,47.92,315500,0.0,0
2019-08-23,47.51,47.51,45.65,45.81,707900,0.0,0
2019-08-26,46.3,46.32,45.72,46.06,689300,0.0,0
