Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,37.31,37.55,37.05,37.52,874100,0.0,0
2019-02-06,37.48,37.56,36.99,37.08,923400,0.0,0
2019-02-07,37.01,37.64,36.86,37.53,1959000,0.0,0
2019-02-08,37.39,37.72,37.26,37.51,465000,0.0,0
2019-02-11,37.55,37.63,37.25,37.44,1085000,0.0,0
2019-02-12,37.52,37.53,37.15,37.21,1140600,0.0,0
2019-02-13,36.8,37.67,36.6,37.37,804500,0.0,0
2019-02-14,37.37,37.55,37.16,37.34,782600,0.0,0
2019-02-15,37.49,37.83,37.33,37.63,1006700,0.0,0
2019-02-19,37.63,37.92,37.53,37.87,660300,0.0,0
2019-02-20,37.83,37.85,37.39,37.73,718300,0.0,0
2019-02-21,37.63,37.99,37.42,37.94,553600,0.0,0
2019-02-22,37.95,38.11,37.79,38.05,709500,0.0,0
2019-02-25,38.15,38.15,37.84,38.01,778400,0.0,0
2019-02-26,38.07,38.11,37.81,37.82,566000,0.0,0
2019-02-27,37.57,37.7,37.25,37.59,672900,0.0,0
2019-02-28,37.6,38.12,37.35,37.63,916600,0.0,0
2019-03-01,37.81,37.82,37.17,37.72,696800,0.0,0
2019-03-04,37.86,37.97,37.42,37.91,605300,0.0,0
2019-03-05,37.88,38.21,37.76,38.03,485700,0.0,0
2019-03-06,38.12,38.16,37.81,37.81,522700,0.0,0
2019-03-07,37.88,38.6,37.88,38.16,1464400,0.0,0
2019-03-08,38.05,38.36,38.05,38.31,942500,0.0,0
2019-03-11,38.38,38.91,38.37,38.9,811100,0.0,0
2019-03-12,38.97,39.55,38.86,39.55,1771800,0.0,0
2019-03-13,39.61,40.27,39.54,40.06,2396300,0.0,0
2019-03-14,40.12,40.12,39.68,40.1,884900,0.0,0
2019-03-15,40.1,40.14,39.74,39.9,1353100,0.0,0
2019-03-18,39.88,40.12,39.61,39.83,1069000,0.0,0
2019-03-19,39.89,40.06,39.03,39.09,1080000,0.0,0
2019-03-20,39.07,39.36,38.83,38.97,1208000,0.0,0
2019-03-21,38.94,39.65,38.94,39.51,1177500,0.0,0
2019-03-22,39.39,39.74,39.08,39.1,1140000,0.0,0
2019-03-25,39.13,39.27,38.77,39.21,876500,0.0,0
2019-03-26,39.37,39.74,39.29,39.71,781700,0.0,0
2019-03-27,39.7,39.9,39.48,39.76,1215800,0.0,0
2019-03-28,39.75,39.97,39.54,39.85,648600,0.26,0
2019-03-29,39.91,39.91,39.55,39.65,836300,0.0,0
2019-04-01,39.71,39.91,39.36,39.89,1006700,0.0,0
2019-04-02,39.91,40.28,39.52,40.15,1187800,0.0,0
2019-04-03,40.28,40.46,39.98,40.33,591300,0.0,0
2019-04-04,40.41,40.54,40.13,40.52,818000,0.0,0
2019-04-05,40.52,40.76,40.32,40.72,777000,0.0,0
2019-04-08,40.63,40.73,40.45,40.71,897300,0.0,0
2019-04-09,40.69,40.69,40.3,40.34,1114300,0.0,0
2019-04-10,40.53,40.75,40.42,40.63,720000,0.0,0
2019-04-11,40.67,40.78,40.38,40.67,535100,0.0,0
2019-04-12,40.63,40.95,40.4,40.95,456200,0.0,0
2019-04-15,40.98,41.0,40.73,40.91,624200,0.0,0
2019-04-16,41.04,41.06,39.62,39.72,1117800,0.0,0
2019-04-17,39.9,39.9,39.09,39.26,988300,0.0,0
2019-04-18,39.33,40.03,39.1,39.98,1079200,0.0,0
2019-04-22,39.74,39.94,39.19,39.71,1209800,0.0,0
2019-04-23,39.7,40.35,39.68,40.28,715200,0.0,0
2019-04-24,40.37,40.73,40.32,40.54,648900,0.0,0
2019-04-25,40.32,40.56,40.18,40.33,411900,0.0,0
2019-04-26,40.4,40.51,40.22,40.45,1495300,0.0,0
2019-04-29,40.51,40.66,39.82,39.88,470700,0.0,0
2019-04-30,39.87,40.51,39.79,40.41,804200,0.0,0
2019-05-01,40.57,40.97,40.47,40.54,503100,0.0,0
2019-05-02,40.49,40.88,40.16,40.4,624900,0.0,0
2019-05-03,40.95,40.97,40.23,40.78,407900,0.0,0
2019-05-06,40.54,40.9,40.34,40.79,662600,0.0,0
2019-05-07,40.52,40.7,39.5,39.75,705700,0.0,0
2019-05-08,39.83,40.2,39.76,39.8,484800,0.0,0
2019-05-09,39.63,39.87,39.33,39.87,386500,0.0,0
2019-05-10,39.8,40.52,39.69,40.52,749400,0.0,0
2019-05-13,40.03,40.4,39.98,40.29,809400,0.0,0
2019-05-14,40.25,40.6,40.07,40.51,490200,0.0,0
2019-05-15,40.61,40.73,40.23,40.49,570900,0.0,0
2019-05-16,40.52,40.78,40.43,40.66,499800,0.0,0
2019-05-17,40.52,40.73,40.27,40.62,6027600,0.0,0
2019-05-20,40.54,40.61,39.96,40.21,548000,0.0,0
2019-05-21,40.4,40.56,40.27,40.35,1280500,0.0,0
2019-05-22,40.41,40.45,40.12,40.37,411200,0.0,0
2019-05-23,40.19,40.19,39.78,40.03,923100,0.0,0
2019-05-24,40.34,40.46,40.14,40.21,499500,0.0,0
2019-05-28,40.36,40.49,39.8,39.81,868200,0.0,0
2019-05-29,39.84,39.84,39.11,39.27,898900,0.0,0
2019-05-30,39.3,39.68,39.21,39.39,583000,0.0,0
