Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,34.63,35.88,34.33,35.82,1818200,0.0,0
2019-02-06,35.81,35.96,35.1,35.45,1304200,0.0,0
2019-02-07,35.25,35.25,33.95,34.8,1824700,0.0,0
2019-02-08,34.7,35.07,34.15,34.32,1582100,0.0,0
2019-02-11,34.39,34.91,34.03,34.67,1730300,0.0,0
2019-02-12,34.83,35.99,34.51,35.47,3535200,0.0,0
2019-02-13,35.63,36.02,35.31,35.89,2394100,0.0,0
2019-02-14,35.38,36.05,34.6,35.35,2329800,0.0,0
2019-02-15,35.6,36.59,35.44,36.34,1337200,0.0,0
2019-02-19,36.29,37.15,36.2,36.81,1847700,0.0,0
2019-02-20,36.94,37.46,36.58,37.09,1617500,0.0,0
2019-02-21,36.79,37.2,36.65,36.8,1200200,0.0,0
2019-02-22,37.0,37.21,36.62,36.9,1699700,0.0,0
2019-02-25,37.14,37.25,36.53,36.7,1291200,0.0,0
2019-02-26,36.83,37.38,36.66,37.14,1637800,0.0,0
2019-02-27,37.43,38.52,37.39,38.27,3066800,0.0,0
2019-02-28,38.17,38.6,37.74,37.96,1790000,0.0,0
2019-03-01,38.82,39.72,37.69,37.9,2771800,0.0,0
2019-03-04,38.09,38.19,36.68,37.02,1739800,0.0,0
2019-03-05,37.18,37.39,36.77,36.94,1154300,0.0,0
2019-03-06,37.38,37.81,37.02,37.1,1437000,0.0,0
2019-03-07,36.91,37.34,36.48,36.74,1784600,0.0,0
2019-03-08,36.46,36.9,36.12,36.78,2411100,0.0,0
2019-03-11,36.71,37.92,36.7,37.79,4974800,0.0,0
2019-03-12,34.64,35.94,33.14,33.63,15184100,0.0,0
2019-03-13,33.56,34.91,33.52,34.8,5624600,0.0,0
2019-03-14,34.97,35.22,34.16,34.26,3769700,0.275,0
2019-03-15,34.33,34.47,33.2,33.35,3172500,0.0,0
2019-03-18,33.31,33.98,33.01,33.9,2290600,0.0,0
2019-03-19,33.96,34.85,33.96,34.55,2561300,0.0,0
2019-03-20,34.29,34.53,33.5,33.68,1821700,0.0,0
2019-03-21,33.55,34.69,33.55,34.52,2732900,0.0,0
2019-03-22,34.37,34.58,33.63,33.64,1715900,0.0,0
2019-03-25,33.55,34.26,33.43,33.83,2598300,0.0,0
2019-03-26,34.35,35.08,33.94,34.95,1943800,0.0,0
2019-03-27,35.0,35.82,34.97,35.71,1346900,0.0,0
2019-03-28,35.94,36.66,35.47,35.63,4853100,0.0,0
2019-03-29,35.7,36.15,35.48,36.05,3199400,0.0,0
2019-04-01,36.24,37.12,36.02,37.1,1980800,0.0,0
2019-04-02,37.1,37.88,36.66,37.57,1910300,0.0,0
2019-04-03,37.93,37.93,37.34,37.48,1449000,0.0,0
2019-04-04,37.45,38.87,37.09,38.83,2167300,0.0,0
2019-04-05,38.96,39.67,38.92,39.35,3123200,0.0,0
2019-04-08,39.23,40.15,39.08,39.8,1626500,0.0,0
2019-04-09,39.52,39.97,39.4,39.73,1894000,0.0,0
2019-04-10,39.91,40.34,39.54,40.33,1737300,0.0,0
2019-04-11,40.33,40.33,39.73,39.85,2434000,0.0,0
2019-04-12,40.07,40.36,39.46,39.64,2068600,0.0,0
2019-04-15,39.64,39.88,38.76,38.82,3605000,0.0,0
2019-04-16,38.85,39.52,38.65,39.39,1847000,0.0,0
2019-04-17,39.57,39.93,38.74,39.02,1728100,0.0,0
2019-04-18,39.03,39.44,38.04,38.05,3589900,0.0,0
2019-04-22,37.95,38.26,37.11,37.2,2585700,0.0,0
2019-04-23,37.42,38.1,37.15,37.78,1976000,0.0,0
2019-04-24,37.99,38.5,37.83,38.18,1399400,0.0,0
2019-04-25,38.13,38.13,37.22,37.45,1376300,0.0,0
2019-04-26,37.34,37.75,36.91,37.52,2102400,0.0,0
2019-04-29,37.39,37.76,36.93,36.95,1962900,0.0,0
2019-04-30,36.93,36.97,36.21,36.24,2790800,0.0,0
2019-05-01,36.3,36.52,35.11,35.14,1909600,0.0,0
2019-05-02,35.5,35.58,34.67,35.28,2995000,0.0,0
2019-05-03,35.35,35.78,35.18,35.72,1860500,0.0,0
2019-05-06,35.3,35.73,35.04,35.31,1806500,0.0,0
2019-05-07,35.01,35.53,35.01,35.1,2466300,0.0,0
2019-05-08,34.94,35.51,34.53,35.13,1101300,0.0,0
2019-05-09,34.89,35.63,34.85,35.41,1768600,0.0,0
2019-05-10,35.28,35.99,34.85,35.8,1956800,0.0,0
2019-05-13,35.04,35.37,34.4,34.84,2189100,0.0,0
2019-05-14,35.0,35.55,34.44,35.2,1586700,0.0,0
2019-05-15,35.04,35.3,34.47,35.23,1957700,0.0,0
2019-05-16,35.47,35.68,35.19,35.31,1222000,0.0,0
2019-05-17,35.04,36.32,35.04,35.71,1816800,0.0,0
2019-05-20,35.26,35.88,35.14,35.83,2309800,0.0,0
2019-05-21,36.02,37.23,35.65,36.83,2082100,0.0,0
2019-05-22,36.47,36.69,35.73,36.21,2670200,0.0,0
2019-05-23,36.11,36.37,35.58,36.0,1733800,0.0,0
2019-05-24,35.83,36.04,35.31,35.89,1914600,0.0,0
2019-05-28,35.94,36.42,34.94,35.04,5491100,0.0,0
2019-05-29,36.16,36.24,32.43,32.97,13079900,0.0,0
2019-05-30,32.95,33.77,32.82,33.54,3615500,0.0,0
2019-05-31,32.98,33.84,32.65,33.8,3563500,0.0,0
2019-06-03,33.92,35.33,33.64,34.95,3563500,0.0,0
2019-06-04,35.39,36.12,35.28,35.97,1987800,0.0,0
2019-06-05,36.05,36.14,34.85,35.41,2388300,0.0,0
2019-06-06,35.33,35.46,34.66,35.0,2596600,0.0,0
2019-06-07,35.18,35.19,34.2,34.45,1925000,0.0,0
2019-06-10,34.69,35.07,34.2,34.71,2066800,0.0,0
2019-06-11,34.85,35.15,34.02,34.09,3063500,0.0,0
2019-06-12,33.98,34.18,33.19,33.58,3047000,0.0,0
2019-06-13,33.8,33.94,32.93,32.95,3392500,0.275,0
2019-06-14,33.02,33.62,32.75,33.49,2873400,0.0,0
2019-06-17,33.47,34.08,33.36,33.77,2254500,0.0,0
2019-06-18,33.86,34.3,33.2,33.43,1885000,0.0,0
2019-06-19,33.44,33.46,32.78,33.42,1700200,0.0,0
2019-06-20,33.72,33.8,32.72,33.52,2536600,0.0,0
2019-06-21,33.31,34.09,33.18,33.73,3531700,0.0,0
2019-06-24,33.72,33.79,33.15,33.5,1902800,0.0,0
2019-06-25,33.63,33.83,33.25,33.61,2283100,0.0,0
2019-06-26,33.67,33.88,33.31,33.31,2804100,0.0,0
2019-06-27,33.57,33.98,33.02,33.82,1732600,0.0,0
2019-06-28,33.92,34.44,33.76,34.19,2662100,0.0,0
2019-07-01,34.48,34.99,34.42,34.54,1773800,0.0,0
2019-07-02,34.64,34.74,34.01,34.3,1627800,0.0,0
2019-07-03,34.42,35.17,34.34,35.15,626500,0.0,0
2019-07-05,34.97,36.27,34.86,36.27,1941500,0.0,0
2019-07-08,36.12,36.61,35.89,36.44,2600900,0.0,0
2019-07-09,36.31,36.66,35.53,35.55,2589100,0.0,0
2019-07-10,35.73,35.76,34.54,35.44,1983300,0.0,0
2019-07-11,35.44,35.8,35.27,35.54,1469700,0.0,0
2019-07-12,35.61,36.98,35.61,36.74,1746900,0.0,0
2019-07-15,36.74,37.29,36.55,37.26,1488200,0.0,0
2019-07-16,37.23,37.6,36.92,37.27,1823400,0.0,0
2019-07-17,37.44,37.52,36.87,37.44,1169800,0.0,0
2019-07-18,37.21,37.31,36.76,37.1,1395400,0.0,0
2019-07-19,37.16,37.23,36.62,36.66,1265300,0.0,0
2019-07-22,36.82,37.24,36.68,36.99,1392800,0.0,0
2019-07-23,37.09,38.09,36.8,38.06,1499900,0.0,0
2019-07-24,38.0,38.74,37.4,37.59,2756500,0.0,0
2019-07-25,37.5,37.78,36.6,36.65,1622000,0.0,0
2019-07-26,36.82,37.15,36.12,37.01,1163400,0.0,0
2019-07-29,36.92,37.52,36.6,36.9,1011100,0.0,0
2019-07-30,36.47,36.9,35.99,36.83,887200,0.0,0
2019-07-31,36.94,37.2,36.16,36.7,1271200,0.0,0
2019-08-01,36.83,36.83,33.98,34.42,2917700,0.0,0
2019-08-02,34.32,34.69,32.97,33.36,2510800,0.0,0
2019-08-05,32.73,33.3,31.48,33.1,2980600,0.0,0
2019-08-06,33.35,33.57,32.57,33.24,1582600,0.0,0
2019-08-07,32.74,32.98,31.69,31.96,2794100,0.0,0
2019-08-08,32.17,33.54,32.15,33.41,2213400,0.0,0
2019-08-09,33.32,33.49,31.97,32.16,2334000,0.0,0
2019-08-12,31.78,32.9,31.76,32.85,1935500,0.0,0
2019-08-13,32.58,34.5,32.31,32.73,2071700,0.0,0
2019-08-14,32.06,32.51,31.14,32.05,1750700,0.0,0
2019-08-15,32.17,32.34,30.87,31.08,1923700,0.0,0
2019-08-16,31.23,31.86,31.12,31.76,1320900,0.0,0
2019-08-19,32.34,32.98,30.87,32.57,1603500,0.0,0
2019-08-20,32.23,32.62,31.77,31.96,2527200,0.0,0
2019-08-21,32.34,32.95,31.96,32.55,4824100,0.0,0
