Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05,64.21,65.09,64.06,64.86,495400,0.0,0
2019-02-06,64.66,65.22,64.19,64.25,339500,0.0,0
2019-02-07,63.89,63.89,62.76,63.4,448400,0.0,0
2019-02-08,62.87,63.16,61.99,62.63,589900,0.0,0
2019-02-11,62.59,62.91,61.76,62.25,930700,0.19,0
2019-02-12,62.81,63.97,62.81,63.44,670200,0.0,0
2019-02-13,63.59,64.34,63.33,63.73,485800,0.0,0
2019-02-14,63.43,64.06,63.31,63.59,867000,0.0,0
2019-02-15,64.1,64.46,63.7,63.97,631700,0.0,0
2019-02-19,63.73,65.2,63.73,64.49,824400,0.0,0
2019-02-20,64.69,65.24,64.42,64.6,515600,0.0,0
2019-02-21,64.4,64.64,64.14,64.2,491000,0.0,0
2019-02-22,64.4,64.96,63.96,64.65,763100,0.0,0
2019-02-25,64.8,65.45,64.77,64.79,1268100,0.0,0
2019-02-26,64.64,65.17,64.59,64.65,562200,0.0,0
2019-02-27,64.35,64.89,64.21,64.35,552800,0.0,0
2019-02-28,64.12,64.63,64.11,64.2,524600,0.0,0
2019-03-01,64.56,64.69,64.06,64.37,509900,0.0,0
2019-03-04,64.5,64.63,62.79,63.0,544900,0.0,0
2019-03-05,62.94,63.32,62.66,63.06,289300,0.0,0
2019-03-06,63.01,64.13,63.01,63.81,523300,0.0,0
2019-03-07,63.81,63.81,63.06,63.12,427600,0.0,0
2019-03-08,62.79,63.76,62.66,63.51,344000,0.0,0
2019-03-11,63.73,64.49,63.73,64.38,251300,0.0,0
2019-03-12,64.4,64.67,63.8,63.93,538400,0.0,0
2019-03-13,64.23,64.45,63.98,64.1,512800,0.0,0
2019-03-14,64.11,64.26,63.73,63.85,594900,0.0,0
2019-03-15,63.99,64.38,63.79,64.14,399800,0.0,0
2019-03-18,64.21,64.39,63.36,63.73,332100,0.0,0
2019-03-19,63.91,64.24,63.58,63.81,426300,0.0,0
2019-03-20,63.92,64.15,63.38,64.04,476200,0.0,0
2019-03-21,63.84,64.76,63.84,64.4,318800,0.0,0
2019-03-22,64.12,64.38,62.62,62.78,283300,0.0,0
2019-03-25,62.75,63.57,62.36,62.65,177300,0.0,0
2019-03-26,62.97,63.24,62.2,62.62,250000,0.0,0
2019-03-27,62.66,62.82,61.65,62.24,231900,0.0,0
2019-03-28,62.45,62.86,62.11,62.3,253700,0.0,0
